	name_x	id	name_y	Ruminococcus_sp_5_1_39BFAA	name_x	Streptococcus_parasanguinis	name_y	Lactobacillus_salivarius	name_x	Prevotella_copri	name_y	Roseburia_inulinivorans	name_x	Bifidobacterium_pseudolongum	name_y	Clostridium_sp_SS2_1	name_x	Bacteroides_uniformis	name_y	Fusobacterium_mortiferum	name_x	Megasphaera_elsdenii	name_y	Clostridium_bartlettii	name_x	Parabacteroides_johnsonii	name_y	Haemophilus_parainfluenzae	name_x	Dialister_succinatiphilus	name_y	Catenibacterium_mitsuokai	name_x	Staphylococcus_warneri	name_y	Bifidobacterium_breve	name_x	Enterobacter_aerogenes	name_y	Enterococcus_faecalis	name_x	Roseburia_intestinalis	name_y	Bifidobacterium_adolescentis	name_x	Ruminococcus_bromii	name_y	Bifidobacterium_longum	name_x	Streptococcus_vestibularis	name_y	Clostridium_paraputrificum	name_x	Bifidobacterium_pseudocatenulatum	name_y	Succinivibrio_dextrinosolvens	name_x	Bacteroides_intestinalis	name_y	Faecalibacterium_prausnitzii	name_x	Weissella_cibaria	name_y	Lactobacillus_rhamnosus	name_x	Bacteroides_caccae	name_y	Veillonella_dispar	name_x	Dorea_formicigenerans	name_y	Lactobacillus_mucosae	name_x	Lactobacillus_ruminis	name_y	Bifidobacterium_bifidum	name_x	Bacteroides_stercoris	name_y	Parabacteroides_distasonis	name_x	Bacteroides_ovatus	name_y	Eubacterium_eligens	name_x	Collinsella_aerofaciens	name_y	Streptococcus_thermophilus	name_x	Bacteroides_thetaiotaomicron	name_y	Veillonella_atypica	name_x	Faecalibacterium_cf	name_y	Bacteroides_fragilis	name_x	Bacteroides_vulgatus	name_y	Escherichia_coli	name_x	Eubacterium_rectale	name_y	Ruminococcus_torques	name_x	Clostridium_ramosum	name_y	Ruminococcus_obeum	name_x	Ruminococcus_lactaris	name_y	Subdoligranulum_variabile	name_x	Dorea_longicatena	name_y	Eubacterium_biforme	name	Ruminococcus_gnavus
0		cpd00012[c0]	PPi	0.184898322670677	PPi	0.184897648399525	PPi	0.184902466539026	PPi	0.484604550671173	PPi	0.184897497625221	PPi	0.484591894365973	PPi	0.184900129447657	PPi	0.484603130043325	PPi	0.484615041801341	PPi	0.484598923511365	PPi	0.184904774972975	PPi	0.484605037324115	PPi	0.484607891147837	PPi	0.484600461291774	PPi	0.184900337408245	PPi	0.18490263268747	PPi	0.484594739058277	PPi	0.484597555289405	PPi	0.184900024147935	PPi	0.184897270057145	PPi	0.484594639585386	PPi	0.18489798310653	PPi	0.484594232762994	PPi	0.184898767178898	PPi	0.184904328632887	PPi	0.4845966084265	PPi	0.48460808835468	PPi	0.484605529000737	PPi	0.184889918344955	PPi	0.184895709625347	PPi	0.184894811572716	PPi	0.484606131848912	PPi	0.18489940381012	PPi	0.184898027312472	PPi	0.184895305852026	PPi	0.184896492054226	PPi	0.484592443022984	PPi	0.484603535319912	PPi	0.484604221609027	PPi	0.484605878246435	PPi	0.184899918600337	PPi	0.18488715453632	PPi	0.184899064315103	PPi	0.484605479869343	PPi	0.484608074832601	PPi	0.184889530866337	PPi	0.484605217806399	PPi	0.484605794180022	PPi	0.484600242554948	PPi	0.184899066456095	PPi	0.184898489856461	PPi	0.184903357540964	PPi	0.184897596935643	PPi	0.184897207276794	PPi	0.184888935860486	PPi	0.184897778830943	PPi	0.184902779775203	PPi	0.184897169818655
1		cpd00161[c0]	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.211072732780569	L	-0.186841915485094	L	-0.211072732780569	L	-0.186841915485094	L	-0.211072732780569	L	-0.211072732780569	L	-0.211072732780569	L	-0.186841915485094	L	-0.211072732780569	L	-0.211072732780569	L	-0.211072732780569	L	-0.186841915485094	L	-0.186841915485094	L	-0.211072732780569	L	-0.211072732780569	L	-0.186841915485094	L	-0.186841915485094	L	-0.211072732780569	L	-0.186841915485094	L	-0.211072732780569	L	-0.186841915485094	L	-0.186841915485094	L	-0.211072732780569	L	-0.211072732780569	L	-0.211072732780569	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.211072732780569	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.211072732780569	L	-0.211072732780569	L	-0.211072732780569	L	-0.211072732780569	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.211072732780569	L	-0.211072732780569	L	-0.186841915485094	L	-0.211072732780569	L	-0.211072732780569	L	-0.211072732780569	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094	L	-0.186841915485094
2		cpd00033[c0]	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.509869786991038	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739	Glycine	-0.409331301687739
3		cpd00067[c0]	H	41.257	H	41.257	H	41.257	H	40.0	H	41.257	H	40.0	H	41.257	H	40.0	H	40.0	H	40.0	H	41.257	H	40.0	H	40.0	H	40.0	H	41.257	H	41.257	H	40.0	H	40.0	H	41.257	H	41.257	H	40.0	H	41.257	H	40.0	H	41.257	H	41.257	H	40.0	H	40.0	H	40.0	H	41.257	H	41.257	H	41.257	H	40.0	H	41.257	H	41.257	H	41.257	H	41.257	H	40.0	H	40.0	H	40.0	H	40.0	H	41.257	H	41.257	H	41.257	H	40.0	H	40.0	H	41.257	H	40.0	H	40.0	H	40.0	H	41.257	H	41.257	H	41.257	H	41.257	H	41.257	H	41.257	H	41.257	H	41.257	H	41.257
4		cpd00002[c0]	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-40.1101757365074	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178	ATP	-41.2913947104178
5		cpd00008[c0]	ADP	41.257	ADP	41.257	ADP	41.257	ADP	40.0	ADP	41.257	ADP	40.0	ADP	41.257	ADP	40.0	ADP	40.0	ADP	40.0	ADP	41.257	ADP	40.0	ADP	40.0	ADP	40.0	ADP	41.257	ADP	41.257	ADP	40.0	ADP	40.0	ADP	41.257	ADP	41.257	ADP	40.0	ADP	41.257	ADP	40.0	ADP	41.257	ADP	41.257	ADP	40.0	ADP	40.0	ADP	40.0	ADP	41.257	ADP	41.257	ADP	41.257	ADP	40.0	ADP	41.257	ADP	41.257	ADP	41.257	ADP	41.257	ADP	40.0	ADP	40.0	ADP	40.0	ADP	40.0	ADP	41.257	ADP	41.257	ADP	41.257	ADP	40.0	ADP	40.0	ADP	41.257	ADP	40.0	ADP	40.0	ADP	40.0	ADP	41.257	ADP	41.257	ADP	41.257	ADP	41.257	ADP	41.257	ADP	41.257	ADP	41.257	ADP	41.257	ADP	41.257
6		cpd00010[c0]	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00309646685192537	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043	CoA	-0.00793965859468043
7		cpd00051[c0]	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.246696822701341	L	-0.193397772168782	L	-0.246696822701341	L	-0.193397772168782	L	-0.246696822701341	L	-0.246696822701341	L	-0.246696822701341	L	-0.193397772168782	L	-0.246696822701341	L	-0.246696822701341	L	-0.246696822701341	L	-0.193397772168782	L	-0.193397772168782	L	-0.246696822701341	L	-0.246696822701341	L	-0.193397772168782	L	-0.193397772168782	L	-0.246696822701341	L	-0.193397772168782	L	-0.246696822701341	L	-0.193397772168782	L	-0.193397772168782	L	-0.246696822701341	L	-0.246696822701341	L	-0.246696822701341	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.246696822701341	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.246696822701341	L	-0.246696822701341	L	-0.246696822701341	L	-0.246696822701341	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.246696822701341	L	-0.246696822701341	L	-0.193397772168782	L	-0.246696822701341	L	-0.246696822701341	L	-0.246696822701341	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782	L	-0.193397772168782
8		cpd00001[c0]	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-35.5403092430435	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738	H2O	-37.159999313738
9		cpd00357[c0]	TTP	-0.0160064841182007	TTP	-0.0156801368807254	TTP	-0.018012116399032	TTP	-0.0178526409910695	TTP	-0.0156071621175114	TTP	-0.0117269892739041	TTP	-0.016880964176579	TTP	-0.0171650571122952	TTP	-0.0229303479922288	TTP	-0.0151290956436551	TTP	-0.0191293984302417	TTP	-0.0180881810146023	TTP	-0.019469431696247	TTP	-0.0158733813615714	TTP	-0.0169816171010237	TTP	-0.0180925322461233	TTP	-0.0131038203493423	TTP	-0.0144668762153203	TTP	-0.0168299991109729	TTP	-0.0154970191686472	TTP	-0.013055675470014	TTP	-0.0158421350710081	TTP	-0.0128587734319332	TTP	-0.0162216260972225	TTP	-0.0189133698278074	TTP	-0.0140085945691225	TTP	-0.0195648798081381	TTP	-0.0183261524997961	TTP	-0.0119387904687249	TTP	-0.0147417701784594	TTP	-0.0143071127049066	TTP	-0.0186179310166764	TTP	-0.0165297556088176	TTP	-0.0158635307468259	TTP	-0.0145463438910682	TTP	-0.0151204657559369	TTP	-0.01199253926744	TTP	-0.0173612109803916	TTP	-0.0176933749122214	TTP	-0.0184951874175809	TTP	-0.0167789140736558	TTP	-0.0106011070894291	TTP	-0.0163654400201562	TTP	-0.0183023729050753	TTP	-0.0195583351222387	TTP	-0.0117512508177612	TTP	-0.0181755344402178	TTP	-0.0184544992738	TTP	-0.0157675127380165	TTP	-0.0163664762605656	TTP	-0.0160874020378554	TTP	-0.0184433613370056	TTP	-0.0156552283615477	TTP	-0.015466633478754	TTP	-0.0114632679855793	TTP	-0.0157432656868105	TTP	-0.0181637227089423	TTP	-0.0154485037395584
