	id	Ruminococcus_sp_5_1_39BFAA	Streptococcus_parasanguinis	Lactobacillus_salivarius	Prevotella_copri	Roseburia_inulinivorans	Bifidobacterium_pseudolongum	Clostridium_sp_SS2_1	Bacteroides_uniformis	Fusobacterium_mortiferum	Megasphaera_elsdenii	Clostridium_bartlettii	Parabacteroides_johnsonii	Haemophilus_parainfluenzae	Dialister_succinatiphilus	Catenibacterium_mitsuokai	Staphylococcus_warneri	Bifidobacterium_breve	Enterobacter_aerogenes	Enterococcus_faecalis	Roseburia_intestinalis	Bifidobacterium_adolescentis	Ruminococcus_bromii	Bifidobacterium_longum	Streptococcus_vestibularis	Clostridium_paraputrificum	Bifidobacterium_pseudocatenulatum	Succinivibrio_dextrinosolvens	Bacteroides_intestinalis	Faecalibacterium_prausnitzii	Weissella_cibaria	Lactobacillus_rhamnosus	Bacteroides_caccae	Veillonella_dispar	Dorea_formicigenerans	Lactobacillus_mucosae	Lactobacillus_ruminis	Bifidobacterium_bifidum	Bacteroides_stercoris	Parabacteroides_distasonis	Bacteroides_ovatus	Eubacterium_eligens	Collinsella_aerofaciens	Streptococcus_thermophilus	Bacteroides_thetaiotaomicron	Veillonella_atypica	Faecalibacterium_cf	Bacteroides_fragilis	Bacteroides_vulgatus	Escherichia_coli	Eubacterium_rectale	Ruminococcus_torques	Clostridium_ramosum	Ruminococcus_obeum	Ruminococcus_lactaris	Subdoligranulum_variabile	Dorea_longicatena	Eubacterium_biforme	Ruminococcus_gnavus
0	cpd00012[c0]	0.184898322670677	0.184897648399525	0.184902466539026	0.484604550671173	0.184897497625221	0.484591894365973	0.184900129447657	0.484603130043325	0.484615041801341	0.484598923511365	0.184904774972975	0.484605037324115	0.484607891147837	0.484600461291774	0.184900337408245	0.18490263268747	0.484594739058277	0.484597555289405	0.184900024147935	0.184897270057145	0.484594639585386	0.18489798310653	0.484594232762994	0.184898767178898	0.184904328632887	0.4845966084265	0.48460808835468	0.484605529000737	0.184889918344955	0.184895709625347	0.184894811572716	0.484606131848912	0.18489940381012	0.184898027312472	0.184895305852026	0.184896492054226	0.484592443022984	0.484603535319912	0.484604221609027	0.484605878246435	0.184899918600337	0.18488715453632	0.184899064315103	0.484605479869343	0.484608074832601	0.184889530866337	0.484605217806399	0.484605794180022	0.484600242554948	0.184899066456095	0.184898489856461	0.184903357540964	0.184897596935643	0.184897207276794	0.184888935860486	0.184897778830943	0.184902779775203	0.184897169818655
1	cpd00161[c0]	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.211072732780569	-0.186841915485094	-0.211072732780569	-0.186841915485094	-0.211072732780569	-0.211072732780569	-0.211072732780569	-0.186841915485094	-0.211072732780569	-0.211072732780569	-0.211072732780569	-0.186841915485094	-0.186841915485094	-0.211072732780569	-0.211072732780569	-0.186841915485094	-0.186841915485094	-0.211072732780569	-0.186841915485094	-0.211072732780569	-0.186841915485094	-0.186841915485094	-0.211072732780569	-0.211072732780569	-0.211072732780569	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.211072732780569	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.211072732780569	-0.211072732780569	-0.211072732780569	-0.211072732780569	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.211072732780569	-0.211072732780569	-0.186841915485094	-0.211072732780569	-0.211072732780569	-0.211072732780569	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.186841915485094	-0.186841915485094
2	cpd00033[c0]	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.509869786991038	-0.409331301687739	-0.509869786991038	-0.409331301687739	-0.509869786991038	-0.509869786991038	-0.509869786991038	-0.409331301687739	-0.509869786991038	-0.509869786991038	-0.509869786991038	-0.409331301687739	-0.409331301687739	-0.509869786991038	-0.509869786991038	-0.409331301687739	-0.409331301687739	-0.509869786991038	-0.409331301687739	-0.509869786991038	-0.409331301687739	-0.409331301687739	-0.509869786991038	-0.509869786991038	-0.509869786991038	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.509869786991038	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.509869786991038	-0.509869786991038	-0.509869786991038	-0.509869786991038	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.509869786991038	-0.509869786991038	-0.409331301687739	-0.509869786991038	-0.509869786991038	-0.509869786991038	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.409331301687739	-0.409331301687739
3	cpd00067[c0]	41.257	41.257	41.257	40.0	41.257	40.0	41.257	40.0	40.0	40.0	41.257	40.0	40.0	40.0	41.257	41.257	40.0	40.0	41.257	41.257	40.0	41.257	40.0	41.257	41.257	40.0	40.0	40.0	41.257	41.257	41.257	40.0	41.257	41.257	41.257	41.257	40.0	40.0	40.0	40.0	41.257	41.257	41.257	40.0	40.0	41.257	40.0	40.0	40.0	41.257	41.257	41.257	41.257	41.257	41.257	41.257	41.257	41.257
4	cpd00002[c0]	-41.2913947104178	-41.2913947104178	-41.2913947104178	-40.1101757365074	-41.2913947104178	-40.1101757365074	-41.2913947104178	-40.1101757365074	-40.1101757365074	-40.1101757365074	-41.2913947104178	-40.1101757365074	-40.1101757365074	-40.1101757365074	-41.2913947104178	-41.2913947104178	-40.1101757365074	-40.1101757365074	-41.2913947104178	-41.2913947104178	-40.1101757365074	-41.2913947104178	-40.1101757365074	-41.2913947104178	-41.2913947104178	-40.1101757365074	-40.1101757365074	-40.1101757365074	-41.2913947104178	-41.2913947104178	-41.2913947104178	-40.1101757365074	-41.2913947104178	-41.2913947104178	-41.2913947104178	-41.2913947104178	-40.1101757365074	-40.1101757365074	-40.1101757365074	-40.1101757365074	-41.2913947104178	-41.2913947104178	-41.2913947104178	-40.1101757365074	-40.1101757365074	-41.2913947104178	-40.1101757365074	-40.1101757365074	-40.1101757365074	-41.2913947104178	-41.2913947104178	-41.2913947104178	-41.2913947104178	-41.2913947104178	-41.2913947104178	-41.2913947104178	-41.2913947104178	-41.2913947104178
5	cpd00008[c0]	41.257	41.257	41.257	40.0	41.257	40.0	41.257	40.0	40.0	40.0	41.257	40.0	40.0	40.0	41.257	41.257	40.0	40.0	41.257	41.257	40.0	41.257	40.0	41.257	41.257	40.0	40.0	40.0	41.257	41.257	41.257	40.0	41.257	41.257	41.257	41.257	40.0	40.0	40.0	40.0	41.257	41.257	41.257	40.0	40.0	41.257	40.0	40.0	40.0	41.257	41.257	41.257	41.257	41.257	41.257	41.257	41.257	41.257
6	cpd00010[c0]	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00309646685192537	-0.00309646685192537	-0.00309646685192537	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043	-0.00793965859468043
7	cpd00051[c0]	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.246696822701341	-0.193397772168782	-0.246696822701341	-0.193397772168782	-0.246696822701341	-0.246696822701341	-0.246696822701341	-0.193397772168782	-0.246696822701341	-0.246696822701341	-0.246696822701341	-0.193397772168782	-0.193397772168782	-0.246696822701341	-0.246696822701341	-0.193397772168782	-0.193397772168782	-0.246696822701341	-0.193397772168782	-0.246696822701341	-0.193397772168782	-0.193397772168782	-0.246696822701341	-0.246696822701341	-0.246696822701341	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.246696822701341	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.246696822701341	-0.246696822701341	-0.246696822701341	-0.246696822701341	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.246696822701341	-0.246696822701341	-0.193397772168782	-0.246696822701341	-0.246696822701341	-0.246696822701341	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.193397772168782	-0.193397772168782
8	cpd00001[c0]	-37.159999313738	-37.159999313738	-37.159999313738	-35.5403092430435	-37.159999313738	-35.5403092430435	-37.159999313738	-35.5403092430435	-35.5403092430435	-35.5403092430435	-37.159999313738	-35.5403092430435	-35.5403092430435	-35.5403092430435	-37.159999313738	-37.159999313738	-35.5403092430435	-35.5403092430435	-37.159999313738	-37.159999313738	-35.5403092430435	-37.159999313738	-35.5403092430435	-37.159999313738	-37.159999313738	-35.5403092430435	-35.5403092430435	-35.5403092430435	-37.159999313738	-37.159999313738	-37.159999313738	-35.5403092430435	-37.159999313738	-37.159999313738	-37.159999313738	-37.159999313738	-35.5403092430435	-35.5403092430435	-35.5403092430435	-35.5403092430435	-37.159999313738	-37.159999313738	-37.159999313738	-35.5403092430435	-35.5403092430435	-37.159999313738	-35.5403092430435	-35.5403092430435	-35.5403092430435	-37.159999313738	-37.159999313738	-37.159999313738	-37.159999313738	-37.159999313738	-37.159999313738	-37.159999313738	-37.159999313738	-37.159999313738
9	cpd00357[c0]	-0.0160064841182007	-0.0156801368807254	-0.018012116399032	-0.0178526409910695	-0.0156071621175114	-0.0117269892739041	-0.016880964176579	-0.0171650571122952	-0.0229303479922288	-0.0151290956436551	-0.0191293984302417	-0.0180881810146023	-0.019469431696247	-0.0158733813615714	-0.0169816171010237	-0.0180925322461233	-0.0131038203493423	-0.0144668762153203	-0.0168299991109729	-0.0154970191686472	-0.013055675470014	-0.0158421350710081	-0.0128587734319332	-0.0162216260972225	-0.0189133698278074	-0.0140085945691225	-0.0195648798081381	-0.0183261524997961	-0.0119387904687249	-0.0147417701784594	-0.0143071127049066	-0.0186179310166764	-0.0165297556088176	-0.0158635307468259	-0.0145463438910682	-0.0151204657559369	-0.01199253926744	-0.0173612109803916	-0.0176933749122214	-0.0184951874175809	-0.0167789140736558	-0.0106011070894291	-0.0163654400201562	-0.0183023729050753	-0.0195583351222387	-0.0117512508177612	-0.0181755344402178	-0.0184544992738	-0.0157675127380165	-0.0163664762605656	-0.0160874020378554	-0.0184433613370056	-0.0156552283615477	-0.015466633478754	-0.0114632679855793	-0.0157432656868105	-0.0181637227089423	-0.0154485037395584
