	id_x	name	iBif452.V01.00.xml	iBif452.V01.00.xmlnotes	iBif452.V01.00.xmlannotation	id_y	iEre400 v1.00.xml	iEre400 v1.00.xmlnotes	iEre400 v1.00.xmlannotation	id_x	iMsi385.xml	iMsi385.xmlnotes	iMsi385.xmlannotation	id_y	iBth801 v1.00.xml	iBth801 v1.00.xmlnotes	iBth801 v1.00.xmlannotation	id	iFap484.V01.00.xml	iFap484.V01.00.xmlnotes	iFap484.V01.00.xmlannotation
0	m6	ATP	-45.0	{}	{}	m102	-39.94	{'FORMULA': 'C10H12N5O13P3'}	{'sbo': 'SBO:0000299'}	m176	-50.2	{'FORMULA': 'C10H12N5O13P3'}	{'sbo': 'SBO:0000299'}	m192	-25.0	{'FORMULA': 'C10H12N5O13P3'}	{'sbo': 'SBO:0000299'}	m6	-40.0	{}	{}
1	m8	H2O	-45.0	{}	{}					m326	-50.2	{'FORMULA': 'H2O'}	{'sbo': 'SBO:0000299'}	m388	-54.462	{'FORMULA': 'H2O'}	{'sbo': 'SBO:0000299'}	m8	-40.0	{}	{}
2	m12	Ammonium	-0.011843	{}	{}									m506	-0.011843	{'FORMULA': 'H4N'}	{'sbo': 'SBO:0000299'}	m12	-0.011843	{}	{}
3	m45	L-Methionine	-0.1537	{}	{}	m218	-0.202	{'FORMULA': 'C5H11NO2S'}	{'sbo': 'SBO:0000299'}	m380	-0.1682	{'FORMULA': 'C5H11NO2S'}	{'sbo': 'SBO:0000299'}	m468	-0.1537	{'FORMULA': 'C5H11NO2S'}	{'sbo': 'SBO:0000299'}	m45	-0.1537	{}	{}
4	m48	L-Valine	-0.4232	{}	{}	m318	-0.514	{'FORMULA': 'C5H11NO2'}	{'sbo': 'SBO:0000299'}	m512	-0.4631	{'FORMULA': 'C5H11NO2'}	{'sbo': 'SBO:0000299'}	m754	-0.4232	{'FORMULA': 'C5H11NO2'}	{'sbo': 'SBO:0000299'}	m48	-0.4232	{}	{}
5	m51	L-Isoleucine	-0.2905	{}	{}	m200	-0.658	{'FORMULA': 'C6H13NO2'}	{'sbo': 'SBO:0000299'}	m354	-0.3179	{'FORMULA': 'C6H13NO2'}	{'sbo': 'SBO:0000299'}	m418	-0.2905	{'FORMULA': 'C6H13NO2'}	{'sbo': 'SBO:0000299'}	m51	-0.2905	{}	{}
6	m54	L-Leucine	-0.404	{}	{}	m207	-0.699	{'FORMULA': 'C6H13NO2'}	{'sbo': 'SBO:0000299'}	m367	-0.493	{'FORMULA': 'C6H13NO2'}	{'sbo': 'SBO:0000299'}	m441	-0.4505	{'FORMULA': 'C6H13NO2'}	{'sbo': 'SBO:0000299'}	m54	-0.404	{}	{}
7	m57	L-Lysine	-0.3432	{}	{}	m208	-0.576	{'FORMULA': 'C6H15N2O2'}	{'sbo': 'SBO:0000299'}	m370	-0.3755	{'FORMULA': 'C6H15N2O2'}	{'sbo': 'SBO:0000299'}	m450	-0.3432	{'FORMULA': 'C6H15N2O2'}	{'sbo': 'SBO:0000299'}	m217	-0.3432	{}	{}
8	m60	L-Arginine	-0.2958	{}	{}	m94	-0.268	{'FORMULA': 'C6H15N4O2'}	{'sbo': 'SBO:0000299'}	m169	-0.3237	{'FORMULA': 'C6H15N4O2'}	{'sbo': 'SBO:0000299'}	m178	-0.2958	{'FORMULA': 'C6H15N4O2'}	{'sbo': 'SBO:0000299'}	m188	-0.2958	{}	{}
9	m65	L-Threonine	-0.2537	{}	{}	m279	-0.443	{'FORMULA': 'C4H9NO3'}	{'sbo': 'SBO:0000299'}	m470	-0.2776	{'FORMULA': 'C4H9NO3'}	{'sbo': 'SBO:0000299'}	m683	-0.2537	{'FORMULA': 'C4H9NO3'}	{'sbo': 'SBO:0000299'}	m63	-0.2537	{}	{}
