COMMON-NAME	PRODUCT	UNIQUE-ID
paoC	G6155-MONOMER	G6155
aurC	MONOMER-20710	G_58856
yjhH	G7911-MONOMER	G7911
gapN	MONOMER-13095	G_9975
UGT84A2	AT3G21560-MONOMER	AT3G21560
paaK	MONOMER-12132	G_9384
yeiG	EG12026-MONOMER	EG12026
RRM1	HS09541-MONOMER	HS09541
kduD	KDUD-MONOMER	EG12361
Y10A	MONOMER-19918	G_44617
Gfpt1	MONOMER-13170	G_10016
hbpA	MONOMER-17239	G_15026
clpX	SYNPCC7942_2526-MONOMER	SYNPCC7942_2526
bcp	EG10108-MONOMER	EG10108
legC	MONOMER-16350	G_12619
yghU	G7553-MONOMER	G7553
NDUFAB1	ENSG00000004779-MONOMER	HS00112
cobM	MONOMER-86	G_498
pon1	MONOMER-15251	G_11676
nemA	G6890-MONOMER	G6890
<i>MtBAN</i>	MONOMER-14194	G_10841
scpA	METHYLMALONYL-COA-MUT-MONOMER	EG11444
mqnC	MONOMER-18235	G_17744
l-dex	MONOMER-18422	G_17919
taw3-1	MONOMER-19457	G_44165
gutB	BSU06150-MONOMER	BSU06150
arsC	MONOMER-10862	G_8421
Glil	MONOMER-18852	G_34560
yfdE	G7234-MONOMER	G7234
kdhA	MONOMER-981	G_121
PISD	HS01985-MONOMER	HS01985
HYDG	MONOMER-17781	G_15455
nnr	EG11758-MONOMER	EG11758
GS52	MONOMER-16864	G_14688
hdhA	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	EG10425
AT5G13320	AT5G13320-MONOMER	AT5G13320
famC3	MONOMER-20407	G_58195
NCED9	AT1G78390-MONOMER	AT1G78390
ybdL	G6329-MONOMER	G6329
sad	G6811-MONOMER	G6811
pup2	MONOMER-14778	G_11280
citE	CITRYLY-MONOMER	G6342
crt1	MONOMER-13469	G_10256
GALT	HS06274-MONOMER	HS06274
pfkA	MONOMER-13044	G_9934
GSTO1	HS07564-MONOMER	G_7921
mtnN	MONOMER-1288	G_824
licCA	MONOMER-20238	G_55125
gumD	MONOMER-15979	G_12289
pqsB	MONOMER-19872	G_44580
ndhD3	SYNPCC7942_2092-MONOMER	SYNPCC7942_2092
ybiA	EG11579-MONOMER	EG11579
desA	MONOMER-19157	G_43882
pyk	MONOMER-4888	G_204
yesW	BSU07050-MONOMER	BSU07050
ptlE	MONOMERMETA-16851	GMETA_14676
GPX4	HS09562-MONOMER	HS09562
cbfd1	MONOMER-12339	G_9523
ELOVL4	ENSG00000118402-MONOMER	HS04216
sldB	MONOMER-13709	G_10469
aknS	MONOMER-18192	G_17702
TSB1	AT5G54810-MONOMER	AT5G54810
gstB	G6438-MONOMER	G6438
S68871	MONOMER-17360	G_15139
sthA	UDHA-MONOMER	EG11428
xylC	MONOMER-20628	G_58780
AS	MONOMER-18684	G_27157
cld	MONOMER-15704	G_12063
DPEP1	MONOMER-9981	G_7621
PKS1	MONOMER-15420	G_11809
ppnN	EG12373-MONOMER	EG12373
LTC4S	HS08566-MONOMER	HS08566
Cyp24a1	MONOMER-14357	G_10949
COXVIa	AT4G37830-MONOMER	AT4G37830
TRM44	G3O-33945-MONOMER	G3O_33945
sodB	SUPEROX-DISMUTFE-MONOMER	EG10954
Tri8	MONOMER-19559	G_44261
gmm	GDPMANMANHYDRO-MONOMER	EG11789
lra6	MONOMER-16237	G_12531
astF1	MONOMER-20783	G_63042
cmcH	MONOMER-13420	G_10213
GPX1	HS00019-MONOMER	HS00019
peroxidase 3	MONOMER-17922	G_15554
ushA	USHA-MONOMER	EG11060
QR	MONOMER-14068	G_10748
cdhE1	CDHEMSARC-MONOMER	G_359
denD	MONOMER-20182	G_55072
clpP1	SYNPCC7942_1554-MONOMER	SYNPCC7942_1554
pxpB	G6380-MONOMER	G6380
CYP710A2	AT2G34490-MONOMER	AT2G34490
lovC	MONOMER-18781	G_34489
PTDSS2	HS10846-MONOMER	HS10846
ntnA	MONOMER-2663	G_1843
kefC	KEFC-MONOMER	EG10521
tarF	MONOMER-19977	G_44677
nagA	NAG6PDEACET-MONOMER	EG10632
UBC2	MONOMER-16750	G_14598
hemF	MONOMER-11601	G_9034
SUMO1	ENSG00000116030-MONOMER	HS03971
PYR6	AT5G26667-MONOMER	AT5G26667
uvrB	EG11062-MONOMER	EG11062
MSMO1	HS00650-MONOMER	HS00650
nagB	GLUCOSAMINE-6-P-DEAMIN-MONOMER	EG10633
hmgA	MONOMER-14624	G_11190
chiA	MONOMER-16466	G_12733
mupG	MONOMER-20586	G_58743
nth	EG10662-MONOMER	EG10662
IPPK	HS05071-MONOMER	HS05071
nanK	NANK-MONOMER	G7676
apsD	MONOMER-20958	G_80483
citE	MONOMER-16999	G_14819
HK1	HS08136-MONOMER	HS08136
RCM1	G3O-33060-MONOMER	G3O_33060
uvrC	EG11063-MONOMER	EG11063
ANS/FLS	MONOMER-18305	G_17806
nanE	NANE-MONOMER	G7677
wcaG<sub>NCTC</sub>	MONOMER-19062	G_43804
<i>PPDBR</i>	MONOMER-14971	G_11419
oxo1	MONOMER-16186	G_12483
polB	EG10747-MONOMER	EG10747
adhE2	MONOMER-15847	G_12174
nanK	MONOMER-13105	G_9984
ade12	YNL220W-MONOMER	YNL220W
aglA	MONOMER-19265	G_43976
strA	MONOMER-14016	G_10704
pdhD	SYNPCC7942_1198-MONOMER	SYNPCC7942_1198
xthA	EG11073-MONOMER	EG11073
RBCS-3B	AT5G38410-MONOMER	AT5G38410
nanA	ACNEULY-MONOMER	EG10637
cofE	MONOMER-12187	G_9425
psrC	MONOMER-12583	G_9658
mtkB	MONOMER-4227	G_3285
uvrA	EG11061-MONOMER	EG11061
GAS	MONOMER-13559	G_10330
livF	MONOMER-17267	G_15053
coxL	MONOMER-19674	G_44376
(S)-THBO	MONOMER-16686	G_14542
SBE2.2	AT5G03650-MONOMER	AT5G03650
nfo	EG10651-MONOMER	EG10651
lcp	MONOMER-20301	G_55186
aspA	ASPARTASE-MONOMER	EG10095
pchA	MONOMER-15306	G_11718
SSR2	MONOMER18C3-14	G18C3_13
HKT1	MONOMER-14578	G_11149
era	EG10270-MONOMER	EG10270
pcaD	MONOMER-3221	G_2289
speD	SAMDC-ALPHA-MONOMER	EG10962
ltxB	MONOMER-19481	G_44186
hpnH	MONOMER-17494	G_15238
IMT1	MONOMER-20881	G_80444
YEH1	G3O-32117-MONOMER	G3O_32117
nudF	EG12633-MONOMER	EG12633
EstN1	MONOMER-20694	G_58840
speA	ARGDECARBOXBIO-MONOMER	EG10959
ERG3	MONOMER-17808	G_15477
dcsB	MONOMER-18017	G_16009
crtC	MONOMER-19026	G_43767
radD	EG12045-MONOMER	EG12045
LARGE2	ENSG00000165905-MONOMER	HS09299
speE	SPERMIDINESYN-MONOMER	EG10963
LPP1	MONOMER-AT2G01180	AT2G01180
ADS3	AT3G15850-MONOMER	AT3G15850
STR2	YJR130C-MONOMER	YJR130C
petH	SYNPCC7942_0978-MONOMER	SYNPCC7942_0978
yqhD	G7564-MONOMER	G7564
ptmA	MONOMER-16330	G_12599
speB	AGMATIN-MONOMER	EG10960
Gls2	MONOMER-13074	G_9955
phnA	MONOMER-202	G_480
MFP-a	MONOMER-12060	G_9338
ygaP	G7398-MONOMER	G7398
ntpG	MONOMER-14152	G_10815
gss	GSP-MONOMER	EG12882
ISF6_4831	MONOMER-19898	G_44601
picK	MONOMER-18405	G_17902
mas	MONOMER-17224	G_15011
LDOX	AT4G22880-MONOMER	AT4G22880
crcB	EG12209-MONOMER	EG12209
pigC	MONOMER-18836	G_34544
speC	ORNDECARBOX-BIO-MONOMER	EG10961
MT-CO1	HS00026-MONOMER	HS00026
camF2	MONOMER-18014	G_16006
pubB	MONOMER-15211	G_11641
sseA	EG11600-MONOMER	EG11600
N8DT-1	MONOMER-16837	G_14664
speG	SPERMACTRAN-MONOMER	G6842
nos	MONOMER-18212	G_17722
COXVb	AT1G80230-MONOMER	AT3G15640
zmaA	MONOMER-19441	G_44149
ISN1	MONOMER3O-10	G3O_310
yhbQ	G7649-MONOMER	G7649
pobA	MONOMER-14755	G_11258
mutT	EG10626-MONOMER	EG10626
qhnDH-b	MONOMER-15727	G_12083
CYP81E3	MONOMER-5882	G_4761
UGT94D1	MONOMER-17763	G_15437
lplT	EG12455-MONOMER	EG12455
soxB	MONOMER-21018	G_80538
nrdD	RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER	EG11417
ST2A	AT5G07010-MONOMER	AT5G07010
frbF	MONOMER-18402	G_17899
GER1	AT1G73250-MONOMER	AT1G73250
psbA1	SYNPCC7942_0424-MONOMER	SYNPCC7942_0424
yedK	EG11662-MONOMER	EG11662
dnhB	MONOMER-19135	G_43865
gcvP	GCVP-MONOMER	EG11810
napC	MONOMER-13449	G_10239
FH	ENSG00000091483-MONOMER	HS01735
npcC	MONOMER-13015	G_9916
