#
#  metacyc 23.5 Genes link table generated on Wed Dec 11, 2019
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
G6155	P77489	paoC	
G-58856	Q70KH4	aurC	
G7911	P39359	yjhH	
G-9975	Q59931	gapN	
AT3G21560		UGT84A2	
G-9384	Q9L9C1	paaK	
EG12026	P33018	yeiG	
HS09541	P23921	RRM1	
EG12361	P37769	kduD	
G-44617	P32277	Y10A	
G-10016	P82808	Gfpt1	
G-15026	O06647	hbpA	
SYNPCC7942_2526	O34126	clpX	
EG10108	P0AE52	bcp	
G-12619	Q0P8T7	legC	
G7553	Q46845	yghU	
HS00112	O14561	NDUFAB1	
G-498	P21922	cobM	
G-11676	P72351	pon1	
G6890	P77258	nemA	
G-10841		<i>MtBAN</i>	
EG11444	P27253	scpA	
G-17744	A0LRH7	mqnC	
G-17919	Q59I43	l-dex	
G-44165	Q9V074	taw3-1	
BSU06150	Q06004	gutB	
G-8421	P0A006	arsC	
G-34560		Glil	
G7234	P76518	yfdE	
G-121	O87681	kdhA	
HS01985	Q9UG56	PISD	
G-15455	Q6PSL4	HYDG	
EG11758	P31806	nnr	
G-14688	Q9FVC2	GS52	
EG10425	P0AET8	hdhA	
AT5G13320	Q9LYU4	AT5G13320	
G-58195	A0A076N8Z0	famC3	
AT1G78390	Q9M9F5	NCED9	
G6329	P77806	ybdL	
G6811	P76149	sad	
G-11280	Q94GB1	pup2	
G6342	P0A9I1	citE	
G-10256	A5N5C7	crt1	
HS06274	P07902	GALT	
G-9934	P0DOB6	pfkA	
G-7921	P78417	GSTO1	
G-824	Q9R4A1	mtnN	
G-55125	Q7WYX5	licCA	
G-12289	Q56770	gumD	
G-44580	Q9I4X2	pqsB	
SYNPCC7942_2092	Q31LE7	ndhD3	
EG11579	P30176	ybiA	
G-43882	Q4G2T3	desA	
G-204		pyk	
BSU07050	O31526	yesW	
GMETA-14676	Q82IY8	ptlE	
HS09562	P36969	GPX4	
G-9523	Q5IT33	cbfd1	
HS04216	Q9GZR5	ELOVL4	
G-10469	Q8L1D5	sldB	
G-17702	Q9L4U6	aknS	
AT5G54810	P14671	TSB1	
G6438	P0ACA7	gstB	
G-15139	P49193	S68871	
EG11428	P27306	sthA	
G-58780	A0A0H3C6P8	xylC	
G-27157	H2ER43	AS	
G-12063	Q8KP26	cld	
G-7621	P22412	DPEP1	
G-11809	Q3ZMG6	PKS1	
EG12373	P0ADR8	ppnN	
HS08566	Q16873	LTC4S	
G-10949	Q09128	Cyp24a1	
AT4G37830	Q9SZT8	COXVIa	
G3O-33945	Q02648	TRM44	
EG10954	P0AGD3	sodB	
G-44261	O94088	Tri8	
EG11789	P32056	gmm	
G-12531		lra6	
G-63042	A0A023J9D7	astF1	
G-10213	O85728	cmcH	
HS00019	P07203	GPX1	
G-15554	Q9SSZ7	peroxidase 3	
EG11060	P07024	ushA	
G-10748	Q84V25	QR	
G-359	Q50539	cdhE1	
G-55072	P44094	denD	
SYNPCC7942_1554	P54415	clpP1	
G6380	P0AAV4	pxpB	
AT2G34490	O64698	CYP710A2	
G-34489	Q9Y7D0	lovC	
HS10846	Q9BVG9	PTDSS2	
G-1843	O52644	ntnA	
EG10521	P03819	kefC	
G-44677	Q2G1C1	tarF	
EG10632	P0AF18	nagA	
G-14598		UBC2	
G-9034		hemF	
HS03971	P63165	SUMO1	
AT5G26667	O04905	PYR6	
EG11062	P0A8F8	uvrB	
HS00650	Q15800	MSMO1	
EG10633	P0A759	nagB	
G-11190	O08424	hmgA	
G-12733	A3DC30	chiA	
G-58743	Q8RL64	mupG	
EG10662	P0AB83	nth	
HS05071	Q9H8X2	IPPK	
G7676	P45425	nanK	
G-80483	B9JK80	apsD	
G-14819	P17725	citE	
HS08136	P19367	HK1	
G3O-33060	P53972	RCM1	
EG11063	P0A8G0	uvrC	
G-17806	Q6RIB1	ANS/FLS	
G7677	P0A761	nanE	
G-43804	Q0P8I7	wcaG<sub>NCTC</sub>	
G-11419		<i>PPDBR</i>	
G-12483	P45850	oxo1	
EG10747	P21189	polB	
G-12174	Q9ANR5	adhE2	
G-9984	Q8ZLQ8	nanK	
YNL220W	P80210	ade12	
G-43976	Q2EMU7	aglA	
G-10704	P08077	strA	
SYNPCC7942_1198	Q31NZ1	pdhD	
EG11073	P09030	xthA	
AT5G38410	P10798	RBCS-3B	
EG10637	P0A6L4	nanA	
G-9425	Q58178	cofE	
G-9658	P31077	psrC	
G-3285	P53595	mtkB	
EG11061	P0A698	uvrA	
G-10330	Q1PDD2	GAS	
G-15053	Q2MF63	livF	
G-44376	P19919	coxL	
G-14542	G0XRK4	(S)-THBO	
AT5G03650	Q9LZS3	SBE2.2	
EG10651	P0A6C1	nfo	
G-55186	Q3L8N0	lcp	
EG10095	P0AC38	aspA	
G-11718	Q51508	pchA	
G18C3-13	A0A0C6G3Q8	SSR2	
G-11149	Q9LLM4	HKT1	
EG10270	P06616	era	
G-2289	Q88N36	pcaD	
EG10962	P0A7F6	speD	
G-44186	Q5V8A7	ltxB	
G-15238	B3QHB8	hpnH	
G-80444		IMT1	
G3O-32117	Q07804	YEH1	
EG12633	Q93K97	nudF	
G-58840	K0IAM1	EstN1	
EG10959	P21170	speA	
G-15477	A8JFB0	ERG3	
G-16009	D2Z025	dcsB	
G-43767	G5CKL3	crtC	
EG12045	P33919	radD	
HS09299	Q8N3Y3	LARGE2	
EG10963	P09158	speE	
AT2G01180	Q9ZU49	LPP1	
AT3G15850	Q949X0	ADS3	
YJR130C	P47164	STR2	
SYNPCC7942_0978	Q31PL1	petH	
G7564	Q46856	yqhD	
G-12599	Q0P8S6	ptmA	
EG10960	P60651	speB	
G-9955	P28492	Gls2	
G-480	Q51782	phnA	
G-9338		MFP-a	
G7398	P55734	ygaP	
G-10815	P43455	ntpG	
EG12882	P0AES0	gss	
G-44601	A0A0K8P6T7	ISF6_4831	
G-17902	O87605	picK	
G-15011	Q02251	mas	
AT4G22880	Q96323	LDOX	
EG12209	P37002	crcB	
G-34544	Q5W252	pigC	
EG10961	P21169	speC	
HS00026	P00395	MT-CO1	
G-16006		camF2	
G-11641	Q0HWI8	pubB	
EG11600	P31142	sseA	
G-14664	B1B3P3	N8DT-1	
G6842	P0A951	speG	
G-17722	P00386	nos	
AT3G15640	Q9SSB8	COXVb	
G-44149	C0JRE5	zmaA	
G3O-310	Q99312	ISN1	
G7649	P45472	yhbQ	
G-11258	A5JTM8	pobA	
EG10626	P08337	mutT	
G-12083	Q8VUS7	qhnDH-b	
G-4761		CYP81E3	
G-15437	A9ZPI0	UGT94D1	
EG12455	P39196	lplT	
G-80538	P98004	soxB	
EG11417	P28903	nrdD	
AT5G07010		ST2A	
G-17899	Q0ZQ43	frbF	
AT1G73250	O49213	GER1	
SYNPCC7942_0424	P04996	psbA1	
EG11662	P76318	yedK	
G-43865	A0A096ZED0	dnhB	
EG11810	P33195	gcvP	
G-10239	Q5E3J8	napC	
HS01735	P07954	FH	
G-9916	Q6F4M7	npcC	
G7530	P52061	rdgB	
G-95	P52039	etfA	
EG10408	P0A825	glyA	
G-55107	Q9I5Q5	anmK	
G-58175	C3SBS3	G3OMT	
G-44563	Q3YAT5	mpdC	
AT4G01070		AT4g01070	
G-15119	Q0P9C6	pglI	
EG10327	P08192	folC	
G-197	P75476	pfkA	
HS06016	Q14674	ESPL1	
GDQC-105657	B4FQ44	tar1	
G-11793	Q846U6	pydA	
EG11819	P37051	purU	
HS04095	P21912	SDHB	
G-12268	Q767F1	JHAMT	
G-17686	P72495	dnrF	
G3O-29801	Q04924	GTB1	
G-44244		DRS	
EG10543	P0A9P0	lpd	
G-58764	E3PRH0	ackA	
ATMG00060	P29388	NAD5c	
G-12047	Q97W92	gdS-2	
G-15534	Q57872	dcd	
EG10328	P24186	folD	
HS08412	P12821	ACE	
G-10437	Q0QLE1	dmdB	
AT4G34520	Q38860	FAE1	
SYNPCC7942_0143	Q31RZ4	pdhB	
EG10148	P07364	cheR	
AT2G28605		PPD2	
G6862	P0AFS3	folM	
G-12510	B6CWJ1	toyH	
G-27134	K0I210	FOMT4	
G-10191	Q9CGE1	folQ	
G6532	P75908	dgcT	
G185E-5489	P9WJM1	murA	
EG11442	P27248	gcvT	
G-10731	O13345	ordA	
G-10927	Q02567	MNP1	
G-55053	Q6LXQ1	fdhA1	
AT3G25900	Q9SDL7	HMT1	
EG12252	P37646	pdeH	
G-44661	Q8RKI7	tarA	
EG10585	P0AEZ1	metF	
G-34472	G0RH19	lxr3	
G-63022	H9TE98	mycD1	
G-18087	A4KAG7	KSL5i	
EG10554	P0AEX9	malE	
HS00528	P20933	AGA	
EG10371	P0A6T9	gcvH	
G-14575	P38419	RLL2	
G-34645	Q58499	mfnB	
HS03800	Q03154	ACY1	
G3O-28927	P38205	TRM4	
EG12403	P39163	chaC	
G-17788	Q33862	D30650	
EG10326	P0ABQ4	folA	
G-11171	Q58584	ribC	
HS10587	Q6IA69	NADSYN1	
G-58360	A2DLU8	PGDH1	
EG11355	P0AEM6	fliA	
G-12154	O74699	Aco	
G-6582	P71016	gbsA	
G-80466	A0A1X9WE52	picC	
G-9010	P42886	ureB	
HS07908	Q8IW45	CARKD	
SCO6267	Q9RKS7	scbC	
EG10147	P07330	cheB	
AT5G26000	P37702	TGG1	
G-6641		betA	
G-43788	A0A097ZPC9	andC	
G-12714	P72318	cooX	
G-12464	O86945	coxA	
G7572	Q46865	mqsR	
G-10309	Q936X3	atzE	
G-6581	P71017	gbsB	
YML054C	P00175	CYB2	
G-14794	B1P123	Bx7	
G-10676	P13249	pac	
AT3G06860	Q9ZPI5	AT3G06860	
EG12880	P46139	dgcN	
G-55168	P0DL13	PRO1	
EG11653	P27838	cyaY	
G-9399	Q9AXK7	LCYe	
G-11397	B3TPQ6	Mg25	
G-3203		rmpB	
EG11643	P31129	dgcZ	
G-2241	Q9AIX6	boxA	
EG10022	P0A9G6	aceA	
G-15031	A4YEH9	Msed_0656	
G-43957	F8G0M3	maiA	
G-14512	A1IGV8	agaA33	
G1G01-4963	Q88E18	cioB	
EG10298	P23877	fepG	
HS04742	O95396	MOCS3	
EG10023	P08997	aceB	
G-11691		PRX3	
G-9630	P37602	phsC	
G-11131	Q9M8S6	SKOR	
EG10294	P0AEL6	fepB	
G-58817	W8X092	ctmB	
EG10589	P0A817	metK	
G-44169	W6JQJ7	85K11	
G-44341	B2HIM3	papA5	
G-80423	A0A1X7LL67	cpd	
SCO2782	Q9L072	desA	
G7593	Q46871	nfeF	
HS09121	P15259	PGAM2	
G6278	P77161	glxR	
G-15460	P72584	cycI	
G185E-8088	P9WN03	aftA	
G-43751	Q9RA18	pfaD	
EG10288	P15030	fecC	
G-12581	P45986	imt1	
EG10024	P0AFG8	aceE	
AT1G78570	Q9SYM5	RHM1	
G-15216	Q8J0L6	ps2	
YGR157W	P05374	CHO2	
AT2G43090	Q9ZW85	IIL1	
EG11012	P02929	tonB	
G-10797	O04353	DES6	
EG10025	P06959	aceF	
G-9938	Q6Q4F4	ansB1	
G-15992	B2NID7	5GT7	
G-9306		HGT8	
EG10272	P0ABV2	exbD	
G-34527	Q2RJ81	hdrA	
EG20080	P37330	glcB	
G-44584	Q8GU20	SGR1	
AT3G10920		MSD1	
G-14995	Q8VQF5	cinB	
G18NG-10184	Q8NSP6	crtYe	
EG10305	P07822	fhuD	
G-14643	Q1RPP3	&delta;OAT	
EG10256	P0A955	eda	
GMETA-14694	Q9KSH6	cod	
G-44752	A0A0S1RTU7	cbaA	
G-11602	Q84KS8	PAP21	
EG10113	P0ABD3	bfr	
G-11241	Q2PGG3	sr	
EG11559	P31572	caiB	
G-17706	Q9L549	aknD	
HS01519	P15291	B4GALT1	
G-44133	K4JV64	gdnF	
RHA1_RO08164		padB1	
EG10299	P13039	fes	
G-80521		pnrA	
EG11560	P60584	caiA	
G-12067	Q19TV7	UT	
G-58152	A0A0A1GNF2	cruF	
G-15422		mbrA	
EG10295	P23878	fepC	
G-43849	Q9L4X0	nysL	
EG12608	P39206	caiE	
AT5G03300	Q9LZG0	ADK2	
HS05836	P54868	HMGCS2	
AT1G67830	Q9FXE5	FXG1	
YPR160W	P06738	GPH1	
EG10290	P15031	fecE	
G-9467		mtqB	
EG11557	P31551	caiD	
G-10219	Q7BHK2	blaP1a	
G-17886	Q6L6S1	AB179748	
G-9898		PLR	
EG11105	P0A8Y8	entH	
G-15092	Q7V6D4	PMT_1231	
EG10035	P25553	aldA	
G-55078	Q57199	otnC	
G-12251	Q9LRC8	SGUS	
G-44545	Q9RBP5	isoH	
AT2G24190	Q9ZUH5	SDR2b	
EG10286	P13036	fecA	
G-11774	Q9L9D7	cocE	
G7565	Q46857	dkgA	
G-188	Q50327	atpF	
AT5G64860	Q9LV91	DPE1	
G66-31585	Q6TGC4	PADI6	
EG10306	P16869	fhuE	
G-44223	A1C8C3	OC	
G6891	P0AC81	gloA	
HS03991	P22307	SCP2	
G-10414	Q56190	fom2	
G-1767	Q00460	tmoE	
G185E-7535	P9WP81	fbiA	
EG10264	P11454	entF	
G-15517	Q9LNE6	UGT89C1	
G6958	P77256	ydjG	
G-58747	Q96YC2	ST2245	
G-27103	Q9C446	paxG	
G-12026	P21258	ogl	
EG10303	P06972	fhuB	
AT2G24270	Q1WIQ6	NP-GAPDH	
G6099	P0AC84	gloB	
HS08195	P50281	MMP14	
G-63006	A0A0F7VSL9	cxm20	
AT4G30530	Q9M0A7	GGP1	
MGI:96090		Asmt	
EG10296	P23876	fepD	
G185E-5050	P9WPD5	gltA2	
G6497	P0A731	mgsA	
G-12490	P26406	rfbP	
HS10353	O00329	PIK3CD	
G-10170	Q5D0X6	tphA2	
EG10293	P05825	fepA	
G-44639	L8EUS8	oxyL	
G6475	P75849	gloC	
G-10708	Q9AY27	YS1	
G-8983	P80357	aruF	
G-55037	K9M7R4	J1H	
YOR180C	Q08558	DCI1	
EG12102	P33650	feoB	
HS00361	P40925	MDH1	
G-3301		sgaA	
G-12690	Q05332	celG	
G-18071	P39887	tcmP	
EG10287	P15028	fecB	
G-17769	B9H4D5	DFR2	
G-14549	Q89FR5	pmtA	
G-10911	P00389	POR	
HS03665	P15848	ARSB	
AT1G72040	Q501D4	DNK	
EG10921	P0A998	ftnA	
G-12132	Q46079	cslB	
G-11153	Q6VVA6	OsHAK1	
G-34632	M1RY63	argL	
G-58344	P22864	pelD	
EG10271	P0ABU7	exbB	
AT5G18170		GDH1	
G6283	P77364	glxK	
G-80449	A6L0J5	glsA	
G-14771	Q9ZGH1	desII	
HS07712	Q8NFU5	IPMK	
G185E-6032	P9WK17	glcB	
EG10304	P07821	fhuC	
G-10284	P04670	UOX	
EG10351	P0A9S1	fucO	
G-43771	Q55240	desB	
G-11380	P17058	crtC	
G-12439	D5KXD2	CAHS	
G7193	P77544	yfcF	
G-55148	P52415	glgC	
G7544	P52073	glcE	
YKL008C	P28496	LAC1	
G-43941	C6Y1N7	Phep_2830	
G-10659		pebS	
MGI:1328365	O88816	Aanat	
EG11325	P25516	acnA	
G-216		hisG	
EG11583	P0AEP7	gcl	
G-9347	Q8P8J5	argE	
G-96	P45359	thl	
G-3141		adhI	
EG11180	P0A742	mscL	
HS04527	P42336	PIK3CA	
G7545	P0AEP9	glcD	
G-15015	Q7TXK8	msl7	
G-44318	Q5IW45	phpL	
G-14491	Q7XZR6	MGD	
YNR050C		LYS9	
EG10374	P18956	ggt	
G-58802	A0A0H2V630	iroB	
G0-8601	P52074	glcF	
G-11645	O52833	alcE	
G185E-7822	P9WPP1	cyp125	
G-11114	Q7DDU0	siaC	
EG12318	P36649	cueO	
HS08877	P53597	SUCLG1	
G-44153	Q7BQ69	zmaL	
G-15200	Q5QEX7	IgD4	
G-80407	A0A2R4BR37	Tharo_2780	
AT1G49710	Q9FX97	FUT12	
BSU07630	O34453	nosA	
G-12552	Q5UZI9	citZ	
G-15441	I3PLQ7	OMT3	
G-15974	Q6L732	kanJ	
G-43734	Q7U4P6	pebB	
EG11754	P31675	setA	
G-10775	O54591	rifD	
AT1G74380	Q9CA75	XXT5	
AT3G03310	Q93V61	LCAT3	
YER091C	P05694	met6	
G185E-4192	O53622	ethA2	
G7194	P77526	yfcG	
G-34510	Q58484	aroE	
G-9921	Q8GMW5	pdeA	
G-44736	E5KJ95	tunB	
G-9253		C12RT1	
EG11404	P0ABU2	ychF	
G-14623	Q5JDU3	glmD	
G-44567	Q8KQE6	bmoC	
HS01328	Q05469	LIPE	
G-14979	Q6L738	kanC	
HS17108	Q86XF0	DHFRL1	
G7059	P76342	msrP	
G-11221	P93067	BCA1	
GGPS1-C	P80042	GGPPS	
G-58132	Q55455	crtH	
G-11584	Q83WF7	staMB	
G198	Q46948	yajL	
G-80505	P61425	bzaF	
G-17690	O52646	aknH	
HS05598	Q13085	ACC1	
G-44117	G8C421	fsr3	
YMR250W		GAD1	
EG12394	P0A746	msrB	
G-43833	E1YD53	N47_G38210	
G6879	P77150	pdxY	
G-12051	Q9KK62	bsh	
G-17869	Q83WF4	mycCII	
G-15407	Q7XJ50	UGT73G1	
EG10129	P06610	btuE	
G-9451	Q8PUM0	vhoG	
G7259	P40191	pdxK	
AT4G34890	Q8GUQ8	XDH1	
G-12234	Q7X280	sdgB	
AT1G61720		<i>AtBAN</i>	
AT1G22940	Q5M731	TH1	
EG11831	P0C0K3	srkA	
G-15076	A9W9X0	accC	
EG11487	P0AFI7	pdxH	
G-10198	Q8KES3	CT0609	
AT5G58220	Q9LVM5	AT5G58220	
G-9872	Q92QY5	gal	
G7415	P55799	pphB	
G-11742	A0P951	hzoB	
G-55057	Q6LY39	hdrC1	
G-10393	P31638	acsA	
G-44525		mekA	
G-9245	O27481	ilvE	
EG11433	P0A744	msrA	
G-44207	D6R244	acmH	
G-18091	M9PMU1	UGT74S1	
G-257	P51697	linA	
G3O-32799	Q03161	YMR099C	
G7060	P76343	msrQ	
G-15498	E7FHW8	shyC	
HS03863	Q13724	MOGS	
G-62990	A0A286SBZ5	stvA	
G-17655	Q9KID0	wbjB	
HS15855	Q9UDW1	UQCR10	
EG11266	P11290	waaH	
AT2G19800		MIOX2	
G-58731	Q8RL76	mmpA	
HS10106	Q9NY97	B3GNT2	
G-12008	Q58786	dapL	
G58	P77791	maa	
G-9980	A3CK37	SSA_0078	
HS07961	Q8IU89	CERS3	
G-8823		todC1	
AT4G25100		FSD1	
YML106W	P13298	URA5	
EG10163	P0AE82	cpxA	
G-44622	Q92UG1	duf<sub>1045</sub>	
G-12468	B7JAL4	petB1	
G-12669		mbhA	
G-10154	Q6J1Z5	cnbCa	
EG11470	P27848	yigL	
HS00205	P35228	NOS2	
G-10681		cyc2	
G-10892	Q6PQJ9	P5BR	
G-55019	Q72LF4	ttuB	
G-17747	Q9M422	SUT1	
EG10161	P24174	cpsB	
G-17751	Q8PW39	mvk	
EG11448	P27550	acs	
G-325	O27907	hdrB	
G-34616	A5HZW1	bcmA	
G-18055	Q9AJU1	elmMII	
EG11787	P0AC88	gmd	
G-12108	Q8GI18	carBb	
G-14516		APX1	
G-14753	P80702	hsdA	
HS03475	Q8N0V5	GCNT2	
HS14850	Q6IQ20	NAPEPLD	
EG10162	P24175	cpsG	
AT5G13800	Q9FFZ1	PPH	
G-11135	P12747	luxI	
G-11360	B1B1U4	zss2	
G-58327	A0A0K0PVM5	UGTPg101	
EG11788	P32055	fcl	
G-10261	A5N390	cat3	
EG11443	P0A7Z0	rpiA	
G-80427	A6C847	phnY*	
G-43924	O48779	BG2	
HS07560	P05093	CYP17A1	
YLR174W	P41939	IDP2	
EG10566	P00946	manA	
G-55130	D4GSH6	ncsA	
EG11556	P0A870	talB	
G-43755	O33906	pfaC	
G-9576	P13221	Got1	
G-12422	Q396C9	phzA/B	
G7091	P76373	ugd	
G-2063	P39849	xylB	
EG12100	P33570	tktB	
YGR255C	P53318	COQ6	
G185E-7675	P9WKH1	Rv3398c	
G-10634	P93438	SAMS2	
EG12159	P0C037	ppnP	
EG11319	P0AEP3	galU	
HS04290	Q13219	PAPPA	
EG11427	P27302	tktA	
G-9311	P48419	CYP75A3	
G-15184	O33820	hcrB	
G-303	P25503	hutU	
EG12591	P39401	opgB	
G-58785	I6X5W1	Rv2968c	
M004	P0AG07	rpe	
G-14999	Q76CA9	ahdA	
G-11864	B3RFJ6	CYP86A22	
G-14464	Q70SY0	bga1	
HS13919	Q32M88	PGGHG	
EG11612	P0C0L7	proP	
HS08619	Q96PC2	IP6K3	
EG13139	P46883	tynA	
G-11626	P14262	plcA	
G-44303		Stl-SS	
G-11099	P56810	porA	
EG10773	P0AFM2	proX	
G-12536		lra4	
EG10990	P0AGF6	tdcB	
G-44137	K4JV70	gdnK	
G-15955	Q9WYR4	pelA	
G-797	Q9AVA5	GA2ox1	
YKL182W	P07149	FAS1	
EG10680	P0C0L2	osmC	
G-10754	O52550	rifH	
EG10027	P0A6A3	ackA	
G-15426	H1ZV37	geoB	
AT2G46505	Q941A0	SDH4	
G-43716	P35798	pecF	
