#
#  metacyc 23.5 Reactions link table generated on Wed Dec 11, 2019
#
RXN-7064	EC-2.4.1
DALADALALIG-RXN	EC-6.3.2.4
RXN-19196	EC-2.3.1
13-BETA-GLUCAN-PHOSPHORYLASE-RXN	EC-2.4.1.97
RXN-13492	
RXN-19638	EC-3.3.2
RXN-11066	
RXN-11489	
RXN18C3-239	EC-1.1.1
GLYCOLATE-REDUCTASE-RXN	EC-1.1.1.26
RXN-8042	EC-5.2.1.13
1.1.99.30-RXN	EC-1.1.99.30
RXN-16377	EC-4.2.1
RXN-8527	EC-1.2.1.85
RXN-13962	EC-2.3.1.213
RXN-20115	EC-1.14.13.246
RXN8J2-139	EC-3.9.1.2
RXN-14402	EC-1.1.1.355
RXN-16886	EC-1.1.1
RXN-11944	EC-1.8.99.5
DEOXYADENOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.76	EC-2.7.1.145
TYROSINE-PHENOL-LYASE-RXN	EC-4.1.99.2
2-HALOACID-DEHALOGENASE-RXN	EC-3.8.1.10	EC-3.8.1.2
RXN-8983	EC-2.1.1
RXN-19670	EC-3.7.1
RXN-17368	EC-6.3.4
RXN-11526	EC-1.1.1.M1
RXN-14833	EC-2.1.1.292
GPH-RXN	EC-3.1.3.18
2.6.1.49-RXN	EC-2.6.1.49
1.13.11.9-RXN	EC-1.13.11.9
RXN-17799	EC-2.3.1.16
RXN-8553	EC-4.2.3.71
METHGLYSYN-RXN	EC-4.2.3.3
RXN-20142	EC-4.2.1
3.2.1.75-RXN	EC-3.2.1.75
RXN-14428	EC-4.4.1.36
RXN-20617	EC-2.1.1.355
RXN-11995	EC-2.3.1
RXN-12430	EC-3.1.1.32
UNDECAPRENOL-KINASE-RXN	EC-2.7.1.66
PYRIMSYN3-RXN	EC-2.7.4.7
RXN-9014	EC-2.4.1
RXN-947	EC-1.14.11
RXN-14861	EC-3.1.1
RXN-2946	EC-6.3
2.7.1.150-RXN	EC-2.7.1.150
RXN-15327	EC-2.3.1
RXN-17843	EC-5.1.1.14
RXN-12910	
METHYLMALONYL-COA-EPIM-RXN	EC-5.1.99.1
RXN0-2001	EC-2.4.2.43
3.2.2.21-RXN	EC-3.2.2.21
RXN-18252	EC-2.4.1.65
RXN-20642	EC-1.14.11.66
RXN-15809	EC-4.1.3
RXN-18275	EC-2.4.99.8
3.5.99.5-RXN	EC-3.5.99.5
RXN-12463	EC-2.1.1.226
RXN-18709	EC-2.8.1
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
RXN-10457	EC-6.3.2.z
RXN-9497	EC-1.14.14.117
ALLANTOINASE-RXN	EC-3.5.2.5
RXN-3284	EC-4.2.1.105
RXN-6622	EC-3.4.13.18
RXN-15358	EC-2.4.1.230
RXN-13446	EC-3.1.2
RXN-12941	EC-2.1.1
RXN-11019	EC-2.5.1
RXN0-2625	
RXN0-7343	
RXN-15853	
RXN-7985	
3SC23OSPON-RXN	
RXN-16300	EC-5.3.3.19
RXN-18736	EC-4.2.1.139
RXN-13921	EC-2.1.1
RXN-10604	EC-1.21.99.4
RXN66-512	EC-1.13.11.34
AMINEPHEN-RXN	EC-1.4.3.21
RXN-19154	
RXN-6762	EC-2.3.1.224
RXN-16828	EC-1.14.14
RXN-19179	EC-1.14.99.63
D-LYSOPINE-DEHYDROGENASE-RXN	EC-1.5.1.16
RXN-13475	EC-2.1.1
1.8.4.3-RXN	EC-1.8.4.3
RXN-11050	EC-3.7.1.11
RXN-19620	EC-1.2.1.102
RXN18C3-113	EC-2.3.1
RXN-11461	EC-4.2.2.9
RXN-8023	
GLYCEROL-KIN-RXN	EC-2.7.1.30
RXN-16342	EC-2.1.1
1.1.1.97-RXN	EC-1.1.1.97
RXN-13946	EC-4.3.99.4
RXN-8511	EC-4.2.3.32
RXN66-608	
RXN-20092	EC-1.13.11.88
RXN-16859	EC-1.14.13
RXN-14376	EC-3.5.1.117
DCDPC-RXN	EC-1.3.1.53
RXN-11926	
1TRANSKETO-RXN	EC-2.2.1.1
TRYPTOPHAN-RXN	EC-4.1.99.1
RXN-19646	EC-1.14.19.76
RXN-8962	
RXN-11501	EC-3.2.1.22
RXN-17345	
GLYCPDIESTER-RXN	EC-3.1.4.46
RXN-14817	EC-3.1.3.50
1.12.5.1-RXN	EC-1.12.5.1
2.5.1.69-RXN	EC-2.5.1.69
RXN-8535	EC-1.14.13
RXN-17783	EC-1.3.8.8
RXN-20123	EC-1.14.13.246
MANNPISOM-RXN	EC-5.3.1.8
RXN-14412	EC-1.1.99
3.2.1.55-RXN	EC-3.2.1.55
RXN-11970	EC-1.2.1.86
RXN-20601	
UDP-GLUCURONOSYLTRANSFERASE-RXN	EC-2.4.1.17
RXN-12412	
RXN-9	EC-2.1.3
PUTRESCINE-N-METHYLTRANSFERASE-RXN	EC-2.1.1.53
RXN-17379	EC-2.5.1.135
RXN-9450	
RXN-14844	EC-5.5.1.23
RXN-2602	EC-1.1.1.195	EC-1.1.1.194
2.6.1.65-RXN	EC-2.6.1.65
RXN-15308	EC-1.14.13
RXN-17811	EC-1.14.11.53
RXN-12886	EC-1.14.99.46
METHTRANSBARK-RXN	
RXN0-1342	EC-2.4.99.17
3.2.1.83-RXN	EC-3.2.1.83
RXN-18237	EC-2.4.1.308
RXN-20626	
RXN-15792	
RXN-12444	EC-1.5.1.38
3.5.1.95-RXN	EC-3.5.1.95
PYRUVATE-CARBOXYLASE-RXN	EC-6.4.1.1
RXN-18684	EC-2.4.1.M22
RXN-9481	EC-1.14.14.116
RXN-10441	EC-4.2.3.144
RXN-3102	EC-1.21.3.6
ALDXANAU-RXN	EC-1.2.1.4
RXN-15336	EC-2.3.1
RXN-6524	EC-1.14.20
RXN-12919	EC-2.4.1
RXN-13424	EC-3.1.1
RXN0-2161	EC-6.1.1.11
RXN-11002	EC-1.1.1.co
RXN-18261	EC-2.4.1.152
RXN0-7272	
RXN-15823	
RXN-7965	EC-1.1.99.29
3.6.4.3-RXN	EC-5.6.1.1
RXN-16276	EC-2.3.1.246
RXN-18717	EC-1.14.13
RXN-13905	EC-2.4.1
RXN-10470	EC-1.11.1.8
RXN66-492	
ALPHA-AMINO-ACID-ESTERASE-RXN	EC-3.1.1.43
RXN-19133	EC-1.3.99.39
RXN-668	EC-3.7.1
RXN-16811	EC-1.1.1
RXN-19161	
D-AMINO-ACID-OXIDASE-RXN	EC-1.4.3.3
RXN-13456	
1.6.4.4-RXN	EC-1.8.1.8
RXN-11029	EC-2.4.1.227
RXN-19596	EC-4.4.1.13
RXN0-743	EC-5.4.99.18
RXN-11443	EC-4.4.1.M2
RXN-8006	EC-2.4.1
GLUTRACE-RXN	EC-5.1.1.3
RXN-16309	
1.1.1.283-RXN	EC-1.1.1.283
RXN-13930	EC-2.1.1
RXN-8495	EC-1.13.11.58
RXN66-534	EC-4.2.1.22
RXN-14358	EC-1.1.1
