id	Species	bofTemplateType
1	Bacteroides_dorei_vulgatus	GramNegative
2	Bacteroides_uniformis	GramNegative
3	Faecalibacterium_prausnitzii	GramPositive
4	Parabacteroides_distasonis	GramNegative
5	Eubacterium_rectale	GramPositive
6	Alistipes_putredinis	GramNegative
7	Odoribacter_splanchnicus	GramNegative
8	Ruminococcus_bromii	GramPositive
9	Parabacteroides_merdae	GramNegative
10	Bacteroides_thetaiotaomicron	GramNegative
11	Bacteroides_xylanisolvens	GramNegative
12	Ruminococcus_sp__5_1_39BFAA	GramPositive
13	Bacteroides_ovatus	GramNegative
14	Roseburia_inulinivorans	GramPositive
15	X_Ruminococcus__torques	GramPositive
16	Escherichia_coli	GramNegative
17	Eubacterium_eligens	GramPositive
18	Bilophila_wadsworthia	GramNegative
19	Collinsella_aerofaciens	GramPositive
20	Bacteroides_caccae	GramNegative
21	Alistipes_shahii	GramNegative
22	Alistipes_sp__HGB5	GramNegative
23	Coprococcus_comes	GramPositive
24	Dorea_longicatena	GramPositive
25	Roseburia_intestinalis	GramPositive
26	butyrate_producing_bacterium_SS3_4	GramPositive
27	Ruminococcus_sp__SR1_5	GramPositive
28	butyrate_producing_bacterium	GramPositive
29	Eubacterium_hallii	GramPositive
30	Dorea_formicigenerans	GramPositive
31	Roseburia_hominis	GramPositive
32	X_Ruminococcus__obeum	GramPositive
33	Coprococcus_catus	GramPositive
34	Prevotella_copri	GramNegative
35	Clostridium_bolteae	GramPositive
36	Bacteroides_fragilis	GramNegative
37	Bifidobacterium_longum	GramPositive
38	Bifidobacterium_adolescentis	GramPositive
39	Streptococcus_thermophilus	GramPositive
40	Akkermansia_muciniphila	GramNegative
41	Pseudoflavonifractor_capillosus	GramPositive
42	Holdemania_filiformis	GramPositive
43	Ruminococcaceae_bacterium_D16	GramPositive
44	Streptococcus_salivarius	GramPositive
45	Clostridium_leptum	GramPositive
46	Eubacterium_siraeum	GramPositive
47	Eubacterium_ventriosum	GramPositive
48	Parasutterella_excrementihominis	GramNegative
49	Eggerthella_lenta	GramPositive
50	Streptococcus_parasanguinis	GramPositive
51	Ruminococcus_lactaris	GramPositive
52	Haemophilus_parainfluenzae	GramNegative
53	Bifidobacterium_catenulatum_Bifidobacterium_pseudocatenulatum_complex	GramPositive
54	X_Clostridium__bartlettii	GramPositive
55	Veillonella_parvula	GramNegative
56	Acidaminococcus_fermentans	GramPositive
57	Acidaminococcus_intestini	GramPositive
58	Anaerostipes_caccae	GramPositive
59	Atopobium_rimae	GramPositive
60	Bacteroides_plebeius	GramNegative
61	Blautia_hansenii	GramPositive
62	Brevibacterium_linens	GramPositive
63	Butyrivibrio_crossotus	GramNegative
64	Citrobacter_sp__30_2	GramNegative
65	Citrobacter_youngae	GramNegative
66	Clostridiales_bacterium_1_7_47FAA	GramPositive
67	Clostridium_ramosum	GramPositive
68	Clostridium_scindens	GramPositive
69	Clostridium_sp__HGF2	GramPositive
70	Clostridium_sp__L2_50	GramPositive
71	Clostridium_spiroforme	GramPositive
72	Clostridium_symbiosum	GramPositive
73	Coprobacillus_sp__29_1	GramPositive
74	Coprococcus_eutactus	GramPositive
75	Edwardsiella_ictaluri_tarda	GramNegative
76	Enterococcus_faecalis	GramPositive
77	Escherichia_albertii	GramNegative
78	Eubacterium_dolichum	GramPositive
79	Eubacterium_limosum	GramPositive
80	Fusobacterium_mortiferum	GramNegative
81	Fusobacterium_periodonticum	GramNegative
82	Granulicatella_elegans	GramPositive
83	Haemophilus_haemolyticus	GramNegative
84	Klebsiella_oxytoca	GramNegative
85	Klebsiella_variicola_pneumoniae	GramNegative
86	Lachnospiraceae_bacterium_1_4_56FAA	GramPositive
87	Lachnospiraceae_bacterium_3_1_57FAA_CT1	GramPositive
88	Lactobacillus_fermentum	GramPositive
89	Lactobacillus_gasseri	GramPositive
90	Lactobacillus_johnsonii	GramPositive
91	Lactobacillus_sakei	GramPositive
92	Lactobacillus_salivarius	GramPositive
93	Lactobacillus_ultunensis	GramPositive
94	Lactobacillus_vaginalis	GramPositive
95	Megasphaera_elsdenii	GramPositive
96	Methanobrevibacter_smithii	Archaea
97	Methanosphaera_stadtmanae	GramPositive
98	Mitsuokella_multacida	GramPositive
99	Oribacterium_sinus	GramPositive
100	Prevotella_buccalis	GramNegative
101	Pyramidobacter_piscolens	GramNegative
102	Ruminococcus_champanellensis	GramPositive
103	Streptococcus_anginosus	GramPositive
104	Streptococcus_constellatus	GramPositive
105	Streptococcus_equinus	GramPositive
106	Streptococcus_gallolyticus	GramPositive
107	Streptococcus_gordonii	GramPositive
108	Streptococcus_mutans	GramPositive
109	Streptococcus_sp__C150	GramPositive
110	Streptococcus_sp__M143	GramPositive
111	Streptococcus_sp__oral_taxon_071	GramPositive
112	Streptococcus_vestibularis	GramPositive
113	Turicibacter_sanguinis	GramNegative
114	Veillonella_sp__oral_taxon_158	GramNegative
115	X_Bacteroides__pectinophilus	GramNegative
116	X_Ruminococcus__gnavus	GramPositive
117	unclassified_Lachnospiraceae	GramPositive
