  	Constituents                      	Link                                     	Concentration_dGMM+LAB only Mucin	Role_dGMM+LAB only Mucin
0
1 	K+                                	/compound?orgid=META&id=K%2b             	175.08 mM
2 	dihydrogen phosphate              	/compound?orgid=META&id=CPD-16459        	100.0 mM
3 	phosphate                         	/compound?orgid=META&id=Pi               	37.2 mM
4 	Na+                               	/compound?orgid=META&id=NA%2b            	18.701 mM
5 	chloride                          	/compound?orgid=META&id=CL-              	15.177 mM
6 	ammonium                          	/compound?orgid=META&id=AMMONIUM         	15.101 mM
7 	N-tris(hydroxymethyl)methylglycine	/compound?orgid=META&id=CPD0-2399        	8.37 mM
8 	L-leucine                         	/compound?orgid=META&id=LEU              	7.6 mM
9 	citrate                           	/compound?orgid=META&id=CIT              	7.55 mM
10	L-proline                         	/compound?orgid=META&id=PRO              	6.1 mM
11	L-valine                          	/compound?orgid=META&id=VAL              	6 mM
12	hydrogencarbonate                 	/compound?orgid=META&id=HCO3             	4.8 mM
13	L-serine                          	/compound?orgid=META&id=SER              	4.8 mM
14	L-alanine                         	/compound?orgid=META&id=L-ALPHA-ALANINE  	4.5 mM
15	L-threonine                       	/compound?orgid=META&id=THR              	4.2 mM
16	L-arginine                        	/compound?orgid=META&id=ARG              	4.11 mM
17	L-glutamine                       	/compound?orgid=META&id=GLN              	4.1 mM
18	L-glutamate                       	/compound?orgid=META&id=GLT              	4.1 mM
19	L-cysteine                        	/compound?orgid=META&id=CYS              	4.1 mM
20	glycine                           	/compound?orgid=META&id=GLY              	4 mM
21	L-asparagine                      	/compound?orgid=META&id=ASN              	3.8 mM
22	L-lysine                          	/compound?orgid=META&id=LYS              	3.4 mM
23	L-ascorbate                       	/compound?orgid=META&id=ASCORBATE        	2.9 mM
24	L-phenylalanine                   	/compound?orgid=META&id=PHE              	2.4 mM
25	L-isoleucine                      	/compound?orgid=META&id=ILE              	1.83 mM
26	L-tyrosine                        	/compound?orgid=META&id=TYR              	1.7 mM
27	L-histidine                       	/compound?orgid=META&id=HIS              	1.102 mM
28	L-tryptophan                      	/compound?orgid=META&id=TRP              	980.0 µM
29	L-methionine                      	/compound?orgid=META&id=MET              	837.8 µM
30	L-aspartate                       	/compound?orgid=META&id=L-ASPARTATE      	380 µM
31	Ca2+                              	/compound?orgid=META&id=CA%2b2           	274.62 µM
32	uracil                            	/compound?orgid=META&id=URACIL           	205.0 µM
33	sulfate                           	/compound?orgid=META&id=SULFATE          	155.53 µM
34	Mg2+                              	/compound?orgid=META&id=MG%2b2           	124.05 µM
35	adenine                           	/compound?orgid=META&id=ADENINE          	81.4 µM
36	HCl                               	/compound?orgid=META&id=HCL              	67.16 µM
37	glutathione                       	/compound?orgid=META&id=GLUTATHIONE      	49 µM
38	EDTA                              	/compound?orgid=META&id=EDTA             	42.518 µM
39	nitrilotriacetate                 	/compound?orgid=META&id=CPD-10188        	38.49 µM
40	guanine                           	/compound?orgid=META&id=GUANINE          	37.1 µM
