  	Constituents                      	Link                                          	Concentration_LAB	Role_LAB
0
1 	K+                                	/compound?orgid=META&id=K%2b                  	97.201 mM
2 	D-glucose                         	/META/NEW-IMAGE?type=COMPOUND&object=D-Glucose	83.3 mM
3 	chloride                          	/compound?orgid=META&id=CL-                   	51.607 mM
4 	Na+                               	/compound?orgid=META&id=NA%2b                 	51 mM
5 	phosphate                         	/compound?orgid=META&id=Pi                    	37.2 mM
6 	dihydrogen phosphate              	/compound?orgid=META&id=CPD-16459             	22.8 mM
7 	ammonium                          	/compound?orgid=META&id=AMMONIUM              	15.101 mM
8 	N-tris(hydroxymethyl)methylglycine	/compound?orgid=META&id=CPD0-2399             	8.37 mM
9 	L-leucine                         	/compound?orgid=META&id=LEU                   	7.6 mM
10	citrate                           	/compound?orgid=META&id=CIT                   	7.55 mM
11	L-proline                         	/compound?orgid=META&id=PRO                   	6.1 mM
12	L-valine                          	/compound?orgid=META&id=VAL                   	6 mM
13	L-serine                          	/compound?orgid=META&id=SER                   	4.8 mM
14	L-alanine                         	/compound?orgid=META&id=L-ALPHA-ALANINE       	4.5 mM
15	L-threonine                       	/compound?orgid=META&id=THR                   	4.2 mM
16	L-arginine                        	/compound?orgid=META&id=ARG                   	4.11 mM
17	L-glutamine                       	/compound?orgid=META&id=GLN                   	4.1 mM
18	L-glutamate                       	/compound?orgid=META&id=GLT                   	4.1 mM
19	glycine                           	/compound?orgid=META&id=GLY                   	4 mM
20	L-asparagine                      	/compound?orgid=META&id=ASN                   	3.8 mM
21	L-lysine                          	/compound?orgid=META&id=LYS                   	3.4 mM
22	L-ascorbate                       	/compound?orgid=META&id=ASCORBATE             	2.9 mM
23	L-phenylalanine                   	/compound?orgid=META&id=PHE                   	2.4 mM
24	L-isoleucine                      	/compound?orgid=META&id=ILE                   	1.83 mM
25	L-tyrosine                        	/compound?orgid=META&id=TYR                   	1.7 mM
26	L-cysteine                        	/compound?orgid=META&id=CYS                   	1.7 mM
27	L-histidine                       	/compound?orgid=META&id=HIS                   	1.1 mM
28	L-tryptophan                      	/compound?orgid=META&id=TRP                   	980.0 µM
29	L-methionine                      	/compound?orgid=META&id=MET                   	837.8 µM
30	L-aspartate                       	/compound?orgid=META&id=L-ASPARTATE           	380 µM
31	Ca2+                              	/compound?orgid=META&id=CA%2b2                	274.62 µM
32	uracil                            	/compound?orgid=META&id=URACIL                	205.0 µM
33	adenine                           	/compound?orgid=META&id=ADENINE               	81.4 µM
34	HCl                               	/compound?orgid=META&id=HCL                   	67.16 µM
35	glutathione                       	/compound?orgid=META&id=GLUTATHIONE           	49 µM
36	nitrilotriacetate                 	/compound?orgid=META&id=CPD-10188             	38.49 µM
37	guanine                           	/compound?orgid=META&id=GUANINE               	37.1 µM
38	sulfate                           	/compound?orgid=META&id=SULFATE               	32.403 µM
39	EDTA                              	/compound?orgid=META&id=EDTA                  	25.29 µM
40	xanthine                          	/compound?orgid=META&id=XANTHINE              	25 µM
41	biotin                            	/compound?orgid=META&id=BIOTIN                	25 µM
42	pyridoxine                        	/compound?orgid=META&id=PYRIDOXINE            	23.3 µM
43	pyridoxamine                      	/compound?orgid=META&id=PYRIDOXAMINE          	21.0 µM
44	Fe3+                              	/compound?orgid=META&id=FE%2b3                	18 µM
45	Zn2+                              	/compound?orgid=META&id=ZN%2b2                	17 µM
46	Fe2+                              	/compound?orgid=META&id=FE%2b2                	14.0 µM
47	borate                            	/compound?orgid=META&id=BORATE                	12.1 µM
48	myo-inositol                      	/compound?orgid=META&id=MYO-INOSITOL          	11 µM
49	nicotinate                        	/compound?orgid=META&id=NIACINE               	7.3708 µM
50	(R)-pantothenate                  	/compound?orgid=META&id=PANTOTHENATE          	5.04 µM
51	(R)-lipoate                       	/compound?orgid=META&id=LIPOIC-ACID           	4.9 µM
52	Mg2+                              	/compound?orgid=META&id=MG%2b2                	4.0542 µM
53	riboflavin                        	/compound?orgid=META&id=RIBOFLAVIN            	2.3977 µM
54	thiamine                          	/compound?orgid=META&id=THIAMINE              	1.86 µM
55	folate                            	/compound?orgid=META&id=CPD-12826             	1.27 µM
56	Co2+                              	/compound?orgid=META&id=CO%2b2                	938.4 nM
57	Cu2+                              	/compound?orgid=META&id=CU%2b2                	751.86 nM
58	iodide                            	/compound?orgid=META&id=CPD-387               	663 nM
59	Mn2+                              	/compound?orgid=META&id=MN%2b2                	651 nM
60	4-aminobenzoate                   	/compound?orgid=META&id=P-AMINO-BENZOATE      	411 nM
61	heptamolybdate                    	/compound?orgid=META&id=CPD0-2517             	153.74 nM
62	potassium acetate                 	/compound?orgid=META&id=CPD-22893
