	id	exchange_rxns_iML1515	transport_rxns_iML1515	exchange_rxns_iYO844	transport_rxns_iYO844	exchange_rxns_iAF692	transport_rxns_iAF692	exchange_rxns	transport_rxns
0	Pi	TRANS-RXN0-470		TRANS-RXN0-470		TRANS-RXN0-470		TRANS-RXN0-470	
1	CARBON-DIOXIDE	TRANS-RXN0-545		EX_co2_e	TRANS-RXN0-545	EX_co2_e	TRANS-RXN0-545	EX_co2_e	TRANS-RXN0-545
2	MET	EX_met__L_e		EX_met__L_e	RXN0-4522; RXN0-7050			EX_met__L_e	RXN0-4522; RXN0-7050
3	L-Methionine-sulfoxides	EX_metsox_S__L_e		EX_metox_e	TRANS-RXN0-511			EX_metsox_S__L_e	TRANS-RXN0-511
4	N-acetyl-D-glucosamine	EX_acgam_e		EX_acgam_e				EX_acgam_e	
5	CELLOBIOSE	EX_cellb_e		EX_cellb_e				EX_cellb_e	
6	CARNITINE	EX_crn_e		EX_crn_e	CRNabc			EX_crn_e	CRNabc
7	HYPOXANTHINE	EX_hxan_e		EX_hxan_e	HXANt2r			EX_hxan_e	HXANt2r
8	ILE	EX_ile__L_e		EX_ile__L_e	ILEt2r	EX_ile__L_e	ILEt2r	EX_ile__L_e	ILEt2r
9	CHOLINE	TRANS-RXN-319		TRANS-RXN-319	CHLabc			TRANS-RXN-319	CHLabc
10	FE+3	EX_fe3_e		EX_fe3_e	FEDCabc; FE3t	EX_fe3_e	FEDCabc; 3.6.3.30-RXN	EX_fe3_e	FEDCabc; FE3t
11	L-LACTATE	EX_lac__L_e		EX_lac__L_e	MALt10; TRANS-RXN-104			EX_lac__L_e	MALt10; TRANS-RXN-104
12	LEU	RXN66-447		RXN66-447	RXN-14649	RXN66-447	RXN-14649	RXN66-447	RXN-14649
13	GLUCONATE	EX_glcn_e		EX_glcn__D_e	TRANS-RXN0-209	EX_glcn_e	TRANS-RXN0-209	EX_glcn_e	TRANS-RXN0-209
14	no3	EX_no3_e		EX_no3_e	NO3t2			EX_no3_e	NO3t2
15	PROTON	RXN-14452		RXN-14452		RXN-14452		RXN-14452	
16	L-ORNITHINE	EX_orn_e		TRANS-RXN-230	ORNt2			EX_orn_e	ORNt2
17	GLN	TRANS-RXN-233		TRANS-RXN-233	ABC-12-RXN			TRANS-RXN-233	ABC-12-RXN
18	PRO	EX_pro__L_e		EX_pro__L_e	TRANS-RXN-29	EX_pro__L_e	ABC-26-RXN; TRANS-RXN-29	EX_pro__L_e	TRANS-RXN-29
19	GLYCEROL	TRANS-RXN-131		TRANS-RXN-131	GLYCt	TRANS-RXN-131	GLYCt	TRANS-RXN-131	GLYCt
20	D-mannopyranose	EX_man_e		EX_man_e	MANt2			EX_man_e	MANt2
21	ade	TRANS-RXN0-577		TRANS-RXN0-577	ADEt2			TRANS-RXN0-577	ADEt2
22	MN+2	EX_mn2_e		EX_mn2_e	CITt11; 3.6.3.35-RXN; TRANS-RXN-241	EX_mn2_e	3.6.3.35-RXN	EX_mn2_e	CITt11; 3.6.3.35-RXN; TRANS-RXN-241
23	4-AMINO-BUTYRATE	EX_4abut_e		EX_4abut_e	TRANS-RXN-57			EX_4abut_e	TRANS-RXN-57
24	ACET	EX_ac_e		EX_ac_e	TRANS-RXN0-571	EX_ac_e	TRANS-RXN0-571	EX_ac_e	TRANS-RXN0-571
25	2-KETOGLUTARATE	EX_akg_e		EX_akg_e	TRANS-RXN-23			EX_akg_e	TRANS-RXN-23
26	L-ALPHA-ALANINE	EX_ala__L_e		EX_ala__L_e	RXN0-5202	EX_ala__L_e	TRANS-RXN-125	EX_ala__L_e	RXN0-5202
27	ARG	RXN66-448		RXN66-448	ABC-4-RXN; ARGt2r			RXN66-448	ABC-4-RXN; ARGt2r
28	L-ASPARTATE	TRANS-RXN0-554		TRANS-RXN0-554	ASPt2r			TRANS-RXN0-554	ASPt2r
29	PYRUVATE	EX_pyr_e		EX_pyr_e	TRANS-RXN-335	EX_pyr_e	TRANS-RXN-335	EX_pyr_e	TRANS-RXN-335
30	SUC	TRANS-RXN0-552		TRANS-RXN0-552	SUCCt2r			TRANS-RXN0-552	SUCCt2r
31	THYMIDINE	EX_thymd_e		EX_thymd_e	TRANS-RXN-108H			EX_thymd_e	TRANS-RXN-108H
32	rib__D	EX_rib__D_e		EX_rib__D_e	RIBabc1; ABC-28-RXN			EX_rib__D_e	RIBabc1; ABC-28-RXN
33	TYR	RXN66-446		RXN66-446	TRANS-RXN-77			RXN66-446	TRANS-RXN-77
34	CYTIDINE	EX_cytd_e		EX_cytd_e	TRANS-RXN-108B			EX_cytd_e	TRANS-RXN-108B
35	DEOXYCYTIDINE	EX_dcyt_e		EX_dcyt_e	TRANS-RXN-108D			EX_dcyt_e	TRANS-RXN-108D
36	FUM	TRANS-RXN0-553		TRANS-RXN0-553	FUMt2r			TRANS-RXN0-553	FUMt2r
37	SORBITOL	EX_sbt__D_e		EX_sbt__D_e	SBTt2			EX_sbt__D_e	SBTt2
38	GLT	EX_glu__L_e		EX_glu__L_e	GLUt4; GLUt2r	EX_glu__L_e	GLUt2r	EX_glu__L_e	GLUt4; GLUt2r
39	GUANINE	TRANS-RXN0-578		TRANS-RXN0-578	GUAt2r			TRANS-RXN0-578	GUAt2r
40	BIOTIN	EX_btn_e				TRANS-RXN0-240	BTNt2i	EX_btn_e	
41	PUTRESCINE	EX_ptrc_e						EX_ptrc_e	
42	SPERMIDINE	EX_spmd_e		EX_spmd_e	TRANS-RXN0-266			EX_spmd_e	TRANS-RXN0-266
43	THYMINE	TRANS-RXN0-524		TRANS-RXN0-524	TRANS-RXN-362			TRANS-RXN0-524	TRANS-RXN-362
44	XANTHOSINE	EX_xtsn_e		EX_xtsn_e	TRANS-RXN-31			EX_xtsn_e	TRANS-RXN-31
45	FE+2	TRANS-RXN-8		TRANS-RXN-8	FE2abc	TRANS-RXN-8	FE2abc	TRANS-RXN-8	FE2abc
46	Glucopyranose	TRANS-RXN0-574		TRANS-RXN0-574	RXN0-7077			TRANS-RXN0-574	RXN0-7077
47	ALLANTOIN	TRANS-RXN0-557		TRANS-RXN0-557	ALLTNt2r			TRANS-RXN0-557	ALLTNt2r
48	URACIL	TRANS-RXN0-560		TRANS-RXN0-560	TRANS-RXN-132			TRANS-RXN0-560	TRANS-RXN-132
49	VAL	TRANS-RXN0-269		TRANS-RXN0-269	VALt2r	TRANS-RXN0-269	VALt2r	TRANS-RXN0-269	VALt2r
50	XANTHINE	TRANS-RXN0-561		TRANS-RXN0-561	XANt2			TRANS-RXN0-561	XANt2
51	DEOXYGUANOSINE	EX_dgsn_e						EX_dgsn_e	
52	arab__L	EX_arab__L_e		EX_arab__L_e	ABC-2-RXN; TRANS-RXN-10			EX_arab__L_e	ABC-2-RXN; TRANS-RXN-10
53	fru	EX_fru_e		EX_fru_e				EX_fru_e	
