  	Substances                       	Link                                          	Concentration_C.perfiringens MM	Role_C.perfiringens MM
0
1 	D-glucose                        	/META/NEW-IMAGE?type=COMPOUND&object=D-Glucose	10 g/l                         	 
2 	disodium hydrogenphosphate       	/compound?orgid=META&id=CPD0-2412             	2.85 g/l                       	 
3 	L-arginine                       	/compound?orgid=META&id=ARG                   	2.5 g/l                        	 
4 	sodium thioglycolate             	/compound?orgid=META&id=CPD-22914             	1 g/l                          	 
5 	L-glutamate                      	/compound?orgid=META&id=GLT                   	1 g/l                          	 
6 	L-aspartate                      	/compound?orgid=META&id=L-ASPARTATE           	1 g/l                          	 
7 	potassium dihydrogen phosphate   	/compound?orgid=META&id=CPD0-1421             	0.7 g/l                        	 
8 	L-lysine                         	/compound?orgid=META&id=LYS                   	0.5 g/l                        	 
9 	L-isoleucine                     	/compound?orgid=META&id=ILE                   	0.5 g/l                        	 
10	L-threonine                      	/compound?orgid=META&id=THR                   	0.5 g/l                        	 
11	L-leucine                        	/compound?orgid=META&id=LEU                   	0.5 g/l                        	 
12	glycine                          	/compound?orgid=META&id=GLY                   	0.5 g/l                        	 
13	L-histidine                      	/compound?orgid=META&id=HIS                   	0.5 g/l                        	 
14	L-cysteine                       	/compound?orgid=META&id=CYS                   	0.4 g/l                        	 
15	L-serine                         	/compound?orgid=META&id=SER                   	0.375 g/l                      	 
16	L-valine                         	/compound?orgid=META&id=VAL                   	0.375 g/l                      	 
17	L-methionine                     	/compound?orgid=META&id=MET                   	0.35 g/l                       	 
18	L-tryptophan                     	/compound?orgid=META&id=TRP                   	0.25 g/l                       	 
19	L-alanine                        	/compound?orgid=META&id=L-ALPHA-ALANINE       	0.25 g/l                       	 
20	L-phenylalanine                  	/compound?orgid=META&id=PHE                   	0.25 g/l                       	 
21	L-proline                        	/compound?orgid=META&id=PRO                   	0.25 g/l                       	 
22	L-tyrosine                       	/compound?orgid=META&id=TYR                   	0.25 g/l                       	 
23	L-ascorbate                      	/compound?orgid=META&id=ASCORBATE             	0.25 g/l                       	 
24	magnesium sulfate heptahydrate   	/compound?orgid=META&id=CPD0-2387             	0.1 g/l                        	 
25	zinc sulfate heptahydrate        	/compound?orgid=META&id=CPD0-2420             	50 mg/l                        	 
26	iron(II) sulfate heptahydrate    	/compound?orgid=META&id=CPD0-2418             	50 mg/l                        	 
27	manganese(II) sulfate monohydrate	/compound?orgid=META&id=CPD-22902             	37.8 mg/l                      	 
28	adenine                          	/compound?orgid=META&id=ADENINE               	17.4 mg/l                      	 
29	uracil                           	/compound?orgid=META&id=URACIL                	10 mg/l                        	 
30	thiamine HCl                     	/compound?orgid=META&id=CPD-22876             	1 mg/l                         	 
31	calcium pantothenate             	/compound?orgid=META&id=CPD0-2443             	1 mg/l                         	 
32	nicotinate                       	/compound?orgid=META&id=NIACINE               	1 mg/l                         	 
33	pyridoxamine dihydrochloride     	/compound?orgid=META&id=CPD-22901             	0.77 mg/l                      	 
34	biotin                           	/compound?orgid=META&id=BIOTIN                	5 µg/l                         	 
