gnl|META|MONOMER-11763	WP_012863833.1	4.0e-38	33.8	266	151.8	55.3	83.1
gnl|META|MONOMER-11763	WP_012864625.1	2.6e-37	34.0	259	149.1	53.7	81.5
gnl|META|MONOMER-11760	WP_012863810.1	8.6e-20	31.2	205	91.7	49.3	35.0
gnl|META|MONOMER-11760	WP_012863810.1	1.0e-04	22.4	152	41.6	44.1	27.2
gnl|META|MONOMER-11759	WP_012863810.1	1.1e-21	19.2	531	97.8	40.3	91.3
gnl|META|MONOMER-11733	WP_004697057.1	6.4e-01	25.0	104	28.5	40.4	26.3
gnl|META|MONOMER-11712	WP_012865040.1	2.3e-05	24.9	193	43.9	43.0	31.1
gnl|META|MONOMER-11708	WP_012864616.1	9.3e-36	47.8	134	142.9	65.7	85.4
gnl|META|MONOMER-11706	WP_012863860.1	5.9e-32	30.0	330	131.3	48.8	99.4
gnl|META|MONOMER-11705	WP_012864616.1	1.7e-71	37.5	408	263.1	53.4	95.5
gnl|META|MONOMER-11700	WP_012863778.1	3.7e-52	38.8	299	198.4	56.5	95.2
gnl|META|MONOMER-11699	WP_012863938.1	2.1e-09	26.4	159	56.6	42.8	39.7
gnl|META|MONOMER-11697	WP_012863938.1	9.4e-26	32.4	259	110.5	47.5	84.1
gnl|META|MONOMER-11697	WP_012864749.1	4.7e-25	28.5	253	108.2	48.2	85.2
gnl|META|MONOMER-11695	WP_012863938.1	5.6e-12	26.0	227	65.1	42.7	62.0
gnl|META|MONOMER-11691	WP_012863977.1	3.1e-19	28.3	286	89.0	47.2	90.2
gnl|META|MONOMER-11690	WP_012864162.1	1.7e-01	55.6	27	30.8	66.7	5.1
gnl|META|MONOMER-11687	WP_012864015.1	7.6e-41	26.6	443	161.4	45.1	90.6
gnl|META|MONOMER-11686	WP_012864074.1	6.9e-01	28.8	59	28.5	52.5	13.9
gnl|META|MONOMER-11684	WP_012864277.1	2.5e-19	24.8	323	89.4	44.6	97.2
gnl|META|MONOMER-11666	WP_012864361.1	6.5e-56	42.2	296	211.1	59.1	78.9
gnl|META|MONOMER-11664	WP_004698681.1	8.2e-01	31.6	38	27.7	57.9	12.9
gnl|META|MONOMER-11663	WP_004696787.1	1.7e-38	27.3	484	153.7	43.6	96.4
gnl|META|MONOMER-11643	WP_012863721.1	7.0e-02	44.1	34	31.6	64.7	9.0
gnl|META|MONOMER-11641	WP_012863721.1	4.5e-01	41.2	34	28.9	61.8	9.1
gnl|META|MONOMER-11639	WP_012864570.1	5.3e-01	29.5	61	28.5	50.8	18.0
gnl|META|MONOMER-11637	WP_012863933.1	8.1e-01	31.8	44	28.1	52.3	11.5
gnl|META|MONOMER-11637	WP_012864259.1	8.1e-01	24.0	100	28.1	47.0	21.2
gnl|META|MONOMER-11615	WP_004695689.1	3.3e-01	25.0	48	28.9	50.0	18.0
gnl|META|MONOMER-11615	WP_004693202.1	4.3e-01	30.0	50	28.5	50.0	17.6
gnl|META|MONOMER-1161	WP_012864799.1	1.4e-102	43.1	418	366.3	64.1	98.6
gnl|META|MONOMER-11604	WP_012864037.1	1.3e-31	28.4	299	130.2	49.2	89.8
gnl|META|MONOMER-116	WP_012864518.1	4.2e-62	35.9	393	231.9	52.9	89.2
gnl|META|MONOMER-11587	WP_012864461.1	3.4e-01	35.2	54	29.3	55.6	14.6
gnl|META|MONOMER-11560	WP_004696787.1	1.4e-93	40.5	477	336.7	57.9	95.4
gnl|META|MONOMER-11551	WP_012864923.1	1.2e-01	29.9	107	30.8	43.0	27.8
gnl|META|MONOMER-11550	WP_004698293.1	2.8e-05	39.3	56	43.1	57.1	12.9
gnl|META|MONOMER-11549	WP_012863868.1	6.0e-01	42.9	35	28.5	65.7	9.2
gnl|META|MONOMER-11548	WP_004698293.1	6.1e-04	34.6	52	38.9	51.9	10.3
gnl|META|MONOMER-11548	WP_012863684.1	1.8e-03	33.3	66	37.4	57.6	11.7
gnl|META|MONOMER-11537	WP_008603034.1	6.4e-47	31.0	422	181.4	50.7	93.2
gnl|META|MONOMER-11536	WP_008715652.1	1.9e-07	29.0	107	48.5	47.7	67.5
gnl|META|MONOMER-11526	WP_012864647.1	1.2e-74	37.5	389	273.5	58.1	95.6
gnl|META|MONOMER-11506	WP_004695146.1	8.4e-01	42.3	26	28.1	61.5	6.6
gnl|META|MONOMER-115	WP_004696261.1	1.9e-36	43.1	202	145.6	59.9	95.7
gnl|META|MONOMER-114	WP_012864530.1	1.1e-16	35.0	140	80.9	50.7	33.7
gnl|META|MONOMER-11384	WP_012863700.1	8.8e-10	23.2	263	57.8	40.7	68.8
gnl|META|MONOMER-11352	WP_012863980.1	1.3e-21	30.0	260	96.7	45.8	91.3
gnl|META|MONOMER-113	WP_008714166.1	1.4e-15	29.4	255	76.6	44.3	89.7
