WP_002596328.1	gnl|META|G6109-MONOMER	4.6e-12	49.1	53	66.6	67.9	55.2
WP_002605746.1	gnl|META|G7458-MONOMER	1.5e-13	26.4	231	72.8	42.4	80.3
WP_002605746.1	gnl|META|NACMURLALAAMI2-MONOMER	9.8e-13	22.8	254	70.1	40.9	86.9
WP_002605746.1	gnl|META|NACMURLALAAMI1-MONOMER	1.4e-11	23.4	231	66.2	39.8	80.3
WP_002605754.1	gnl|META|CPXR-MONOMER	1.9e-32	35.1	225	135.6	57.8	96.5
WP_002605764.1	gnl|META|EG11056-MONOMER	5.2e-12	27.1	258	68.6	42.2	59.1
WP_002605766.1	gnl|META|MONOMER-461	8.1e-07	21.7	166	50.1	42.2	94.3
WP_002605767.1	gnl|META|MONOMER-4503	3.2e-114	55.9	363	407.9	73.0	99.2
WP_002605767.1	gnl|META|GLYCDEH-MONOMER	8.7e-112	54.8	365	399.8	70.1	99.7
WP_002605773.1	gnl|META|G12WB-2962-MONOMER	1.5e-67	37.1	396	253.1	52.3	95.8
WP_002605773.1	gnl|META|EG10996-MONOMER	2.7e-61	36.1	380	232.3	51.8	91.9
WP_002605777.1	gnl|META|EG10908-MONOMER	2.2e-36	60.8	125	147.9	75.2	93.3
WP_002605778.1	gnl|META|EG10874-MONOMER	4.3e-38	54.6	141	153.7	66.7	97.2
WP_002605789.1	gnl|META|HS04546-MONOMER	9.5e-01	52.6	19	29.3	73.7	16.8
WP_002605795.1	gnl|META|MACB	1.3e-44	39.6	222	176.0	66.7	92.7
WP_002605795.1	gnl|META|ABC-MONOMER	3.3e-40	40.1	232	161.4	62.1	94.9
WP_002605809.1	gnl|META|MONOMER-11904	1.1e-37	33.9	283	153.3	54.1	97.2
WP_002605815.1	gnl|META|MONOMER-15476	1.8e-49	32.3	365	193.0	55.1	84.9
WP_002605815.1	gnl|META|G1G01-5627-MONOMER	2.6e-48	33.4	380	189.1	54.2	89.4
WP_002605817.1	gnl|META|MONOMER-18128	6.1e-24	31.1	244	107.5	54.5	94.9
WP_002605817.1	gnl|META|STM14_RS23775-MONOMER	1.4e-23	30.4	240	106.3	55.4	93.3
WP_002605820.1	gnl|META|MANX-MONOMER	3.6e-13	28.1	128	70.9	52.3	88.3
WP_002605841.1	gnl|META|MONOMER-282	2.7e-40	41.7	187	161.4	60.4	95.3
WP_002605841.1	gnl|META|PABASYN-COMPII-MONOMER	1.5e-38	43.5	186	155.6	60.8	95.8
WP_002605841.1	gnl|META|MONOMER-3604	9.7e-38	41.7	192	152.9	59.9	96.9
WP_002605846.1	gnl|META|MONOMER-10161	1.1e-47	36.6	262	186.4	59.2	97.7
WP_002605846.1	gnl|META|MONOMER-10162	6.6e-45	37.5	253	177.2	58.9	95.1
WP_002605894.1	gnl|META|MONOMER-19347	7.4e-03	41.3	46	37.0	60.9	25.1
WP_002605972.1	gnl|META|MONOMER-13054	7.7e-160	64.3	431	559.7	79.8	99.3
WP_002605972.1	gnl|META|MONOMER-13099	5.5e-158	63.7	432	553.5	79.2	99.8
WP_002605972.1	gnl|META|ENOLASE-MONOMER	7.7e-144	61.6	427	506.5	75.6	97.9
WP_002605977.1	gnl|META|EG10891-MONOMER	4.4e-03	40.4	47	35.8	59.6	95.9
WP_002605979.1	gnl|META|G7845-MONOMER	3.5e-37	35.1	242	151.4	58.3	98.8
WP_002605985.1	gnl|META|EG10158-MONOMER	2.2e-50	52.1	190	194.9	74.2	100.0
WP_002605985.1	gnl|META|SYNPCC7942_2525-MONOMER	1.6e-48	52.9	187	188.7	71.7	98.4
WP_002605985.1	gnl|META|SYNPCC7942_1554-MONOMER	1.1e-46	50.8	187	182.6	70.1	98.4
WP_002605985.1	gnl|META|SYNPCC7942_2537-MONOMER	7.3e-46	53.7	190	179.9	71.6	98.4
WP_002605986.1	gnl|META|HS01875-MONOMER	3.5e-17	33.6	140	84.3	57.1	84.5
WP_002605988.1	gnl|META|MANY-MONOMER	3.1e-21	28.5	270	98.6	52.6	96.7
WP_002605994.1	gnl|META|MONOMER-18277	5.0e-40	49.0	153	160.2	70.6	96.2
WP_002605998.1	gnl|META|MONOMER-18274	6.3e-18	41.5	106	86.7	67.0	73.9
WP_002605998.1	gnl|META|MANX-MONOMER	1.3e-15	32.1	137	79.0	52.6	96.5
WP_002605999.1	gnl|META|MONOMER-18272	1.3e-76	40.5	378	283.1	61.4	95.7
WP_002605999.1	gnl|META|MONOMER-17512	4.8e-76	41.0	378	281.2	62.4	95.7
WP_002606011.1	gnl|META|PD00219	1.4e-39	30.4	332	159.8	53.0	98.2
WP_002606014.1	gnl|META|MONOMER-543	5.4e-59	40.3	293	224.2	60.4	95.1
WP_002606023.1	gnl|META|MONOMER-2229	2.6e-48	25.1	713	189.9	40.0	80.6
WP_002606036.1	gnl|META|MONOMER-19989	6.0e-65	47.5	261	243.8	70.5	91.0
WP_002606036.1	gnl|META|BSU35700-MONOMER	6.9e-61	46.3	246	230.3	69.5	86.0
WP_002606036.1	gnl|META|MONOMER-20000	6.9e-61	46.3	246	230.3	69.5	86.0
WP_002606042.1	gnl|META|MONOMER-17188	5.0e-69	42.9	329	257.7	62.0	95.9
WP_002606045.1	gnl|META|PTSH-MONOMER	6.2e-08	33.3	81	52.8	55.6	92.0
WP_002606053.1	gnl|META|EG11062-MONOMER	7.8e-212	55.8	665	733.0	73.5	99.4
WP_002606054.1	gnl|META|EG10760-MONOMER	4.4e-26	30.1	309	115.5	46.6	57.0
WP_002606064.1	gnl|META|MONOMER-15925	4.7e-22	30.0	350	101.7	42.3	89.7
WP_002606064.1	gnl|META|MONOMER-1341	7.9e-22	28.7	331	100.9	44.7	89.7
WP_002606102.1	gnl|META|BSU38860-MONOMER	5.3e-124	62.8	328	440.3	77.7	97.6
WP_002606171.1	gnl|META|MONOMER-20080	7.4e-23	35.6	219	104.0	52.5	78.9
WP_002606174.1	gnl|META|MONOMER-17321	1.2e-62	60.3	199	235.7	75.9	100.0
WP_002606191.1	gnl|META|MONOMER-18128	5.7e-38	35.8	240	154.1	55.8	95.2
WP_002606192.1	gnl|META|MONOMER-18127	1.1e-34	43.1	160	142.5	63.8	97.0
WP_002606200.1	gnl|META|MONOMER-18120	6.5e-07	52.6	38	50.4	73.7	20.5
WP_002606201.1	gnl|META|LYSS-MONOMER	7.8e-01	29.0	69	30.4	50.7	33.0
WP_002606210.1	gnl|META|MONOMER-18128	1.5e-20	31.9	238	96.3	53.4	86.4
WP_002606219.1	gnl|META|EG12354-MONOMER	1.3e-03	29.8	84	40.4	45.2	16.8
WP_002606228.1	gnl|META|RIBULP3EPIM-MONOMER	4.4e-16	25.0	216	81.3	44.9	90.3
WP_002606231.1	gnl|META|RPOE-MONOMER	2.5e-05	35.2	71	45.8	56.3	25.0
WP_002606234.1	gnl|META|PD00219	3.4e-30	28.1	317	128.6	52.4	94.5
WP_002606315.1	gnl|META|MONOMER-18128	6.4e-53	43.0	242	203.8	65.3	93.8
WP_002606317.1	gnl|META|MONOMER-18127	9.1e-29	41.2	160	122.9	60.0	97.6
WP_002606318.1	gnl|META|MANX-MONOMER	2.1e-10	28.6	126	61.6	54.8	87.8
WP_002606333.1	gnl|META|HYPOXANPRIBOSYLTRAN-MONOMER	1.1e-38	44.6	166	156.0	69.3	92.2
WP_002606344.1	gnl|META|EG12130-MONOMER	1.2e-08	24.7	231	57.0	45.0	67.7
WP_002606352.1	gnl|META|MONOMER-15335	4.6e-22	38.5	143	100.5	55.2	91.7
WP_002606352.1	gnl|META|MONOMER-15328	6.0e-22	36.0	150	100.1	55.3	96.2
WP_002606355.1	gnl|META|MONOMER-17592	5.0e-13	31.3	131	70.5	52.7	82.2
WP_002606363.1	gnl|META|STM14_RS23780-MONOMER	1.3e-32	30.6	265	136.3	55.8	97.4
WP_002606363.1	gnl|META|MANZ-MONOMER	2.1e-30	30.1	272	129.0	52.6	97.7
WP_002606364.1	gnl|META|STM14_RS23775-MONOMER	3.3e-25	32.0	259	111.7	50.6	98.5
WP_002606365.1	gnl|META|MANX-MONOMER	9.2e-18	30.1	153	86.3	52.3	96.2
WP_002606376.1	gnl|META|EG10530-MONOMER	3.8e-06	22.7	233	48.1	38.6	72.1
WP_002606390.1	gnl|META|MONOMER-18811	2.0e-23	40.1	152	105.1	61.2	89.4
WP_002606390.1	gnl|META|MONOMER-11901	2.7e-23	41.9	136	104.8	63.2	80.0
WP_002606390.1	gnl|META|ACETOLACTSYNIII-HCHAIN-MONOMER	3.5e-23	37.4	155	104.4	64.5	91.2
WP_002606399.1	gnl|META|MONOMER-18128	4.4e-22	29.8	238	101.3	50.8	94.4
WP_002606399.1	gnl|META|STM14_RS23775-MONOMER	1.1e-20	28.5	242	96.7	52.5	94.0
WP_002606399.1	gnl|META|MANY-MONOMER	1.8e-20	29.6	243	95.9	52.7	96.0
WP_002606401.1	gnl|META|MANX-MONOMER	2.4e-11	33.1	127	64.7	52.8	91.7
WP_002606422.1	gnl|META|CELC-MONOMER	1.8e-07	29.0	100	51.6	58.0	87.5
WP_002606426.1	gnl|META|DGTPTRIPHYDRO-MONOMER	2.4e-01	29.3	82	33.1	54.9	17.1
WP_002606433.1	gnl|META|MONOMER-11807	1.1e-07	26.0	181	53.5	42.0	67.4
