WP_000048054.1	gnl|META|EG10920-MONOMER	1.4e-08	62.0	50	54.3	74.0	86.2
WP_000068664.1	gnl|META|EG10917-MONOMER	6.4e-12	44.8	67	65.9	68.7	84.8
WP_000075969.1	gnl|META|EG10908-MONOMER	6.3e-33	51.5	130	136.3	71.5	100.0
WP_000124830.1	gnl|META|EG10881-MONOMER	3.4e-33	61.5	117	137.1	79.5	98.3
WP_000261775.1	gnl|META|MANX-MONOMER	1.6e-09	30.1	156	58.9	48.1	87.2
WP_000512900.1	gnl|META|EG10865-MONOMER	9.9e-84	56.9	276	306.2	71.7	99.6
WP_000533766.1	gnl|META|EG10918-MONOMER	1.3e-32	67.7	93	134.8	83.9	100.0
WP_000818139.1	gnl|META|EG10882-MONOMER	5.8e-22	53.8	106	99.8	70.8	93.0
WP_000831905.1	gnl|META|EG10892-MONOMER	1.8e-08	74.4	39	53.5	84.6	88.6
WP_000960947.1	gnl|META|EG10877-MONOMER	1.0e-33	54.5	134	139.0	72.4	97.8
WP_001020606.1	gnl|META|CELA-MONOMER	1.8e-11	40.4	94	64.7	59.6	94.0
WP_001085699.1	gnl|META|EG10913-MONOMER	7.4e-08	56.4	39	52.0	69.2	63.9
WP_001117401.1	gnl|META|MONOMER-12750	1.9e-08	43.3	60	53.9	68.3	100.0
WP_001140948.1	gnl|META|EG10886-MONOMER	3.1e-06	44.7	47	46.6	66.0	75.8
WP_001142332.1	gnl|META|EG10911-MONOMER	5.8e-45	69.3	137	176.4	74.5	100.0
WP_001265622.1	gnl|META|EG10891-MONOMER	2.8e-05	40.8	49	43.1	61.2	100.0
WP_001808836.1	gnl|META|EG11232-MONOMER	1.1e-09	63.2	38	57.4	78.9	100.0
WP_001844984.1	gnl|META|UGPA-MONOMER	1.2e-23	27.7	282	106.7	49.3	94.6
WP_002876943.1	gnl|META|EG10874-MONOMER	1.0e-42	57.9	140	169.1	72.9	94.6
WP_002884769.1	gnl|META|MONOMER-13957	3.3e-13	41.5	94	70.5	59.6	94.0
WP_002884769.1	gnl|META|SYNPCC7942_2322-MONOMER	3.6e-12	37.5	96	67.0	59.4	96.0
WP_002886077.1	gnl|META|GLYQ-MONOMER	2.7e-103	62.6	294	371.3	75.9	94.4
WP_002894509.1	gnl|META|EG10888-MONOMER	1.2e-10	54.5	55	61.2	74.5	91.7
WP_003001719.1	gnl|META|MONOMER-15863	1.1e-03	30.6	62	39.7	59.7	35.5
WP_003001745.1	gnl|META|EG10915-MONOMER	1.0e-13	46.1	76	72.0	65.8	82.2
WP_003001797.1	gnl|META|EG10159-MONOMER	1.4e-134	60.3	403	475.7	77.7	97.1
WP_003001797.1	gnl|META|SYNPCC7942_2526-MONOMER	1.9e-128	55.5	425	455.3	73.6	95.9
WP_003001852.1	gnl|META|EG10548-MONOMER	1.9e-12	34.5	139	68.6	55.4	86.9
WP_003002062.1	gnl|META|EG11506-MONOMER	4.8e-153	47.9	620	537.7	66.8	93.3
WP_003002091.1	gnl|META|MONOMER-19690	3.4e-07	26.5	189	51.6	40.7	86.0
WP_003002120.1	gnl|META|MONOMER-13046	4.8e-213	80.6	449	736.5	90.9	100.0
WP_003002156.1	gnl|META|EG10870-MONOMER	4.8e-08	29.1	148	53.9	50.0	98.0
WP_003002210.1	gnl|META|EG10903-MONOMER	5.2e-42	45.7	208	167.2	63.9	99.0
WP_003002222.1	gnl|META|MONOMER-8569	1.6e-36	48.1	183	149.4	63.9	62.4
WP_003002222.1	gnl|META|LSERINEDEAM3-MONOMER	4.9e-33	36.9	282	137.9	55.3	94.5
WP_003002236.1	gnl|META|TRPS-MONOMER	5.9e-38	32.4	339	154.5	51.6	98.2
WP_003002265.1	gnl|META|BSU38520-MONOMER	2.8e-15	47.4	78	77.0	73.1	97.5
WP_003002265.1	gnl|META|MONOMER-19972	8.1e-15	46.2	78	75.5	73.1	97.5
