WP_002584956.1	gnl|META|EG12401-MONOMER	2.3e-39	34.2	275	159.1	51.6	79.5
WP_002584956.1	gnl|META|MONOMER-16695	3.9e-39	32.6	288	158.3	54.9	83.5
WP_002584963.1	gnl|META|EG11014-MONOMER	2.6e-77	33.1	604	286.2	49.8	82.1
WP_002591373.1	gnl|META|UGPE-MONOMER	1.2e-17	26.1	207	86.7	49.8	72.4
WP_002604476.1	gnl|META|G6892-MONOMER	2.4e-11	36.0	125	67.0	49.6	18.3
WP_003496992.1	gnl|META|FEOB-MONOMER	1.2e-09	25.6	203	60.1	43.3	68.6
WP_003497001.1	gnl|META|EG10651-MONOMER	1.0e-40	36.3	284	163.3	53.5	100.0
WP_003497003.1	gnl|META|YBHF-MONOMER	2.7e-45	39.1	215	178.7	62.8	67.2
WP_003497005.1	gnl|META|G6318-MONOMER	1.1e-26	27.6	312	117.1	50.3	81.8
WP_003497005.1	gnl|META|BAES-MONOMER	1.8e-24	26.9	331	109.8	47.1	87.7
WP_003497006.1	gnl|META|CPXR-MONOMER	5.8e-37	35.6	225	150.6	61.8	96.2
WP_003497007.1	gnl|META|PPK-MONOMER	2.1e-109	34.4	687	392.9	56.2	93.1
WP_003497014.1	gnl|META|CHORISMUTPREPHENDEHYDRAT-MONOMER	4.6e-44	30.4	378	174.9	50.8	99.5
WP_003497016.1	gnl|META|YDL052C-MONOMER	1.8e-21	29.4	201	99.4	51.7	73.7
WP_003497018.1	gnl|META|CARDIOLIPSYN-MONOMER	3.6e-44	27.4	507	175.6	45.6	99.4
WP_003497035.1	gnl|META|EG10737-MONOMER	2.1e-12	36.3	102	70.1	57.8	20.4
WP_003497037.1	gnl|META|EG11014-MONOMER	3.0e-65	29.1	621	246.1	48.6	83.5
WP_003497108.1	gnl|META|EG10442-MONOMER	9.5e-03	28.8	66	35.8	54.5	62.3
WP_003497132.1	gnl|META|MONOMER-13259	2.8e-01	33.3	45	32.3	62.2	15.8
WP_003497132.1	gnl|META|ARSA-MONOMER	4.8e-01	38.3	47	31.6	51.1	16.5
WP_003497132.1	gnl|META|MONOMER-13253	8.2e-01	35.7	42	30.8	61.9	14.7
WP_003497154.1	gnl|META|MONOMER-11569	4.6e-27	25.0	308	118.2	45.8	91.9
WP_003497158.1	gnl|META|G6810-MONOMER	2.4e-59	41.1	304	225.3	61.2	99.0
WP_003497160.1	gnl|META|YFEP-MONOMER	1.2e-26	25.2	400	117.1	49.0	96.1
WP_003497172.1	gnl|META|CPXR-MONOMER	1.4e-30	31.9	226	129.4	55.8	96.2
WP_003497174.1	gnl|META|ATOS-MONOMER	4.5e-06	24.9	209	48.9	46.4	42.9
WP_003497177.1	gnl|META|MONOMER-19498	8.6e-34	31.6	288	141.0	51.0	66.1
WP_003497180.1	gnl|META|EG10833-MONOMER	9.4e-119	38.2	618	423.7	58.1	99.2
WP_003497183.1	gnl|META|EG11195-MONOMER	6.5e-08	29.0	93	54.3	53.8	34.8
WP_003497185.1	gnl|META|MONOMER-19925	1.4e-07	25.4	142	52.8	47.2	73.1
WP_003497187.1	gnl|META|EG11003-MONOMER	5.3e-24	26.0	334	108.2	47.6	86.8
WP_003497191.1	gnl|META|EG11852-MONOMER	9.8e-33	47.6	143	136.0	63.6	92.9
WP_003497193.1	gnl|META|GLYCPDIESTER-CYTO-MONOMER	3.2e-18	27.5	233	89.7	47.2	36.7
WP_003497195.1	gnl|META|RELA-MONOMER	1.3e-06	34.7	95	49.7	46.3	43.0
WP_003497196.1	gnl|META|EG10900-MONOMER	6.5e-29	28.2	284	124.4	48.9	83.7
WP_003497201.1	gnl|META|MONOMER-10261	7.1e-46	36.3	270	180.6	55.9	85.7
WP_003497201.1	gnl|META|HS01776-MONOMER	6.0e-45	35.6	270	177.6	55.9	85.7
WP_003497201.1	gnl|META|AT1G17745-MONOMER	3.0e-44	34.3	280	175.3	56.1	88.6
WP_003497201.1	gnl|META|PGLYCDEHYDROG-MONOMER	2.1e-42	37.0	276	169.1	56.5	87.3
WP_003497202.1	gnl|META|GDHA-MONOMER	6.2e-136	53.8	446	480.3	71.1	98.7
WP_003497203.1	gnl|META|GLTS-MONOMER	3.2e-72	39.8	394	268.5	60.2	98.5
WP_003497204.1	gnl|META|NARL-MONOMER	1.4e-05	25.4	126	46.6	51.6	44.8
WP_003497206.1	gnl|META|DCUS-MONOMER	1.0e-10	40.4	109	64.3	52.3	25.2
WP_003497208.1	gnl|META|G6551-MONOMER	1.7e-19	23.5	464	93.6	42.7	85.6
WP_003497211.1	gnl|META|MONOMER-601	1.8e-04	25.1	199	43.5	40.7	47.4
WP_003497211.1	gnl|META|MONOMER-14545	5.2e-04	26.6	128	42.0	39.8	30.8
WP_003497213.1	gnl|META|URACIL-PRIBOSYLTRANS-MONOMER	2.5e-01	33.9	59	35.0	50.8	3.6
WP_003497213.1	gnl|META|ADENPRIBOSYLTRAN-MONOMER	3.2e-01	25.7	109	34.7	44.0	6.6
WP_003497213.1	gnl|META|PANTEPADENYLYLTRAN-MONOMER	9.4e-01	46.9	32	33.1	56.2	2.0
