gnl|META|MONOMER-11763	WP_040562890.1	5.5e-30	30.7	254	125.2	48.8	78.9
gnl|META|MONOMER-11760	WP_050774845.1	4.2e-41	28.0	489	162.9	45.0	87.0
gnl|META|MONOMER-11759	WP_050774845.1	9.8e-37	26.4	484	148.3	45.2	93.8
gnl|META|MONOMER-11752	WP_004349584.1	8.2e-05	25.4	185	42.0	42.2	39.6
gnl|META|MONOMER-11733	WP_004349054.1	2.9e-04	23.0	283	40.0	38.9	67.4
gnl|META|MONOMER-11700	WP_004349878.1	3.5e-37	28.6	311	149.1	49.8	95.8
gnl|META|MONOMER-11699	WP_004349392.1	9.2e-11	27.6	156	61.6	44.9	40.0
gnl|META|MONOMER-11697	WP_004349392.1	2.6e-26	31.9	248	112.8	50.4	83.8
gnl|META|MONOMER-11695	WP_004349392.1	1.3e-11	29.5	156	64.3	44.9	43.1
gnl|META|MONOMER-11693	WP_004349290.1	4.3e-32	29.7	360	132.5	48.3	86.3
gnl|META|MONOMER-11692	WP_004349290.1	9.0e-39	29.5	363	154.8	49.3	77.5
gnl|META|MONOMER-11691	WP_040562915.1	1.9e-19	27.0	318	90.1	42.8	98.0
gnl|META|MONOMER-11687	WP_004348591.1	1.1e-63	35.6	455	237.7	51.6	95.5
gnl|META|MONOMER-11686	WP_004347880.1	4.3e-01	34.9	43	29.6	58.1	9.2
gnl|META|MONOMER-11683	WP_040562045.1	2.5e-01	31.3	67	30.0	49.3	20.3
gnl|META|MONOMER-11666	WP_081454841.1	4.1e-32	34.1	276	132.5	52.5	74.1
gnl|META|MONOMER-11617	WP_004348847.1	1.6e-66	38.9	360	246.9	58.3	88.0
gnl|META|MONOMER-11616	WP_004348851.1	4.3e-94	36.1	540	339.0	54.1	93.4
gnl|META|MONOMER-11614	WP_004350576.1	2.1e-01	44.4	27	30.8	63.0	5.9
gnl|META|MONOMER-1161	WP_004349694.1	4.2e-49	34.3	361	189.1	48.8	82.9
gnl|META|MONOMER-11609	WP_004348849.1	6.0e-119	47.0	489	421.4	64.8	96.1
gnl|META|MONOMER-11608	WP_004348849.1	6.5e-97	43.0	486	348.2	59.1	95.1
gnl|META|MONOMER-11560	WP_004349337.1	1.0e-01	33.0	88	32.0	48.9	17.3
gnl|META|MONOMER-11557	WP_004348307.1	9.4e-01	28.3	46	28.1	50.0	14.4
gnl|META|MONOMER-11554	WP_004348847.1	9.8e-01	43.3	30	28.9	60.0	5.3
gnl|META|MONOMER-11551	WP_004349352.1	4.4e-02	29.5	61	32.7	47.5	16.2
gnl|META|MONOMER-11550	WP_004348591.1	2.7e-03	24.5	139	37.0	44.6	28.6
gnl|META|MONOMER-11550	WP_004349258.1	4.7e-03	28.9	121	36.2	43.8	26.5
gnl|META|MONOMER-11548	WP_004349258.1	9.2e-03	46.2	39	35.4	69.2	7.8
gnl|META|MONOMER-11548	WP_155813612.1	3.5e-02	40.5	42	33.5	57.1	8.3
gnl|META|MONOMER-11547	WP_155813586.1	5.9e-01	43.2	37	28.9	62.2	10.9
gnl|META|MONOMER-11352	WP_004348095.1	4.1e-21	30.3	264	95.5	46.2	93.1
gnl|META|MONOMER-11350	WP_040563200.1	7.0e-01	40.7	27	28.9	66.7	6.6
gnl|META|MONOMER-113	WP_004348786.1	7.6e-01	38.7	31	28.1	58.1	11.9
gnl|META|MONOMER-11187	WP_004348154.1	2.4e-23	27.2	371	103.2	41.2	91.0
gnl|META|MONOMER-11146	WP_004348044.1	7.9e-01	29.4	85	29.3	41.2	14.2
gnl|META|MONOMER-11101	WP_004349806.1	4.1e-18	25.4	276	85.9	43.1	71.7
gnl|META|MONOMER-11101	WP_004350498.1	1.5e-17	24.3	334	84.0	41.9	86.6
gnl|META|MONOMER-11086	WP_004348154.1	7.4e-23	24.5	387	101.7	42.4	91.8
gnl|META|MONOMER-10862	WP_155813628.1	5.4e-03	47.4	38	34.3	57.9	29.0
gnl|META|MONOMER-1083	WP_004349005.1	6.9e-20	20.7	541	92.4	41.4	88.5
gnl|META|MONOMER-1083	WP_004348800.1	1.1e-17	23.3	481	85.1	40.3	77.7
gnl|META|MONOMER-10821	WP_040563196.1	2.2e-01	39.5	43	30.4	55.8	11.1
gnl|META|MONOMER-10763	WP_040562108.1	8.1e-01	39.4	33	29.6	63.6	4.1
gnl|META|MONOMER-1062	WP_004349178.1	1.2e-23	26.9	361	104.4	44.9	96.2
gnl|META|MONOMER-1061	WP_004347398.1	1.7e-31	27.1	472	130.6	46.0	97.6
gnl|META|MONOMER-1056	WP_004350056.1	4.4e-06	55.6	36	44.7	75.0	24.8
gnl|META|MONOMER-1054	WP_004350058.1	1.5e-33	26.6	534	137.9	43.4	88.4
gnl|META|MONOMER-1043	WP_040562745.1	8.2e-01	34.9	43	28.9	51.2	9.0
gnl|META|MONOMER-10304	WP_004349664.1	1.4e-73	47.4	304	270.0	64.8	98.4
gnl|META|MONOMER-10303	WP_004350072.1	1.1e-75	36.2	381	277.3	57.7	97.9
gnl|META|MONOMER-10261	WP_040562890.1	6.3e-34	30.4	276	139.0	52.9	50.5
gnl|META|MONOMER-10261	WP_004350410.1	8.5e-31	34.4	282	128.6	50.0	52.3
gnl|META|MONOMER-1021	WP_004348591.1	6.4e-12	28.7	216	65.5	48.6	52.2
gnl|META|MONOMER-10162	WP_040562796.1	2.0e-01	32.9	82	30.4	47.6	21.3
gnl|META|MONOMER-10109	WP_004349540.1	9.9e-01	24.0	75	30.0	48.0	5.8
gnl|META|MONOMER-10061	WP_004349371.1	3.5e-18	28.4	257	87.8	47.5	22.5
gnl|META|MONOMER-10025	WP_004349878.1	7.8e-04	22.3	157	38.1	42.0	55.1
gnl|META|MONOMER-10024	WP_004350015.1	6.4e-01	30.4	46	29.6	56.5	6.6
gnl|META|MONOMER-1001	WP_050774845.1	1.8e-01	30.1	83	30.8	49.4	20.9
gnl|META|MODC-MONOMER	WP_004349175.1	2.8e-22	34.6	188	99.8	50.5	51.7
gnl|META|MODC-MONOMER	WP_004351017.1	4.0e-21	28.9	239	95.9	49.4	64.5
gnl|META|MODA-MONOMER	WP_004350139.1	2.6e-01	33.3	45	29.6	57.8	17.5
gnl|META|MHPT-MONOMER	WP_004351041.1	1.0e-07	24.3	341	51.6	41.6	80.1
gnl|META|MGLA-MONOMER	WP_004348488.1	8.1e-31	23.8	483	128.6	45.8	93.1
gnl|META|MGI:2444678-MONOMER	WP_004349557.1	6.6e-50	33.3	363	192.2	53.2	64.3
gnl|META|MGI:2444678-MONOMER	WP_004351083.1	1.5e-46	32.6	374	181.0	50.8	65.7
gnl|META|MGI:2183447-MONOMER	WP_004350441.1	6.0e-02	27.9	104	32.7	51.9	19.7
gnl|META|MGI:2135760-MONOMER	WP_155813562.1	1.8e-02	26.0	96	34.3	49.0	21.6
gnl|META|MGI:1929955-MONOMER	WP_004349878.1	3.6e-40	31.9	301	159.1	52.5	88.9
gnl|META|MGI:1099431-MONOMER	WP_004349557.1	8.6e-43	31.2	375	168.3	49.3	79.1
gnl|META|MGI:108074-MONOMER	WP_004349557.1	3.7e-53	34.4	369	203.0	54.2	64.5
gnl|META|METQ-MONOMER	WP_004350506.1	7.9e-01	34.1	41	28.1	56.1	15.1
gnl|META|METG-MONOMER	WP_004350618.1	1.8e-102	32.9	692	367.1	52.7	99.1
gnl|META|MENF-MONOMER	WP_004349390.1	4.6e-19	30.7	241	89.4	46.9	53.4
gnl|META|MEND-MONOMER	WP_004349391.1	1.1e-36	27.9	498	148.3	43.4	84.0
gnl|META|MDTA	WP_040562357.1	1.3e-10	20.3	375	61.2	38.7	87.5
gnl|META|MANNPISOM-MONOMER	WP_004349670.1	1.2e-05	53.3	45	44.7	64.4	11.3
gnl|META|MANNPGUANYLTRANGDP-MONOMER	WP_004347744.1	5.4e-45	32.8	345	175.6	53.6	70.9
gnl|META|MALTODEXGLUCOSID-MONOMER	WP_004347453.1	2.6e-20	22.6	500	94.0	37.8	72.0
gnl|META|MALTACETYLTRAN-MONOMER	WP_040563322.1	5.7e-19	29.5	183	87.8	43.2	100.0
gnl|META|MALONYL-COA-ACP-TRANSACYL-MONOMER	WP_004349885.1	1.2e-56	44.6	294	213.8	58.5	94.8
gnl|META|MALK-MONOMER	WP_004349712.1	2.2e-30	33.8	219	126.7	58.0	56.3
gnl|META|MALK-MONOMER	WP_004349175.1	2.9e-30	33.6	217	126.3	53.0	56.9
gnl|META|MALK-MONOMER	WP_004349073.1	1.2e-28	34.4	221	120.9	52.5	57.4
gnl|META|MALK-MONOMER	WP_040562112.1	6.8e-27	33.5	209	115.2	54.1	54.7
gnl|META|MALIC-NADP-MONOMER	WP_004349540.1	8.3e-189	46.5	755	654.1	65.3	99.3
gnl|META|MALIC-NAD-MONOMER	WP_004349540.1	7.9e-11	25.0	288	62.4	45.1	48.5
gnl|META|MALDEXPHOSPHORYL-MONOMER	WP_004350021.1	3.2e-18	23.5	571	87.4	39.1	69.3
gnl|META|MACB	WP_040562112.1	1.6e-52	49.8	221	201.1	67.9	34.0
gnl|META|MACB	WP_004349712.1	5.4e-48	40.2	219	186.0	67.1	33.8
gnl|META|MACA	WP_004347880.1	2.3e-06	25.1	366	47.0	41.5	97.0
gnl|META|LYSU-MONOMER	WP_040562694.1	3.5e-127	46.6	515	448.7	65.0	97.6
gnl|META|LYSS-MONOMER	WP_040562694.1	2.1e-127	46.9	512	449.5	65.6	97.8
gnl|META|LUMAZINESYN-MONOMER	WP_004348118.1	1.3e-27	45.7	140	116.3	64.3	87.8
gnl|META|LSERINEDEAM3-MONOMER	WP_004350585.1	7.1e-71	38.7	450	261.5	51.3	98.7
gnl|META|LSERINEDEAM2-MONOMER	WP_004350585.1	2.9e-64	36.3	449	239.6	51.4	98.5
gnl|META|LSERINEDEAM1-MONOMER	WP_004350585.1	3.7e-67	36.3	449	249.2	50.8	98.7
gnl|META|LIVG-MONOMER	WP_040562602.1	1.8e-34	32.9	249	139.8	54.6	97.6
gnl|META|LIVF-MONOMER	WP_040562602.1	3.2e-30	30.0	237	125.6	54.4	99.2
gnl|META|LIPIDADISACCHARIDESYNTH-MONOMER	WP_004349333.1	2.2e-33	29.0	383	136.7	46.2	96.9
gnl|META|LEUS-MONOMER	WP_004347854.1	2.6e-162	35.4	970	566.2	52.6	99.5
gnl|META|LARGEILVB-MONOMER	WP_004349391.1	8.2e-08	23.9	209	52.4	39.2	35.1
gnl|META|L-LACTDEHYDROGFMN-MONOMER	WP_004349220.1	5.2e-01	40.0	30	29.3	70.0	7.6
gnl|META|L-ASPARTATE-OXID-MONOMER	WP_004350336.1	2.1e-122	44.4	522	433.0	64.8	94.8
gnl|META|KUP-MONOMER	WP_004349028.1	1.1e-77	34.4	552	284.6	56.3	87.0
gnl|META|KGTP-MONOMER	WP_004349728.1	1.4e-02	30.3	99	34.7	49.5	22.2
gnl|META|KEFC-MONOMER	WP_004349177.1	1.1e-05	26.5	309	45.4	47.9	47.9
gnl|META|KEFB-MONOMER	WP_004349177.1	9.0e-05	22.8	456	42.4	44.1	72.5
gnl|META|KDUD-MONOMER	WP_004348095.1	3.2e-36	35.6	247	145.6	53.0	95.7
gnl|META|KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER	WP_004349510.1	1.6e-01	42.5	40	30.0	50.0	18.8
gnl|META|KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER	WP_050774883.1	2.8e-01	30.6	49	29.3	53.1	23.0
gnl|META|KDPB-MONOMER	WP_004347517.1	2.6e-202	57.3	670	698.7	74.6	98.1
gnl|META|KDOTRANS-MONOMER	WP_004350863.1	4.7e-24	24.9	369	105.9	43.9	86.4
gnl|META|KDO-8PSYNTH-MONOMER	WP_004348080.1	3.8e-54	42.3	248	205.3	61.3	87.3
gnl|META|KDGALDOL-MONOMER	WP_004347687.1	8.9e-02	37.0	46	31.2	58.7	18.0
gnl|META|KCH-MONOMER	WP_004349672.1	1.5e-03	26.1	115	37.7	53.0	26.1
gnl|META|IMP-DEHYDROG-MONOMER	WP_004349220.1	1.2e-143	55.5	485	503.4	72.2	98.8
gnl|META|ILES-MONOMER	WP_004347768.1	1.5e-78	26.3	983	288.1	40.5	83.9
gnl|META|HYPOXANPRIBOSYLTRAN-MONOMER	WP_004351036.1	5.3e-30	39.0	164	124.4	63.4	92.1
