WP_002304332.1	gnl|META|MONOMER-522	2.3e-01	28.6	77	31.2	51.9	72.6
WP_002569115.1	gnl|META|EG11249-MONOMER	1.0e-03	29.8	114	39.3	45.6	89.7
WP_002569119.1	gnl|META|MONOMER-13769	2.7e-01	34.2	38	31.2	65.8	31.1
WP_002569249.1	gnl|META|MONOMER-20115	1.8e-08	23.1	281	56.2	40.6	96.3
WP_002570953.1	gnl|META|MACB	4.2e-29	36.7	218	124.4	57.8	92.3
WP_002570953.1	gnl|META|ABC-MONOMER	5.7e-26	33.9	224	114.0	51.3	92.3
WP_002575864.1	gnl|META|EG10737-MONOMER	1.4e-11	32.5	123	67.4	55.3	24.5
WP_002578939.1	gnl|META|EG10442-MONOMER	3.5e-01	21.3	61	30.0	52.5	85.9
WP_002584949.1	gnl|META|BCR-MONOMER	2.4e-01	25.2	155	33.1	43.2	37.9
WP_002584956.1	gnl|META|EG12401-MONOMER	2.3e-39	34.2	275	159.1	51.6	79.5
WP_002584956.1	gnl|META|MONOMER-16695	3.9e-39	32.6	288	158.3	54.9	83.5
WP_002586627.1	gnl|META|EG10529-MONOMER	5.9e-23	25.3	435	105.5	42.1	65.4
WP_002594510.1	gnl|META|MONOMER-20115	1.0e-08	23.5	281	57.0	39.9	96.3
WP_004613230.1	gnl|META|EG12270-MONOMER	5.5e-06	36.2	58	45.8	56.9	90.6
WP_005934759.1	gnl|META|BSU08650-MONOMER	7.0e-01	30.3	66	29.6	48.5	55.0
WP_005938451.1	gnl|META|G12WB-160-MONOMER	2.4e-03	25.5	137	38.9	44.5	52.9
WP_005939123.1	gnl|META|MONOMER-19732	4.0e-01	27.6	58	31.2	50.0	31.9
WP_006573549.1	gnl|META|G6674-MONOMER	1.0e-01	50.0	26	32.0	69.2	33.3
WP_008979887.1	gnl|META|CPXR-MONOMER	6.9e-27	34.6	208	117.1	55.8	88.9
WP_008979888.1	gnl|META|G6318-MONOMER	7.5e-35	37.7	231	144.4	55.4	55.3
WP_008979889.1	gnl|META|MONOMER-16338	5.7e-139	42.0	571	490.7	61.6	99.6
WP_008979891.1	gnl|META|MONOMER-263	4.9e-30	41.3	150	127.1	62.7	91.5
WP_008979894.1	gnl|META|BSU11650-MONOMER	2.4e-16	27.4	215	82.0	43.3	96.4
WP_008979896.1	gnl|META|MONOMER-18910	3.2e-63	49.6	258	238.0	70.5	96.6
WP_008979897.1	gnl|META|MONOMER-20723	1.8e-08	28.3	191	55.8	38.2	79.1
WP_008979897.1	gnl|META|G6932-MONOMER	3.1e-08	26.7	195	55.1	46.2	86.4
WP_008979897.1	gnl|META|MONOMER-5821	5.9e-07	25.4	197	50.8	44.7	82.3
WP_008979898.1	gnl|META|BSU25300-MONOMER	3.1e-27	50.4	131	117.5	61.8	99.2
WP_008979898.1	gnl|META|HS08334-MONOMER	1.5e-26	47.3	129	115.2	62.0	97.7
WP_008979898.1	gnl|META|YLR245C-MONOMER	9.9e-26	42.3	130	112.5	62.3	96.9
WP_008979902.1	gnl|META|ENVZ-MONOMER	2.5e-22	28.2	309	103.2	45.6	56.0
WP_008979902.1	gnl|META|ARCB-MONOMER	3.0e-20	27.8	266	96.3	45.9	48.3
WP_008979903.1	gnl|META|CPXR-MONOMER	2.1e-36	37.5	224	148.7	59.8	96.4
WP_008979904.1	gnl|META|B1296-MONOMER	5.8e-03	26.2	65	37.7	52.3	26.3
WP_008979906.1	gnl|META|ATOS-MONOMER	4.0e-36	28.8	364	149.1	49.5	62.9
WP_008979907.1	gnl|META|MONOMER-15696	8.0e-62	42.6	319	234.2	63.9	68.3
WP_008979908.1	gnl|META|G6382-MONOMER	1.4e-63	47.8	247	239.2	66.4	96.9
WP_008979911.1	gnl|META|MONOMER-16328	1.0e-11	31.6	158	67.0	47.5	54.7
WP_008979911.1	gnl|META|G7845-MONOMER	2.5e-10	29.4	163	62.4	44.8	55.0
WP_008979912.1	gnl|META|MONOMER-20007	5.7e-40	34.6	289	161.0	50.9	92.5
WP_008979913.1	gnl|META|AT1G24360-MONOMER	1.7e-42	40.8	250	169.1	59.2	100.0
WP_008979913.1	gnl|META|MONOMER-16231	7.9e-40	43.4	244	160.2	57.4	96.8
WP_008979913.1	gnl|META|MONOMER-16230	7.3e-38	39.3	247	153.7	56.7	96.8
WP_008979917.1	gnl|META|MONOMER-14153	2.5e-31	47.4	152	131.3	63.8	95.6
WP_008979919.1	gnl|META|MONOMER-14148	9.8e-22	22.4	330	100.5	47.9	97.6
WP_008979920.1	gnl|META|MONOMER-14152	3.8e-20	45.5	101	93.6	66.3	97.1
WP_008979921.1	gnl|META|MONOMER-14146	4.4e-206	60.2	590	713.8	76.9	99.7
WP_008979921.1	gnl|META|MONOMER-681	7.2e-185	55.9	578	643.3	73.7	97.8
WP_008979922.1	gnl|META|MONOMER-14147	1.7e-197	72.8	456	684.9	86.2	99.6
WP_008979923.1	gnl|META|MONOMER-14149	5.0e-49	51.2	209	190.7	71.8	90.0
WP_008979927.1	gnl|META|MONOMER-13103	7.1e-53	36.5	337	204.1	51.9	89.5
WP_008979927.1	gnl|META|MONOMER-18273	3.0e-51	33.7	362	198.7	54.1	96.2
WP_008979930.1	gnl|META|EG10973-MONOMER	4.3e-05	26.9	130	45.1	47.7	44.5
WP_008979930.1	gnl|META|G7662-MONOMER	3.6e-04	22.1	154	42.0	46.1	52.4
WP_008979931.1	gnl|META|MONOMER-15370	2.1e-34	30.4	385	142.9	49.4	92.4
WP_008979932.1	gnl|META|MONOMER-15469	4.5e-17	24.0	396	85.5	41.9	82.7
WP_008979932.1	gnl|META|MONOMER-15537	5.0e-16	23.7	427	82.0	41.7	88.6
WP_008979932.1	gnl|META|EG10606-MONOMER	1.5e-15	26.1	383	80.5	41.3	72.6
WP_008979935.1	gnl|META|MONOMER-19311	5.3e-33	47.0	134	136.7	66.4	95.0
WP_008979935.1	gnl|META|MONOMER-19299	1.3e-31	43.9	139	132.1	66.2	97.9
WP_008979935.1	gnl|META|FABZ-MONOMER	8.4e-31	50.4	139	129.4	66.2	97.2
WP_008979940.1	gnl|META|HP0773-MONOMER	4.1e-58	37.1	361	221.5	56.5	97.7
WP_008979941.1	gnl|META|MONOMER-19304	3.2e-75	47.9	305	278.1	66.2	97.4
WP_008979941.1	gnl|META|MONOMER-17582	3.0e-73	48.2	309	271.6	64.7	98.7
WP_008979942.1	gnl|META|FABH-MONOMER	2.1e-66	42.0	319	248.8	59.6	98.4
WP_008979943.1	gnl|META|AT5G35360-MONOMER	1.3e-144	55.5	445	509.2	73.0	97.8
WP_008979943.1	gnl|META|MONOMER-14537	1.3e-136	53.1	441	482.6	71.4	96.9
WP_008979943.1	gnl|META|MONOMER-11921	2.2e-136	51.4	453	481.9	72.8	99.6
WP_008979943.1	gnl|META|MONOMER-17289	2.7e-131	54.3	446	464.9	67.7	98.0
WP_008979943.1	gnl|META|BIOTIN-CARBOXYL-MONOMER	5.1e-130	52.5	442	460.7	70.6	96.9
WP_008979944.1	gnl|META|BCCP-MONOMER	1.6e-16	32.2	152	82.0	48.7	95.9
WP_008979944.1	gnl|META|AT5G16390-MONOMER	1.1e-14	45.2	73	75.9	68.5	49.7
WP_008979945.1	gnl|META|EG50003-MONOMER	4.0e-09	45.6	68	56.6	63.2	84.0
WP_008979971.1	gnl|META|MONOMER-13249	2.0e-03	35.8	53	39.3	60.4	21.4
WP_008979971.1	gnl|META|EG11247-MONOMER	1.3e-02	37.0	46	36.6	56.5	18.9
WP_008979971.1	gnl|META|MONOMER-20135	1.7e-02	26.4	110	36.2	46.4	43.6
WP_008979971.1	gnl|META|MONOMER-19407	2.2e-02	22.3	103	35.8	47.6	39.9
WP_008979989.1	gnl|META|EG11357-MONOMER	3.3e-05	24.5	229	46.6	40.6	31.0
WP_008979995.1	gnl|META|G6457-MONOMER	3.1e-113	41.2	553	405.2	59.3	97.8
