gnl|META|MONOMER-11763	WP_014621846.1	2.7e-13	25.3	237	68.9	39.7	70.0
gnl|META|MONOMER-11760	WP_014621628.1	2.9e-02	37.8	45	33.1	53.3	8.2
gnl|META|MONOMER-11759	WP_002947913.1	1.7e-01	41.7	36	30.4	63.9	7.1
gnl|META|MONOMER-11759	WP_011681305.1	2.3e-01	41.7	36	30.0	55.6	7.1
gnl|META|MONOMER-11752	WP_014621399.1	8.4e-02	25.8	66	31.2	47.0	15.8
gnl|META|MONOMER-11752	WP_014608310.1	3.2e-01	25.4	71	29.3	46.5	17.0
gnl|META|MONOMER-11719	WP_011681096.1	4.2e-21	27.7	253	95.1	46.2	65.8
gnl|META|MONOMER-11700	WP_002951320.1	1.5e-43	34.5	296	169.5	53.7	93.9
gnl|META|MONOMER-11697	WP_002949770.1	2.1e-23	30.6	252	102.4	50.4	83.4
gnl|META|MONOMER-11691	WP_014621339.1	5.4e-14	27.2	313	71.2	41.2	95.1
gnl|META|MONOMER-11687	WP_011227227.1	1.6e-73	36.3	466	269.6	55.8	97.7
gnl|META|MONOMER-11686	WP_014621593.1	3.4e-43	28.9	461	168.7	45.1	97.2
gnl|META|MONOMER-11684	WP_002950819.1	6.3e-77	44.0	325	280.4	66.2	98.8
gnl|META|MONOMER-11683	WP_002948709.1	6.2e-32	32.3	316	131.0	49.4	92.7
gnl|META|MONOMER-11666	WP_011681253.1	5.5e-45	48.5	233	174.5	62.2	62.2
gnl|META|MONOMER-11663	WP_002951091.1	2.2e-49	29.2	462	189.5	48.1	91.5
gnl|META|MONOMER-11617	WP_011680721.1	3.3e-03	39.3	56	35.8	53.6	14.0
gnl|META|MONOMER-11617	WP_014608066.1	1.3e-02	26.9	134	33.9	38.8	30.7
gnl|META|MONOMER-1161	WP_011680803.1	2.4e-49	32.0	378	189.1	48.1	86.9
gnl|META|MONOMER-11606	WP_011225905.1	1.8e-04	23.1	268	39.7	41.4	83.7
gnl|META|MONOMER-11604	WP_014621732.1	7.8e-59	39.4	310	220.3	61.6	92.8
gnl|META|MONOMER-116	WP_011681292.1	1.0e-02	22.1	163	34.3	38.7	36.9
gnl|META|MONOMER-11569	WP_011225905.1	3.2e-10	22.7	233	58.9	44.6	64.9
gnl|META|MONOMER-11560	WP_002951091.1	4.9e-57	31.6	478	214.9	51.0	94.8
gnl|META|MONOMER-11558	WP_011225905.1	9.3e-09	23.6	276	53.9	39.9	84.6
gnl|META|MONOMER-11557	WP_011225905.1	2.1e-08	23.6	276	52.8	40.2	84.4
gnl|META|MONOMER-11556	WP_002886558.1	9.0e-35	66.0	100	138.7	89.0	100.0
gnl|META|MONOMER-11555	WP_002886559.1	6.1e-31	61.8	102	125.9	71.6	100.0
gnl|META|MONOMER-11554	WP_011680721.1	1.3e-183	53.8	573	635.6	70.3	100.0
gnl|META|MONOMER-11552	WP_011225905.1	4.1e-04	26.6	79	38.5	54.4	24.4
gnl|META|MONOMER-11551	WP_011227227.1	8.3e-01	40.0	35	27.7	60.0	9.4
gnl|META|MONOMER-11550	WP_011226467.1	5.3e-07	32.0	125	48.5	47.2	27.9
gnl|META|MONOMER-11550	WP_014621026.1	1.0e-05	24.8	306	44.3	40.2	68.9
gnl|META|MONOMER-11548	WP_014621026.1	8.6e-09	25.7	311	54.7	43.7	60.8
gnl|META|MONOMER-11537	WP_011680827.1	4.6e-56	35.2	395	211.5	53.9	92.5
gnl|META|MONOMER-11526	WP_011680827.1	2.0e-72	39.2	378	265.8	59.0	92.1
gnl|META|MONOMER-11393	WP_011226161.1	2.2e-06	31.4	105	45.8	45.7	38.0
gnl|META|MONOMER-11384	WP_014621700.1	2.1e-09	24.1	257	56.2	42.0	66.5
gnl|META|MONOMER-11354	WP_002951541.1	6.5e-01	47.8	23	27.7	73.9	7.9
gnl|META|MONOMER-11350	WP_011227227.1	1.2e-11	28.0	182	63.9	48.9	43.9
gnl|META|MONOMER-11189	WP_011226155.1	9.4e-01	57.9	19	25.8	73.7	17.1
gnl|META|MONOMER-11101	WP_011681394.1	2.2e-24	26.2	321	105.9	45.8	84.5
gnl|META|MONOMER-11088	WP_011681096.1	6.0e-23	28.1	384	101.3	45.1	96.8
gnl|META|MONOMER-11021	WP_002946999.1	5.2e-05	38.8	49	41.2	59.2	18.6
gnl|META|MONOMER-11002	WP_014621719.1	2.9e-04	22.1	398	39.3	37.2	97.4
gnl|META|MONOMER-11001	WP_014621953.1	3.6e-13	21.7	373	68.9	39.9	88.8
gnl|META|MONOMER-1092	WP_014621195.1	8.4e-01	41.9	31	26.9	54.8	14.0
gnl|META|MONOMER-10862	WP_011681719.1	1.3e-01	62.5	16	28.9	75.0	12.2
gnl|META|MONOMER-1083	WP_011681022.1	1.0e-10	20.4	500	61.2	37.0	86.6
gnl|META|MONOMER-1081	WP_014621628.1	4.3e-01	61.1	18	29.3	83.3	3.2
gnl|META|MONOMER-1081	WP_014608095.1	9.6e-01	41.9	31	28.1	67.7	5.6
gnl|META|MONOMER-10761	WP_014621968.1	8.6e-01	43.3	30	28.9	66.7	3.0
gnl|META|MONOMER-10621	WP_014621610.1	1.1e-09	28.3	166	57.8	44.0	29.3
gnl|META|MONOMER-1062	WP_014621738.1	1.2e-15	25.3	376	77.0	42.6	99.2
gnl|META|MONOMER-1061	WP_002949766.1	1.1e-28	28.6	385	120.6	47.5	88.5
gnl|META|MONOMER-1056	WP_011680783.1	1.3e-02	51.4	35	32.3	65.7	24.1
gnl|META|MONOMER-1054	WP_014608206.1	5.9e-01	37.0	46	28.9	63.0	7.8
gnl|META|MONOMER-10304	WP_014621180.1	4.3e-72	48.3	302	264.2	66.2	98.0
gnl|META|MONOMER-10303	WP_011680761.1	4.7e-140	60.6	383	490.3	76.8	98.7
gnl|META|MONOMER-10301	WP_011681471.1	1.6e-18	33.0	215	85.9	48.4	90.7
gnl|META|MONOMER-10261	WP_014621846.1	6.5e-39	37.5	240	154.8	53.8	42.8
gnl|META|MONOMER-1021	WP_011681305.1	9.5e-16	27.0	304	77.4	47.4	71.4
gnl|META|MONOMER-10162	WP_014608623.1	2.8e-35	33.1	242	142.1	56.2	68.0
gnl|META|MONOMER-10161	WP_014608623.1	8.6e-37	34.0	241	147.1	55.2	70.5
gnl|META|MONOMER-10113	WP_014608655.1	7.9e-07	31.5	92	47.0	52.2	41.4
gnl|META|MONOMER-10112	WP_014608655.1	7.9e-05	28.1	89	40.4	49.4	37.6
gnl|META|MONOMER-10061	WP_002949788.1	7.6e-98	43.4	447	351.7	63.1	39.4
gnl|META|MONOMER-10025	WP_002951320.1	3.7e-06	35.4	65	45.1	58.5	23.7
gnl|META|MODC-MONOMER	WP_002953381.1	9.9e-28	28.8	233	117.1	54.5	64.5
gnl|META|MODC-MONOMER	WP_004197293.1	1.9e-26	36.0	197	112.8	55.3	54.0
gnl|META|MODC-MONOMER	WP_014608483.1	1.0e-24	33.8	195	107.1	52.8	53.7
gnl|META|MODC-MONOMER	WP_014621494.1	1.7e-24	35.5	214	106.3	51.9	57.4
gnl|META|MODB-MONOMER	WP_011681478.1	1.4e-06	27.4	157	46.2	44.6	68.6
gnl|META|MODA-MONOMER	WP_011225678.1	3.4e-01	25.7	74	28.5	41.9	28.8
gnl|META|MODA-MONOMER	WP_011681301.1	3.4e-01	23.4	141	28.5	42.6	53.7
gnl|META|MMUM-MONOMER	WP_011680907.1	9.2e-62	42.8	304	229.9	60.2	95.5
gnl|META|MHPT-MONOMER	WP_011225463.1	2.1e-02	30.0	70	33.1	55.7	17.4
gnl|META|MHPHYDROXY-MONOMER	WP_014621791.1	1.7e-02	33.8	65	33.9	47.7	10.8
gnl|META|MHPF-MONOMER	WP_011681305.1	7.1e-01	38.5	26	27.7	69.2	8.2
gnl|META|MHPELY-MONOMER	WP_014621700.1	1.4e-10	24.8	250	60.1	42.8	69.4
gnl|META|MGLA-MONOMER	WP_002950502.1	3.9e-86	36.0	491	311.6	57.0	96.0
gnl|META|MGI:2444678-MONOMER	WP_152902827.1	8.6e-50	32.9	362	191.0	52.8	64.3
gnl|META|MGI:2135760-MONOMER	WP_011225447.1	2.3e-02	30.5	131	33.1	47.3	28.8
gnl|META|MGI:1929955-MONOMER	WP_002951320.1	2.9e-50	35.7	286	191.8	55.2	87.7
gnl|META|MGI:1278330-MONOMER	WP_014621015.1	2.2e-02	28.0	82	33.1	46.3	17.9
gnl|META|MGI:1099431-MONOMER	WP_152902827.1	1.3e-38	29.0	372	153.7	47.8	78.6
gnl|META|MGI:108074-MONOMER	WP_152902827.1	5.2e-55	35.4	362	208.4	54.4	64.6
gnl|META|METQ-MONOMER	WP_002949597.1	1.2e-36	35.9	284	146.4	55.3	96.7
gnl|META|METQ-MONOMER	WP_014608646.1	1.9e-34	35.8	274	139.0	52.6	95.2
gnl|META|METI-MONOMER	WP_002949605.1	3.7e-17	43.4	113	81.3	62.8	52.1
gnl|META|METHYLENETHFREDUCT-MONOMER	WP_014621437.1	1.0e-41	33.8	275	163.3	53.1	90.2
gnl|META|METG-MONOMER	WP_011226921.1	2.3e-81	29.1	680	296.2	48.2	96.9
gnl|META|MENF-MONOMER	WP_014621887.1	2.9e-13	26.5	264	69.3	45.8	59.6
gnl|META|MEND-MONOMER	WP_002950643.1	6.0e-03	24.5	94	35.4	50.0	16.7
gnl|META|MELB-MONOMER	WP_014621781.1	7.3e-34	25.4	422	137.9	49.3	84.6
gnl|META|MANZ-MONOMER	WP_014607980.1	8.9e-80	48.2	299	289.7	68.6	95.4
gnl|META|MANY-MONOMER	WP_014621162.1	7.4e-52	44.5	245	196.8	66.5	90.6
gnl|META|MANX-MONOMER	WP_014607982.1	2.2e-58	37.4	337	218.8	54.3	99.1
gnl|META|MANNPISOM-MONOMER	WP_011226534.1	1.2e-05	35.3	102	43.9	48.0	24.6
gnl|META|MANNPDEHYDROG-MONOMER	WP_014608533.1	5.0e-01	42.1	38	28.5	52.6	9.9
gnl|META|MALX-MONOMER	WP_155105324.1	1.9e-46	28.7	513	179.9	46.4	90.0
gnl|META|MALTODEXGLUCOSID-MONOMER	WP_011681482.1	5.7e-07	23.9	230	48.9	41.3	36.1
gnl|META|MALTACETYLTRAN-MONOMER	WP_002951996.1	1.8e-01	70.6	17	28.9	88.2	9.3
gnl|META|MALSYNG-MONOMER	WP_002952299.1	1.1e-01	30.0	40	31.6	60.0	5.5
gnl|META|MALONYL-COA-ACP-TRANSACYL-MONOMER	WP_014621184.1	1.5e-67	46.6	307	249.2	65.5	99.4
gnl|META|MALK-MONOMER	WP_002953381.1	7.1e-61	38.5	371	227.3	55.3	96.2
gnl|META|MALIC-NADP-MONOMER	WP_011227420.1	9.2e-39	31.8	333	154.8	51.1	42.7
gnl|META|MALG-MONOMER	WP_014621881.1	1.6e-02	27.0	159	33.1	39.0	52.0
gnl|META|MALF-MONOMER	WP_002951547.1	2.6e-05	24.9	229	43.1	44.5	44.2
gnl|META|MALDEXPHOSPHORYL-MONOMER	WP_014621576.1	5.0e-144	38.6	760	504.6	57.8	94.6
gnl|META|MALATE-DEHASE-MONOMER	WP_014621732.1	7.9e-13	25.6	324	67.4	42.0	96.8
gnl|META|MACB	WP_014608483.1	3.1e-43	39.9	218	169.5	63.3	33.3
gnl|META|LYSU-MONOMER	WP_011680974.1	3.2e-136	51.3	491	478.0	68.2	96.8
gnl|META|LYSS-MONOMER	WP_011680974.1	1.2e-135	51.0	504	476.1	67.1	99.4
gnl|META|LYSP-MONOMER	WP_014608109.1	6.9e-88	39.7	456	317.4	61.2	92.8
gnl|META|LUXBVIBFI-MONOMER	WP_011681207.1	1.5e-01	28.6	56	30.0	50.0	17.2
gnl|META|LUXBVIBFI-MONOMER	WP_014621943.1	3.3e-01	28.6	98	28.9	43.9	25.5
gnl|META|LIVM-MONOMER	WP_011225510.1	1.6e-27	32.4	244	116.7	52.9	57.4
gnl|META|LIVK-MONOMER	WP_014621176.1	7.9e-28	27.1	247	117.5	49.4	65.6
gnl|META|LIVJ-MONOMER	WP_014621176.1	3.2e-29	28.9	246	122.1	52.0	65.7
gnl|META|LIVH-MONOMER	WP_011225509.1	1.5e-56	42.3	300	212.6	63.3	97.1
gnl|META|LIVG-MONOMER	WP_002949740.1	4.3e-65	49.8	249	240.7	67.1	97.6
gnl|META|LIVF-MONOMER	WP_014621177.1	2.7e-69	57.3	234	254.6	72.6	98.3
gnl|META|LEUS-MONOMER	WP_014621119.1	3.9e-195	43.0	866	674.5	59.5	99.4
gnl|META|LEUD-MONOMER	WP_011226115.1	6.8e-50	47.7	197	189.9	64.5	98.0
gnl|META|LEUC-MONOMER	WP_011681245.1	1.1e-140	53.8	463	492.7	69.8	99.4
gnl|META|LARGEILVB-MONOMER	WP_014622011.1	1.5e-118	40.7	555	419.5	59.6	97.5
