WP_003497809.1	gnl|META|EG11232-MONOMER	6.9e-09	71.1	38	54.7	78.9	100.0
WP_004054229.1	gnl|META|EG10920-MONOMER	6.3e-09	54.5	55	55.5	70.9	94.8
WP_004223723.1	gnl|META|CPXR-MONOMER	5.0e-06	28.1	96	47.4	49.0	57.5
WP_004614568.1	gnl|META|MONOMER-15681	4.4e-67	41.0	329	251.1	59.9	99.7
WP_004840133.1	gnl|META|EG10013-MONOMER	7.6e-21	42.4	125	97.8	56.8	30.7
WP_004840134.1	gnl|META|EG10760-MONOMER	3.3e-32	29.9	365	135.6	49.0	83.8
WP_004840255.1	gnl|META|EG11098-MONOMER	2.6e-04	27.9	68	40.4	51.5	94.4
WP_004840258.1	gnl|META|G185E-5885-MONOMER	5.5e-47	42.3	241	184.1	58.1	89.6
WP_004840259.1	gnl|META|MONOMER0-541	1.7e-30	29.2	260	129.4	51.9	92.5
WP_004840263.1	gnl|META|NARL-MONOMER	7.3e-12	31.1	119	67.4	58.0	45.2
WP_004840283.1	gnl|META|G1I0R-1994-MONOMER	7.4e-54	46.1	241	206.8	61.0	95.2
WP_004840287.1	gnl|META|STM2469-MONOMER	2.3e-09	32.9	143	58.5	49.7	80.0
WP_004840300.1	gnl|META|EG10626-MONOMER	4.6e-15	31.2	128	77.0	61.7	96.2
WP_004840363.1	gnl|META|MONOMER-1055	2.2e-113	60.4	376	405.2	73.9	98.2
WP_004840377.1	gnl|META|EG10900-MONOMER	8.9e-61	35.1	359	230.3	59.3	98.9
WP_004840395.1	gnl|META|PTSH-MONOMER	4.5e-11	39.8	83	63.2	55.4	97.6
WP_004840445.1	gnl|META|EG10889-MONOMER	2.3e-15	45.5	66	77.0	71.2	98.5
WP_004840661.1	gnl|META|EG10725-MONOMER	1.0e-05	31.3	134	47.0	44.8	47.2
WP_004840735.1	gnl|META|MONOMER-14472	6.1e-23	30.7	261	104.4	49.0	85.5
WP_004840735.1	gnl|META|BSU15530-MONOMER	7.9e-23	30.4	250	104.0	49.6	82.4
WP_004840737.1	gnl|META|BDHNADPHCLOS-MONOMER	1.8e-160	70.0	393	561.6	83.2	100.0
