gnl|META|MONOMER-11763	WP_020993278.1	4.8e-31	27.7	274	129.0	47.1	86.3
gnl|META|MONOMER-11760	WP_008704498.1	8.2e-02	33.3	36	32.7	61.1	6.6
gnl|META|MONOMER-11759	WP_008703280.1	7.8e-07	43.5	85	49.3	58.8	16.5
gnl|META|MONOMER-11759	WP_008704919.1	3.0e-06	38.2	110	47.4	53.6	20.8
gnl|META|MONOMER-11752	WP_008707537.1	6.9e-01	28.7	87	29.3	46.0	20.4
gnl|META|MONOMER-11751	WP_008704809.1	2.8e-01	37.0	27	30.4	70.4	7.1
gnl|META|MONOMER-11719	WP_008705835.1	2.1e-49	32.3	344	190.3	55.2	91.1
gnl|META|MONOMER-11714	WP_008704364.1	2.1e-01	22.7	119	30.4	44.5	40.8
gnl|META|MONOMER-11712	WP_008705414.1	1.1e-02	26.4	91	35.8	46.2	14.5
gnl|META|MONOMER-11708	WP_008703279.1	1.8e-34	50.8	132	139.4	66.7	84.1
gnl|META|MONOMER-11708	WP_008703273.1	2.3e-34	43.9	148	139.0	64.2	94.3
gnl|META|MONOMER-11707	WP_008703275.1	6.8e-27	30.9	262	115.2	53.1	87.2
gnl|META|MONOMER-11706	WP_020993941.1	1.6e-37	32.6	350	150.6	46.6	98.2
gnl|META|MONOMER-11706	WP_008703277.1	3.1e-36	31.1	322	146.4	49.1	97.0
gnl|META|MONOMER-11705	WP_008703279.1	5.3e-81	40.1	411	295.4	56.9	95.8
gnl|META|MONOMER-11700	WP_044952680.1	1.0e-41	33.1	290	164.5	53.1	92.6
gnl|META|MONOMER-11693	WP_008707380.1	8.3e-01	36.7	30	28.9	60.0	7.8
gnl|META|MONOMER-11691	WP_008705724.1	1.3e-20	27.7	321	94.4	46.1	98.4
gnl|META|MONOMER-11687	WP_008705286.1	2.0e-20	24.8	286	94.4	48.3	57.0
gnl|META|MONOMER-11686	WP_008704119.1	3.7e-02	35.2	54	33.5	55.6	12.7
gnl|META|MONOMER-11684	WP_008706912.1	6.1e-29	30.9	291	122.1	48.5	87.2
gnl|META|MONOMER-11683	WP_008706213.1	9.3e-01	28.4	102	28.5	41.2	27.0
gnl|META|MONOMER-11681	WP_008706935.1	8.3e-01	32.3	65	28.9	50.8	16.1
gnl|META|MONOMER-11666	WP_008704093.1	2.5e-50	36.3	295	193.4	59.3	78.9
gnl|META|MONOMER-11664	WP_008706006.1	1.3e-01	34.0	47	31.2	57.4	15.9
gnl|META|MONOMER-11663	WP_008705829.1	3.8e-46	27.5	480	179.9	45.4	95.2
gnl|META|MONOMER-11617	WP_044952676.1	3.5e-02	52.2	23	33.5	60.9	5.7
gnl|META|MONOMER-11617	WP_008707089.1	4.6e-02	38.3	60	33.1	48.3	14.7
gnl|META|MONOMER-11614	WP_008703281.1	4.0e-10	20.5	391	60.1	40.2	85.2
gnl|META|MONOMER-1161	WP_008703526.1	1.4e-54	33.2	379	207.6	48.8	88.1
gnl|META|MONOMER-11604	WP_008703016.1	6.8e-60	40.5	306	224.9	61.1	91.3
