WP_004311292.1	gnl|META|BTUC-MONOMER	4.2e-33	37.2	282	138.3	54.6	83.1
WP_005648594.1	gnl|META|EG10737-MONOMER	2.0e-07	29.5	190	52.4	48.4	88.7
WP_005868405.1	gnl|META|EG11167-MONOMER	9.8e-28	34.7	268	120.2	59.0	97.4
WP_005868409.1	gnl|META|MONOMER-14112	1.6e-09	27.5	149	59.3	44.3	65.0
WP_005868409.1	gnl|META|MONOMER-15145	2.8e-09	32.3	124	58.5	46.0	53.9
WP_005868409.1	gnl|META|MONOMER-17600	1.8e-08	27.0	148	55.8	42.6	65.4
WP_005868409.1	gnl|META|MONOMER-17061	1.8e-08	33.0	103	55.8	50.5	47.0
WP_005868409.1	gnl|META|MONOMER-15090	1.8e-08	31.4	105	55.8	49.5	48.4
WP_005868411.1	gnl|META|DCUB-MONOMER	3.0e-01	31.6	38	30.4	60.5	48.1
WP_005868421.1	gnl|META|EG10613-MONOMER	7.0e-63	31.2	522	238.0	55.2	86.1
WP_005868802.1	gnl|META|MONOMER-16461	2.4e-04	47.7	44	42.4	63.6	17.5
WP_005868802.1	gnl|META|MONOMER-19728	1.2e-03	38.5	65	40.0	52.3	25.8
WP_005868802.1	gnl|META|NIFHKLEB-MONOMER	2.7e-03	50.0	36	38.9	72.2	14.3
WP_005868802.1	gnl|META|MONOMER-19495	2.7e-03	50.0	36	38.9	72.2	14.3
WP_007567599.1	gnl|META|MONOMER-20709	3.0e-01	28.3	60	32.3	45.0	18.4
WP_008650623.1	gnl|META|FHUC-MONOMER	6.0e-30	32.7	208	127.5	58.2	79.1
WP_008650623.1	gnl|META|FECE-MONOMER	6.2e-27	27.8	237	117.5	54.9	89.7
WP_008650623.1	gnl|META|FEPC-MONOMER	1.4e-26	29.9	231	116.3	56.3	87.5
WP_013610367.1	gnl|META|MONOMER-10169	4.3e-02	33.3	54	35.8	51.9	11.4
WP_013610368.1	gnl|META|MONOMER-8581	8.9e-02	42.1	38	33.5	68.4	19.1
WP_013610371.1	gnl|META|EG10204-MONOMER	3.0e-03	24.0	192	38.9	40.6	68.0
WP_013610382.1	gnl|META|MALTACETYLTRAN-MONOMER	3.1e-23	40.5	195	104.8	56.4	98.5
WP_013610388.1	gnl|META|HS05019-MONOMER	2.1e-01	35.4	65	32.7	47.7	23.1
WP_013610390.1	gnl|META|MONOMER-15199	1.6e-04	31.1	106	43.5	48.1	27.0
WP_013610390.1	gnl|META|HS06845-MONOMER	3.7e-04	30.2	106	42.4	48.1	27.0
WP_013610391.1	gnl|META|MONOMER-12486	4.9e-55	34.5	368	211.8	49.2	67.7
WP_013610393.1	gnl|META|MONOMER-505	1.6e-71	39.4	360	266.2	59.4	94.0
WP_013610394.1	gnl|META|MONOMER-6082	3.2e-77	42.4	361	285.0	60.1	92.1
WP_013610394.1	gnl|META|HS07125-MONOMER	2.9e-70	41.6	322	261.9	59.0	85.0
WP_013610395.1	gnl|META|PUTP-MONOMER	1.4e-15	24.4	464	80.9	42.5	79.4
WP_013610396.1	gnl|META|G7860-MONOMER	4.6e-87	63.9	227	317.0	81.5	99.6
WP_013610398.1	gnl|META|RIBULOKIN-MONOMER	1.5e-171	53.7	540	599.0	70.9	96.8
WP_013610405.1	gnl|META|G7164-MONOMER	1.4e-02	41.2	51	37.0	58.8	14.4
WP_013610405.1	gnl|META|EG10626-MONOMER	1.4e-02	26.8	82	37.0	46.3	23.1
WP_013610405.1	gnl|META|EG11702-MONOMER	4.2e-02	29.1	79	35.4	48.1	22.0
WP_013610407.1	gnl|META|G6458-MONOMER	2.3e-18	39.1	169	88.6	57.4	83.0
WP_013610408.1	gnl|META|GAPDH-A-MONOMER	9.0e-124	67.1	328	439.5	76.8	98.2
WP_013610410.1	gnl|META|GAPDH-A-MONOMER	1.3e-112	60.4	328	402.5	74.1	94.8
WP_013610410.1	gnl|META|HS03433-MONOMER	2.6e-102	55.1	334	368.2	71.6	96.0
WP_013610410.1	gnl|META|MONOMER-12868	5.0e-101	55.6	333	364.0	72.7	95.1
WP_013610412.1	gnl|META|MONOMER-17076	7.7e-52	29.2	548	201.4	48.0	80.9
WP_013610415.1	gnl|META|NIFHKLEB-MONOMER	9.3e-04	44.4	36	40.4	80.6	14.1
WP_013610415.1	gnl|META|MONOMER-19495	9.3e-04	44.4	36	40.4	80.6	14.1
WP_013610415.1	gnl|META|MONOMER-20115	1.2e-03	32.4	71	40.0	64.8	27.7
WP_013610415.1	gnl|META|MONOMER-16469	2.1e-03	44.4	36	39.3	77.8	14.1
WP_013610415.1	gnl|META|MONOMER-16461	3.5e-03	39.1	46	38.5	63.0	18.0
WP_013610415.1	gnl|META|MONOMER-19732	7.9e-03	35.9	39	37.4	76.9	15.2
WP_013610416.1	gnl|META|G1I0R-77-MONOMER	2.3e-01	31.5	54	32.7	55.6	17.7
WP_013610418.1	gnl|META|EG10246-MONOMER	7.9e-42	29.0	431	167.9	47.3	81.3
WP_013610434.1	gnl|META|EG11826-MONOMER	9.9e-02	29.4	68	33.9	47.1	23.4
WP_013610438.1	gnl|META|MONOMER-14758	7.1e-10	25.3	162	61.6	46.3	34.7
WP_013610454.1	gnl|META|MONOMER-20842	1.3e-03	34.1	85	40.8	48.2	17.8
WP_013610455.1	gnl|META|MONOMER-17076	3.8e-58	30.1	538	222.2	47.2	90.0
WP_013610456.1	gnl|META|PD00440	6.4e-08	26.6	154	53.9	51.9	73.6
WP_013610461.1	gnl|META|RED-THIOREDOXIN2-MONOMER	8.1e-02	39.3	28	34.7	60.7	6.9
WP_013610462.1	gnl|META|RED-THIOREDOXIN2-MONOMER	3.6e-02	33.3	51	35.8	47.1	12.7
WP_013610465.1	gnl|META|EG10240-MONOMER	1.9e-38	43.1	353	156.0	55.2	100.0
WP_013610473.1	gnl|META|G6999-MONOMER	1.3e-26	38.9	185	115.9	57.8	97.8
WP_013610476.1	gnl|META|G7622-MONOMER	3.9e-87	42.4	425	318.2	61.9	98.4
