gnl|META|MONOMER-11763	WP_008535241.1	1.7e-12	24.5	237	66.6	39.7	70.0
gnl|META|MONOMER-11760	WP_008534560.1	1.4e-03	21.8	156	37.7	44.2	27.9
gnl|META|MONOMER-11759	WP_008534738.1	2.1e-01	41.7	36	30.4	63.9	7.1
gnl|META|MONOMER-11759	WP_037609145.1	2.8e-01	41.7	36	30.0	55.6	7.1
gnl|META|MONOMER-11752	WP_008534927.1	1.7e-04	27.0	122	40.4	54.9	28.8
gnl|META|MONOMER-11719	WP_037608903.1	5.0e-24	27.3	315	105.1	44.4	84.4
gnl|META|MONOMER-11719	WP_008534705.1	6.5e-24	29.0	259	104.8	46.3	67.4
gnl|META|MONOMER-11700	WP_008533907.1	1.1e-43	33.8	296	170.2	50.7	94.5
gnl|META|MONOMER-11700	WP_008535012.1	6.8e-43	34.5	296	167.5	53.7	93.9
gnl|META|MONOMER-11697	WP_008533839.1	1.1e-23	30.7	267	103.6	49.4	88.6
gnl|META|MONOMER-11691	WP_008534085.1	1.1e-13	27.5	313	70.5	41.2	95.1
gnl|META|MONOMER-11687	WP_008534610.1	3.0e-74	36.7	466	272.3	55.4	97.7
gnl|META|MONOMER-11686	WP_008534609.1	2.0e-45	29.3	461	176.4	45.8	97.2
gnl|META|MONOMER-11684	WP_008534608.1	2.9e-76	43.1	325	278.5	66.2	98.8
gnl|META|MONOMER-11683	WP_008534604.1	6.8e-33	32.3	316	134.4	50.0	92.7
gnl|META|MONOMER-11666	WP_008534419.1	1.9e-44	48.1	233	172.9	60.9	62.2
gnl|META|MONOMER-11663	WP_008534303.1	7.1e-50	29.2	462	191.4	48.3	91.5
gnl|META|MONOMER-11617	WP_002889219.1	4.0e-03	39.3	56	35.8	53.6	14.0
gnl|META|MONOMER-1161	WP_021145961.1	2.3e-49	32.2	367	189.5	48.2	84.6
gnl|META|MONOMER-11609	WP_008535088.1	4.7e-01	32.4	37	29.3	59.5	7.3
gnl|META|MONOMER-11604	WP_008534867.1	7.3e-59	39.0	310	220.7	61.9	92.8
gnl|META|MONOMER-116	WP_008534320.1	4.3e-03	22.7	163	35.8	38.7	36.9
gnl|META|MONOMER-11596	WP_037608784.1	9.2e-01	44.4	36	28.5	61.1	6.2
gnl|META|MONOMER-11563	WP_008534331.1	7.8e-01	22.2	374	28.1	39.3	92.3
gnl|META|MONOMER-11561	WP_008535760.1	4.2e-01	29.9	67	29.6	50.7	11.4
gnl|META|MONOMER-11560	WP_008534303.1	1.6e-57	32.0	478	216.9	50.8	94.8
gnl|META|MONOMER-11558	WP_004184045.1	8.7e-01	30.6	36	27.7	61.1	11.3
gnl|META|MONOMER-11556	WP_002886558.1	1.1e-34	66.0	100	138.7	89.0	100.0
gnl|META|MONOMER-11555	WP_002886559.1	7.4e-31	61.8	102	125.9	71.6	100.0
gnl|META|MONOMER-11554	WP_002889219.1	2.5e-184	54.3	573	638.3	70.5	100.0
gnl|META|MONOMER-11550	WP_002888206.1	6.5e-07	32.8	125	48.5	47.2	27.9
gnl|META|MONOMER-11550	WP_008536221.1	9.3e-06	26.2	309	44.7	39.5	68.9
gnl|META|MONOMER-11548	WP_008536221.1	8.0e-09	26.0	311	55.1	43.4	60.8
gnl|META|MONOMER-11537	WP_008533943.1	2.1e-55	35.4	395	209.5	53.2	92.5
gnl|META|MONOMER-11526	WP_008533943.1	1.8e-72	39.2	378	266.2	59.0	92.1
gnl|META|MONOMER-115	WP_008535271.1	1.2e-01	32.9	85	30.0	50.6	35.7
gnl|META|MONOMER-11393	WP_008534316.1	5.4e-07	31.4	105	48.1	46.7	38.0
gnl|META|MONOMER-11384	WP_008534432.1	1.5e-06	21.2	255	47.0	39.6	66.5
gnl|META|MONOMER-11352	WP_008534735.1	1.1e-17	32.4	262	83.6	45.8	91.3
gnl|META|MONOMER-11350	WP_008534610.1	1.4e-11	27.1	181	63.9	47.0	43.9
gnl|META|MONOMER-11101	WP_002888050.1	1.2e-24	26.2	321	107.1	45.8	84.5
gnl|META|MONOMER-11088	WP_008534705.1	6.2e-22	28.0	354	98.2	44.6	90.3
gnl|META|MONOMER-11088	WP_037608903.1	7.6e-20	30.4	263	91.3	45.2	68.4
gnl|META|MONOMER-11081	WP_008534197.1	3.7e-01	25.0	72	29.6	51.4	13.1
gnl|META|MONOMER-11021	WP_008535425.1	6.3e-05	38.8	49	41.2	59.2	18.6
gnl|META|MONOMER-1101	WP_008534575.1	7.0e-02	28.6	77	32.0	42.9	14.7
gnl|META|MONOMER-11002	WP_008534331.1	4.2e-05	22.0	404	42.4	36.1	96.9
gnl|META|MONOMER-11001	WP_008535588.1	7.7e-10	21.9	333	58.2	40.8	79.1
gnl|META|MONOMER-10862	WP_008536057.1	4.2e-02	66.7	18	30.8	72.2	13.7
gnl|META|MONOMER-1083	WP_008534838.1	2.1e-10	21.8	505	60.5	37.8	86.6
gnl|META|MONOMER-1081	WP_008534560.1	5.2e-01	61.1	18	29.3	83.3	3.2
gnl|META|MONOMER-10621	WP_008535420.1	1.1e-43	28.7	509	171.0	43.2	84.8
gnl|META|MONOMER-1062	WP_008534887.1	3.2e-15	25.3	371	75.9	42.6	99.2
gnl|META|MONOMER-1061	WP_008533837.1	2.9e-28	28.6	385	119.4	46.8	89.4
gnl|META|MONOMER-10603	WP_008534274.1	6.0e-03	27.7	119	35.4	37.8	25.1
gnl|META|MONOMER-1056	WP_008533844.1	4.7e-02	50.0	36	30.8	61.1	24.8
gnl|META|MONOMER-1054	WP_008535634.1	5.5e-01	30.9	68	29.3	45.6	11.6
gnl|META|MONOMER-10304	WP_008535944.1	5.8e-71	47.7	302	260.8	65.6	98.0
gnl|META|MONOMER-10303	WP_008535937.1	5.7e-140	60.8	383	490.3	76.8	98.7
gnl|META|MONOMER-10301	WP_008535232.1	1.4e-18	32.2	211	86.3	49.8	90.7
gnl|META|MONOMER-10261	WP_008535241.1	1.8e-38	37.9	240	153.7	53.8	42.8
gnl|META|MONOMER-1021	WP_037609145.1	4.4e-15	27.0	304	75.5	47.7	71.4
gnl|META|MONOMER-10162	WP_008535338.1	7.6e-35	34.8	224	141.0	57.6	62.8
gnl|META|MONOMER-10161	WP_008535338.1	1.4e-36	36.6	227	146.7	57.7	66.1
gnl|META|MONOMER-10113	WP_008535467.1	1.5e-07	32.6	92	49.7	53.3	41.4
gnl|META|MONOMER-10112	WP_008535467.1	3.3e-05	30.3	89	42.0	49.4	37.6
gnl|META|MONOMER-10061	WP_004184018.1	1.2e-97	43.2	447	351.3	63.1	39.4
