NP_813815.1	gnl|META|EG10242-MONOMER	2.2e-38	27.5	363	156.0	51.8	96.5
NP_813817.1	gnl|META|EG10828-MONOMER	3.1e-24	24.6	386	109.0	44.0	98.4
NP_813818.1	gnl|META|EG10424-MONOMER	9.0e-181	44.8	805	629.8	57.9	99.4
NP_813819.1	gnl|META|EG10423-MONOMER	3.9e-168	40.3	842	588.2	56.1	96.8
NP_813821.1	gnl|META|EG10976-MONOMER	1.6e-13	37.8	98	72.4	64.3	50.5
NP_813822.1	gnl|META|EG10917-MONOMER	8.9e-14	51.4	70	72.0	65.7	88.6
NP_813823.1	gnl|META|G1I0R-14-MONOMER	3.7e-113	39.9	577	405.2	61.7	87.2
NP_813824.1	gnl|META|EG10870-MONOMER	1.2e-14	37.7	151	75.9	55.6	100.0
NP_813825.1	gnl|META|EG10236-MONOMER	4.4e-105	45.6	447	377.9	66.9	96.9
NP_813826.1	gnl|META|ADENYLOSUCCINATE-SYN-MONOMER	1.2e-117	48.3	424	419.5	66.5	98.1
NP_813827.1	gnl|META|G1I0R-1336-MONOMER	2.0e-34	31.4	277	142.5	53.1	95.8
NP_813828.1	gnl|META|MONOMER-17076	8.0e-37	25.7	534	151.4	44.2	92.8
NP_813829.1	gnl|META|MONOMER-15696	6.8e-15	29.6	247	79.3	44.9	24.6
NP_813830.1	gnl|META|MANX-MONOMER	2.0e-50	61.0	159	194.9	77.4	93.5
NP_813831.1	gnl|META|MANX-MONOMER	7.9e-64	40.7	322	240.4	61.2	97.3
NP_813832.1	gnl|META|MANY-MONOMER	4.7e-59	47.9	263	224.2	69.6	96.6
NP_813833.1	gnl|META|MANZ-MONOMER	5.9e-82	51.8	299	300.4	67.9	98.3
NP_813837.1	gnl|META|MONOMER-19906	7.6e-06	30.7	114	47.4	47.4	44.5
NP_813838.1	gnl|META|MALX-MONOMER	2.0e-162	57.8	516	568.5	73.8	97.9
NP_813839.1	gnl|META|EG10564-MONOMER	6.9e-94	44.6	386	340.5	61.9	95.5
NP_813840.1	gnl|META|STM4458-MONOMER	4.4e-23	43.5	124	103.6	64.5	96.0
NP_813841.1	gnl|META|MONOMER-7721	4.5e-42	22.8	839	169.5	42.6	94.7
NP_813847.1	gnl|META|GLUTSEMIALDEHYDROG-MONOMER	1.1e-105	46.9	416	379.8	67.5	98.8
NP_813848.1	gnl|META|GLUTKIN-MONOMER	5.4e-42	37.8	259	167.5	57.5	95.6
NP_813849.1	gnl|META|DUTP-PYROP-MONOMER	4.9e-11	32.1	165	63.9	46.1	100.0
NP_813852.1	gnl|META|EG11816-MONOMER	1.1e-44	53.8	156	175.6	71.2	99.4
NP_813853.1	gnl|META|MONOMER-13959	2.2e-179	63.7	482	624.8	78.4	99.4
NP_813854.1	gnl|META|SERINE-O-ACETTRAN-MONOMER	9.6e-32	44.2	165	132.9	60.6	89.4
NP_813855.1	gnl|META|CYSS-MONOMER	2.0e-105	43.8	477	379.0	58.7	99.6
NP_813857.1	gnl|META|G7845-MONOMER	1.7e-38	36.9	244	156.0	56.6	84.0
NP_813861.1	gnl|META|MONOMER-11959	4.4e-31	32.4	253	131.3	54.2	86.9
NP_813861.1	gnl|META|EG11294-MONOMER	1.3e-30	31.6	269	129.8	50.9	91.5
