gnl|META|MONOMER-11763	WP_007562900.1	1.4e-32	31.3	268	134.4	47.0	83.1
gnl|META|MONOMER-11760	WP_007558449.1	2.0e-02	31.4	51	35.0	56.9	9.3
gnl|META|MONOMER-11759	WP_007561518.1	9.9e-04	54.8	42	39.3	64.3	8.3
gnl|META|MONOMER-11759	WP_040313431.1	1.7e-03	50.0	38	38.5	68.4	7.5
gnl|META|MONOMER-11752	WP_007560217.1	1.1e-03	25.0	188	38.9	44.1	39.1
gnl|META|MONOMER-11751	WP_007564244.1	2.0e-01	40.6	32	31.2	59.4	8.5
gnl|META|MONOMER-11719	WP_007560927.1	7.5e-33	31.8	305	135.6	49.5	79.5
gnl|META|MONOMER-11719	WP_007558792.1	4.8e-32	31.7	325	132.9	45.2	82.2
gnl|META|MONOMER-11719	WP_007560651.1	2.4e-31	27.6	348	130.6	46.6	91.4
gnl|META|MONOMER-11712	WP_007561063.1	3.7e-05	28.0	107	44.3	43.0	17.4
gnl|META|MONOMER-11700	WP_007562268.1	3.4e-47	34.7	294	183.0	55.8	94.2
gnl|META|MONOMER-11699	WP_007561492.1	1.1e-13	30.2	159	72.0	47.2	40.8
gnl|META|MONOMER-11697	WP_007561492.1	1.3e-27	33.3	252	117.9	50.8	83.8
gnl|META|MONOMER-11695	WP_007561492.1	2.4e-12	28.8	153	67.4	45.1	43.1
gnl|META|MONOMER-11693	WP_007559685.1	1.8e-34	30.5	361	141.0	48.2	87.0
gnl|META|MONOMER-11692	WP_007559685.1	4.9e-44	31.2	362	172.9	51.7	77.5
gnl|META|MONOMER-11687	WP_007560135.1	6.7e-63	33.5	445	235.7	50.3	94.3
gnl|META|MONOMER-11684	WP_040312541.1	1.4e-11	24.4	270	64.7	41.9	81.3
gnl|META|MONOMER-11666	WP_007563371.1	2.5e-28	33.3	234	120.6	52.6	63.0
gnl|META|MONOMER-11664	WP_007564348.1	1.1e-02	23.9	213	35.0	41.8	66.4
gnl|META|MONOMER-1161	WP_007561159.1	9.0e-51	33.4	362	195.3	50.3	83.6
gnl|META|MONOMER-1161	WP_007561126.1	5.8e-50	33.3	360	192.6	49.2	82.9
gnl|META|MONOMER-11606	WP_007563488.1	2.2e-01	36.7	49	30.8	53.1	15.4
gnl|META|MONOMER-116	WP_007558400.1	6.7e-41	31.0	419	162.5	46.3	94.2
gnl|META|MONOMER-11590	WP_040312311.1	8.6e-01	22.7	97	29.3	42.3	21.2
gnl|META|MONOMER-11569	WP_007563488.1	1.7e-02	36.5	52	34.7	59.6	14.4
gnl|META|MONOMER-11563	WP_007558449.1	6.2e-03	51.4	35	36.2	71.4	9.1
gnl|META|MONOMER-11560	WP_007562080.1	7.0e-02	33.0	88	33.1	48.9	17.3
gnl|META|MONOMER-11558	WP_007563471.1	1.7e-01	23.1	108	31.2	43.5	32.9
gnl|META|MONOMER-11558	WP_007558656.1	3.8e-01	22.6	84	30.0	46.4	24.5
gnl|META|MONOMER-11557	WP_007563471.1	1.7e-01	23.1	108	31.2	42.6	32.8
gnl|META|MONOMER-11551	WP_007559213.1	1.2e-09	23.1	381	58.5	38.8	94.6
gnl|META|MONOMER-11550	WP_007560135.1	1.6e-02	47.1	34	35.0	64.7	7.8
gnl|META|MONOMER-11550	WP_007558449.1	2.7e-02	37.8	45	34.3	62.2	9.9
gnl|META|MONOMER-11549	WP_007559213.1	3.9e-05	27.2	276	43.5	43.1	70.1
gnl|META|MONOMER-11548	WP_007558449.1	2.4e-02	44.2	43	34.7	65.1	8.2
gnl|META|MONOMER-11537	WP_040312663.1	2.6e-45	33.3	342	177.2	52.3	80.2
gnl|META|MONOMER-11537	WP_007564376.1	2.2e-44	33.5	343	174.1	53.4	80.0
gnl|META|MONOMER-11534	WP_007560135.1	4.2e-02	42.4	33	33.5	63.6	8.4
gnl|META|MONOMER-11526	WP_007564376.1	3.4e-55	35.2	375	209.9	53.1	91.6
gnl|META|MONOMER-11526	WP_040312663.1	3.0e-51	34.4	375	196.8	50.4	89.2
gnl|META|MONOMER-11506	WP_007560135.1	1.2e-01	39.4	33	32.0	60.6	8.4
gnl|META|MONOMER-11384	WP_007560764.1	1.4e-09	24.6	248	58.2	41.5	66.2
gnl|META|MONOMER-11352	WP_007557941.1	2.4e-20	30.0	270	93.6	45.2	93.1
gnl|META|MONOMER-11350	WP_007562956.1	5.4e-16	26.3	308	79.7	42.9	72.4
gnl|META|MONOMER-11187	WP_007558158.1	5.5e-19	24.5	379	89.4	39.6	94.0
gnl|META|MONOMER-11101	WP_007559302.1	4.3e-19	23.9	335	89.7	43.0	86.6
gnl|META|MONOMER-11101	WP_007561069.1	4.3e-19	24.7	348	89.7	41.4	85.7
gnl|META|MONOMER-11101	WP_007558914.1	2.2e-18	24.4	344	87.4	41.6	86.0
gnl|META|MONOMER-11088	WP_007560927.1	2.4e-18	30.1	302	87.4	45.0	77.9
gnl|META|MONOMER-11086	WP_007558158.1	6.7e-23	25.8	391	102.4	43.2	91.5
gnl|META|MONOMER-11002	WP_007559213.1	8.7e-08	18.5	394	52.4	36.3	94.3
gnl|META|MONOMER-11001	WP_007559364.1	1.1e-05	23.7	152	45.4	40.8	34.5
gnl|META|MONOMER-1097	WP_007561412.1	1.3e-01	47.8	23	29.6	56.5	28.4
gnl|META|MONOMER-10862	WP_040312853.1	1.0e-21	43.5	131	97.1	59.5	93.9
gnl|META|MONOMER-1083	WP_007564410.1	1.6e-20	27.2	378	95.1	41.8	65.8
gnl|META|MONOMER-10821	WP_007564568.1	9.1e-02	30.9	81	32.3	44.4	21.4
gnl|META|MONOMER-1081	WP_007559500.1	5.1e-01	34.8	46	30.4	52.2	7.3
gnl|META|MONOMER-10801	WP_007562374.1	5.6e-55	33.6	450	209.5	51.1	86.9
gnl|META|MONOMER-10762	WP_007560478.1	2.9e-06	36.4	55	46.6	52.7	23.1
gnl|META|MONOMER-1062	WP_007559717.1	8.0e-27	29.6	361	115.5	45.2	96.2
gnl|META|MONOMER-1061	WP_007562821.1	2.0e-34	28.1	470	141.0	46.2	98.3
gnl|META|MONOMER-1056	WP_007561315.1	1.6e-07	50.0	36	50.1	88.9	24.8
gnl|META|MONOMER-1056	WP_007563146.1	1.0e-06	55.6	36	47.4	75.0	24.8
gnl|META|MONOMER-1055	WP_007563145.1	8.8e-98	52.0	367	351.3	72.2	95.5
gnl|META|MONOMER-1054	WP_007563148.1	4.1e-33	25.8	534	137.1	42.1	88.6
gnl|META|MONOMER-10405	WP_007562578.1	3.1e-02	32.4	74	33.5	44.6	24.6
gnl|META|MONOMER-10304	WP_007557943.1	2.8e-70	48.2	299	259.6	63.2	96.7
gnl|META|MONOMER-10303	WP_007558678.1	1.5e-76	37.5	379	280.8	56.7	97.7
gnl|META|MONOMER-10303	WP_040313280.1	1.2e-73	37.9	354	271.2	58.8	91.2
gnl|META|MONOMER-10301	WP_040312320.1	6.3e-19	33.0	185	88.6	50.3	80.0
gnl|META|MONOMER-10261	WP_007563978.1	3.1e-32	33.9	295	134.0	49.2	54.2
gnl|META|MONOMER-10261	WP_007562900.1	2.6e-31	31.5	279	131.0	49.5	50.5
gnl|META|MONOMER-1021	WP_007562956.1	3.5e-25	30.8	295	110.2	49.2	74.0
gnl|META|MONOMER-10162	WP_007563692.1	2.2e-34	33.9	236	140.6	54.2	66.3
gnl|META|MONOMER-10161	WP_007563692.1	4.4e-40	36.9	244	159.5	56.6	71.7
gnl|META|MONOMER-10061	WP_007561313.1	6.0e-102	44.7	452	366.7	60.6	40.0
gnl|META|MONOMER-1003	WP_040313451.1	2.3e-26	32.9	222	114.0	49.1	59.3
gnl|META|MONOMER-10025	WP_007562268.1	1.2e-03	26.0	104	38.1	47.1	38.0
gnl|META|MONOMER-10024	WP_007563009.1	1.8e-02	32.3	62	35.4	54.8	8.8
gnl|META|MODC-MONOMER	WP_007563385.1	8.1e-29	31.8	211	122.1	54.5	58.2
gnl|META|MODB-MONOMER	WP_007563384.1	3.1e-05	23.6	208	43.1	45.2	90.0
gnl|META|MMUM-MONOMER	WP_007561063.1	1.1e-13	25.5	322	71.6	40.4	94.8
gnl|META|MHPT-MONOMER	WP_007560171.1	4.8e-09	24.6	398	56.6	42.2	90.8
gnl|META|MHPELY-MONOMER	WP_007560764.1	4.7e-10	25.3	249	59.7	42.6	69.1
