gnl|META|MONOMER-11763	WP_003531562.1	1.9e-33	32.7	254	136.7	48.8	79.2
gnl|META|MONOMER-11763	WP_003532684.1	4.3e-33	32.7	260	135.6	51.2	79.9
gnl|META|MONOMER-11759	WP_044928511.1	1.2e-03	39.7	58	38.5	56.9	10.5
gnl|META|MONOMER-11759	WP_117755667.1	2.6e-03	26.0	96	37.4	50.0	18.3
gnl|META|MONOMER-11759	WP_003531328.1	3.4e-03	50.0	50	37.0	58.0	9.9
gnl|META|MONOMER-11759	WP_003532471.1	7.5e-03	46.3	41	35.8	63.4	7.9
gnl|META|MONOMER-11752	WP_044928665.1	1.6e-03	22.2	212	37.7	38.2	44.8
gnl|META|MONOMER-11733	WP_044928337.1	1.1e-01	53.8	26	31.6	65.4	6.6
gnl|META|MONOMER-11719	WP_044928738.1	2.8e-63	38.6	332	236.1	57.5	88.4
gnl|META|MONOMER-11700	WP_003528942.1	7.8e-51	36.9	298	194.5	58.4	95.5
gnl|META|MONOMER-11691	WP_003531891.1	2.5e-17	27.1	321	83.2	43.0	98.0
gnl|META|MONOMER-11687	WP_003527487.1	9.0e-75	36.5	463	274.6	55.3	97.4
gnl|META|MONOMER-11686	WP_003527485.1	8.8e-05	18.7	455	42.0	33.8	97.2
gnl|META|MONOMER-11684	WP_003527483.1	1.2e-81	45.8	325	297.0	65.5	99.1
gnl|META|MONOMER-11683	WP_143331458.1	1.6e-33	30.6	314	137.1	50.3	94.5
gnl|META|MONOMER-11666	WP_003532850.1	1.4e-59	45.2	283	223.8	62.5	75.4
gnl|META|MONOMER-11617	WP_003533028.1	1.2e-03	24.1	386	38.1	38.1	87.3
gnl|META|MONOMER-1161	WP_003528623.1	1.6e-51	31.3	386	197.2	47.4	89.8
gnl|META|MONOMER-11606	WP_044928396.1	4.2e-15	25.4	276	75.9	45.3	86.2
gnl|META|MONOMER-11604	WP_022237375.1	1.5e-55	34.2	310	210.3	60.0	93.4
gnl|META|MONOMER-11591	WP_003528453.1	1.8e-02	35.1	37	33.9	54.1	11.7
gnl|META|MONOMER-11591	WP_003531253.1	3.0e-02	37.8	37	33.1	54.1	11.7
gnl|META|MONOMER-11587	WP_003530244.1	1.3e-01	31.9	47	31.2	55.3	13.2
gnl|META|MONOMER-11583	WP_003533507.1	4.1e-01	34.9	43	30.0	55.8	8.6
gnl|META|MONOMER-11569	WP_044928396.1	1.9e-40	34.2	278	160.2	54.7	78.8
gnl|META|MONOMER-11558	WP_044928396.1	8.9e-42	34.4	291	164.5	53.6	90.0
gnl|META|MONOMER-11557	WP_044928396.1	1.2e-41	33.0	291	164.1	53.6	88.8
gnl|META|MONOMER-11554	WP_003533028.1	4.5e-04	43.8	48	40.0	60.4	8.1
gnl|META|MONOMER-11552	WP_044928396.1	1.0e-08	27.7	206	54.7	43.2	63.3
gnl|META|MONOMER-11551	WP_003529213.1	6.8e-01	48.5	33	28.9	63.6	8.9
gnl|META|MONOMER-11551	WP_003528612.1	8.8e-01	24.2	66	28.5	48.5	17.8
gnl|META|MONOMER-11550	WP_003528225.1	1.2e-04	30.8	159	41.6	44.0	35.9
gnl|META|MONOMER-11550	WP_081446348.1	7.7e-04	47.2	36	38.9	69.4	8.3
gnl|META|MONOMER-11549	WP_044928511.1	1.8e-01	22.6	106	30.8	42.5	26.7
gnl|META|MONOMER-11548	WP_081446348.1	8.9e-04	43.6	39	38.9	66.7	7.8
gnl|META|MONOMER-11548	WP_003532887.1	2.0e-03	43.6	39	37.7	69.2	7.8
gnl|META|MONOMER-11548	WP_003528225.1	7.5e-03	23.9	280	35.8	38.2	54.3
gnl|META|MONOMER-11537	WP_044929369.1	9.1e-42	30.1	412	164.9	46.1	94.1
gnl|META|MONOMER-11534	WP_044928841.1	1.9e-01	44.4	27	30.8	70.4	6.9
gnl|META|MONOMER-11534	WP_003532887.1	5.5e-01	33.3	33	29.3	60.6	8.4
gnl|META|MONOMER-11526	WP_044929369.1	4.7e-80	40.9	394	292.0	58.6	97.0
gnl|META|MONOMER-11506	WP_044928841.1	1.1e-01	44.4	27	31.6	66.7	6.8
gnl|META|MONOMER-11506	WP_081446282.1	3.2e-01	30.2	63	30.0	50.8	15.9
gnl|META|MONOMER-11506	WP_003528308.1	4.2e-01	39.3	28	29.6	71.4	7.1
gnl|META|MONOMER-11393	WP_003530066.1	3.7e-04	31.0	100	39.3	50.0	35.9
gnl|META|MONOMER-11384	WP_003527540.1	3.2e-08	23.3	262	53.1	40.1	67.9
gnl|META|MONOMER-11352	WP_117755661.1	3.0e-22	31.3	265	99.4	48.3	92.7
gnl|META|MONOMER-11352	WP_003532636.1	5.2e-22	30.8	266	98.6	45.9	92.4
gnl|META|MONOMER-11352	WP_003532609.1	1.5e-21	28.5	256	97.1	47.7	92.7
gnl|META|MONOMER-11352	WP_003528095.1	4.8e-20	30.7	267	92.0	47.6	92.7
gnl|META|MONOMER-11350	WP_003528612.1	2.6e-25	26.3	334	110.2	45.5	80.5
gnl|META|MONOMER-11210	WP_003527896.1	4.4e-01	27.0	63	29.3	46.0	20.1
gnl|META|MONOMER-11204	WP_003533745.1	3.1e-02	31.7	60	33.1	48.3	18.9
gnl|META|MONOMER-11184	WP_003530652.1	5.4e-01	38.7	31	29.6	64.5	6.2
