WP_002586598.1	gnl|META|MACB	2.4e-40	39.5	220	161.8	62.3	98.6
WP_002586598.1	gnl|META|ABC-MONOMER	1.0e-38	38.3	222	156.4	63.1	99.1
WP_003865061.1	gnl|META|EG10442-MONOMER	1.2e-01	38.1	42	31.6	61.9	61.8
WP_004611582.1	gnl|META|BSU11650-MONOMER	5.4e-16	25.1	223	80.9	43.5	99.6
WP_004611583.1	gnl|META|MONOMER-18910	3.8e-109	75.0	264	390.6	87.5	98.9
WP_004611584.1	gnl|META|AT1G22940-MONOMER	4.1e-37	41.1	214	151.0	60.3	98.1
WP_004611586.1	gnl|META|YPL117C-MONOMER	7.5e-07	30.5	151	50.1	45.0	75.5
WP_004611586.1	gnl|META|G6954-MONOMER	8.3e-06	37.7	61	46.6	54.1	37.4
WP_004611592.1	gnl|META|PHOR-MONOMER	1.6e-12	27.3	216	69.7	50.9	69.2
WP_004611592.1	gnl|META|BAES-MONOMER	4.8e-12	24.8	258	68.2	49.2	84.6
WP_004611595.1	gnl|META|CPXR-MONOMER	1.8e-24	31.7	227	109.0	57.3	98.6
WP_005340449.1	gnl|META|MONOMER-20814	1.8e-01	39.0	59	31.6	54.2	55.1
WP_005358391.1	gnl|META|ZNUA-MONOMER	3.1e-04	24.7	97	41.6	50.5	51.3
WP_005358441.1	gnl|META|EG11057-MONOMER	1.0e-08	30.1	123	56.6	49.6	57.8
WP_005358449.1	gnl|META|MONOMER-16314	5.2e-47	30.9	391	184.9	49.4	82.2
WP_005358455.1	gnl|META|NICONUCADENYLYLTRAN-MONOMER	1.0e-17	30.0	207	87.4	47.3	48.5
WP_005358460.1	gnl|META|EG11404-MONOMER	1.0e-15	37.2	137	80.9	54.7	26.7
WP_005358463.1	gnl|META|EG50002-MONOMER	4.0e-21	61.7	81	96.7	76.5	85.1
WP_005358474.1	gnl|META|EG50001-MONOMER	3.0e-22	46.6	103	100.5	70.9	100.0
WP_005358488.1	gnl|META|G7408-MONOMER	1.4e-03	54.8	31	39.7	67.7	13.8
WP_005358489.1	gnl|META|HISTCYCLOPRATPPHOS	7.6e-35	36.5	197	144.4	58.9	46.6
WP_005358491.1	gnl|META|IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER	4.4e-54	53.4	193	207.2	71.0	99.0
WP_005358491.1	gnl|META|AT3G22425-MONOMER	1.4e-52	50.0	196	202.2	68.4	100.0
WP_005358493.1	gnl|META|HISTDEHYD-MONOMER	1.6e-64	38.1	415	243.0	57.8	94.1
WP_005358495.1	gnl|META|HISS-MONOMER	1.7e-23	26.5	370	106.7	45.7	87.2
WP_005358504.1	gnl|META|STM4458-MONOMER	5.1e-24	47.6	124	106.7	61.3	97.6
WP_005358510.1	gnl|META|EG10613-MONOMER	3.3e-52	25.8	570	202.6	50.0	96.3
WP_005358514.1	gnl|META|MONOMER3O-504	1.6e-16	28.6	196	82.4	50.0	97.4
WP_005358514.1	gnl|META|HS00931-MONOMER	1.5e-14	29.3	188	75.9	48.9	95.3
WP_005358516.1	gnl|META|EG10746-MONOMER	5.9e-159	37.9	925	557.8	55.6	99.5
WP_005358519.1	gnl|META|MONOMER-14503	1.4e-104	36.1	782	377.1	52.3	86.6
WP_005358519.1	gnl|META|MONOMER-14495	1.8e-96	31.7	799	350.1	51.6	88.1
WP_005358529.1	gnl|META|MONOMER-18819	1.2e-90	35.8	575	330.9	51.7	62.0
WP_005358531.1	gnl|META|EG10484-MONOMER	1.2e-44	41.8	220	176.0	59.1	97.3
WP_005358540.1	gnl|META|HP0100-MONOMER	1.2e-22	34.4	183	102.8	54.1	85.8
WP_005358541.1	gnl|META|G185E-7240-MONOMER	5.7e-06	37.1	70	47.0	54.3	47.9
WP_005358546.1	gnl|META|EG10344-MONOMER	3.2e-13	26.3	316	72.8	47.2	59.5
WP_005358561.1	gnl|META|EG10924-MONOMER	1.2e-115	60.2	327	412.5	79.2	98.2
WP_005358563.1	gnl|META|EG10923-MONOMER	2.1e-24	34.8	201	108.6	55.7	98.5
WP_005358598.1	gnl|META|MONOMER-16201	2.5e-38	45.4	196	154.8	64.8	99.5
WP_005358599.1	gnl|META|MONOMER-16200	1.6e-23	33.1	181	105.9	55.2	76.0
WP_005358600.1	gnl|META|MONOMER-16199	4.5e-04	27.9	147	41.2	44.2	64.9
WP_005358602.1	gnl|META|STM2053-MONOMER	1.7e-37	30.6	346	153.3	48.3	73.9
WP_005358605.1	gnl|META|MONOMER-12255	5.2e-82	38.7	439	301.2	59.5	95.4
WP_005358617.1	gnl|META|ENSG00000079785-MONOMER	1.8e-01	24.4	82	34.3	48.8	12.2
WP_005358617.1	gnl|META|EG10844-MONOMER	2.3e-01	21.4	322	33.9	37.0	44.4
WP_005358621.1	gnl|META|EG10599-MONOMER	2.2e-164	58.8	529	575.1	74.9	98.0
WP_005358622.1	gnl|META|EG10600-MONOMER	2.4e-13	44.8	96	70.9	63.5	98.9
WP_005358625.1	gnl|META|BSU04040-MONOMER	9.6e-12	24.8	270	67.0	40.4	99.6
WP_005358629.1	gnl|META|GLNS-MONOMER	4.2e-174	53.7	542	607.4	70.5	97.3
WP_005358637.1	gnl|META|MONOMER-19997	5.5e-27	30.7	257	118.6	53.3	48.9
WP_005358637.1	gnl|META|BSU35650-MONOMER	2.1e-26	35.2	199	116.7	58.3	37.4
WP_005358640.1	gnl|META|MONOMER-6566	3.7e-22	27.8	295	101.7	46.1	95.3
WP_005358642.1	gnl|META|MONOMER-6567	1.0e-53	51.6	190	206.1	75.3	94.5
WP_005358645.1	gnl|META|EG10529-MONOMER	2.9e-17	32.8	180	87.0	51.7	20.2
WP_005358654.1	gnl|META|MONOMER-19925	1.8e-01	35.2	71	32.7	49.3	28.1
WP_005358657.1	gnl|META|EG10826-MONOMER	1.5e-38	28.5	527	157.5	44.0	61.1
WP_005358660.1	gnl|META|EG12130-MONOMER	3.0e-10	23.2	280	62.4	43.9	80.5
WP_005358683.1	gnl|META|G6198-MONOMER	2.8e-43	33.9	369	172.6	53.9	80.4
WP_005358683.1	gnl|META|MONOMER-63	3.6e-43	33.2	385	172.2	53.5	83.9
WP_005358683.1	gnl|META|MONOMER-16259	2.4e-42	31.5	410	169.5	50.5	89.2
WP_005358683.1	gnl|META|G185E-5050-MONOMER	4.9e-40	31.7	413	161.8	48.4	89.2
WP_005358683.1	gnl|META|MONOMER-13635	2.4e-39	31.0	364	159.5	51.4	80.4
WP_005358686.1	gnl|META|MONOMER-20007	3.7e-33	30.8	273	138.3	52.7	92.5
WP_005358688.1	gnl|META|GLUTSEMIALDEHYDROG-MONOMER	4.5e-101	45.2	416	364.4	68.3	100.0
WP_005358690.1	gnl|META|GLUTKIN-MONOMER	1.2e-46	41.5	258	183.0	57.8	98.9
WP_005358706.1	gnl|META|EG10306-MONOMER	3.3e-01	29.2	106	32.3	39.6	30.0
WP_005358716.1	gnl|META|DLACTDEHYDROGNAD-MONOMER	1.3e-85	50.0	330	312.8	68.5	98.8
WP_005358718.1	gnl|META|MONOMER-14149	1.6e-44	49.0	206	175.6	69.4	92.8
WP_005358720.1	gnl|META|MONOMER-14147	2.3e-194	72.2	453	674.5	85.9	98.9
WP_005358725.1	gnl|META|MONOMER-14146	1.5e-206	60.4	584	715.3	78.3	98.5
WP_005358726.1	gnl|META|MONOMER-14152	1.5e-16	39.6	101	81.6	61.4	95.3
WP_005358727.1	gnl|META|MONOMER-14148	1.5e-14	22.0	318	76.6	43.4	96.3
WP_005358730.1	gnl|META|MONOMER-14153	2.4e-29	49.7	151	124.8	64.9	92.1
WP_005358732.1	gnl|META|MONOMER-14154	1.2e-53	25.8	686	207.6	47.5	99.6
WP_005358740.1	gnl|META|PHOR-MONOMER	7.5e-15	27.8	212	78.2	51.4	42.6
WP_005358740.1	gnl|META|BAES-MONOMER	9.2e-13	25.0	236	71.2	46.6	48.7
WP_005358743.1	gnl|META|CPXR-MONOMER	2.6e-29	32.3	226	125.2	55.8	94.7
WP_005358745.1	gnl|META|BSU04040-MONOMER	4.1e-15	25.5	255	78.2	46.7	96.1
WP_005358747.1	gnl|META|MONOMER-18274	7.0e-17	40.6	106	83.2	67.9	74.6
WP_005358747.1	gnl|META|MANX-MONOMER	2.2e-15	33.6	125	78.2	57.6	88.0
WP_005358748.1	gnl|META|EG11957-MONOMER	2.7e-10	36.8	87	60.8	57.5	81.7
WP_005358750.1	gnl|META|MONOMER-18277	8.7e-45	54.1	157	176.0	73.9	100.0
WP_005358754.1	gnl|META|MONOMER-18276	2.6e-33	40.5	185	138.7	62.7	69.7
WP_005358756.1	gnl|META|MONOMER-13170	2.0e-25	23.7	367	112.8	48.8	96.6
WP_005358756.1	gnl|META|HS09974-MONOMER	4.6e-25	23.7	367	111.7	48.8	96.6
WP_005358756.1	gnl|META|MONOMER-13172	1.2e-22	25.0	364	103.6	46.7	96.9
WP_005358762.1	gnl|META|MONOMER-16470	4.2e-10	31.4	153	63.2	50.3	18.6
WP_005358763.1	gnl|META|MONOMER-10162	3.9e-01	29.4	68	32.0	47.1	22.6
WP_005358766.1	gnl|META|PD00219	4.0e-39	31.2	333	158.3	52.3	97.6
WP_005358768.1	gnl|META|MALG-MONOMER	1.2e-05	23.2	311	47.0	41.8	92.1
WP_005358776.1	gnl|META|UGPE-MONOMER	2.8e-12	25.1	239	68.9	43.9	82.0
WP_005358795.1	gnl|META|AT4G30580-MONOMER	8.9e-25	33.0	212	110.2	49.5	87.8
WP_005358803.1	gnl|META|MONOMER-15462	4.6e-54	40.2	266	207.6	62.4	98.1
WP_005358809.1	gnl|META|EG11294-MONOMER	4.5e-31	32.7	269	131.3	52.0	91.3
WP_005358818.1	gnl|META|MONOMER-6122	6.7e-159	48.4	579	557.0	67.7	100.0
WP_005358823.1	gnl|META|EG10690-MONOMER	1.6e-30	39.5	200	130.2	57.0	41.4
WP_005358827.1	gnl|META|MONOMER-6727	1.3e-16	22.1	358	84.0	43.0	74.7
WP_005358835.1	gnl|META|MONOMER-14558	8.6e-182	76.0	391	632.5	90.3	99.0
WP_005358841.1	gnl|META|MONOMER-19234	2.0e-103	43.1	448	372.9	63.6	66.8
WP_005358843.1	gnl|META|MONOMER-15461	7.1e-105	48.7	411	377.1	67.6	94.9
WP_005358843.1	gnl|META|UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER	1.4e-100	45.4	421	362.8	65.1	97.4
