Index_initial	Name_initial	Name_trimmed	Note	seq_counts	# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
1.0	Bacteroides_dorei_vulgatus	Bacteroides dorei		51.0	GCF_000156075.1	PRJNA224116	SAMN00000029	ABWZ00000000.1	na	483217	357276	Bacteroides dorei DSM 17855	strain=DSM 17855		latest	Scaffold	Major	Full	2008/10/09	ASM15607v1	Washington University Genome Sequencing Center	GCA_000156075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/075/GCF_000156075.1_ASM15607v1		assembly from type material
1.1		Bacteroides vulgatus		92.0	GCF_000012825.1	PRJNA224116	SAMN02604309		representative genome	435590	821	Bacteroides vulgatus ATCC 8482	strain=ATCC 8482		latest	Complete Genome	Major	Full	2007/06/27	ASM1282v1	Washington University (WashU)	GCA_000012825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/825/GCF_000012825.1_ASM1282v1		assembly from type material
2.0	Bacteroides_uniformis	Bacteroides uniformis		151.0	GCF_000154205.1	PRJNA224116	SAMN00627060	AAYH00000000.2	representative genome	411479	820	Bacteroides uniformis ATCC 8492	strain=ATCC 8492		latest	Scaffold	Major	Full	2007/07/30	ASM15420v1	Washington University Genome Sequencing Center	GCA_000154205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/205/GCF_000154205.1_ASM15420v1		assembly from type material
3.0	Faecalibacterium_prausnitzii	Faecalibacterium prausnitzii		79.0	GCF_000162015.1	PRJNA224116	SAMN00008827	ACOP00000000.2	representative genome	411483	853	Faecalibacterium prausnitzii A2-165	strain=A2-165		latest	Scaffold	Major	Full	2009/07/22	ASM16201v1	Washington University Genome Sequencing Center	GCA_000162015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/015/GCF_000162015.1_ASM16201v1		
4.0	Parabacteroides_distasonis	Parabacteroides distasonis		79.0	GCF_000012845.1	PRJNA224116	SAMN02604310		representative genome	435591	823	Parabacteroides distasonis ATCC 8503	strain=ATCC 8503		latest	Complete Genome	Major	Full	2007/06/27	ASM1284v1	Washington University (WashU)	GCA_000012845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/845/GCF_000012845.1_ASM1284v1		assembly from type material
5.0	Eubacterium_rectale	[Eubacterium] rectale		53.0	GCF_000020605.1	PRJNA224116	SAMN02603082		representative genome	515619	39491	[Eubacterium] rectale ATCC 33656	strain=ATCC 33656		latest	Complete Genome	Major	Full	2009/06/04	ASM2060v1	Center for Genome Sciences, Washington University School of Medicine	GCA_000020605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/605/GCF_000020605.1_ASM2060v1		assembly from type material
6.0	Alistipes_putredinis	Alistipes putredinis		2.0	GCF_000154465.1	PRJNA224116	SAMN00000002	ABFK00000000.2	representative genome	445970	28117	Alistipes putredinis DSM 17216	strain=DSM 17216		latest	Scaffold	Major	Full	2007/11/01	ASM15446v1	Washington University Genome Sequencing Center	GCA_000154465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/465/GCF_000154465.1_ASM15446v1		assembly from type material
7.0	Odoribacter_splanchnicus	Odoribacter splanchnicus		14.0	GCF_000190535.1	PRJNA224116	SAMN00713588		representative genome	709991	28118	Odoribacter splanchnicus DSM 20712	strain=DSM 220712		latest	Complete Genome	Major	Full	2011/02/28	ASM19053v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000190535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/535/GCF_000190535.1_ASM19053v1		assembly from type material
8.0	Ruminococcus_bromii	Ruminococcus bromii		18.0	GCF_900101355.1	PRJNA224116	SAMN02910441	FMUV00000000.1	representative genome	40518	40518	Ruminococcus bromii	strain=YE282		latest	Contig	Major	Full	2016/10/17	IMG-taxon 2593339225 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900101355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/355/GCF_900101355.1_IMG-taxon_2593339225_annotated_assembly		
9.0	Parabacteroides_merdae	Parabacteroides merdae		36.0	GCF_000154105.1	PRJNA224116	SAMN00627057	AAXE00000000.2	na	411477	46503	Parabacteroides merdae ATCC 43184	strain=ATCC 43184		latest	Scaffold	Major	Full	2007/05/25	ASM15410v1	Washington University Genome Sequencing Center	GCA_000154105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/105/GCF_000154105.1_ASM15410v1		assembly from type material
10.0	Bacteroides_thetaiotaomicron	Bacteroides thetaiotaomicron		41.0	GCF_000011065.1	PRJNA62913	SAMN02604314		reference genome	226186	818	Bacteroides thetaiotaomicron VPI-5482	strain=VPI-5482		latest	Complete Genome	Major	Full	2003/03/28	ASM1106v1	Washington University Department of Molecular Biology and Pharmacology	GCA_000011065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/065/GCF_000011065.1_ASM1106v1		assembly from type material
11.0	Bacteroides_xylanisolvens	Bacteroides xylanisolvens		90.0	GCF_006546965.1	PRJNA224116	SAMN12137749		na	371601	371601	Bacteroides xylanisolvens	strain=H207		latest	Complete Genome	Major	Full	2019/07/03	ASM654696v1	University of Washington	GCA_006546965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/965/GCF_006546965.1_ASM654696v1		
12.0	Ruminococcus_sp__5_1_39BFAA	Ruminococcus sp. 5_1_39BFAA		1.0	GCF_000159975.2	PRJNA224116	SAMN02463719	ACII00000000.2	na	457412	457412	Ruminococcus sp. 5_1_39BFAA	strain=5_1_39BFAA		latest	Contig	Major	Full	2013/08/28	Ruminococus_sp_5_1_39B_FAA_V2	Broad Institute	GCA_000159975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/975/GCF_000159975.2_Ruminococus_sp_5_1_39B_FAA_V2		
13.0	Bacteroides_ovatus	Bacteroides ovatus		53.0	GCF_001314995.1	PRJNA224116	SAMN03852683		representative genome	28116	28116	Bacteroides ovatus	strain=ATCC 8483		latest	Complete Genome	Major	Full	2015/10/15	ASM131499v1	Washington University in St. Louis	GCA_001314995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/314/995/GCF_001314995.1_ASM131499v1		assembly from type material
14.0	Roseburia_inulinivorans	Roseburia inulinivorans		12.0	GCF_000174195.1	PRJNA224116	SAMN00008857	ACFY00000000.1	representative genome	622312	360807	Roseburia inulinivorans DSM 16841	strain=DSM 16841		latest	Contig	Major	Full	2009/03/12	ASM17419v1	Washington University Genome Sequencing Center	GCA_000174195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/195/GCF_000174195.1_ASM17419v1		assembly from type material
15.0	X_Ruminococcus__torques	[Ruminococcus] torques		16.0	GCF_000153925.1	PRJNA224116	SAMN00627104	AAVP00000000.2	representative genome	411460	33039	[Ruminococcus] torques ATCC 27756	strain=ATCC 27756		latest	Scaffold	Major	Full	2007/05/25	ASM15392v1	Washington University Genome Sequencing Center	GCA_000153925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/925/GCF_000153925.1_ASM15392v1		assembly from type material
16.0	Escherichia_coli	Escherichia coli		18327.0	GCF_000008865.2	PRJNA57781	SAMN01911278		reference genome	386585	562	Escherichia coli O157:H7 str. Sakai	strain=Sakai substr. RIMD 0509952		latest	Complete Genome	Major	Full	2018/06/08	ASM886v2	GIRC	GCA_000008865.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2		
17.0	Eubacterium_eligens	[Eubacterium] eligens		18.0	GCF_000146185.1	PRJNA224116	SAMN02603083		representative genome	515620	39485	[Eubacterium] eligens ATCC 27750	strain=ATCC 27750		latest	Complete Genome	Major	Full	2009/06/04	ASM14618v1	Center for Genome Sciences, Washington University School of Medicine	GCA_000146185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/185/GCF_000146185.1_ASM14618v1		assembly from type material
18.0	Bilophila_wadsworthia	Bilophila wadsworthia		3.0	GCF_000701705.1	PRJNA224116	SAMN02841163	JNJP00000000.1	representative genome	1408428	35833	Bilophila wadsworthia ATCC 49260	strain=ATCC 49260		latest	Scaffold	Major	Full	2014/06/11	ASM70170v1	DOE Joint Genome Institute	GCA_000701705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/705/GCF_000701705.1_ASM70170v1		assembly from type material
19.0	Collinsella_aerofaciens	Collinsella aerofaciens		25.0	GCF_000169035.1	PRJNA224116	SAMN00627067	AAVN00000000.2	representative genome	411903	74426	Collinsella aerofaciens ATCC 25986	strain=ATCC 25986		latest	Contig	Major	Full	2007/05/07	ASM16903v1	Washington University Genome Sequencing Center	GCA_000169035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/035/GCF_000169035.1_ASM16903v1		assembly from type material
20.0	Bacteroides_caccae	Bacteroides caccae		47.0	GCF_002222615.2	PRJNA224116	SAMN07340701		representative genome	47678	47678	Bacteroides caccae	strain=ATCC 43185		latest	Complete Genome	Major	Full	2017/08/30	ASM222261v2	University of North Carolina at Chapel Hill	GCA_002222615.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/615/GCF_002222615.2_ASM222261v2		assembly from type material
21.0	Alistipes_shahii	Alistipes shahii		4.0	GCF_000210575.1	PRJNA224116	SAMEA3138370		representative genome	717959	328814	Alistipes shahii WAL 8301	strain=WAL 8301		latest	Chromosome	Major	Full	2010/03/25	ASM21057v1	metaHIT	GCA_000210575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/575/GCF_000210575.1_ASM21057v1		assembly from type material
22.0	Alistipes_sp__HGB5	Alistipes sp. HGB5		1.0	GCF_000183485.2	PRJNA224116	SAMN00116786	AENZ00000000.1	na	908612	908612	Alistipes sp. HGB5	strain=HGB5		latest	Contig	Major	Full	2010/12/02	ASM18348v1	J. Craig Venter Institute	GCA_000183485.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/485/GCF_000183485.2_ASM18348v1		
23.0	Coprococcus_comes	Coprococcus comes		11.0	GCF_000155875.1	PRJNA224116	SAMN00000016	ABVR00000000.1	representative genome	470146	410072	Coprococcus comes ATCC 27758	strain=ATCC 27758		latest	Scaffold	Major	Full	2009/03/17	ASM15587v1	Washington University Genome Sequencing Center	GCA_000155875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/875/GCF_000155875.1_ASM15587v1		assembly from type material
24.0	Dorea_longicatena	Dorea longicatena		16.0	GCF_000154065.1	PRJNA224116	SAMN00627086	AAXB00000000.2	representative genome	411462	88431	Dorea longicatena DSM 13814	strain=DSM 13814		latest	Scaffold	Major	Full	2007/05/25	ASM15406v1	Washington University Genome Sequencing Center	GCA_000154065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/065/GCF_000154065.1_ASM15406v1		assembly from type material
