gnl|META|MONOMER-11763	WP_033512478.1	5.7e-26	29.4	265	111.3	45.7	82.4
gnl|META|MONOMER-11760	WP_047750687.1	6.5e-01	39.5	38	28.9	57.9	6.8
gnl|META|MONOMER-11759	WP_003835023.1	1.9e-02	47.4	38	33.9	63.2	7.5
gnl|META|MONOMER-11752	WP_003834503.1	6.2e-04	29.8	57	38.5	50.9	13.7
gnl|META|MONOMER-11751	WP_033512647.1	1.0e+00	31.1	61	27.7	50.8	16.1
gnl|META|MONOMER-11719	WP_003836010.1	5.6e-57	34.8	330	214.5	57.0	88.1
gnl|META|MONOMER-11712	WP_003834513.1	9.5e-01	26.2	168	28.5	37.5	24.4
gnl|META|MONOMER-11708	WP_003836241.1	5.4e-01	38.9	36	27.3	58.3	22.9
gnl|META|MONOMER-11700	WP_033512999.1	5.8e-39	31.8	292	154.5	53.1	93.2
gnl|META|MONOMER-117	WP_003835390.1	3.1e-06	23.5	179	45.8	44.1	53.9
gnl|META|MONOMER-11697	WP_003834754.1	2.0e-01	25.5	110	29.6	40.0	35.9
gnl|META|MONOMER-11691	WP_003835037.1	2.8e-17	27.6	293	82.4	42.0	88.6
gnl|META|MONOMER-11687	WP_003834592.1	6.9e-68	35.1	487	251.1	50.5	97.2
gnl|META|MONOMER-11684	WP_003836412.1	1.3e-01	32.7	49	30.4	51.0	13.8
gnl|META|MONOMER-11667	WP_003835144.1	7.3e-02	23.9	67	32.0	47.8	12.8
gnl|META|MONOMER-11666	WP_033513092.1	1.2e-14	29.8	225	73.9	45.3	55.7
gnl|META|MONOMER-11664	WP_033512913.1	5.2e-05	26.7	187	41.6	43.3	58.3
gnl|META|MONOMER-11663	WP_003834700.1	3.1e-02	30.2	86	33.1	39.5	17.1
gnl|META|MONOMER-11635	WP_003834166.1	2.3e-01	33.3	39	29.6	51.3	11.9
gnl|META|MONOMER-1161	WP_003833554.1	7.1e-56	33.2	404	211.1	49.0	93.3
gnl|META|MONOMER-11604	WP_003834326.1	1.2e-69	39.7	310	256.5	64.8	93.1
gnl|META|MONOMER-11587	WP_003834503.1	1.1e-01	33.3	48	30.8	47.9	13.5
gnl|META|MONOMER-11583	WP_003835175.1	8.5e-08	27.0	89	51.6	53.9	17.8
gnl|META|MONOMER-11552	WP_003834601.1	2.9e-01	34.9	63	29.3	47.6	19.4
gnl|META|MONOMER-11550	WP_033513147.1	2.0e-05	32.3	124	43.5	46.8	27.9
gnl|META|MONOMER-11549	WP_033513147.1	1.5e-01	48.4	31	30.4	64.5	8.4
gnl|META|MONOMER-11548	WP_033513147.1	3.0e-05	26.9	134	43.1	47.8	26.4
gnl|META|MONOMER-11537	WP_003834623.1	1.7e-49	33.3	418	189.9	50.7	93.4
gnl|META|MONOMER-11534	WP_003835023.1	9.1e-05	33.0	97	41.2	50.5	23.6
gnl|META|MONOMER-11526	WP_003834623.1	3.2e-69	37.6	386	255.4	57.0	89.4
gnl|META|MONOMER-11506	WP_003835023.1	2.2e-03	31.4	102	36.6	47.1	23.5
gnl|META|MONOMER-11384	WP_003836716.1	2.2e-02	41.5	41	33.1	58.5	11.6
gnl|META|MONOMER-11354	WP_003836014.1	1.5e-01	48.1	27	30.0	63.0	9.3
gnl|META|MONOMER-11352	WP_003834601.1	7.0e-20	31.6	269	90.9	46.8	93.5
gnl|META|MONOMER-11350	WP_033513147.1	8.0e-04	23.4	290	38.1	40.7	66.1
gnl|META|MONOMER-11146	WP_003834764.1	1.7e-07	24.5	159	50.8	44.7	26.2
gnl|META|MONOMER-11101	WP_128805850.1	3.3e-19	26.3	300	89.0	44.0	83.7
gnl|META|MONOMER-11088	WP_003834865.1	5.5e-23	31.6	263	101.7	48.3	68.7
gnl|META|MONOMER-11002	WP_003835782.1	8.4e-03	46.7	30	34.7	70.0	7.7
gnl|META|MONOMER-1099	WP_003835613.1	8.9e-01	34.5	55	28.9	47.3	7.3
gnl|META|MONOMER-1095	WP_003835963.1	5.9e-01	29.5	61	27.3	50.8	35.7
gnl|META|MONOMER-10862	WP_033512885.1	9.7e-12	32.5	126	62.8	49.2	94.7
gnl|META|MONOMER-1083	WP_003833798.1	3.2e-16	24.7	462	79.7	41.1	73.3
gnl|META|MONOMER-1083	WP_003834928.1	3.5e-15	24.5	424	76.3	39.6	67.6
gnl|META|MONOMER-1083	WP_003835079.1	4.6e-15	22.3	533	75.9	38.5	87.2
gnl|META|MONOMER-10821	WP_033512735.1	2.5e-04	37.8	74	39.7	51.4	18.5
gnl|META|MONOMER-1061	WP_003836731.1	5.2e-67	54.7	243	248.1	71.2	58.4
gnl|META|MONOMER-1056	WP_003836110.1	1.7e-04	41.7	36	38.9	72.2	24.8
gnl|META|MONOMER-1054	WP_003836109.1	9.0e-33	24.3	518	134.8	41.7	86.9
gnl|META|MONOMER-10424	WP_047750658.1	6.6e-01	42.9	28	28.5	64.3	6.5
gnl|META|MONOMER-10405	WP_081450288.1	1.4e-07	25.3	245	50.1	39.6	77.9
gnl|META|MONOMER-10304	WP_033513187.1	3.8e-51	37.3	306	194.9	58.8	98.0
gnl|META|MONOMER-10303	WP_003835292.1	5.3e-66	36.9	388	244.6	53.6	97.9
gnl|META|MONOMER-10301	WP_003836488.1	1.2e-14	29.6	196	73.2	46.4	78.7
gnl|META|MONOMER-1028	WP_003835407.1	3.8e-01	65.4	26	28.9	69.2	6.9
gnl|META|MONOMER-10261	WP_033512478.1	3.4e-47	36.2	315	182.6	53.3	57.8
gnl|META|MONOMER-1021	WP_033512558.1	4.6e-01	39.5	38	28.9	60.5	9.9
gnl|META|MONOMER-1021	WP_003836416.1	7.8e-01	30.4	46	28.1	60.9	11.9
gnl|META|MONOMER-10162	WP_003834730.1	5.5e-30	33.7	261	124.8	51.3	71.2
gnl|META|MONOMER-10161	WP_003834730.1	1.3e-31	31.9	279	130.2	50.5	79.6
gnl|META|MONOMER-10112	WP_003834535.1	3.7e-01	30.2	43	28.5	51.2	18.1
gnl|META|MONOMER-10061	WP_003836110.1	2.5e-76	40.7	437	280.4	56.8	38.6
gnl|META|MONOMER-10061	WP_003836110.1	2.0e-04	37.5	80	41.6	56.2	6.7
gnl|META|MONOMER-1003	WP_003835412.1	6.1e-35	29.9	364	141.4	47.0	95.7
gnl|META|MODC-MONOMER	WP_003836394.1	3.2e-33	35.9	209	135.6	58.9	57.7
gnl|META|MODC-MONOMER	WP_003834496.1	2.7e-32	33.5	239	132.5	55.6	65.1
gnl|META|MODB-MONOMER	WP_003835657.1	5.6e-07	24.9	225	47.8	45.8	93.4
gnl|META|MODB-MONOMER	WP_128805852.1	1.1e-05	24.7	194	43.5	45.4	77.3
gnl|META|MHPT-MONOMER	WP_033513238.1	6.4e-06	24.5	143	45.1	50.3	35.2
gnl|META|MHPHYDROXY-MONOMER	WP_003834648.1	8.6e-01	37.5	40	28.5	57.5	7.2
gnl|META|MHPELY-MONOMER	WP_003836716.1	3.6e-02	39.0	41	32.3	56.1	12.2
gnl|META|MGLC-MONOMER	WP_003835668.1	2.6e-24	36.8	144	105.9	59.7	42.9
gnl|META|MGLA-MONOMER	WP_003835690.1	9.5e-23	26.9	242	101.3	49.2	47.4
gnl|META|MGLA-MONOMER	WP_003836553.1	1.6e-22	29.4	204	100.5	53.9	39.9
gnl|META|MGLA-MONOMER	WP_003836559.1	1.0e-21	26.5	223	97.8	50.2	43.7
gnl|META|MGI:94876-MONOMER	WP_003835175.1	1.5e-09	31.2	93	57.4	52.7	19.4
gnl|META|MGI:2183447-MONOMER	WP_003834764.1	8.5e-56	33.3	459	211.1	50.3	85.4
gnl|META|MGI:1929955-MONOMER	WP_033512999.1	3.3e-45	34.0	288	175.3	51.4	88.6
gnl|META|MGI:1914353-MONOMER	WP_003836413.1	1.5e-08	30.4	148	53.5	45.3	45.0
gnl|META|MGI:1353434-MONOMER	WP_003835367.1	5.2e-01	36.2	58	28.9	53.4	10.9
gnl|META|MGI:1328365-MONOMER	WP_003836370.1	2.5e-06	28.9	114	45.4	51.8	53.7
gnl|META|MGI:1306785-MONOMER	WP_128805850.1	9.9e-01	31.7	41	28.1	48.8	8.3
gnl|META|MGI:1277124-MONOMER	WP_033513227.1	1.2e-01	29.6	71	30.8	52.1	16.2
gnl|META|MGI:1261415-MONOMER	WP_003834373.1	6.3e-07	24.5	188	48.9	42.0	28.0
gnl|META|MGI:108024-MONOMER	WP_003835199.1	4.6e-01	46.9	32	28.5	50.0	10.7
gnl|META|METQ-MONOMER	WP_003834498.1	2.7e-40	37.0	265	158.7	50.2	93.7
gnl|META|METI-MONOMER	WP_003834493.1	4.3e-33	54.5	145	134.4	71.0	66.8
gnl|META|METHYLMALONYL-COA-MUT-MONOMER	WP_003835077.1	8.7e-06	31.2	96	45.4	50.0	13.4
gnl|META|METHYLENETHFREDUCT-MONOMER	WP_033512877.1	4.0e-37	34.0	265	148.3	49.8	88.2
gnl|META|METG-MONOMER	WP_003835859.1	9.9e-68	29.9	522	251.1	47.7	73.1
