gnl|META|MONOMER-11763	WP_006855346.1	2.7e-27	29.8	248	116.7	47.6	76.0
gnl|META|MONOMER-11759	WP_006858439.1	3.0e-04	45.2	42	40.8	73.8	8.3
gnl|META|MONOMER-11759	WP_006859062.1	3.0e-04	51.2	41	40.8	70.7	8.1
gnl|META|MONOMER-11752	WP_006856640.1	1.8e-02	39.4	33	34.7	72.7	7.9
gnl|META|MONOMER-11719	WP_006856639.1	5.7e-16	24.3	338	79.3	40.8	86.8
gnl|META|MONOMER-11712	WP_006855754.1	1.7e-04	28.2	149	42.0	47.0	23.9
gnl|META|MONOMER-11708	WP_006858309.1	7.7e-23	39.6	139	100.9	56.8	88.5
gnl|META|MONOMER-11700	WP_006859470.1	6.9e-07	39.6	48	48.9	68.8	15.5
gnl|META|MONOMER-11699	WP_006855857.1	2.9e-15	28.3	187	77.0	48.7	45.5
gnl|META|MONOMER-11697	WP_006855857.1	5.4e-46	40.5	252	178.7	58.7	83.8
gnl|META|MONOMER-11693	WP_006855164.1	7.8e-77	42.1	387	281.6	58.7	99.0
gnl|META|MONOMER-11692	WP_006855164.1	2.6e-73	39.6	369	270.0	59.6	84.0
gnl|META|MONOMER-11691	WP_006858225.1	9.2e-20	28.8	319	91.7	42.9	96.7
gnl|META|MONOMER-11687	WP_006859062.1	1.8e-06	30.3	122	48.1	45.1	25.7
gnl|META|MONOMER-11685	WP_006855576.1	6.2e-01	34.5	55	29.3	49.1	14.9
gnl|META|MONOMER-11684	WP_006858687.1	3.2e-23	28.3	254	103.2	47.6	76.5
gnl|META|MONOMER-11683	WP_006858688.1	4.6e-09	31.7	101	56.2	49.5	30.3
gnl|META|MONOMER-11683	WP_006858098.1	7.8e-09	31.3	131	55.5	48.9	38.8
gnl|META|MONOMER-11666	WP_006857650.1	1.4e-54	42.1	273	207.6	61.5	73.0
gnl|META|MONOMER-11636	WP_006855687.1	2.3e-01	39.5	38	30.8	55.3	9.6
gnl|META|MONOMER-11617	WP_006855412.1	3.2e-04	30.0	150	40.4	46.7	34.9
gnl|META|MONOMER-11617	WP_006855412.1	1.1e-01	28.0	107	32.0	43.0	25.4
gnl|META|MONOMER-11614	WP_044998450.1	7.5e-02	32.8	64	32.7	48.4	13.9
gnl|META|MONOMER-1161	WP_006855284.1	7.8e-54	31.8	409	205.3	47.9	94.3
gnl|META|MONOMER-11604	WP_044998470.1	1.2e-70	43.4	311	260.8	63.7	93.7
gnl|META|MONOMER-11604	WP_006857642.1	3.0e-69	41.3	310	256.1	66.1	93.4
gnl|META|MONOMER-116	WP_006856850.1	6.6e-48	31.9	420	185.7	46.0	93.3
gnl|META|MONOMER-11597	WP_006857690.1	8.0e-01	43.5	23	29.6	73.9	4.0
gnl|META|MONOMER-11563	WP_044998593.1	8.9e-01	50.0	36	28.9	66.7	9.1
gnl|META|MONOMER-11558	WP_006855146.1	9.9e-01	40.0	40	28.5	57.5	12.5
gnl|META|MONOMER-11557	WP_006855146.1	9.9e-01	40.0	40	28.5	57.5	12.5
gnl|META|MONOMER-11554	WP_006855412.1	2.1e-01	45.7	35	31.6	54.3	6.1
gnl|META|MONOMER-11551	WP_006857091.1	1.1e-03	20.1	318	38.5	39.3	81.4
gnl|META|MONOMER-11550	WP_006857090.1	1.4e-13	24.0	354	71.6	42.7	78.1
gnl|META|MONOMER-11548	WP_006857090.1	1.1e-14	25.0	284	75.5	44.0	55.1
gnl|META|MONOMER-11537	WP_006858403.1	3.5e-46	33.4	404	179.9	50.7	93.4
gnl|META|MONOMER-11534	WP_006858317.1	8.5e-02	48.4	31	32.3	64.5	7.9
gnl|META|MONOMER-11526	WP_006858403.1	8.2e-85	41.2	374	308.1	62.6	91.9
gnl|META|MONOMER-11506	WP_006858317.1	2.5e-01	45.2	31	30.8	67.7	7.8
gnl|META|MONOMER-114	WP_006856849.1	5.2e-26	25.8	400	112.8	43.8	91.8
gnl|META|MONOMER-11393	WP_006857208.1	8.6e-01	46.7	30	28.5	63.3	10.9
gnl|META|MONOMER-11388	WP_006856426.1	9.8e-01	35.7	42	28.5	50.0	11.7
gnl|META|MONOMER-11352	WP_006856014.1	4.5e-18	29.2	264	85.9	43.9	92.4
gnl|META|MONOMER-11352	WP_006857909.1	3.2e-16	29.4	255	79.7	43.1	89.8
gnl|META|MONOMER-11350	WP_006858439.1	5.0e-05	25.1	179	43.1	39.1	42.4
gnl|META|MONOMER-113	WP_006856849.1	5.8e-15	28.1	249	75.5	42.2	92.0
gnl|META|MONOMER-11204	WP_015520028.1	1.5e-41	35.1	316	164.1	52.2	98.4
gnl|META|MONOMER-11184	WP_044998937.1	9.1e-01	32.6	46	29.3	50.0	9.2
gnl|META|MONOMER-11101	WP_006856662.1	3.6e-33	31.1	322	136.3	47.8	89.8
gnl|META|MONOMER-11088	WP_006856639.1	7.1e-14	26.4	258	72.4	45.7	66.3
gnl|META|MONOMER-11002	WP_006857091.1	6.6e-07	21.5	209	49.3	42.1	53.0
gnl|META|MONOMER-1083	WP_134523544.1	1.1e-10	20.1	518	62.4	37.5	87.0
gnl|META|MONOMER-1083	WP_006859013.1	1.4e-10	20.5	488	62.0	39.1	81.1
gnl|META|MONOMER-10821	WP_006856725.1	1.3e-04	36.1	83	41.6	50.6	21.1
gnl|META|MONOMER-1081	WP_044998593.1	4.9e-03	50.0	32	37.0	71.9	5.7
gnl|META|MONOMER-1061	WP_044998875.1	1.3e-21	25.8	279	98.2	48.4	66.3
gnl|META|MONOMER-1056	WP_006856598.1	2.2e-03	51.6	31	36.2	71.0	21.4
gnl|META|MONOMER-1055	WP_006858047.1	9.2e-115	59.9	382	407.5	73.3	99.5
gnl|META|MONOMER-1054	WP_022113033.1	8.7e-19	23.3	510	89.4	38.8	85.3
gnl|META|MONOMER-10304	WP_006857199.1	8.4e-74	46.7	302	271.2	66.6	97.7
gnl|META|MONOMER-10303	WP_006857670.1	1.3e-82	39.7	378	300.8	61.1	96.6
gnl|META|MONOMER-10301	WP_044999213.1	8.2e-02	40.4	47	31.6	55.3	20.0
gnl|META|MONOMER-10261	WP_006856994.1	1.6e-35	33.9	295	144.8	51.9	52.2
gnl|META|MONOMER-1021	WP_006858439.1	3.1e-09	25.1	247	57.0	49.0	62.6
gnl|META|MONOMER-10162	WP_006856209.1	1.9e-37	37.7	236	150.6	54.2	66.6
gnl|META|MONOMER-10161	WP_006856209.1	1.4e-40	38.8	242	161.0	57.0	71.1
gnl|META|MONOMER-10113	WP_134523428.1	5.3e-01	28.0	82	28.9	51.2	35.6
gnl|META|MONOMER-10061	WP_006856598.1	1.5e-88	41.8	447	322.0	60.0	39.6
gnl|META|MONOMER-10061	WP_006856598.1	4.1e-01	32.9	79	31.6	46.8	7.0
gnl|META|MONOMER-1003	WP_006856426.1	1.5e-29	30.1	346	124.4	45.7	91.4
gnl|META|MONOMER-10024	WP_006858040.1	1.4e-01	33.3	45	32.3	55.6	6.6
gnl|META|MODC-MONOMER	WP_006857220.1	1.7e-38	38.1	236	154.1	58.9	66.5
gnl|META|MODB-MONOMER	WP_006857219.1	3.7e-34	41.3	213	139.0	56.8	92.6
gnl|META|MODA-MONOMER	WP_006857315.1	1.4e-16	29.9	254	80.9	45.7	87.9
gnl|META|MMUM-MONOMER	WP_006855754.1	2.1e-11	25.7	304	63.9	41.1	95.8
gnl|META|MHPF-MONOMER	WP_006856426.1	1.5e-01	38.6	44	31.2	52.3	12.3
gnl|META|MHPCHYDROL-MONOMER	WP_006858428.1	1.8e-01	29.3	75	30.8	46.7	25.3
gnl|META|MGLC-MONOMER	WP_006855633.1	1.3e-54	37.5	336	207.6	56.0	100.0
gnl|META|MGLB-MONOMER	WP_006855628.1	2.4e-50	37.0	311	193.4	56.9	91.3
gnl|META|MGLA-MONOMER	WP_006855634.1	4.2e-147	51.2	498	515.4	72.3	97.4
gnl|META|MGI:2444678-MONOMER	WP_006858060.1	7.8e-01	33.3	45	29.6	60.0	8.0
gnl|META|MGI:2135760-MONOMER	WP_006858396.1	3.2e-02	34.2	73	33.9	52.1	17.0
gnl|META|MGI:1929955-MONOMER	WP_006855516.1	3.5e-09	26.8	254	56.6	43.7	75.4
gnl|META|MGI:1861380-MONOMER	WP_006856197.1	7.5e-05	29.1	103	43.1	46.6	16.4
gnl|META|MGI:1328365-MONOMER	WP_044998615.1	2.9e-06	27.0	141	46.2	43.3	67.3
gnl|META|MGI:1306785-MONOMER	WP_015521164.1	2.0e-32	28.2	369	134.4	47.2	74.2
gnl|META|MGI:1261415-MONOMER	WP_006857198.1	7.2e-02	36.7	49	33.1	55.1	8.6
gnl|META|METQ-MONOMER	WP_006856722.1	2.3e-43	40.0	240	169.9	56.7	87.1
gnl|META|METI-MONOMER	WP_006856723.1	2.3e-33	49.0	151	136.3	69.5	69.6
gnl|META|METHYLENETHFREDUCT-MONOMER	WP_006859631.1	1.0e-44	32.0	272	174.5	52.2	90.5
gnl|META|METHGLYSYN-MONOMER	WP_006856155.1	2.4e-37	48.6	146	149.1	71.2	96.1
gnl|META|METHGLYSYN-MONOMER	WP_005602859.1	7.0e-37	48.6	148	147.5	68.9	97.4
gnl|META|METHCOCLTH-MONOMER	WP_006855754.1	2.6e-31	34.9	249	129.8	53.8	94.3
gnl|META|METG-MONOMER	WP_006857087.1	7.1e-73	27.7	697	269.2	46.3	99.0
gnl|META|MENF-MONOMER	WP_006855973.1	4.6e-17	25.2	266	83.2	47.0	60.3
gnl|META|MELB-MONOMER	WP_006855977.1	1.5e-61	33.6	438	231.1	53.7	91.5
gnl|META|MDTA	WP_006856969.1	1.2e-06	24.9	269	48.5	46.8	62.2
gnl|META|MANNPGUANYLTRANGDP-MONOMER	WP_015559783.1	7.8e-34	28.5	484	139.0	43.2	97.1
gnl|META|MANNONDEHYDRAT-MONOMER	WP_044998813.1	1.3e-63	36.9	393	237.7	54.7	98.7
gnl|META|MANNONDEHYDRAT-MONOMER	WP_044998880.1	3.4e-59	35.5	391	223.0	53.5	97.2
gnl|META|MALX-MONOMER	WP_006857949.1	3.1e-68	35.1	524	253.4	51.9	97.0
gnl|META|MALTODEXGLUCOSID-MONOMER	WP_044998768.1	1.5e-69	32.9	495	258.1	47.7	70.2
gnl|META|MALONYL-COA-ACP-TRANSACYL-MONOMER	WP_006855301.1	5.0e-58	44.8	288	218.8	61.8	93.2
gnl|META|MALK-MONOMER	WP_006859071.1	1.7e-81	60.2	246	297.0	75.2	66.0
gnl|META|MALIC-NADP-MONOMER	WP_044998978.1	2.9e-91	46.5	396	330.5	63.9	51.6
gnl|META|MALIC-NAD-MONOMER	WP_044998978.1	1.3e-19	24.7	433	92.0	40.6	75.9
gnl|META|MALG-MONOMER	WP_006858269.1	8.2e-26	31.0	300	111.7	49.3	98.0
gnl|META|MALF-MONOMER	WP_044999520.1	4.3e-38	35.2	253	153.3	57.7	48.6
gnl|META|MALF-MONOMER	WP_044999520.1	5.5e-01	48.0	25	30.0	68.0	4.9
gnl|META|MALE-MONOMER	WP_006856018.1	3.9e-07	34.7	101	50.1	47.5	23.2
gnl|META|MALDEXPHOSPHORYL-MONOMER	WP_006856503.1	3.0e-208	45.3	810	719.2	65.9	99.5
gnl|META|MALATE-DEHASE-MONOMER	WP_006857642.1	3.2e-12	26.0	331	66.6	44.7	97.8
gnl|META|MACB	WP_006855684.1	5.9e-61	51.4	218	229.6	73.4	33.6
gnl|META|MACA	WP_006856478.1	2.5e-03	21.3	338	37.4	40.8	88.1
gnl|META|MACA	WP_006856477.1	9.4e-03	26.3	289	35.4	42.6	77.4
gnl|META|LYXK-MONOMER	WP_006858126.1	6.9e-41	25.2	493	162.5	43.8	98.2
gnl|META|LYSU-MONOMER	WP_006855334.1	6.1e-138	52.4	502	485.0	68.1	99.4
gnl|META|LYSS-MONOMER	WP_006855334.1	3.6e-138	52.0	492	485.7	68.7	96.8
gnl|META|LYSDECARBOX-MONOMER	WP_006856576.1	4.4e-25	25.9	548	110.5	42.7	75.1
gnl|META|LYSDECARBOX-MONOMER	WP_015560075.1	3.8e-24	23.5	567	107.5	39.7	78.3
gnl|META|LUMAZINESYN-MONOMER	WP_006857205.1	8.2e-41	51.9	156	160.6	72.4	99.4
gnl|META|LTAA-MONOMER	WP_006856207.1	7.4e-07	26.4	246	48.9	40.7	70.9
gnl|META|LSERINEDEAM3-MONOMER	WP_006857223.1	5.5e-21	34.2	184	96.3	50.5	39.9
gnl|META|LSERINEDEAM2-MONOMER	WP_006857223.1	2.2e-17	31.5	181	84.3	48.1	39.8
gnl|META|LSERINEDEAM1-MONOMER	WP_006857223.1	2.8e-17	32.6	184	84.0	47.3	39.9
gnl|META|LIVM-MONOMER	WP_006855930.1	1.8e-29	35.7	272	124.4	54.0	61.4
gnl|META|LIVH-MONOMER	WP_006855931.1	1.4e-60	48.2	307	227.3	63.8	97.7
gnl|META|LIVG-MONOMER	WP_006855929.1	1.8e-61	46.4	250	229.9	66.4	98.0
gnl|META|LIVF-MONOMER	WP_006855928.1	5.7e-62	49.4	233	231.5	70.4	97.9
gnl|META|LINEPSEPA-MONOMER	WP_044999056.1	6.9e-02	32.7	55	32.3	56.4	17.1
gnl|META|LEUS-MONOMER	WP_006858755.1	2.1e-183	40.6	876	636.7	56.4	99.9
gnl|META|LEUD-MONOMER	WP_006858759.1	7.6e-15	43.9	98	74.7	54.1	48.8
gnl|META|LEUC-MONOMER	WP_006858758.1	1.5e-53	32.6	463	204.5	47.5	98.1
gnl|META|LDC2-MONOMER	WP_006856576.1	7.3e-20	22.5	546	93.2	40.1	75.0
gnl|META|LARGEILVB-MONOMER	WP_006857055.1	8.4e-120	40.0	555	424.9	59.3	98.0
gnl|META|LARGEILVB-MONOMER	WP_006855522.1	2.6e-113	39.0	572	403.3	56.6	97.3
gnl|META|LACY-MONOMER	WP_006859780.1	3.4e-01	35.0	60	30.4	48.3	13.9
gnl|META|LACTALDREDUCT-MONOMER	WP_015561451.1	2.5e-128	60.2	379	452.6	75.7	99.0
gnl|META|LACTALDDEHYDROG-MONOMER	WP_006855961.1	2.6e-05	23.0	152	44.3	45.4	29.6
gnl|META|L-LACTDEHYDROGFMN-MONOMER	WP_006856976.1	8.5e-02	30.4	92	32.3	48.9	21.2
gnl|META|L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER	WP_006855625.1	7.4e-122	40.9	611	431.8	59.7	100.0
gnl|META|L-ASPARTATE-OXID-MONOMER	WP_006856049.1	8.7e-74	39.7	398	271.9	57.3	73.5
gnl|META|KETOLREDUCTOISOM-MONOMER	WP_006858754.1	1.4e-41	36.8	299	164.9	53.8	58.5
gnl|META|KEFC-MONOMER	WP_006855924.1	2.9e-04	24.6	122	41.2	45.9	19.2
gnl|META|KDUD-MONOMER	WP_006856014.1	9.2e-42	38.8	260	164.5	58.5	98.8
gnl|META|KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER	WP_006855506.1	3.7e-44	43.8	192	172.2	65.6	90.1
gnl|META|KDPB-MONOMER	WP_006858712.1	3.7e-45	30.2	453	177.2	51.0	65.8
gnl|META|KDGALDOL-MONOMER	WP_006858213.1	4.7e-01	34.1	44	29.3	54.5	17.2
gnl|META|IMP-DEHYDROG-MONOMER	WP_006856976.1	1.6e-146	55.5	483	513.5	73.1	99.0
gnl|META|IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER	WP_015520729.1	2.3e-51	50.3	177	196.8	72.9	49.3
gnl|META|ILES-MONOMER	WP_006856505.1	2.2e-88	31.5	712	321.2	47.6	71.6
gnl|META|HYPOXANPRIBOSYLTRAN-MONOMER	WP_006856319.1	5.6e-46	52.7	169	177.9	72.2	94.9
gnl|META|HYCG-MONOMER	WP_006855961.1	2.1e-01	31.8	44	30.4	50.0	17.3
gnl|META|HYAA-MONOMER	WP_006856724.1	5.2e-01	42.9	35	29.6	60.0	8.3
gnl|META|HUTIBACSU-MONOMER	WP_006855618.1	1.6e-03	32.1	53	38.1	49.1	12.6
gnl|META|HS16231-MONOMER	WP_006856637.1	2.0e-03	24.1	158	38.1	42.4	30.1
gnl|META|MONOMER-17228	WP_044998444.1	2.3e-21	28.8	281	99.8	47.0	13.1
gnl|META|HS16070-MONOMER	WP_006858060.1	5.9e-01	39.5	38	30.0	68.4	6.9
gnl|META|HS15413-MONOMER	WP_006856206.1	3.4e-28	30.7	267	120.6	52.1	46.1
gnl|META|HS15341-MONOMER	WP_006855925.1	7.8e-06	28.7	101	45.4	48.5	30.9
gnl|META|HS15193-MONOMER	WP_006859013.1	6.5e-13	24.1	319	70.1	41.7	44.0
gnl|META|MONOMER-18789	WP_044998444.1	2.7e-24	24.0	363	109.8	42.7	13.8
gnl|META|HS14278-MONOMER	WP_006859633.1	6.9e-07	27.3	161	48.9	46.6	50.5
gnl|META|HS14230-MONOMER	WP_006856287.1	1.6e-03	53.3	30	37.0	80.0	16.0
gnl|META|HS13925-MONOMER	WP_044998493.1	4.1e-03	25.2	135	37.4	41.5	21.5
gnl|META|MONOMER-20281	WP_006855301.1	1.2e-15	27.3	293	80.9	40.3	13.2
gnl|META|HS13735-MONOMER	WP_015559741.1	1.1e-18	33.5	179	87.4	54.2	87.3
gnl|META|MONOMER-13706	WP_015559405.1	3.8e-07	39.4	71	48.5	62.0	53.0
gnl|META|MONOMER-13706	WP_006858544.1	3.2e-06	35.7	70	45.4	60.0	53.0
gnl|META|HS13229-MONOMER	WP_015559741.1	5.7e-01	26.3	118	29.3	52.5	35.4
gnl|META|ENSG00000004779-MONOMER	WP_015559405.1	1.1e-08	39.0	59	53.9	64.4	37.8
