gnl|META|MONOMER-11763	WP_003021174.1	6.6e-42	34.5	293	164.9	53.9	93.0
gnl|META|MONOMER-11759	WP_004221888.1	5.2e-04	34.2	79	39.7	51.9	14.7
gnl|META|MONOMER-11751	WP_004221420.1	1.8e-01	58.3	24	30.8	70.8	6.3
gnl|META|MONOMER-11751	WP_003021466.1	5.2e-01	37.0	27	29.3	74.1	7.1
gnl|META|MONOMER-11719	WP_003019828.1	1.1e-38	31.7	338	154.5	50.9	88.1
gnl|META|MONOMER-11714	WP_040351119.1	6.8e-01	28.9	76	28.5	46.1	25.6
gnl|META|MONOMER-11712	WP_003019618.1	6.5e-09	27.7	130	56.2	48.5	21.2
gnl|META|MONOMER-11708	WP_004221009.1	3.0e-27	42.3	137	115.2	58.4	87.3
gnl|META|MONOMER-11707	WP_040351217.1	2.8e-02	25.2	155	33.1	40.6	46.6
gnl|META|MONOMER-11706	WP_004221008.1	4.4e-36	32.8	320	145.6	49.7	97.0
gnl|META|MONOMER-11705	WP_004221008.1	1.6e-51	32.3	434	197.2	48.2	96.5
gnl|META|MONOMER-11700	WP_003021375.1	6.3e-45	33.9	304	174.9	54.9	95.8
gnl|META|MONOMER-11691	WP_040351043.1	2.6e-06	22.2	234	46.6	39.7	75.9
gnl|META|MONOMER-11688	WP_004221886.1	8.6e-02	29.0	62	32.3	54.8	11.3
gnl|META|MONOMER-11687	WP_022239228.1	2.8e-20	25.1	327	93.6	43.7	64.7
gnl|META|MONOMER-11684	WP_003022364.1	8.2e-27	31.1	273	114.8	48.0	83.2
gnl|META|MONOMER-11666	WP_003019911.1	1.5e-53	40.7	285	203.8	62.1	75.1
gnl|META|MONOMER-11664	WP_004220805.1	4.1e-01	31.7	41	29.3	53.7	13.9
gnl|META|MONOMER-11663	WP_003019729.1	1.9e-19	23.1	451	90.9	40.1	87.3
gnl|META|MONOMER-11617	WP_003019603.1	9.6e-62	34.8	382	231.1	55.0	94.5
gnl|META|MONOMER-11616	WP_003019601.1	3.4e-89	36.4	536	322.8	52.8	92.5
gnl|META|MONOMER-11614	WP_003021103.1	1.3e-06	20.8	404	48.1	38.4	84.1
gnl|META|MONOMER-1161	WP_004222785.1	9.1e-55	32.8	402	208.0	49.0	93.3
gnl|META|MONOMER-11609	WP_039925245.1	5.7e-136	49.6	494	478.0	68.0	97.2
gnl|META|MONOMER-11608	WP_039925245.1	9.9e-104	42.6	498	370.9	60.6	97.6
