gnl|META|MONOMER-11763	YP_535990.1	1.0e-30	29.4	255	127.1	49.4	79.2
gnl|META|MONOMER-11752	YP_536063.1	1.6e-04	20.8	231	40.4	39.8	51.8
gnl|META|MONOMER-11719	YP_536633.1	1.6e-19	28.5	277	90.1	43.0	67.7
gnl|META|MONOMER-11700	YP_535603.1	2.3e-51	36.0	292	195.7	57.2	93.5
gnl|META|MONOMER-11699	YP_535072.1	1.7e-11	27.3	161	63.5	46.0	41.3
gnl|META|MONOMER-11697	YP_535072.1	1.1e-23	29.1	254	103.6	47.6	84.8
gnl|META|MONOMER-11695	YP_535072.1	6.5e-10	26.3	152	58.2	42.1	42.8
gnl|META|MONOMER-11691	YP_536555.1	6.9e-16	25.3	288	77.8	42.0	93.2
gnl|META|MONOMER-11687	YP_535054.1	2.2e-151	56.5	469	528.5	73.1	99.6
gnl|META|MONOMER-11686	YP_535053.1	3.9e-62	37.5	429	231.9	54.1	97.6
gnl|META|MONOMER-11684	YP_535052.1	5.1e-86	47.4	327	310.8	66.7	100.0
gnl|META|MONOMER-11683	YP_535051.1	1.8e-54	37.5	307	206.1	58.6	92.7
gnl|META|MONOMER-11667	YP_535933.1	4.3e-02	25.8	159	32.7	45.3	26.3
gnl|META|MONOMER-11666	YP_535428.1	7.2e-52	46.4	237	197.6	66.7	63.5
gnl|META|MONOMER-11664	YP_534916.1	2.8e-35	32.4	275	142.1	52.7	92.9
gnl|META|MONOMER-11663	YP_536188.1	3.8e-40	29.5	437	159.1	45.8	87.1
gnl|META|MONOMER-11616	YP_536138.1	8.7e-01	38.3	47	28.5	48.9	7.9
gnl|META|MONOMER-1161	YP_536187.1	3.5e-55	31.9	404	208.8	49.8	93.8
gnl|META|MONOMER-11604	YP_536250.1	2.1e-55	36.6	303	209.1	60.4	91.0
gnl|META|MONOMER-116	YP_535479.1	6.1e-02	30.4	46	32.0	50.0	10.6
gnl|META|MONOMER-116	YP_535614.1	4.0e-01	27.2	92	29.3	47.8	18.2
gnl|META|MONOMER-11590	YP_163806.1	3.9e-01	23.2	125	29.3	37.6	29.4
gnl|META|MONOMER-11590	YP_535639.1	8.6e-01	27.7	65	28.1	50.8	15.1
gnl|META|MONOMER-11587	YP_536019.1	5.5e-01	27.4	62	28.5	51.6	17.4
gnl|META|MONOMER-11560	YP_536188.1	3.0e-45	30.9	398	176.0	47.5	80.1
gnl|META|MONOMER-11554	YP_535089.1	3.0e-01	25.0	104	30.0	40.4	18.1
gnl|META|MONOMER-11553	YP_536163.1	1.4e-28	32.8	253	120.2	50.6	68.9
gnl|META|MONOMER-11551	YP_163806.1	6.8e-02	35.3	34	31.6	61.8	9.2
gnl|META|MONOMER-11550	YP_536217.1	8.5e-04	30.7	114	38.1	43.9	25.6
gnl|META|MONOMER-11550	YP_536214.1	4.2e-03	38.6	57	35.8	57.9	12.9
gnl|META|MONOMER-11550	YP_536607.1	4.2e-03	38.6	57	35.8	54.4	13.1
gnl|META|MONOMER-11549	YP_535011.1	1.2e-01	34.0	47	30.8	53.2	12.7
gnl|META|MONOMER-11549	YP_535054.1	1.2e-01	31.4	35	30.8	62.9	9.4
gnl|META|MONOMER-11548	YP_536607.1	9.2e-10	33.8	133	58.2	49.6	26.4
gnl|META|MONOMER-11537	YP_536203.1	2.3e-01	41.0	39	30.0	56.4	9.2
gnl|META|MONOMER-11384	YP_536339.1	3.2e-01	43.8	32	29.3	62.5	9.1
gnl|META|MONOMER-11352	YP_536783.1	3.7e-21	30.8	266	95.1	46.2	92.7
gnl|META|MONOMER-11350	YP_536217.1	9.2e-08	28.5	207	51.2	44.9	48.3
gnl|META|MONOMER-11350	YP_536607.1	1.2e-07	24.8	290	50.8	41.0	67.8
gnl|META|MONOMER-11187	YP_536666.1	1.5e-03	29.2	96	37.0	46.9	27.5
gnl|META|MONOMER-11101	YP_535858.1	3.7e-26	29.1	323	112.1	47.4	90.4
gnl|META|MONOMER-11088	YP_536633.1	5.3e-42	30.5	374	164.9	50.5	96.8
gnl|META|MONOMER-11086	YP_536666.1	5.0e-10	26.5	181	58.5	47.0	49.2
gnl|META|MONOMER-11021	YP_536397.1	2.7e-05	31.6	76	42.4	42.1	28.8
gnl|META|MONOMER-1101	YP_535719.1	9.8e-01	33.3	42	28.1	50.0	8.7
gnl|META|MONOMER-11002	YP_535024.1	3.8e-03	54.8	31	35.8	67.7	8.0
gnl|META|MONOMER-11002	YP_536607.1	4.9e-03	50.0	30	35.4	66.7	7.7
gnl|META|MONOMER-11001	YP_535975.1	7.3e-21	25.7	378	94.7	46.3	90.5
gnl|META|MONOMER-10981	YP_535181.1	4.0e-01	50.0	30	28.5	60.0	10.9
gnl|META|MONOMER-10862	YP_535781.1	1.6e-17	39.5	119	82.0	60.5	89.3
gnl|META|MONOMER-1083	YP_535073.1	1.6e-28	23.5	494	120.6	43.1	90.1
gnl|META|MONOMER-10801	YP_535678.1	4.6e-01	27.3	88	29.3	45.5	16.9
gnl|META|MONOMER-10727	YP_535620.1	9.8e-01	31.1	61	28.9	44.3	7.4
gnl|META|MONOMER-10621	YP_536341.1	2.2e-04	33.0	88	40.4	46.6	14.3
gnl|META|MONOMER-1061	YP_535949.1	3.4e-58	34.1	413	218.8	55.4	97.6
gnl|META|MONOMER-1056	YP_535551.1	3.1e-03	40.0	35	34.7	68.6	24.1
gnl|META|MONOMER-10405	YP_534916.1	2.8e-35	32.0	266	142.1	51.1	91.7
gnl|META|MONOMER-10304	YP_536603.1	2.3e-72	47.2	303	265.4	66.3	98.0
gnl|META|MONOMER-10303	YP_536386.1	9.8e-68	34.3	382	250.4	56.8	97.4
gnl|META|MONOMER-10261	YP_534996.1	4.1e-32	30.6	317	132.5	48.3	55.3
gnl|META|MONOMER-10261	YP_535990.1	2.2e-30	29.7	263	126.7	51.7	48.0
gnl|META|MONOMER-1021	YP_163747.1	1.7e-16	31.5	197	80.1	52.3	49.6
gnl|META|MONOMER-10162	YP_536240.1	9.2e-01	31.0	71	27.7	46.5	20.5
gnl|META|MONOMER-10161	YP_536240.1	9.0e-01	40.6	32	27.7	65.6	9.4
gnl|META|MONOMER-10113	YP_536108.1	5.1e-05	22.9	118	41.2	53.4	52.3
gnl|META|MONOMER-10112	YP_536108.1	9.4e-05	27.7	65	40.4	53.8	27.4
gnl|META|MONOMER-10061	YP_535551.1	1.5e-270	44.8	1139	925.6	62.7	99.6
