#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000001215.1	PRJNA164	SAMN02803731		na	7227	7227	Drosophila melanogaster			suppressed	Chromosome	Major	Full	2007/10/22	Release 5	The FlyBase Consortium/Berkeley Drosophila Genome Project/Celera Genomics	GCA_000001215.1	identical	na		
GCF_000001215.2	PRJNA164	SAMN02803731	AABU00000000.1	na	7227	7227	Drosophila melanogaster			replaced	Chromosome	Major	Full	2007/10/22	Release 5	The FlyBase Consortium/Berkeley Drosophila Genome Project/Celera Genomics	GCA_000001215.2	different	na		
GCF_000001215.3	PRJNA164	SAMN02803731		na	7227	7227	Drosophila melanogaster			replaced	Chromosome	Major	Full	2014/07/25	Release 6 plus MT	The FlyBase Consortium/Berkeley Drosophila Genome Project/Celera Genomics	GCA_000001215.3	different	na		
GCF_000001405.10	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Major	Full	2004/02/04	NCBI34	International Human Genome Sequencing Consortium	na	na	na		
GCF_000001405.11	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Major	Full	2004/08/24	NCBI35	International Human Genome Sequencing Consortium	na	na	na		
GCF_000001405.12	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Major	Full	2006/03/03	NCBI36	International Human Genome Sequencing Consortium	na	na	na		
GCF_000001405.13	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Major	Full	2009/02/27	GRCh37	Genome Reference Consortium	GCA_000001405.1	identical	na		
GCF_000001405.14	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2010/08/05	GRCh37.p2	Genome Reference Consortium	GCA_000001405.3	identical	na		
GCF_000001405.17	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2011/06/24	GRCh37.p5	Genome Reference Consortium	GCA_000001405.6	identical	na		
GCF_000001405.21	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2012/07/09	GRCh37.p9	Genome Reference Consortium	GCA_000001405.10	identical	na		
GCF_000001405.22	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2012/08/31	GRCh37.p10	Genome Reference Consortium	GCA_000001405.11	identical	na		
GCF_000001405.23	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2012/12/18	GRCh37.p11	Genome Reference Consortium	GCA_000001405.12	identical	na		
GCF_000001405.24	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2013/03/26	GRCh37.p12	Genome Reference Consortium	GCA_000001405.13	identical	na		
GCF_000001405.25	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Patch	Full	2013/06/28	GRCh37.p13	Genome Reference Consortium	GCA_000001405.14	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.25_GRCh37.p13		
GCF_000001405.26	PRJNA168			na	9606	9606	Homo sapiens			replaced	Chromosome	Major	Full	2013/12/17	GRCh38	Genome Reference Consortium	GCA_000001405.15	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.26_GRCh38		
