WP_004291466.1	gnl|META|EG10529-MONOMER	3.6e-20	23.0	470	96.3	40.4	68.2
WP_004293868.1	gnl|META|EG10529-MONOMER	1.2e-18	23.3	472	91.3	40.5	68.2
WP_004293870.1	gnl|META|MONOMER-15696	2.7e-51	39.1	299	199.1	61.5	66.6
WP_004342663.1	gnl|META|MONOMER-2123	5.8e-04	47.4	38	41.2	73.7	14.0
WP_004342665.1	gnl|META|MONOMER-8428	2.6e-01	26.8	71	32.3	53.5	24.4
WP_004343809.1	gnl|META|G6131-MONOMER	4.8e-29	31.8	324	124.8	47.8	94.5
WP_004347317.1	gnl|META|MONOMER-15696	7.5e-51	39.7	282	197.6	59.6	66.3
WP_004347317.1	gnl|META|MONOMER-15696	1.5e-03	44.7	47	40.4	74.5	11.2
WP_004347319.1	gnl|META|MONOMER-20187	5.7e-26	25.3	324	114.8	46.3	83.7
WP_004347319.1	gnl|META|STM0163-MONOMER	1.0e-22	25.2	326	104.0	41.7	84.2
WP_004347322.1	gnl|META|EG12401-MONOMER	4.8e-64	37.7	345	241.1	56.5	97.1
WP_004347323.1	gnl|META|MONOMER-17334	4.0e-07	32.7	110	53.9	49.1	8.5
WP_004347323.1	gnl|META|BSU35550-MONOMER	2.0e-06	29.8	121	51.6	48.8	9.6
WP_004347323.1	gnl|META|AT1G20575-MONOMER	3.4e-06	29.3	123	50.8	48.8	9.7
WP_004347323.1	gnl|META|G185E-6255-MONOMER	5.8e-06	28.1	153	50.1	44.4	11.9
WP_004347329.1	gnl|META|BUKCLOS-MONOMER	1.3e-99	48.7	355	359.4	70.7	99.7
WP_004347332.1	gnl|META|MONOMER-16453	1.7e-19	31.9	229	92.8	45.4	76.2
WP_004347341.1	gnl|META|EG11266-MONOMER	2.0e-19	25.9	259	92.8	46.3	76.5
WP_004347344.1	gnl|META|MONOMER-20063	4.7e-22	26.3	357	101.7	47.1	96.3
WP_004347348.1	gnl|META|BSU35550-MONOMER	1.8e-47	40.5	247	185.7	60.7	98.0
WP_004347349.1	gnl|META|MONOMER-20015	2.6e-31	32.4	278	132.1	48.2	92.3
WP_004347349.1	gnl|META|MONOMER-20016	2.9e-30	31.5	248	128.6	50.8	84.7
WP_004347351.1	gnl|META|DCUB-MONOMER	7.4e-73	36.1	449	270.8	59.9	98.9
WP_004347351.1	gnl|META|DCUA-MONOMER	2.2e-72	37.5	440	269.2	59.5	98.0
WP_004347353.1	gnl|META|ANSB-MONOMER	5.2e-106	57.4	350	380.6	71.4	100.0
WP_004347356.1	gnl|META|ASPARTASE-MONOMER	4.3e-140	56.8	458	494.2	71.4	97.4
WP_004347362.1	gnl|META|MONOMER-17189	4.3e-01	25.0	84	32.7	45.2	14.9
WP_004347398.1	gnl|META|ASPKINIHOMOSERDEHYDROGI-MONOMER	2.2e-136	35.8	819	482.6	56.7	99.4
WP_004347415.1	gnl|META|MONOMER-13382	1.8e-74	38.5	452	276.2	55.8	96.3
WP_004347417.1	gnl|META|G7843-MONOMER	1.1e-52	34.8	316	203.4	54.7	95.1
WP_004347418.1	gnl|META|MONOMER-15494	3.2e-23	35.8	190	104.8	52.6	87.7
WP_004347421.1	gnl|META|YBHR-MONOMER	5.9e-03	20.9	277	38.5	41.2	64.6
WP_004347423.1	gnl|META|MONOMER-1056	3.5e-03	58.1	31	38.9	71.0	9.4
WP_004347423.1	gnl|META|MONOMER-13596	3.0e-02	42.6	47	35.8	57.4	14.3
WP_004347441.1	gnl|META|MONOMER-5701	1.8e-02	42.0	50	37.4	56.0	8.2
WP_004347441.1	gnl|META|ALPHA-AMYL-PERI-MONOMER	2.4e-02	38.1	42	37.0	61.9	7.0
WP_004347446.1	gnl|META|PD00219	1.6e-27	26.4	311	119.8	47.6	90.6
WP_004347447.1	gnl|META|AT1G71880-MONOMER	2.5e-12	22.6	455	69.7	39.6	93.2
WP_004347447.1	gnl|META|AT1G22710-MONOMER	3.2e-12	23.6	440	69.3	39.3	88.1
WP_004347449.1	gnl|META|AMYLOMALT-MONOMER	1.1e-22	26.1	402	105.1	42.3	42.8
WP_004347449.1	gnl|META|AMYLOMALT-MONOMER	7.8e-05	33.8	68	45.8	52.9	7.5
WP_004347453.1	gnl|META|MONOMER-16283	2.2e-38	25.9	495	156.8	43.6	76.1
WP_004347453.1	gnl|META|MONOMER-16314	1.4e-37	28.1	392	154.1	45.2	59.9
WP_004347456.1	gnl|META|ARSA-MONOMER	5.1e-01	50.0	34	31.2	61.8	14.8
WP_004347483.1	gnl|META|EG10013-MONOMER	4.1e-10	33.6	116	62.0	50.9	32.0
WP_004347494.1	gnl|META|AT2G24210-MONOMER	7.5e-03	22.6	177	38.1	44.1	40.8
WP_004347501.1	gnl|META|EG10442-MONOMER	6.6e-01	33.3	42	29.6	57.1	41.2
WP_004347505.1	gnl|META|EG10239-MONOMER	2.4e-42	30.4	359	170.6	51.3	33.6
WP_004347509.1	gnl|META|TRKH-MONOMER	2.0e-74	36.0	484	276.2	55.4	96.0
WP_004347511.1	gnl|META|ARCB-MONOMER	1.5e-23	29.1	306	107.1	50.0	58.1
WP_004347513.1	gnl|META|MONOMER-15696	1.3e-61	45.8	312	233.4	62.8	69.0
WP_004347515.1	gnl|META|EG10513-MONOMER	1.1e-102	39.9	557	370.2	59.4	97.9
WP_004347517.1	gnl|META|KDPB-MONOMER	4.4e-202	57.3	670	700.7	74.6	99.0
WP_004347518.1	gnl|META|EG10515-MONOMER	4.9e-21	36.9	168	97.4	54.2	85.2
WP_004347535.1	gnl|META|EG10293-MONOMER	8.8e-03	31.3	147	39.3	51.7	11.8
WP_004347557.1	gnl|META|EG10488-MONOMER	1.3e-08	29.7	138	57.0	50.0	37.2
WP_004347560.1	gnl|META|G185E-6687-MONOMER	2.5e-159	50.0	602	558.5	65.8	96.8
WP_004347561.1	gnl|META|G185E-6686-MONOMER	9.1e-84	45.3	322	306.6	63.4	95.5
WP_004347562.1	gnl|META|EG12013-MONOMER	4.4e-99	34.4	701	358.6	52.9	91.0
