gnl|META|MONOMER-11763	WP_005611934.1	2.1e-20	27.1	273	93.2	48.4	79.6
gnl|META|MONOMER-11763	WP_005609808.1	1.9e-18	25.1	315	86.7	43.2	98.1
gnl|META|MONOMER-11760	WP_005610887.1	2.4e-08	23.4	269	53.9	42.4	46.9
gnl|META|MONOMER-11759	WP_005612842.1	6.1e-06	57.1	49	45.8	63.3	9.7
gnl|META|MONOMER-11733	WP_005610279.1	6.0e-01	28.1	57	28.9	45.6	14.4
gnl|META|MONOMER-11719	WP_005611439.1	1.7e-45	33.4	305	176.8	52.5	81.1
gnl|META|MONOMER-11712	WP_005608436.1	1.9e-01	44.4	36	31.2	61.1	5.9
gnl|META|MONOMER-11700	WP_005608376.1	1.4e-45	35.5	296	176.8	54.7	94.8
gnl|META|MONOMER-11700	WP_044939786.1	5.0e-43	34.4	302	168.3	52.0	96.8
gnl|META|MONOMER-11700	WP_005611522.1	6.1e-41	31.8	296	161.4	56.1	94.5
gnl|META|MONOMER-11699	WP_005611056.1	5.9e-01	30.0	50	28.9	50.0	13.0
gnl|META|MONOMER-11691	WP_005611023.1	2.4e-21	30.2	318	96.3	45.0	96.4
gnl|META|MONOMER-11687	WP_005608401.1	3.8e-10	24.8	315	59.7	37.8	65.1
gnl|META|MONOMER-11686	WP_044941203.1	4.0e-03	29.6	71	36.2	50.7	14.4
gnl|META|MONOMER-11684	WP_005608530.1	3.8e-25	30.8	237	109.0	48.1	72.5
gnl|META|MONOMER-11683	WP_005608528.1	4.2e-08	25.6	180	52.4	45.6	50.6
gnl|META|MONOMER-11666	WP_005610151.1	6.8e-55	41.9	296	208.0	59.8	78.9
gnl|META|MONOMER-11664	WP_005609806.1	6.4e-32	30.2	291	131.3	49.1	98.3
gnl|META|MONOMER-11663	WP_044940507.1	6.6e-21	22.8	456	95.5	41.0	88.7
gnl|META|MONOMER-11640	WP_023922867.1	5.3e-01	26.0	73	28.9	45.2	20.6
gnl|META|MONOMER-11639	WP_023922277.1	8.5e-01	38.3	47	28.1	51.1	14.4
gnl|META|MONOMER-11614	WP_044940740.1	1.4e-01	34.6	52	31.2	48.1	11.5
gnl|META|MONOMER-1161	WP_005610115.1	7.5e-58	34.0	377	218.0	50.9	87.6
gnl|META|MONOMER-11606	WP_005611054.1	8.3e-17	23.2	276	81.3	47.5	86.5
gnl|META|MONOMER-11604	WP_005613059.1	1.1e-64	41.1	302	240.4	64.2	91.0
gnl|META|MONOMER-11604	WP_005608655.1	3.9e-62	39.4	312	231.9	60.9	94.0
gnl|META|MONOMER-116	WP_005610537.1	2.2e-41	31.1	418	163.3	46.4	88.5
gnl|META|MONOMER-11590	WP_005609746.1	1.1e-03	24.5	110	38.1	43.6	23.3
gnl|META|MONOMER-11569	WP_005611054.1	4.1e-41	34.9	281	162.2	53.7	78.8
gnl|META|MONOMER-11563	WP_005611252.1	7.5e-01	41.2	34	28.5	64.7	8.8
gnl|META|MONOMER-11560	WP_044940507.1	8.6e-37	27.6	456	148.3	45.2	88.7
gnl|META|MONOMER-11558	WP_005611054.1	5.0e-38	32.1	280	151.8	52.1	87.8
gnl|META|MONOMER-11557	WP_005611054.1	2.1e-36	31.5	279	146.4	50.9	85.9
gnl|META|MONOMER-11552	WP_005611054.1	3.1e-11	25.4	287	62.8	41.8	87.7
gnl|META|MONOMER-11551	WP_005611252.1	8.7e-02	38.2	34	31.6	64.7	9.2
gnl|META|MONOMER-11551	WP_005610078.1	2.5e-01	28.8	52	30.0	50.0	14.0
gnl|META|MONOMER-11550	WP_005608401.1	7.1e-03	44.7	38	35.4	63.2	8.8
gnl|META|MONOMER-11549	WP_005611252.1	3.0e-02	44.4	36	33.1	61.1	9.7
gnl|META|MONOMER-11549	WP_044940379.1	8.7e-02	47.2	36	31.6	66.7	9.4
gnl|META|MONOMER-11548	WP_044904937.1	2.2e-03	27.1	129	37.4	44.2	25.6
gnl|META|MONOMER-11537	WP_081442932.1	4.1e-48	31.4	405	185.7	51.6	93.9
gnl|META|MONOMER-11534	WP_005612842.1	5.8e-04	34.2	73	38.9	57.5	16.5
gnl|META|MONOMER-11526	WP_081442932.1	2.8e-86	40.5	398	312.4	61.3	97.8
gnl|META|MONOMER-11506	WP_005612842.1	3.8e-03	33.3	69	36.2	56.5	15.4
gnl|META|MONOMER-115	WP_023922168.1	1.9e-22	33.5	194	99.4	50.5	91.9
gnl|META|MONOMER-114	WP_005610536.1	2.6e-23	24.7	360	103.2	45.3	85.2
gnl|META|MONOMER-11352	WP_005612943.1	4.0e-20	29.3	263	92.0	46.8	93.1
gnl|META|MONOMER-11350	WP_005608401.1	2.5e-02	30.9	68	33.5	47.1	16.3
gnl|META|MONOMER-113	WP_005610530.1	2.3e-09	25.3	237	56.2	41.8	84.7
gnl|META|MONOMER-11204	WP_005609650.1	8.4e-46	36.2	320	177.6	51.9	97.8
gnl|META|MONOMER-11101	WP_023922043.1	3.1e-30	29.0	310	125.9	48.1	86.6
gnl|META|MONOMER-11002	WP_005608447.1	1.6e-01	38.9	54	30.8	50.0	11.8
gnl|META|MONOMER-11002	WP_044904937.1	2.0e-01	33.3	30	30.4	66.7	7.7
gnl|META|MONOMER-1097	WP_005612581.1	8.0e-01	35.5	31	26.2	51.6	38.3
gnl|META|MONOMER-10862	WP_023920421.1	2.6e-01	36.2	47	28.5	51.1	35.9
gnl|META|MONOMER-10821	WP_005609224.1	1.2e-01	25.3	87	31.2	42.5	22.7
gnl|META|MONOMER-10821	WP_005609557.1	2.0e-01	36.4	66	30.4	47.0	17.2
gnl|META|MONOMER-10762	WP_005610864.1	1.4e-02	36.4	33	33.5	48.5	14.1
gnl|META|MONOMER-10762	WP_005612316.1	5.5e-02	48.0	25	31.6	68.0	10.7
gnl|META|MONOMER-10727	WP_005613166.1	5.6e-01	27.8	72	30.0	45.8	8.5
gnl|META|MONOMER-1061	WP_023922512.1	1.0e-27	28.6	301	117.9	52.8	70.4
gnl|META|MONOMER-1056	WP_044941054.1	9.0e-03	41.4	29	33.5	69.0	20.0
gnl|META|MONOMER-1056	WP_044941203.1	1.5e-02	38.6	44	32.7	59.1	25.5
gnl|META|MONOMER-1055	WP_005612560.1	2.7e-115	60.4	376	408.7	74.2	98.1
gnl|META|MONOMER-1054	WP_005612554.1	9.8e-24	22.9	520	105.1	39.2	85.9
gnl|META|MONOMER-1044	WP_005612283.1	1.5e-04	31.1	74	40.8	52.7	19.5
gnl|META|MONOMER-1043	WP_044940995.1	3.4e-14	23.5	307	73.2	41.0	62.5
gnl|META|MONOMER-10405	WP_005609806.1	2.6e-38	31.0	281	152.5	52.0	97.2
gnl|META|MONOMER-10304	WP_044940111.1	1.0e-72	48.8	299	266.9	65.6	96.7
gnl|META|MONOMER-10303	WP_005609511.1	4.6e-78	37.4	380	285.0	59.5	96.9
gnl|META|MONOMER-10301	WP_005610615.1	4.8e-03	44.2	43	35.0	55.8	18.7
gnl|META|MONOMER-1028	WP_005609549.1	4.9e-01	40.0	40	28.9	50.0	12.5
gnl|META|MONOMER-10261	WP_023922444.1	3.2e-37	33.5	284	149.8	51.1	50.8
gnl|META|MONOMER-1021	WP_005610660.1	1.0e-05	26.0	181	44.7	44.8	41.6
gnl|META|MONOMER-10162	WP_005610341.1	7.8e-45	37.5	251	174.5	59.4	71.2
gnl|META|MONOMER-10161	WP_005610341.1	1.3e-47	39.1	253	183.7	60.9	74.6
gnl|META|MONOMER-10061	WP_005612954.1	3.5e-102	44.7	452	366.7	61.1	40.0
gnl|META|MONOMER-1003	WP_005609746.1	2.2e-29	30.3	347	123.2	46.7	91.4
gnl|META|MONOMER-1003	WP_005610660.1	7.8e-27	28.7	359	114.8	44.3	92.7
gnl|META|MONOMER-10025	WP_023922191.1	5.5e-01	25.0	100	28.5	43.0	35.8
gnl|META|MONOMER-1001	WP_005610078.1	1.1e-02	48.4	31	34.7	74.2	7.8
gnl|META|MONOMER-1001	WP_005612842.1	3.2e-02	43.2	37	33.1	59.5	9.3
gnl|META|MODC-MONOMER	WP_023922430.1	1.2e-32	33.8	207	134.0	58.0	57.1
gnl|META|MODB-MONOMER	WP_005608919.1	4.4e-12	28.3	226	65.1	46.0	92.6
gnl|META|MMUM-MONOMER	WP_005610123.1	2.1e-17	29.8	309	83.2	46.9	96.8
gnl|META|MHPHYDROXY-MONOMER	WP_005608401.1	6.5e-01	38.2	34	29.3	55.9	6.1
gnl|META|MHPF-MONOMER	WP_005612232.1	6.3e-01	26.3	76	28.5	47.4	24.1
gnl|META|MGLC-MONOMER	WP_005609026.1	1.4e-54	40.7	339	206.8	60.5	96.7
gnl|META|MGLB-MONOMER	WP_005609021.1	5.1e-54	39.2	314	204.9	61.5	92.2
gnl|META|MGLA-MONOMER	WP_023920782.1	1.6e-152	51.9	497	532.7	74.6	98.0
gnl|META|MGI:2135760-MONOMER	WP_005611744.1	1.3e-01	24.3	107	31.2	44.9	24.7
gnl|META|MGI:1929955-MONOMER	WP_044939786.1	2.1e-52	37.5	293	199.5	56.0	90.2
gnl|META|MGI:1353434-MONOMER	WP_005611017.1	2.2e-04	26.6	143	40.4	44.8	30.9
gnl|META|METQ-MONOMER	WP_005611227.1	3.2e-30	32.9	258	125.6	48.4	91.9
gnl|META|METI-MONOMER	WP_005611225.1	3.6e-24	44.5	137	105.1	63.5	63.1
gnl|META|METHYLMALONYL-COA-MUT-MONOMER	WP_005610123.1	2.4e-08	23.7	169	54.3	45.0	22.5
gnl|META|METHYLENETHFREDUCT-MONOMER	WP_005610129.1	1.4e-47	35.1	271	183.3	53.5	90.2
gnl|META|METHGLYSYN-MONOMER	WP_005610063.1	5.1e-25	42.6	115	107.5	69.6	75.7
