WP_002558051.1	gnl|META|EG11232-MONOMER	1.6e-05	60.5	38	43.5	73.7	100.0
WP_002558075.1	gnl|META|EG10909-MONOMER	1.1e-24	54.0	100	108.6	76.0	99.0
WP_002558672.1	gnl|META|EG50003-MONOMER	1.6e-18	60.5	76	87.8	72.4	97.4
WP_002559159.1	gnl|META|MONOMER-16338	2.8e-01	65.0	20	30.0	70.0	35.7
WP_002559159.1	gnl|META|HDRAMAUTO-MONOMER	3.6e-01	45.0	20	29.6	70.0	35.7
WP_002559159.1	gnl|META|MONOMER-12649	8.0e-01	58.8	17	28.5	70.6	30.4
WP_002560155.1	gnl|META|EG10891-MONOMER	2.5e-03	45.5	33	37.0	78.8	53.2
WP_002561104.1	gnl|META|MONOMER-13731	2.9e-25	41.3	138	110.9	66.7	99.3
WP_002561589.1	gnl|META|RPOD-MONOMER	2.9e-54	41.4	268	208.4	67.5	92.3
WP_002561589.1	gnl|META|RPOS-MONOMER	9.3e-53	40.4	270	203.4	64.1	94.1
WP_004291234.1	gnl|META|EG10877-MONOMER	1.1e-38	59.7	134	155.6	76.9	93.1
WP_004295758.1	gnl|META|SYNPCC7942_0332-MONOMER	6.5e-02	42.9	42	32.7	69.0	49.4
WP_004295983.1	gnl|META|EG10886-MONOMER	7.4e-14	42.7	75	72.4	68.0	87.2
WP_004296231.1	gnl|META|YOR128C-MONOMER	5.0e-38	52.8	163	153.7	69.9	96.4
WP_004296328.1	gnl|META|EG10912-MONOMER	4.9e-30	53.0	115	126.7	75.7	91.3
WP_004296332.1	gnl|META|EG10888-MONOMER	5.9e-07	46.3	54	48.9	61.1	93.1
WP_004296335.1	gnl|META|EG10869-MONOMER	1.5e-38	42.9	184	155.6	66.8	97.4
WP_004296340.1	gnl|META|EG10875-MONOMER	1.4e-37	63.4	123	151.8	77.2	100.0
WP_004296345.1	gnl|META|EG10918-MONOMER	3.9e-26	59.1	88	113.2	78.4	98.9
WP_004296346.1	gnl|META|EG10865-MONOMER	1.6e-81	53.3	274	298.9	71.9	100.0
WP_004296358.1	gnl|META|EG10873-MONOMER	3.1e-21	48.3	116	97.4	68.1	93.5
WP_004297419.1	gnl|META|MONOMER-12693	2.7e-04	42.4	33	40.4	66.7	44.0
WP_004297419.1	gnl|META|NUOI-MONOMER	2.3e-03	51.6	31	37.4	58.1	41.3
WP_004297419.1	gnl|META|MONOMER-14243	3.0e-03	37.5	32	37.0	65.6	42.7
WP_004297419.1	gnl|META|MONOMER-12542	3.0e-03	45.5	33	37.0	57.6	44.0
WP_004297540.1	gnl|META|EG10881-MONOMER	2.1e-27	56.0	116	117.9	69.0	100.0
WP_004297742.1	gnl|META|MONOMER-15073	7.1e-05	46.5	43	45.8	62.8	5.3
WP_004297742.1	gnl|META|MONOMER-19862	3.5e-04	23.5	119	43.5	43.7	13.2
WP_004297742.1	gnl|META|MONOMER-15517	3.5e-04	24.2	124	43.5	41.9	13.8
WP_004299989.1	gnl|META|MONOMER-14836	9.3e-01	35.6	45	29.3	55.6	38.7
WP_004300582.1	gnl|META|MONOMER-17712	7.1e-18	25.5	428	88.6	42.1	67.5
WP_004300588.1	gnl|META|EG10458-MONOMER	1.1e-29	27.3	385	127.5	46.0	73.6
WP_004303570.1	gnl|META|MONOMER-16201	6.6e-39	48.7	193	156.8	64.8	98.4
WP_004306971.1	gnl|META|MONOMER-3844	3.6e-14	58.8	51	72.8	64.7	94.4
WP_004306971.1	gnl|META|MONOMER-19840	4.7e-14	55.8	52	72.4	65.4	96.3
WP_004307548.1	gnl|META|EG10872-MONOMER	1.9e-38	53.9	141	154.8	71.6	95.2
WP_004307964.1	gnl|META|EG10917-MONOMER	1.3e-16	55.4	65	81.6	80.0	72.2
WP_004308264.1	gnl|META|MONOMER-15884	4.9e-24	38.7	137	107.1	62.0	89.0
WP_004309474.1	gnl|META|EG10919-MONOMER	3.3e-06	40.2	87	47.0	52.9	100.0
