gnl|META|MONOMER-11763	WP_005968287.1	1.4e-21	25.8	248	97.1	45.6	76.4
gnl|META|MONOMER-11763	WP_008794054.1	1.8e-21	26.7	262	96.7	45.4	78.3
gnl|META|MONOMER-11759	WP_008793674.1	3.9e-02	44.1	34	33.1	67.6	6.7
gnl|META|MONOMER-11752	WP_008794099.1	4.1e-05	23.5	289	42.7	44.6	64.3
gnl|META|MONOMER-11712	WP_008793634.1	1.1e-06	29.4	85	48.5	56.5	13.8
gnl|META|MONOMER-11706	WP_005968936.1	5.7e-02	30.1	93	32.0	50.5	23.9
gnl|META|MONOMER-117	WP_008793185.1	3.7e-01	33.9	62	29.3	58.1	18.7
gnl|META|MONOMER-11699	WP_005968396.1	1.3e-18	28.3	230	87.4	47.8	59.0
gnl|META|MONOMER-11697	WP_005968396.1	1.3e-47	42.6	242	183.3	58.7	82.1
gnl|META|MONOMER-11695	WP_005968396.1	6.9e-14	29.8	191	71.6	46.6	51.8
gnl|META|MONOMER-11693	WP_008794683.1	3.2e-81	44.7	380	295.4	61.1	98.2
gnl|META|MONOMER-11692	WP_008794683.1	1.6e-84	42.7	372	306.6	63.4	85.9
gnl|META|MONOMER-11691	WP_008794370.1	2.3e-74	46.8	299	272.3	66.6	97.1
gnl|META|MONOMER-11687	WP_005966539.1	9.1e-46	30.5	452	177.9	46.7	94.0
gnl|META|MONOMER-11684	WP_008793300.1	9.2e-21	27.9	280	94.4	45.7	85.3
gnl|META|MONOMER-11666	WP_008793425.1	1.7e-55	39.5	296	209.9	61.5	79.2
gnl|META|MONOMER-11663	WP_008794046.1	3.9e-39	28.0	483	156.0	45.1	95.0
gnl|META|MONOMER-11637	WP_008793603.1	5.5e-01	46.2	26	28.9	57.7	6.8
gnl|META|MONOMER-11617	WP_008793690.1	3.6e-67	37.8	389	248.8	55.8	96.8
gnl|META|MONOMER-11616	WP_005968067.1	1.1e-87	36.4	552	317.4	52.2	95.0
gnl|META|MONOMER-1161	WP_005966912.1	8.7e-157	60.8	424	546.6	78.3	99.5
gnl|META|MONOMER-11609	WP_035467507.1	1.0e-135	49.9	499	476.9	69.9	97.6
gnl|META|MONOMER-11608	WP_035467507.1	1.1e-105	44.1	499	377.1	62.1	97.3
gnl|META|MONOMER-116	WP_008793279.1	2.7e-44	32.2	404	172.9	48.5	89.9
gnl|META|MONOMER-11569	WP_008794030.1	4.8e-15	24.4	271	75.5	47.2	71.7
gnl|META|MONOMER-11563	WP_008793674.1	9.3e-01	36.1	36	28.1	66.7	9.3
gnl|META|MONOMER-11560	WP_008794046.1	4.2e-102	41.8	486	365.2	61.3	97.0
gnl|META|MONOMER-11557	WP_008794030.1	3.7e-14	22.8	290	72.4	44.1	83.8
gnl|META|MONOMER-11554	WP_008793690.1	1.3e-01	41.7	36	31.6	58.3	6.3
gnl|META|MONOMER-11553	WP_008793813.1	6.7e-01	32.6	43	28.5	44.2	12.1
gnl|META|MONOMER-11552	WP_008794030.1	1.1e-29	29.7	290	124.0	48.6	88.0
gnl|META|MONOMER-11550	WP_035467949.1	9.4e-13	23.2	284	68.2	44.0	62.2
gnl|META|MONOMER-11549	WP_008794594.1	6.3e-10	23.0	382	58.5	42.7	92.7
gnl|META|MONOMER-11548	WP_035467949.1	5.0e-18	27.7	321	85.9	44.9	60.8
gnl|META|MONOMER-11537	WP_008793314.1	5.5e-34	28.7	422	138.7	46.4	96.0
gnl|META|MONOMER-11534	WP_035467949.1	2.0e-01	28.0	50	30.4	52.0	12.7
gnl|META|MONOMER-11526	WP_008793314.1	1.1e-28	26.9	335	120.9	47.8	78.6
