WP_000135199.1	gnl|META|EG10917-MONOMER	1.4e-37	100.0	75	151.0	100.0	100.0
WP_000242758.1	gnl|META|MONOMER-16458	5.5e-10	27.5	204	60.8	42.2	95.7
WP_001181005.1	gnl|META|EG10909-MONOMER	3.1e-51	98.1	103	196.8	99.0	100.0
WP_002919257.1	gnl|META|EG10910-MONOMER	1.4e-69	99.2	129	258.1	100.0	100.0
WP_004093904.1	gnl|META|ATPE-MONOMER	1.2e-34	98.7	79	141.4	100.0	100.0
WP_005280485.1	gnl|META|EG10871-MONOMER	1.5e-76	92.1	165	281.6	96.4	100.0
WP_005281373.1	gnl|META|EG10914-MONOMER	1.3e-40	93.3	89	161.4	96.6	100.0
WP_005281735.1	gnl|META|EG10908-MONOMER	4.3e-66	98.5	130	246.5	100.0	100.0
WP_005283058.1	gnl|META|PROTEIN-PII	1.5e-54	91.1	112	208.0	98.2	100.0
WP_005287307.1	gnl|META|EG10890-MONOMER	2.7e-20	82.5	57	93.2	87.7	100.0
WP_005288223.1	gnl|META|NUOI-MONOMER	1.6e-87	94.4	180	318.2	98.3	100.0
WP_005288753.1	gnl|META|STM14_RS23775-MONOMER	5.1e-34	36.9	233	141.0	58.4	89.8
WP_005290066.1	gnl|META|EG10891-MONOMER	6.0e-25	98.2	55	108.6	100.0	100.0
WP_005290354.1	gnl|META|EG10893-MONOMER	3.2e-182	98.2	329	633.6	99.4	100.0
WP_005290355.1	gnl|META|EG10903-MONOMER	5.0e-109	97.1	206	389.8	99.0	100.0
WP_005290360.1	gnl|META|EG10876-MONOMER	2.0e-51	76.4	144	198.0	84.0	100.0
WP_005290362.1	gnl|META|EG10888-MONOMER	1.2e-26	96.6	59	114.4	100.0	100.0
WP_005290366.1	gnl|META|EG10904-MONOMER	3.5e-84	96.4	166	307.0	98.2	100.0
WP_005290373.1	gnl|META|EG10907-MONOMER	1.2e-63	93.8	130	238.4	96.2	100.0
WP_005290380.1	gnl|META|EG10875-MONOMER	1.7e-64	98.4	123	241.1	100.0	100.0
WP_005290385.1	gnl|META|EG10887-MONOMER	5.3e-25	92.1	63	109.0	96.8	100.0
WP_005290387.1	gnl|META|EG10877-MONOMER	4.2e-72	98.5	136	266.5	100.0	100.0
WP_005290389.1	gnl|META|EG10902-MONOMER	5.7e-125	97.4	233	443.0	98.7	100.0
WP_005290393.1	gnl|META|EG10918-MONOMER	2.2e-48	96.7	92	187.2	98.9	100.0
WP_005290397.1	gnl|META|EG10883-MONOMER	7.3e-45	92.0	100	175.6	96.0	100.0
WP_005290509.1	gnl|META|CPXR-MONOMER	2.3e-41	41.9	236	165.2	62.3	95.4
WP_005293094.1	gnl|META|PRPPSYN-MONOMER	8.1e-167	95.2	315	582.4	97.5	100.0
WP_005293643.1	gnl|META|EG11231-MONOMER	5.2e-28	89.2	65	119.0	93.8	100.0
WP_005293837.1	gnl|META|EG50003-MONOMER	2.0e-29	91.8	73	124.0	97.3	93.6
WP_005295814.1	gnl|META|EG10920-MONOMER	2.2e-32	98.6	71	133.7	100.0	100.0
WP_005297111.1	gnl|META|MONOMER-539	2.8e-05	23.3	215	46.2	43.3	49.4
WP_008815462.1	gnl|META|EG11232-MONOMER	6.6e-15	92.1	38	74.7	97.4	100.0
WP_012846885.1	gnl|META|EG10242-MONOMER	2.7e-190	90.4	366	660.6	95.1	100.0
WP_012846896.1	gnl|META|GLYQ-MONOMER	1.3e-174	95.4	302	608.2	97.0	100.0
WP_012846980.1	gnl|META|RED-THIOREDOXIN-MONOMER	3.3e-51	86.1	108	196.8	91.7	100.0
WP_012847048.1	gnl|META|EG10942-MONOMER	1.6e-34	30.5	367	143.3	45.8	92.6
WP_012847052.1	gnl|META|EG10864-MONOMER	8.5e-113	90.6	234	402.5	95.3	100.0
WP_012847264.1	gnl|META|EG50002-MONOMER	1.2e-40	94.1	85	161.4	97.6	100.0
WP_012847365.1	gnl|META|EG12399-MONOMER	1.6e-06	34.9	83	48.1	51.8	92.2
WP_012847432.1	gnl|META|CPXR-MONOMER	8.3e-31	33.2	229	130.2	54.1	94.5
WP_012847450.1	gnl|META|PD00232	1.7e-01	34.0	53	33.1	56.6	17.3
WP_012847872.1	gnl|META|HS04076-MONOMER	9.6e-01	28.3	53	28.5	47.2	79.1
WP_012847991.1	gnl|META|MONOMER-17428	4.1e-09	29.7	148	57.4	47.3	97.9
WP_012848051.1	gnl|META|DCTP-DEAM-MONOMER	3.2e-97	87.6	193	350.5	92.7	100.0
WP_012848252.1	gnl|META|EG11404-MONOMER	1.0e-197	93.7	363	685.3	96.7	100.0
WP_012848395.1	gnl|META|PD00230	7.7e-02	29.1	86	33.1	46.5	62.9
WP_012848398.1	gnl|META|EG12433-MONOMER	1.4e-136	81.4	291	481.9	89.3	100.0
WP_012848409.1	gnl|META|MANY-MONOMER	8.5e-117	86.5	266	416.0	92.5	100.0
WP_012848501.1	gnl|META|YJR117W-MONOMER	3.5e-02	37.7	61	35.4	55.7	20.7
WP_012848501.1	gnl|META|EG11291-MONOMER	2.9e-01	25.0	140	32.3	42.1	45.8
WP_012848801.1	gnl|META|EG11232-MONOMER	4.1e-02	40.0	40	32.3	65.0	97.6
WP_012849063.1	gnl|META|ARTM-MONOMER	5.3e-80	69.8	222	293.5	82.0	100.0
WP_012849132.1	gnl|META|1-PFK-MONOMER	1.5e-160	88.5	312	561.6	94.6	100.0
WP_012849206.1	gnl|META|NUOK-MONOMER	3.4e-26	69.0	100	113.6	72.0	100.0
WP_012849213.1	gnl|META|NUOB-MONOMER	1.8e-120	91.5	224	427.9	96.9	100.0
WP_012849345.1	gnl|META|MONOMER-17076	5.2e-49	30.5	545	191.8	47.9	96.8
WP_012849475.1	gnl|META|MONOMER-20741	7.3e-01	39.3	28	29.3	67.9	32.2
WP_012849548.1	gnl|META|EG10270-MONOMER	3.9e-150	86.0	301	526.9	93.0	100.0
WP_012849638.1	gnl|META|G7324-MONOMER	6.4e-62	89.8	128	232.6	95.3	100.0
WP_012849935.1	gnl|META|STM4458-MONOMER	1.2e-57	88.3	128	218.4	94.5	100.0
WP_012850017.1	gnl|META|EG10912-MONOMER	3.2e-52	86.4	118	200.3	95.8	100.0
WP_012850020.1	gnl|META|EG10879-MONOMER	1.5e-46	84.6	117	181.4	88.0	100.0
WP_012850021.1	gnl|META|EG10869-MONOMER	2.8e-92	92.1	177	334.0	98.9	100.0
WP_012850024.1	gnl|META|EG10868-MONOMER	3.8e-97	97.8	179	350.1	98.9	100.0
WP_012850026.1	gnl|META|EG10916-MONOMER	1.8e-41	96.4	84	164.1	98.8	100.0
WP_012850028.1	gnl|META|EG10882-MONOMER	3.0e-52	95.5	110	200.3	99.1	100.0
WP_012850029.1	gnl|META|EG10865-MONOMER	1.3e-152	96.3	273	535.0	98.2	99.6
WP_012850030.1	gnl|META|EG10867-MONOMER	1.7e-101	96.5	201	364.8	98.0	100.0
WP_012850033.1	gnl|META|EG10906-MONOMER	4.9e-80	98.7	156	293.1	99.4	100.0
WP_012850034.1	gnl|META|EG10911-MONOMER	3.2e-66	96.8	124	246.9	99.2	100.0
WP_012850227.1	gnl|META|EG10889-MONOMER	1.6e-30	80.0	70	127.5	88.6	100.0
WP_012850322.1	gnl|META|ATPF-MONOMER	2.8e-51	91.0	156	197.6	95.5	100.0
WP_012850326.1	gnl|META|ATPD-MONOMER	6.3e-253	95.2	460	869.0	98.3	100.0
WP_012850327.1	gnl|META|ATPC-MONOMER	2.3e-65	91.4	139	244.2	95.7	100.0
WP_014524156.1	gnl|META|EG10873-MONOMER	8.0e-38	74.6	122	152.5	78.7	100.0
WP_015460658.1	gnl|META|EG10886-MONOMER	5.1e-38	94.9	78	152.5	97.4	100.0
WP_015460922.1	gnl|META|EG10919-MONOMER	7.7e-35	88.4	86	142.1	93.0	98.9
WP_015461119.1	gnl|META|EG10158-MONOMER	2.8e-99	85.0	206	357.5	93.7	99.5
