WP_000691758.1	gnl|META|EG10529-MONOMER	2.3e-19	24.3	436	93.6	41.3	65.4
WP_003497809.1	gnl|META|EG11232-MONOMER	6.9e-09	71.1	38	54.7	78.9	100.0
WP_004222305.1	gnl|META|EG10920-MONOMER	2.8e-09	56.4	55	56.6	70.9	94.8
WP_004844974.1	gnl|META|EG10613-MONOMER	1.1e-49	28.2	557	194.1	47.9	95.3
WP_004844978.1	gnl|META|MONOMER-14608	7.8e-52	47.5	217	199.9	64.1	100.0
WP_004844979.1	gnl|META|AT5G64300-MONOMER	2.7e-114	51.5	398	408.3	70.4	97.3
WP_004844979.1	gnl|META|MONOMER-18792	3.0e-105	48.2	392	378.3	67.6	96.3
WP_004844980.1	gnl|META|MONOMER-14609	1.8e-53	64.7	150	204.9	80.7	95.5
WP_004844981.1	gnl|META|GPH-MONOMER	2.1e-04	21.8	142	42.4	43.0	63.0
WP_004844985.1	gnl|META|PD00232	2.6e-18	27.3	260	89.0	45.8	86.0
WP_004845304.1	gnl|META|GLNQ-MONOMER	1.3e-29	38.3	201	125.9	56.7	95.1
WP_004845304.1	gnl|META|GLTL-MONOMER	3.9e-29	37.6	197	124.4	58.4	93.6
WP_004845304.1	gnl|META|MACB	9.6e-28	37.4	195	119.8	57.9	91.7
WP_004845304.1	gnl|META|CYSA-MONOMER	4.8e-27	38.2	199	117.5	59.3	92.6
WP_004845308.1	gnl|META|EG10574-MONOMER	6.2e-01	53.6	28	32.3	60.7	4.5
WP_005339874.1	gnl|META|G185E-7524-MONOMER	3.2e-12	54.2	48	66.2	68.8	92.3
WP_005339874.1	gnl|META|MONOMER-19840	1.6e-11	52.9	51	63.9	62.7	98.1
WP_005339874.1	gnl|META|G7413-MONOMER	3.6e-11	51.1	47	62.8	68.1	90.4
WP_005347230.1	gnl|META|MONOMER-15681	2.3e-68	41.4	331	255.4	60.1	99.7
WP_005421511.1	gnl|META|EG10238-MONOMER	1.7e-222	39.3	1183	769.2	57.0	99.1
WP_005421513.1	gnl|META|MONOMER-13044	3.2e-81	52.7	298	298.1	69.5	90.3
WP_005421513.1	gnl|META|6PFK-1-MONOMER	1.2e-80	51.1	315	296.2	64.8	95.7
WP_005421513.1	gnl|META|MONOMER-363	1.2e-80	47.5	320	296.2	67.5	97.0
WP_005421513.1	gnl|META|MONOMER-18281	1.2e-80	51.1	315	296.2	64.8	95.7
WP_005421520.1	gnl|META|MONOMER-16328	1.9e-17	29.8	178	85.9	50.6	67.1
WP_005421520.1	gnl|META|G7845-MONOMER	6.3e-16	29.6	159	80.9	49.7	61.2
WP_005421529.1	gnl|META|CHAINI-MONOMER	7.6e-107	60.4	328	383.3	73.2	97.3
WP_005421529.1	gnl|META|CHAINF-MONOMER	1.0e-106	60.2	332	382.9	72.0	98.5
WP_005421531.1	gnl|META|BIOTINLIG-MONOMER	2.3e-29	31.7	252	125.6	56.0	93.7
WP_005421541.1	gnl|META|MONOMER-19725	1.5e-06	31.4	121	49.7	49.6	46.5
WP_005421541.1	gnl|META|MONOMER-19731	2.0e-06	30.6	121	49.3	47.9	46.5
WP_005421541.1	gnl|META|CHRECP009-MONOMER	1.0e-05	29.8	121	47.0	47.1	46.5
WP_005421555.1	gnl|META|RELA-MONOMER	7.2e-08	36.9	122	53.9	46.7	53.1
WP_005421559.1	gnl|META|MONOMER-18687	5.0e-19	24.1	348	92.0	44.3	66.2
WP_005421559.1	gnl|META|MONOMER-18687	3.6e-01	44.1	34	32.7	64.7	7.1
WP_005421559.1	gnl|META|G6551-MONOMER	9.5e-18	23.9	410	87.8	42.7	76.9
WP_005421560.1	gnl|META|CPXR-MONOMER	3.3e-32	37.1	229	134.8	57.2	92.8
WP_005421561.1	gnl|META|BAES-MONOMER	1.5e-28	26.3	297	123.2	50.2	84.4
WP_005421563.1	gnl|META|MONOMER-20005	1.5e-11	30.8	182	65.9	50.5	86.8
WP_005421565.1	gnl|META|EG11057-MONOMER	3.7e-07	36.5	85	51.6	55.3	35.6
