NP_720488.1	gnl|META|EG10924-MONOMER	1.5e-01	42.9	35	33.9	57.1	7.7
NP_720489.1	gnl|META|EG10242-MONOMER	3.6e-28	24.0	375	122.1	48.3	99.2
NP_720491.1	gnl|META|EG11404-MONOMER	2.8e-110	55.3	371	394.8	72.0	100.0
NP_720492.1	gnl|META|EG10785-MONOMER	2.3e-31	37.6	173	131.7	57.2	91.0
NP_720493.1	gnl|META|EG10763-MONOMER	2.0e-08	29.9	187	58.2	42.8	16.1
NP_720498.1	gnl|META|G6096-MONOMER	2.9e-18	31.5	232	89.4	47.8	51.3
NP_720499.1	gnl|META|HYPOXANPRIBOSYLTRAN-MONOMER	9.7e-40	44.0	166	159.5	69.9	91.1
NP_720499.1	gnl|META|AT1G71750-MONOMER	6.9e-38	42.7	185	153.3	64.9	98.3
NP_720500.1	gnl|META|EG11506-MONOMER	7.6e-151	46.8	617	530.4	67.1	93.3
NP_720501.1	gnl|META|ENSG00000103257-MONOMER	3.3e-15	25.3	459	79.3	43.6	96.2
NP_720501.1	gnl|META|YHFM-MONOMER	1.1e-13	23.7	427	74.3	43.6	88.3
NP_720506.1	gnl|META|PRPPSYN-MONOMER	2.3e-84	50.9	316	308.5	75.3	97.2
NP_720507.1	gnl|META|MONOMER-18938	8.5e-57	35.7	389	217.2	56.8	98.7
NP_720508.1	gnl|META|EG10832-MONOMER	1.5e-01	24.8	153	33.1	43.8	58.2
NP_720509.1	gnl|META|MONOMER-14086	4.7e-149	82.3	328	523.5	89.9	98.8
NP_720510.1	gnl|META|EG50003-MONOMER	1.8e-09	40.8	71	57.8	64.8	86.6
NP_720511.1	gnl|META|EG10613-MONOMER	1.3e-29	37.9	195	125.9	57.9	95.3
NP_720512.1	gnl|META|SAICARSYN-MONOMER	1.4e-46	40.5	227	182.6	63.4	96.2
NP_720513.1	gnl|META|FGAMSYN-MONOMER	2.3e-47	25.3	1146	187.6	39.2	82.7
NP_720513.1	gnl|META|YGR061C-MONOMER	2.6e-43	24.8	1194	174.1	38.3	85.7
NP_720515.1	gnl|META|HS05157-MONOMER	1.9e-90	38.1	517	329.3	52.8	96.2
NP_720515.1	gnl|META|PRPPAMIDOTRANS-MONOMER	3.2e-82	38.5	486	302.0	57.0	96.5
NP_720517.1	gnl|META|AIRS-MONOMER	1.5e-94	52.4	340	342.4	70.3	98.5
NP_720518.1	gnl|META|GART-MONOMER	2.9e-31	38.0	179	131.3	58.1	93.5
NP_720518.1	gnl|META|HS08358-MONOMER	1.6e-29	34.3	181	125.6	58.6	94.6
NP_720520.1	gnl|META|AICARTRANSIMPCYCLO-CPLX	5.1e-134	48.6	535	474.2	65.2	100.0
NP_720528.1	gnl|META|ATOS-MONOMER	2.3e-04	26.0	104	43.5	51.0	19.5
NP_720531.1	gnl|META|GLYCRIBONUCSYN-MONOMER	3.5e-101	47.0	428	364.8	62.9	100.0
NP_720531.1	gnl|META|HS08358-MONOMER	2.5e-94	43.8	425	342.0	61.2	99.8
NP_720532.1	gnl|META|BIOTIN-CARBOXYL-MONOMER	3.5e-02	24.1	170	35.8	40.0	37.9
NP_720533.1	gnl|META|PURE-MONOMER	1.5e-44	61.6	146	175.3	78.1	90.1
NP_720534.1	gnl|META|YOR128C-MONOMER	3.1e-45	33.0	376	178.7	53.2	97.2
NP_720537.1	gnl|META|EG11157-MONOMER	2.1e-63	51.7	230	238.4	70.9	99.6
NP_720541.1	gnl|META|MONOMER-18798	3.5e-88	40.6	433	321.6	61.4	98.4
