gnl|META|MONOMER-11763	WP_011953898.1	1.1e-36	31.3	265	146.7	51.3	83.4
gnl|META|MONOMER-11760	WP_004035348.1	2.0e-04	41.3	63	40.4	63.5	10.9
gnl|META|MONOMER-11759	WP_011953669.1	1.0e-02	38.1	42	34.7	57.1	8.3
gnl|META|MONOMER-11751	WP_004032994.1	1.7e-10	29.1	172	60.1	46.5	43.9
gnl|META|MONOMER-11719	WP_011954478.1	5.3e-01	35.8	53	28.5	50.9	12.7
gnl|META|MONOMER-11700	WP_011954070.1	4.1e-07	21.8	308	48.5	40.9	91.6
gnl|META|MONOMER-11697	WP_011953970.1	6.4e-02	32.3	62	31.2	50.0	20.7
gnl|META|MONOMER-11692	WP_011953731.1	1.2e-01	43.2	37	30.8	56.8	8.6
gnl|META|MONOMER-11691	WP_011954351.1	6.1e-88	51.2	303	317.0	69.3	98.4
gnl|META|MONOMER-11687	WP_011954015.1	9.6e-24	23.9	360	104.4	43.6	76.6
gnl|META|MONOMER-11686	WP_004032991.1	3.5e-01	29.4	68	29.3	52.9	14.6
gnl|META|MONOMER-11666	WP_011954509.1	2.0e-37	38.5	234	149.4	56.8	63.0
gnl|META|MONOMER-11663	WP_011953908.1	3.8e-47	29.0	459	182.2	47.3	91.1
gnl|META|MONOMER-11639	WP_004032594.1	1.6e-01	26.1	134	30.0	40.3	36.7
gnl|META|MONOMER-11636	WP_011954607.1	3.1e-01	33.3	51	29.3	49.0	12.0
gnl|META|MONOMER-11617	WP_011954321.1	2.1e-03	22.2	225	36.6	42.2	50.9
gnl|META|MONOMER-11617	WP_004032662.1	6.1e-03	50.0	36	35.0	61.1	9.0
gnl|META|MONOMER-11614	WP_004032662.1	2.7e-15	24.1	357	76.3	43.1	76.7
gnl|META|MONOMER-1161	WP_011954150.1	8.2e-51	31.4	385	194.1	49.4	87.4
gnl|META|MONOMER-11606	WP_011954142.1	6.5e-16	26.1	253	77.8	47.8	78.1
gnl|META|MONOMER-116	WP_011954363.1	1.9e-42	29.2	435	166.4	47.4	97.5
gnl|META|MONOMER-11590	WP_004035290.1	2.1e-01	31.6	38	30.0	63.2	8.9
gnl|META|MONOMER-11583	WP_011954214.1	1.7e-10	26.3	194	60.5	46.9	37.8
gnl|META|MONOMER-11569	WP_011954142.1	5.5e-32	31.3	275	131.3	53.5	77.3
gnl|META|MONOMER-11561	WP_011953669.1	3.1e-03	37.7	61	36.6	55.7	10.4
gnl|META|MONOMER-11560	WP_011953908.1	4.2e-70	34.6	480	258.5	53.1	95.4
gnl|META|MONOMER-11558	WP_011954142.1	3.6e-30	29.8	272	125.2	50.4	85.0
gnl|META|MONOMER-11557	WP_011954142.1	7.2e-31	29.8	272	127.5	51.8	84.7
gnl|META|MONOMER-11554	WP_004032662.1	6.0e-04	47.6	42	38.9	61.9	7.4
gnl|META|MONOMER-11553	WP_011954561.1	7.3e-08	25.4	260	51.2	42.7	70.1
gnl|META|MONOMER-11550	WP_004033657.1	7.0e-05	51.4	35	41.6	74.3	8.1
