WP_005838768.1	gnl|META|ILES-MONOMER	2.5e-95	30.0	840	346.7	46.8	77.8
WP_005838772.1	gnl|META|EG11121-MONOMER	1.6e-15	35.2	122	79.0	56.6	69.4
WP_005838777.1	gnl|META|MONOMER-5946	5.1e-164	49.6	568	573.9	65.3	99.5
WP_005838779.1	gnl|META|EG10343-MONOMER	5.4e-01	37.0	54	31.6	53.7	16.3
WP_005838780.1	gnl|META|EG11852-MONOMER	3.2e-33	51.4	140	137.5	66.4	94.6
WP_005838788.1	gnl|META|HS09452-MONOMER	6.9e-29	43.5	184	123.6	57.6	82.5
WP_005838790.1	gnl|META|G7649-MONOMER	6.8e-07	34.2	79	49.3	50.6	90.8
WP_005838795.1	gnl|META|MONOMER-4142	3.9e-67	39.8	364	251.5	56.3	93.6
WP_005838795.1	gnl|META|MONOMER-20145	8.7e-67	37.9	364	250.4	57.1	93.6
WP_005838795.1	gnl|META|MONOMER-20392	9.4e-61	38.1	370	230.3	54.3	94.4
WP_005838802.1	gnl|META|PD00232	1.5e-19	25.1	247	93.2	49.8	77.5
WP_005838806.1	gnl|META|EG11440-MONOMER	4.3e-28	42.7	150	120.6	62.7	96.1
WP_005838808.1	gnl|META|EG11268-MONOMER	3.1e-70	46.2	301	261.5	63.1	95.8
WP_005838812.1	gnl|META|EG12163-MONOMER	1.7e-53	31.1	441	206.5	50.6	97.3
WP_005838814.1	gnl|META|EG12401-MONOMER	4.7e-59	38.1	344	224.6	56.4	97.4
WP_005838822.1	gnl|META|EG10344-MONOMER	3.1e-28	28.8	333	122.5	47.7	76.5
WP_005838824.1	gnl|META|EG10606-MONOMER	1.7e-24	26.8	373	110.2	42.6	70.9
WP_005838824.1	gnl|META|MONOMER-15537	3.0e-24	27.7	311	109.4	45.0	60.1
WP_005838827.1	gnl|META|HS02256-MONOMER	6.3e-19	31.4	210	92.0	52.4	34.5
WP_005838829.1	gnl|META|G7841-MONOMER	1.8e-35	34.2	281	146.0	52.7	87.6
WP_005838831.1	gnl|META|RIBULP3EPIM-MONOMER	5.9e-52	47.9	211	200.3	65.9	98.1
WP_005838835.1	gnl|META|MONOMER-14599	6.6e-21	29.3	300	97.4	46.7	98.9
WP_005838839.1	gnl|META|MONOMER-13221	3.0e-56	36.9	360	215.3	54.2	96.2
WP_005838845.1	gnl|META|MONOMER-13218	9.6e-70	53.6	248	259.6	72.2	98.8
WP_005838847.1	gnl|META|MONOMER-13219	1.5e-39	36.4	349	159.8	51.0	95.8
WP_005838849.1	gnl|META|MONOMER-17924	8.7e-63	49.0	245	236.5	68.2	97.2
WP_005838849.1	gnl|META|MONOMER-13222	1.8e-60	49.8	241	228.8	67.2	96.0
WP_005838851.1	gnl|META|MONOMER-18418	5.0e-45	40.9	252	177.6	59.1	95.4
WP_005838857.1	gnl|META|MONOMER-143	5.7e-32	42.7	178	133.7	60.7	97.8
WP_005838857.1	gnl|META|MONOMER-13215	1.3e-31	45.9	183	132.5	60.7	98.3
WP_005838859.1	gnl|META|MONOMER-13223	1.1e-128	49.2	506	456.4	64.8	98.4
WP_005838861.1	gnl|META|MONOMER-13228	2.9e-63	43.6	303	238.4	65.0	95.9
WP_005838863.1	gnl|META|MONOMER-20420	6.4e-53	48.6	243	203.8	63.0	94.2
WP_005838865.1	gnl|META|MONOMER-13230	1.5e-23	32.7	263	106.3	45.6	88.4
WP_005838869.1	gnl|META|SYNPCC7942_0485-MONOMER	5.4e-26	33.7	205	114.0	56.1	95.2
WP_005838871.1	gnl|META|EG10874-MONOMER	9.0e-44	57.9	140	172.6	73.6	95.9
WP_005838873.1	gnl|META|EG10908-MONOMER	1.4e-40	63.1	130	161.8	76.9	100.0
WP_005838883.1	gnl|META|PD00232	3.4e-13	25.7	261	72.0	44.4	84.9
WP_005838896.1	gnl|META|MONOMER-16529	1.3e-79	35.3	561	293.5	51.0	97.8
WP_005838909.1	gnl|META|AT5G54810-MONOMER	1.0e-142	64.2	391	502.7	78.5	97.7
WP_005838909.1	gnl|META|MONOMER-3562	6.0e-135	61.4	383	476.9	76.8	97.0
WP_005838909.1	gnl|META|MONOMER-345	5.1e-134	64.2	383	473.8	77.5	97.0
WP_005838911.1	gnl|META|MONOMER-10161	1.5e-41	38.9	239	166.0	57.7	88.4
WP_005838911.1	gnl|META|MONOMER-10162	1.4e-39	39.5	233	159.5	57.5	86.9
WP_005838918.1	gnl|META|MONOMER-19403	9.1e-01	33.3	54	29.3	48.1	50.0
WP_005838947.1	gnl|META|AT4G37930-MONOMER	4.7e-01	46.4	28	30.4	75.0	22.4
WP_005838949.1	gnl|META|RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER	3.5e-120	34.5	728	428.7	54.8	98.5
WP_005838950.1	gnl|META|RNTRACTIV-MONOMER	8.9e-26	36.7	150	112.8	58.7	91.6
WP_005838957.1	gnl|META|HS10111-MONOMER	9.2e-01	40.7	27	30.0	74.1	14.5
WP_005838972.1	gnl|META|BCRCTHAUER-MONOMER	8.2e-03	34.7	49	37.4	61.2	18.5
WP_005839001.1	gnl|META|MONOMER-15471	4.1e-02	27.4	73	34.7	45.2	35.6
WP_005839064.1	gnl|META|YMR207C-MONOMER	9.6e-01	40.0	40	28.9	60.0	45.5
WP_005839085.1	gnl|META|EG10238-MONOMER	3.7e-32	29.0	369	136.3	44.2	44.2
WP_005839091.1	gnl|META|EG10238-MONOMER	3.8e-46	24.4	704	183.0	39.3	82.1
WP_005839095.1	gnl|META|PABASYN-COMPII-MONOMER	9.8e-59	55.1	185	222.6	74.1	97.4
WP_005839095.1	gnl|META|MONOMER-16006	4.9e-58	53.7	190	220.3	74.7	97.4
WP_005839095.1	gnl|META|MONOMER-282	1.2e-56	51.9	187	215.7	73.8	97.4
WP_005839103.1	gnl|META|AT1G22940-MONOMER	1.1e-19	33.2	214	93.2	49.5	90.2
WP_005839103.1	gnl|META|YPL214C-MONOMER	9.4e-19	30.2	232	90.1	49.1	94.4
WP_005839109.1	gnl|META|G6530-MONOMER	4.4e-15	29.9	134	78.2	50.7	42.0
WP_005839113.1	gnl|META|EG10844-MONOMER	1.6e-64	40.2	348	243.0	57.5	76.9
WP_005839113.1	gnl|META|EG10210-MONOMER	4.7e-64	41.2	345	241.5	58.0	77.8
WP_005839116.1	gnl|META|MONOMER-363	3.5e-27	27.6	341	119.0	45.5	78.8
WP_005839116.1	gnl|META|6PFK-1-MONOMER	1.5e-25	28.1	342	113.6	43.9	78.8
WP_005839116.1	gnl|META|MONOMER-18281	1.5e-25	28.1	342	113.6	43.9	78.8
WP_005839116.1	gnl|META|MONOMER-13044	1.6e-24	27.6	341	110.2	44.0	78.8
WP_005839123.1	gnl|META|EG10872-MONOMER	9.9e-48	68.3	142	185.7	80.3	100.0
WP_005839125.1	gnl|META|EG10864-MONOMER	1.4e-59	49.6	224	225.7	71.0	99.1
WP_005839126.1	gnl|META|EG10871-MONOMER	3.9e-17	35.6	174	84.3	52.9	96.6
WP_005839128.1	gnl|META|EG10873-MONOMER	2.7e-25	55.7	122	110.9	68.9	100.0
WP_005839130.1	gnl|META|RPOB-MONOMER	0.0e+00	47.9	1352	1128.2	61.9	92.6
WP_005839133.1	gnl|META|MONOMER-13253	6.0e-04	24.8	262	41.2	37.8	82.2
WP_005839138.1	gnl|META|MELB-MONOMER	4.0e-37	28.0	450	152.1	46.2	94.3
WP_005839139.1	gnl|META|BETAGALACTOSID-MONOMER	1.0e-141	31.3	1078	500.7	47.0	98.6
WP_005839140.1	gnl|META|MONOMER-18513	1.7e-178	43.1	745	622.5	58.7	99.5
WP_005839147.1	gnl|META|EG10627-MONOMER	2.0e-47	37.5	304	186.0	51.3	80.8
WP_005839148.1	gnl|META|MONOMER-11901	1.1e-32	44.9	156	136.0	69.9	88.1
WP_005839149.1	gnl|META|MONOMER-18814	2.7e-115	60.6	327	411.4	74.9	96.7
WP_005839150.1	gnl|META|MONOMER-13676	3.2e-158	66.0	420	554.3	78.6	99.8
WP_005839151.1	gnl|META|MONOMER-13677	1.1e-53	62.7	158	205.7	73.4	96.9
