WP_005890045.1	gnl|META|EG10914-MONOMER	1.3e-21	59.3	81	98.2	75.3	95.3
WP_005892361.1	gnl|META|EG10887-MONOMER	5.6e-08	43.3	60	52.4	70.0	100.0
WP_005892367.1	gnl|META|EG10902-MONOMER	3.2e-53	46.2	210	204.5	69.5	95.9
WP_005892379.1	gnl|META|EG10883-MONOMER	3.7e-06	33.7	86	47.0	53.5	90.5
WP_005892688.1	gnl|META|EG12844-MONOMER	8.6e-07	36.1	83	48.9	57.8	95.2
WP_005893833.1	gnl|META|EG11231-MONOMER	3.3e-09	51.6	64	56.6	62.5	94.1
WP_005894529.1	gnl|META|EG10911-MONOMER	1.3e-43	70.0	120	171.8	79.2	98.4
WP_005895154.1	gnl|META|EG10892-MONOMER	1.7e-09	69.8	43	57.0	86.0	97.7
WP_005895650.1	gnl|META|MONOMER-20614	1.0e-85	64.1	259	312.8	78.4	97.7
WP_005895650.1	gnl|META|MONOMER-20616	3.5e-78	58.4	257	287.7	76.7	97.3
WP_005896200.1	gnl|META|EG11232-MONOMER	7.6e-08	65.8	38	51.2	73.7	100.0
WP_005897292.1	gnl|META|EG10875-MONOMER	5.6e-39	64.2	123	156.4	82.9	100.0
WP_005897324.1	gnl|META|EG10917-MONOMER	1.4e-13	52.1	71	71.2	73.2	94.4
WP_005897833.1	gnl|META|EG12099-MONOMER	3.8e-31	35.5	183	131.0	59.0	97.9
WP_005899421.1	gnl|META|YEJF-MONOMER	9.0e-29	31.3	268	123.6	53.0	90.6
WP_005899421.1	gnl|META|OPPD-MONOMER	4.5e-28	29.9	281	121.3	52.0	92.0
WP_005899421.1	gnl|META|YLIA-MONOMER	1.9e-26	28.3	272	115.9	55.1	90.2
WP_005899423.1	gnl|META|NIKC-MONOMER	2.1e-28	27.0	267	122.5	53.2	93.4
WP_005899423.1	gnl|META|YLID-MONOMER	2.2e-25	27.1	266	112.5	48.1	92.0
WP_005899424.1	gnl|META|YLIC-MONOMER	6.4e-34	29.5	315	141.0	52.1	96.9
WP_005899424.1	gnl|META|DPPB-MONOMER	2.3e-31	28.2	319	132.5	49.8	92.6
WP_005899424.1	gnl|META|NIKB-MONOMER	5.1e-31	30.3	320	131.3	50.6	97.8
WP_005900478.1	gnl|META|MONOMER-3943	5.9e-28	37.5	200	120.6	55.0	94.3
WP_005902609.1	gnl|META|MONOMER-537	3.6e-11	46.3	67	63.5	70.1	75.3
WP_005904076.1	gnl|META|EG10891-MONOMER	1.1e-06	60.6	33	47.8	87.9	66.0
WP_005905363.1	gnl|META|EG10918-MONOMER	1.7e-32	69.2	91	134.4	81.3	100.0
WP_005915321.1	gnl|META|G7525-MONOMER	3.1e-06	33.3	132	47.8	49.2	94.9
WP_005964977.1	gnl|META|EG10436-MONOMER	5.3e-11	24.3	181	64.7	51.9	59.9
WP_005965060.1	gnl|META|EG10942-MONOMER	7.1e-35	31.4	334	144.4	47.9	84.3
WP_005965063.1	gnl|META|EG10529-MONOMER	2.3e-20	23.2	521	97.1	38.8	73.2
