WP_003617037.1	gnl|META|HS05785-MONOMER	6.9e-05	25.2	210	43.9	41.0	82.9
WP_003681091.1	gnl|META|GLTP-MONOMER	3.0e-111	51.1	423	398.3	72.1	96.3
WP_003681133.1	gnl|META|RIBOKIN-MONOMER	2.5e-56	41.6	303	215.3	57.4	99.3
WP_003681165.1	gnl|META|RIB5PISOMA-MONOMER	3.1e-35	40.2	224	144.8	58.5	98.7
WP_003681172.1	gnl|META|GLPT-MONOMER	2.1e-51	30.5	420	199.5	51.4	90.9
WP_003681231.1	gnl|META|RED-THIOREDOXIN-MONOMER	8.0e-18	40.0	85	85.9	65.9	80.2
WP_003681231.1	gnl|META|RED-THIOREDOXIN2-MONOMER	4.0e-17	34.4	93	83.6	62.4	87.7
WP_003681233.1	gnl|META|RIBOKIN-MONOMER	1.2e-58	42.0	300	223.0	60.3	98.0
WP_003681260.1	gnl|META|MONOMER-13836	7.1e-70	41.1	314	260.4	63.4	99.1
WP_003681260.1	gnl|META|NRDF-MONOMER	6.0e-69	39.8	314	257.3	63.7	99.1
WP_003681263.1	gnl|META|MONOMER-20723	5.3e-13	29.7	212	70.9	47.2	98.1
WP_003681263.1	gnl|META|GPH-MONOMER	7.7e-12	27.3	238	67.0	43.3	99.1
WP_003681268.1	gnl|META|AT2G41880-MONOMER	4.9e-13	28.2	188	70.9	48.9	93.3
WP_003681268.1	gnl|META|GUANYL-KIN-MONOMER	7.0e-12	26.8	183	67.0	47.0	90.7
WP_003681268.1	gnl|META|MONOMER3O-102	9.2e-12	29.5	176	66.6	51.1	86.1
WP_003681268.1	gnl|META|HS07104-MONOMER	2.1e-11	27.8	187	65.5	50.3	92.8
WP_003681317.1	gnl|META|EG12235-MONOMER	6.4e-07	31.0	100	49.7	48.0	94.3
WP_003681362.1	gnl|META|RED-THIOREDOXIN-MONOMER	4.5e-21	43.0	100	96.7	67.0	94.2
WP_003681364.1	gnl|META|YDEA-MONOMER	5.3e-27	27.9	380	118.2	48.9	97.4
WP_003681371.1	gnl|META|G6380-MONOMER	5.2e-36	40.4	208	147.5	60.1	83.6
WP_003681394.1	gnl|META|EG12712-MONOMER	5.2e-29	37.7	151	123.6	60.9	93.0
WP_003681394.1	gnl|META|HP0105-MONOMER	2.6e-28	39.4	142	121.3	63.4	89.9
WP_003681411.1	gnl|META|EG10626-MONOMER	7.2e-11	39.5	86	63.2	60.5	62.3
WP_003681411.1	gnl|META|G6954-MONOMER	1.6e-10	33.1	124	62.0	49.2	89.9
WP_003681416.1	gnl|META|MONOMER-17900	2.4e-11	32.7	98	64.3	57.1	91.3
WP_003681444.1	gnl|META|HS09452-MONOMER	3.4e-30	46.2	171	127.9	56.7	85.6
WP_003681472.1	gnl|META|MONOMER-15055	5.2e-23	29.0	224	104.8	48.2	65.7
WP_003681521.1	gnl|META|LYSP-MONOMER	4.0e-136	48.7	485	481.1	69.5	97.2
WP_003681522.1	gnl|META|BSU00140-MONOMER	7.0e-29	38.2	207	123.6	57.5	96.2
WP_003681563.1	gnl|META|EG10911-MONOMER	1.9e-40	64.0	136	161.4	69.9	99.3
WP_003681566.1	gnl|META|EG10529-MONOMER	2.1e-21	24.9	498	100.5	40.8	69.5
WP_003681571.1	gnl|META|EG10866-MONOMER	1.8e-43	48.1	208	172.2	64.4	93.2
WP_003681573.1	gnl|META|EG10867-MONOMER	5.9e-33	39.2	189	137.1	64.0	91.3
WP_003681575.1	gnl|META|EG10883-MONOMER	1.7e-06	37.3	83	48.1	56.6	84.5
WP_003681578.1	gnl|META|EG10918-MONOMER	1.2e-30	68.2	88	128.3	80.7	94.6
WP_003681579.1	gnl|META|EG10882-MONOMER	1.4e-20	52.8	106	95.1	69.8	92.2
WP_003681581.1	gnl|META|EG10902-MONOMER	1.4e-64	53.4	208	242.3	74.5	94.5
WP_003681584.1	gnl|META|EG10877-MONOMER	7.8e-32	52.2	134	132.9	70.1	93.1
WP_003681586.1	gnl|META|EG10887-MONOMER	6.5e-05	42.1	57	42.4	64.9	83.8
WP_003681588.1	gnl|META|EG10916-MONOMER	5.1e-18	54.4	79	86.3	70.9	89.8
WP_003681590.1	gnl|META|EG10875-MONOMER	4.7e-38	63.4	123	153.3	78.9	100.0
WP_003681592.1	gnl|META|EG10884-MONOMER	3.5e-18	46.0	100	87.0	65.0	97.1
WP_003681594.1	gnl|META|EG10868-MONOMER	8.4e-60	60.5	177	226.1	78.5	98.3
WP_003681596.1	gnl|META|EG10913-MONOMER	6.7e-09	52.3	44	55.5	72.7	72.1
WP_003681601.1	gnl|META|EG10904-MONOMER	1.0e-38	47.9	163	156.0	70.6	96.4
WP_003681605.1	gnl|META|ADENYL-KIN-MONOMER	3.9e-43	40.8	218	171.0	63.3	97.3
WP_003681605.1	gnl|META|YDR226W-MONOMER	4.5e-39	39.6	202	157.5	60.9	91.8
WP_003681609.1	gnl|META|EG11232-MONOMER	6.0e-08	68.4	38	51.6	78.9	97.4
