YP_005220809.1	gnl|META|AT3G25110-MONOMER	7.7e-01	36.7	30	28.9	63.3	42.9
YP_005220812.1	gnl|META|EG10823-MONOMER	3.1e-31	32.1	274	132.1	53.3	79.7
YP_005220814.1	gnl|META|EG10746-MONOMER	4.8e-10	27.5	218	61.6	46.3	66.9
YP_005220821.1	gnl|META|EG10238-MONOMER	9.1e-103	29.5	1022	371.3	45.7	97.0
YP_005220822.1	gnl|META|MONOMER-117	1.4e-24	30.5	249	109.8	47.8	84.3
YP_005220823.1	gnl|META|MONOMER-13591	3.8e-01	33.9	56	30.4	51.8	52.9
YP_005220824.1	gnl|META|MONOMER-118	4.0e-18	29.1	268	89.7	45.9	33.4
YP_005220826.1	gnl|META|MONOMER-19320	5.6e-02	57.1	28	33.5	67.9	21.4
YP_005220828.1	gnl|META|MONOMER-17156	6.6e-30	43.5	161	128.3	59.0	32.6
YP_005220829.1	gnl|META|G6117-MONOMER	2.3e-09	35.5	110	58.2	51.8	77.2
YP_005220831.1	gnl|META|RED-GLUTAREDOXIN	7.1e-18	51.3	78	86.3	70.5	63.1
YP_005220837.1	gnl|META|EG10737-MONOMER	5.9e-24	37.5	184	107.1	54.9	97.3
YP_005220841.1	gnl|META|MONOMER-13427	1.7e-51	40.8	255	199.1	59.2	90.1
YP_005220860.1	gnl|META|EG10534-MONOMER	5.9e-18	33.3	150	87.0	52.0	86.7
YP_005220884.1	gnl|META|MONOMER-16652	5.4e-01	38.7	62	30.4	58.1	43.7
YP_005220894.1	gnl|META|ABC-MONOMER	2.2e-07	30.9	94	51.6	54.3	67.1
YP_005220895.1	gnl|META|G12WB-158-MONOMER	2.5e-02	39.1	46	33.9	54.3	63.9
YP_005220898.1	gnl|META|EG11062-MONOMER	1.3e-04	29.5	95	44.3	49.5	17.3
YP_005220911.1	gnl|META|AT5G60600-MONOMER	4.6e-01	29.2	48	29.6	56.2	66.7
YP_005220913.1	gnl|META|MONOMER-17712	8.4e-04	34.1	44	38.5	56.8	72.1
YP_005220915.1	gnl|META|EG10458-MONOMER	1.9e-19	30.8	250	93.6	44.4	44.8
YP_005220925.1	gnl|META|EG10860-MONOMER	1.5e-53	59.5	158	205.7	74.1	71.2
YP_005220931.1	gnl|META|MONOMER3O-504	1.6e-01	30.0	50	32.7	56.0	22.9
YP_005220931.1	gnl|META|YNR012W-MONOMER	3.6e-01	50.0	28	31.6	64.3	13.1
YP_005220932.1	gnl|META|DIHYDROFOLATEREDUCT-MONOMER	4.3e-20	37.1	124	94.0	58.1	77.6
YP_005220934.1	gnl|META|G185E-7013-MONOMER	2.2e-51	34.4	349	199.1	48.1	95.1
YP_005220934.1	gnl|META|THYMIDYLATESYN-MONOMER	2.2e-51	34.1	349	199.1	48.4	95.1
YP_005220936.1	gnl|META|NRDB-MONOMER	7.6e-127	61.0	382	449.9	74.3	99.2
YP_005220937.1	gnl|META|NRDA-MONOMER	1.7e-255	58.7	765	878.2	71.1	99.6
YP_005220945.1	gnl|META|MONOMER18C3-13	1.9e-01	41.2	34	30.4	58.8	66.7
YP_005220959.1	gnl|META|EG10968-MONOMER	1.1e-14	29.2	195	77.0	48.7	61.1
YP_005220980.1	gnl|META|MONOMER-12795	1.3e-01	32.2	59	32.7	52.5	35.8
YP_005220983.1	gnl|META|EG11506-MONOMER	4.3e-18	28.2	216	89.0	48.6	43.1
YP_005220996.1	gnl|META|GLTL-MONOMER	5.6e-01	33.3	69	31.6	50.7	19.0
YP_005220997.1	gnl|META|CARDIOLIPSYN-MONOMER	3.5e-02	25.6	121	34.7	46.3	66.1
YP_005220997.1	gnl|META|MONOMER-18687	2.3e-01	42.6	47	32.0	59.6	24.3
YP_005221001.1	gnl|META|EG10737-MONOMER	9.4e-22	37.1	178	99.8	53.9	94.6
YP_005221002.1	gnl|META|MONOMER-13427	1.7e-54	44.8	252	209.1	62.3	88.1
YP_005221003.1	gnl|META|G185E-7814-MONOMER	3.3e-01	48.4	31	32.0	61.3	12.4
YP_005221005.1	gnl|META|EG10599-MONOMER	2.7e-33	68.7	99	137.5	82.8	79.2
YP_005221008.1	gnl|META|DMSB-MONOMER	3.3e-02	43.9	41	35.4	63.4	13.2
YP_005221008.1	gnl|META|G6847-MONOMER	1.3e-01	41.5	41	33.5	63.4	13.2
YP_005221011.1	gnl|META|YCEE-MONOMER	3.9e-09	24.6	390	58.9	40.8	92.3
YP_005221014.1	gnl|META|EMRD-MONOMER	5.6e-19	23.2	353	91.7	43.9	86.4
YP_005221014.1	gnl|META|BCR-MONOMER	2.8e-18	26.2	412	89.4	42.0	97.0
YP_005221015.1	gnl|META|H2PTEROATESYNTH-MONOMER	1.1e-20	30.6	173	97.1	54.3	53.3
YP_005221016.1	gnl|META|EMRE-MONOMER	5.1e-18	46.0	100	86.7	67.0	87.0
YP_005221020.1	gnl|META|DIHYDROFOLATEREDUCT-MONOMER	1.3e-18	38.8	129	89.0	57.4	84.1
YP_005221024.1	gnl|META|MONOMER-18402	5.3e-15	30.9	181	77.8	41.4	70.4
YP_005221025.1	gnl|META|HS07104-MONOMER	1.0e-01	43.5	46	33.1	52.2	25.6
YP_005221025.1	gnl|META|EG10723-MONOMER	5.2e-01	42.9	28	30.8	60.7	15.6
YP_005221032.1	gnl|META|MONOMER-13427	1.7e-54	44.8	252	209.1	62.3	88.1
YP_005221034.1	gnl|META|MONOMER-14016	1.5e-10	27.3	267	63.2	41.9	88.5
YP_005221035.1	gnl|META|MONOMER-17935	1.7e-24	31.2	237	109.4	48.5	85.4
YP_005221036.1	gnl|META|H2PTEROATESYNTH-MONOMER	9.5e-31	33.2	259	130.2	54.4	94.8
YP_005221039.1	gnl|META|MONOMER-19728	5.2e-02	29.2	96	34.7	46.9	32.2
YP_005221041.1	gnl|META|MONOMER-20158	2.6e-01	30.8	65	30.8	46.2	67.8
YP_005221072.1	gnl|META|EG10243-MONOMER	3.7e-09	35.8	95	58.5	54.7	29.4
YP_005221079.1	gnl|META|MONOMER-13427	8.8e-51	38.8	281	196.8	58.0	96.2
YP_005221083.1	gnl|META|EG10737-MONOMER	5.9e-24	37.5	184	107.1	54.9	97.3
YP_005221086.1	gnl|META|EG11064-MONOMER	3.9e-06	31.1	103	49.3	51.5	19.3
YP_005221092.1	gnl|META|EG10950-MONOMER	2.7e-02	37.0	46	35.0	47.8	26.0
YP_005224301.1	gnl|META|MONOMER-14290	1.9e-09	30.6	124	58.5	48.4	80.1
YP_005224301.1	gnl|META|MONOMER-14302	4.2e-09	29.8	124	57.4	47.6	80.1
YP_005224303.1	gnl|META|ASNSYNA-MONOMER	2.2e-175	90.0	330	610.9	94.5	100.0
YP_005224305.1	gnl|META|EG11731-MONOMER	8.1e-238	82.3	498	818.9	91.0	99.8
YP_005224306.1	gnl|META|KUP-MONOMER	0.0e+00	92.6	622	1142.1	97.3	100.0
YP_005224307.1	gnl|META|EG10817-MONOMER	7.9e-66	89.2	139	245.7	97.1	100.0
YP_005224308.1	gnl|META|RBSA-MONOMER	5.1e-272	95.8	501	932.6	97.6	100.0
YP_005224309.1	gnl|META|RBSC-MONOMER	2.4e-150	95.6	321	527.7	99.4	100.0
YP_005224310.1	gnl|META|RBSB-MONOMER	5.9e-151	94.6	296	529.6	97.6	100.0
YP_005224311.1	gnl|META|RIBOKIN-MONOMER	3.2e-131	79.5	308	464.2	86.7	99.4
YP_005224312.1	gnl|META|PD00219	2.6e-83	46.5	327	305.1	68.2	99.7
YP_005224313.1	gnl|META|EMRB-MONOMER	1.0e-40	31.5	425	164.1	50.6	88.4
YP_005224313.1	gnl|META|EMRY-MONOMER	6.8e-37	30.3	433	151.4	51.3	89.7
YP_005224316.1	gnl|META|EG11829-MONOMER	8.4e-66	64.0	186	246.1	74.7	96.4
YP_005224318.1	gnl|META|EG11831-MONOMER	4.5e-160	80.5	328	560.1	88.4	100.0
YP_005224320.1	gnl|META|YDL052C-MONOMER	1.4e-03	30.1	133	40.0	47.4	44.1
YP_005224321.1	gnl|META|EG10746-MONOMER	0.0e+00	89.1	892	1572.4	94.1	100.0
YP_005224323.1	gnl|META|EG11835-MONOMER	6.5e-38	76.6	111	153.3	82.0	66.1
YP_005224324.1	gnl|META|HEMN-MONOMER	5.5e-241	88.8	457	829.3	92.6	100.0
YP_005224325.1	gnl|META|MONOMER-15696	8.6e-56	40.3	325	214.2	58.2	68.4
YP_005224326.1	gnl|META|ATOS-MONOMER	5.5e-31	27.6	355	131.3	49.6	98.9
YP_005224327.1	gnl|META|GLUTAMINESYN-MONOMER	2.5e-265	94.0	469	910.2	97.9	100.0
YP_005224329.1	gnl|META|EG10529-MONOMER	3.6e-46	30.0	476	182.6	49.2	73.0
YP_005224330.1	gnl|META|EG11850-MONOMER	2.8e-96	82.9	199	347.4	90.5	100.0
YP_005224332.1	gnl|META|EG11852-MONOMER	2.4e-73	94.5	145	270.8	97.2	100.0
YP_005224333.1	gnl|META|MONOMER-12255	8.7e-02	27.0	100	34.3	46.0	27.6
YP_005224333.1	gnl|META|HS02818-MONOMER	5.6e-01	22.7	110	31.6	42.7	33.0
YP_005224334.1	gnl|META|MONOMER-19843	2.5e-40	35.2	287	162.2	51.2	91.8
YP_005224338.1	gnl|META|FDOI-MONOMER	1.2e-113	94.3	211	405.2	96.7	100.0
YP_005224339.1	gnl|META|FDOH-MONOMER	3.1e-176	93.7	300	613.6	97.3	100.0
YP_005224340.1	gnl|META|FDOG-MONOMER	0.0e+00	91.7	804	1563.1	95.3	100.0
YP_005224341.1	gnl|META|FDOG-MONOMER	2.0e-107	95.4	195	384.4	97.9	100.0
YP_005224344.1	gnl|META|MONOMER-545	1.8e-31	32.5	280	132.9	48.6	84.7
YP_005224344.1	gnl|META|6PFK-1-MONOMER	3.1e-28	29.1	299	122.1	46.8	89.6
YP_005224344.1	gnl|META|MONOMER-18281	3.1e-28	29.1	299	122.1	46.8	89.6
YP_005224346.1	gnl|META|SGAT-MONOMER	8.7e-37	27.2	448	151.0	48.2	96.0
YP_005224347.1	gnl|META|BSU39670-MONOMER	1.7e-46	35.1	282	182.6	56.4	99.6
YP_005224347.1	gnl|META|TAGAALDOL1-MONOMER	1.5e-42	34.1	276	169.5	54.0	98.6
YP_005224347.1	gnl|META|MONOMER-18279	1.5e-42	34.1	276	169.5	54.0	98.6
YP_005224349.1	gnl|META|YJFU-MONOMER	3.9e-23	36.1	147	104.0	56.5	100.0
YP_005224350.1	gnl|META|MONOMER-2364	5.7e-01	43.1	51	30.8	58.8	25.4
YP_005224353.1	gnl|META|MONOMER3O-4105	9.8e-01	31.7	60	30.0	50.0	30.0
YP_005224354.1	gnl|META|PD00219	8.6e-18	25.2	309	87.4	45.3	91.8
YP_005224355.1	gnl|META|MONOMER-18513	1.4e-97	34.6	583	353.6	52.0	81.9
YP_005224356.1	gnl|META|LACY-MONOMER	6.9e-129	57.5	405	456.8	74.6	96.2
YP_005224357.1	gnl|META|EG11865-MONOMER	9.2e-51	86.4	103	195.3	94.2	99.0
YP_005224358.1	gnl|META|STM4044-MONOMER	5.7e-199	91.1	382	689.5	96.6	100.0
YP_005224359.1	gnl|META|YDEZ-MONOMER	1.1e-36	35.7	300	150.2	53.7	88.0
YP_005224360.1	gnl|META|YDEY-MONOMER	4.0e-39	35.2	301	158.3	56.8	89.6
YP_005224360.1	gnl|META|YJCV-MONOMER	1.1e-36	31.1	305	150.2	55.4	90.7
YP_005224360.1	gnl|META|RBSC-MONOMER	1.6e-35	32.8	311	146.4	53.4	91.6
YP_005224361.1	gnl|META|RBSA-MONOMER	1.5e-114	42.3	492	409.5	64.8	97.6
YP_005224361.1	gnl|META|MGLA-MONOMER	1.4e-107	40.5	504	386.3	64.1	98.6
YP_005224362.1	gnl|META|YNEA-MONOMER	1.4e-49	35.1	336	193.0	56.2	97.9
YP_005224363.1	gnl|META|RHAMNULPALDOL-MONOMER	4.2e-143	86.9	274	503.4	92.0	99.3
YP_005224364.1	gnl|META|RHAMNISOM-MONOMER	1.1e-235	91.6	419	811.6	97.1	100.0
YP_005224365.1	gnl|META|RHAMNULOKIN-MONOMER	7.5e-228	78.5	489	785.8	86.5	100.0
YP_005224368.1	gnl|META|RHAT-MONOMER	1.4e-175	90.1	344	611.7	96.2	100.0
