gnl|META|MONOMER-11763	WP_022244691.1	1.8e-25	29.1	265	109.8	46.0	82.4
gnl|META|MONOMER-11760	WP_004220268.1	7.2e-01	39.5	38	28.9	57.9	6.8
gnl|META|MONOMER-11759	WP_004221851.1	2.0e-02	47.4	38	33.9	63.2	7.5
gnl|META|MONOMER-11752	WP_004222539.1	3.1e-04	31.6	57	39.7	49.1	13.7
gnl|META|MONOMER-11719	WP_004220024.1	8.1e-57	34.8	330	214.2	56.7	88.1
gnl|META|MONOMER-11708	WP_004220205.1	3.5e-01	38.9	36	28.1	58.3	22.9
gnl|META|MONOMER-11700	WP_004221075.1	3.2e-38	31.5	292	152.1	53.1	93.2
gnl|META|MONOMER-117	WP_004221352.1	9.0e-07	24.0	179	47.8	45.3	53.9
gnl|META|MONOMER-11697	WP_022244812.1	2.2e-01	25.5	110	29.6	40.0	35.9
gnl|META|MONOMER-11691	WP_004221819.1	3.1e-17	27.6	293	82.4	42.0	88.6
gnl|META|MONOMER-11687	WP_004222410.1	1.3e-67	34.7	487	250.4	50.7	97.2
gnl|META|MONOMER-11685	WP_033524026.1	1.0e+00	37.8	37	27.7	51.4	10.8
gnl|META|MONOMER-11684	WP_004219574.1	3.3e-01	32.7	49	29.3	49.0	13.8
gnl|META|MONOMER-11666	WP_004220418.1	1.3e-14	29.4	228	73.9	46.1	55.7
gnl|META|MONOMER-11664	WP_033523993.1	5.8e-05	26.7	187	41.6	43.3	58.3
gnl|META|MONOMER-11663	WP_004222264.1	2.6e-02	30.2	86	33.5	40.7	17.1
gnl|META|MONOMER-11643	WP_022245190.1	2.1e-01	31.0	42	30.0	57.1	11.0
gnl|META|MONOMER-11642	WP_022245190.1	4.8e-01	32.1	28	28.9	64.3	7.7
gnl|META|MONOMER-11641	WP_022245190.1	4.7e-01	32.1	28	28.9	64.3	7.8
gnl|META|MONOMER-11635	WP_004220832.1	7.3e-01	30.8	65	28.1	41.5	19.8
gnl|META|MONOMER-11617	WP_004223655.1	1.9e-03	24.1	423	37.0	37.6	93.8
gnl|META|MONOMER-1161	WP_022244722.1	1.0e-55	33.2	404	210.7	49.0	93.3
gnl|META|MONOMER-11604	WP_004220646.1	4.9e-69	39.4	310	254.6	64.5	93.1
gnl|META|MONOMER-116	WP_004220804.1	5.7e-01	33.3	45	28.9	48.9	10.4
gnl|META|MONOMER-11587	WP_004222539.1	5.5e-02	33.3	48	32.0	50.0	13.5
gnl|META|MONOMER-11553	WP_033524370.1	2.7e-01	34.0	50	29.6	52.0	13.3
gnl|META|MONOMER-11552	WP_004222605.1	9.4e-01	42.2	45	27.7	48.9	13.6
gnl|META|MONOMER-11551	WP_004222499.1	6.3e-01	31.5	89	28.5	46.1	23.5
gnl|META|MONOMER-11550	WP_004222737.1	5.0e-05	30.6	124	42.4	45.2	27.9
gnl|META|MONOMER-11549	WP_004222737.1	1.7e-01	48.4	31	30.4	64.5	8.4
gnl|META|MONOMER-11548	WP_004222737.1	2.3e-06	26.8	142	47.0	47.9	27.6
gnl|META|MONOMER-11537	WP_033524037.1	4.6e-48	33.3	418	185.3	50.0	93.4
gnl|META|MONOMER-11534	WP_004221851.1	1.0e-04	33.0	97	41.2	50.5	23.6
gnl|META|MONOMER-11526	WP_033524037.1	2.7e-69	38.1	386	255.8	56.7	89.4
gnl|META|MONOMER-11506	WP_004221851.1	2.5e-03	31.4	102	36.6	47.1	23.5
gnl|META|MONOMER-11384	WP_004220294.1	2.4e-02	41.5	41	33.1	58.5	11.6
gnl|META|MONOMER-11354	WP_004220029.1	1.7e-01	48.1	27	30.0	63.0	9.3
gnl|META|MONOMER-11350	WP_004222737.1	6.8e-04	24.1	290	38.5	41.4	66.1
gnl|META|MONOMER-11146	WP_033524030.1	2.5e-07	24.5	159	50.4	44.7	26.2
gnl|META|MONOMER-11101	WP_004223113.1	2.3e-21	26.7	296	96.3	44.6	83.7
gnl|META|MONOMER-11088	WP_004222018.1	7.9e-23	30.9	262	101.3	48.5	68.7
gnl|META|MONOMER-11081	WP_004222599.1	8.9e-01	40.6	32	28.5	59.4	6.2
gnl|META|MONOMER-11002	WP_004223385.1	7.1e-03	41.7	36	35.0	63.9	9.3
gnl|META|MONOMER-10981	WP_033524274.1	2.4e-63	49.4	241	235.3	67.2	92.2
gnl|META|MONOMER-10962	WP_033524274.1	4.1e-47	38.1	257	181.4	57.6	98.8
gnl|META|MONOMER-1095	WP_033524205.1	6.5e-01	29.5	61	27.3	50.8	35.7
gnl|META|MONOMER-10862	WP_022245191.1	4.1e-11	34.1	126	60.8	47.6	94.7
gnl|META|MONOMER-1083	WP_004221926.1	1.2e-16	22.5	561	81.3	38.1	92.1
gnl|META|MONOMER-1083	WP_004221752.1	4.6e-16	22.8	523	79.3	38.8	85.0
gnl|META|MONOMER-1083	WP_004223362.1	7.9e-16	24.1	510	78.6	40.0	81.9
gnl|META|MONOMER-10821	WP_004223158.1	2.8e-04	37.8	74	39.7	51.4	18.5
gnl|META|MONOMER-1061	WP_004220300.1	4.8e-66	53.9	243	245.0	71.2	58.4
gnl|META|MONOMER-1054	WP_004220109.1	7.6e-33	24.3	540	135.2	41.5	89.8
gnl|META|MONOMER-10424	WP_047749631.1	7.3e-01	42.9	28	28.5	64.3	6.5
gnl|META|MONOMER-10304	WP_004219641.1	5.0e-52	38.3	303	198.0	58.7	97.1
gnl|META|MONOMER-10303	WP_004221506.1	3.9e-62	33.8	388	231.9	53.9	97.7
gnl|META|MONOMER-10301	WP_004219498.1	5.2e-14	38.0	121	71.2	57.0	52.0
gnl|META|MONOMER-1028	WP_033524326.1	3.2e-01	65.4	26	29.3	69.2	6.9
gnl|META|MONOMER-10261	WP_022244691.1	1.3e-47	36.5	304	184.1	54.6	55.9
gnl|META|MONOMER-1021	WP_004222737.1	3.9e-01	23.2	297	29.3	35.4	71.2
gnl|META|MONOMER-10162	WP_004222231.1	2.7e-30	34.0	262	125.9	50.8	71.2
gnl|META|MONOMER-10161	WP_004222231.1	3.7e-32	31.6	269	132.1	50.2	77.9
gnl|META|MONOMER-10113	WP_004222003.1	9.0e-03	30.0	60	33.9	53.3	27.0
gnl|META|MONOMER-10112	WP_004222003.1	1.3e-04	31.7	60	40.0	55.0	25.3
gnl|META|MONOMER-10061	WP_004219514.1	3.6e-07	25.5	239	50.8	42.7	20.4
gnl|META|MONOMER-1003	WP_004221301.1	5.3e-32	27.9	376	131.7	44.9	95.7
gnl|META|MONOMER-1001	WP_033524048.1	2.3e-01	36.7	49	30.0	55.1	11.6
gnl|META|MODC-MONOMER	WP_004219598.1	3.0e-32	35.9	209	132.5	57.9	57.7
gnl|META|MODC-MONOMER	WP_004222543.1	3.0e-32	33.5	239	132.5	55.6	65.1
gnl|META|MODB-MONOMER	WP_004219782.1	6.2e-07	24.9	225	47.8	45.8	93.4
gnl|META|MODB-MONOMER	WP_128832453.1	1.2e-05	24.7	194	43.5	45.4	77.3
gnl|META|MODA-MONOMER	WP_004222960.1	1.2e-01	28.8	73	30.4	52.1	27.2
gnl|META|MHPT-MONOMER	WP_004220541.1	3.8e-23	26.6	429	102.4	43.1	97.5
gnl|META|MHPHYDROXY-MONOMER	WP_022245237.1	9.5e-01	37.5	40	28.5	57.5	7.2
gnl|META|MHPELY-MONOMER	WP_004220294.1	4.0e-02	39.0	41	32.3	56.1	12.2
gnl|META|MGLC-MONOMER	WP_004223719.1	7.2e-20	29.2	318	91.3	49.4	92.3
gnl|META|MGLA-MONOMER	WP_004223717.1	2.1e-92	36.4	495	332.8	60.8	96.4
gnl|META|MGI:2183447-MONOMER	WP_033524030.1	2.7e-55	35.3	391	209.5	51.9	74.0
gnl|META|MGI:1929955-MONOMER	WP_004221075.1	1.5e-46	34.4	288	179.9	52.4	88.6
gnl|META|MGI:1914353-MONOMER	WP_004219569.1	1.5e-09	31.8	148	57.0	47.3	45.0
gnl|META|MGI:1353434-MONOMER	WP_004223895.1	5.8e-01	36.2	58	28.9	53.4	10.9
gnl|META|MGI:1328365-MONOMER	WP_004219609.1	2.1e-06	29.8	114	45.8	50.9	53.7
