WP_000048054.1	gnl|META|EG10920-MONOMER	1.4e-08	62.0	50	54.3	74.0	86.2
WP_000068664.1	gnl|META|EG10917-MONOMER	6.4e-12	44.8	67	65.9	68.7	84.8
WP_000103848.1	gnl|META|G12WB-159-MONOMER	1.2e-30	31.9	235	129.8	57.9	86.1
WP_000103848.1	gnl|META|G12WB-158-MONOMER	4.8e-27	33.9	236	117.9	53.8	86.8
WP_000157141.1	gnl|META|GLYOXI-MONOMER	6.6e-19	38.1	126	89.7	57.1	97.6
WP_000191810.1	gnl|META|PYRUVOXID-MONOMER	1.6e-62	28.7	557	236.9	49.0	94.1
WP_000343048.1	gnl|META|G12WB-159-MONOMER	1.2e-25	32.0	259	113.2	51.0	89.2
WP_000343048.1	gnl|META|G12WB-158-MONOMER	7.5e-23	30.5	239	104.0	54.0	83.8
WP_000440801.1	gnl|META|EG10916-MONOMER	2.7e-16	54.4	79	80.5	67.1	91.9
WP_000448714.1	gnl|META|MONOMER-11684	4.9e-82	49.1	322	300.8	67.1	97.0
WP_000448714.1	gnl|META|HS09727-MONOMER	6.5e-74	44.8	326	273.9	62.9	97.9
WP_000516405.1	gnl|META|EG10442-MONOMER	4.3e-04	38.5	52	39.7	59.6	75.4
WP_000533766.1	gnl|META|EG10918-MONOMER	1.3e-32	67.7	93	134.8	83.9	100.0
WP_000831902.1	gnl|META|EG10892-MONOMER	3.1e-08	71.8	39	52.8	84.6	88.6
WP_000960948.1	gnl|META|EG10877-MONOMER	5.1e-33	53.7	134	136.7	71.6	97.8
WP_001085697.1	gnl|META|EG10913-MONOMER	7.4e-08	56.4	39	52.0	69.2	63.9
WP_001117401.1	gnl|META|MONOMER-12750	1.9e-08	43.3	60	53.9	68.3	100.0
WP_001118385.1	gnl|META|EG10910-MONOMER	6.2e-41	64.3	129	162.9	80.6	100.0
WP_001125942.1	gnl|META|EG11231-MONOMER	5.2e-07	48.4	62	49.3	58.1	93.9
WP_001140948.1	gnl|META|EG10886-MONOMER	3.1e-06	44.7	47	46.6	66.0	75.8
WP_001151775.1	gnl|META|EG10905-MONOMER	1.5e-07	26.9	93	51.6	55.9	96.9
WP_001265622.1	gnl|META|EG10891-MONOMER	2.8e-05	40.8	49	43.1	61.2	100.0
WP_001808836.1	gnl|META|EG11232-MONOMER	1.1e-09	63.2	38	57.4	78.9	100.0
WP_002894448.1	gnl|META|MONOMER-14152	4.5e-21	43.1	102	96.7	65.7	96.2
WP_002894478.1	gnl|META|EG10909-MONOMER	1.6e-31	60.8	102	131.3	83.3	100.0
WP_002894482.1	gnl|META|EG10865-MONOMER	3.7e-83	55.8	276	304.3	71.7	99.6
WP_002894494.1	gnl|META|EG10875-MONOMER	3.6e-38	63.4	123	153.7	78.0	100.0
WP_002894499.1	gnl|META|EG10868-MONOMER	1.7e-60	60.5	177	228.4	80.2	98.3
WP_002894735.1	gnl|META|CELC-MONOMER	2.9e-12	36.4	99	67.4	63.6	94.3
WP_002895374.1	gnl|META|EG10889-MONOMER	1.7e-07	31.6	79	51.2	53.2	98.8
WP_002896638.1	gnl|META|YFEP-MONOMER	9.3e-52	33.0	433	200.7	55.7	96.4
WP_002898768.1	gnl|META|MONOMER-14153	2.9e-32	52.1	146	134.4	63.7	91.8
WP_002902006.1	gnl|META|MONOMER-14147	4.6e-219	80.3	458	756.5	92.4	98.7
WP_002903228.1	gnl|META|URACIL-PRIBOSYLTRANS-MONOMER	3.2e-63	55.1	207	237.7	72.9	99.0
WP_002904550.1	gnl|META|HS02879-MONOMER	3.1e-10	34.7	121	61.2	49.6	76.6
WP_002905838.1	gnl|META|GLYCEROL-KIN-MONOMER	2.4e-173	56.6	502	604.7	74.3	100.0
WP_002907062.1	gnl|META|MONOMER-3562	1.3e-129	60.2	377	459.1	77.7	95.7
WP_002907062.1	gnl|META|AT5G54810-MONOMER	3.3e-125	55.8	391	444.5	72.6	98.0
