WP_002584956.1	gnl|META|EG12401-MONOMER	2.3e-39	34.2	275	159.1	51.6	79.5
WP_002584956.1	gnl|META|MONOMER-16695	3.9e-39	32.6	288	158.3	54.9	83.5
WP_002594686.1	gnl|META|MONOMER-20781	9.3e-01	41.3	46	29.3	63.0	41.4
WP_002596254.1	gnl|META|EG11355-MONOMER	4.5e-01	22.4	125	30.8	49.6	76.4
WP_002604474.1	gnl|META|EG11355-MONOMER	2.5e-01	30.2	53	31.6	58.5	36.6
WP_003505363.1	gnl|META|YNR019W-MONOMER	8.3e-01	36.4	33	30.8	57.6	11.5
WP_004611567.1	gnl|META|DSRCGIGAS-MONOMER	3.0e-01	39.4	33	30.4	57.6	41.2
WP_004613243.1	gnl|META|MONOMER-19806	6.5e-01	27.6	58	30.8	46.6	25.8
WP_004844961.1	gnl|META|BSU14520-MONOMER	4.2e-01	31.2	64	30.8	51.6	42.8
WP_004853366.1	gnl|META|CPXR-MONOMER	1.2e-34	36.4	231	142.9	58.0	97.4
WP_004853372.1	gnl|META|MACB	9.8e-40	38.3	222	159.8	60.8	93.7
WP_004853372.1	gnl|META|ABC-MONOMER	2.9e-36	38.5	205	148.3	59.5	86.1
WP_005339020.1	gnl|META|EG11232-MONOMER	2.0e-08	63.2	38	53.1	78.9	100.0
WP_005339874.1	gnl|META|G185E-7524-MONOMER	3.2e-12	54.2	48	66.2	68.8	92.3
WP_005339874.1	gnl|META|MONOMER-19840	1.6e-11	52.9	51	63.9	62.7	98.1
WP_005339874.1	gnl|META|G7413-MONOMER	3.6e-11	51.1	47	62.8	68.1	90.4
WP_005933713.1	gnl|META|BSU02750-MONOMER	1.1e-24	31.6	196	110.2	57.1	65.7
WP_005933713.1	gnl|META|YBHF-MONOMER	6.5e-22	29.5	224	100.9	52.7	74.8
WP_008120506.1	gnl|META|CPXR-MONOMER	1.6e-23	29.3	229	105.9	51.1	96.9
WP_008400815.1	gnl|META|EG10920-MONOMER	1.4e-08	53.4	58	54.3	69.0	100.0
WP_008703821.1	gnl|META|BAES-MONOMER	5.5e-26	30.2	235	114.8	55.7	65.1
WP_008705963.1	gnl|META|MACB	3.0e-46	45.2	219	181.4	66.2	95.6
WP_008705963.1	gnl|META|ABC-MONOMER	1.7e-41	40.1	222	165.6	62.6	96.5
WP_009247522.1	gnl|META|MONOMER-17076	1.2e-23	24.5	534	107.5	42.3	93.4
WP_009321335.1	gnl|META|MONOMER-2263	5.6e-01	23.8	151	32.0	45.0	32.7
WP_012744277.1	gnl|META|EG11662-MONOMER	9.8e-14	29.2	178	73.2	46.6	84.5
WP_012744279.1	gnl|META|CPXR-MONOMER	2.8e-08	28.5	151	54.7	47.7	92.1
WP_015512613.1	gnl|META|GALACTOKIN-MONOMER	2.4e-67	37.9	388	252.3	55.2	99.7
WP_015512613.1	gnl|META|MONOMER-505	5.3e-67	38.5	366	251.1	58.2	94.1
WP_015512613.1	gnl|META|HS03112-MONOMER	1.2e-63	40.7	383	240.0	54.3	97.4
WP_015512614.1	gnl|META|BSU38860-MONOMER	3.7e-133	66.6	332	470.7	78.9	99.1
WP_015512622.1	gnl|META|MODA-MONOMER	3.7e-25	36.1	238	111.7	52.5	79.0
WP_015512623.1	gnl|META|MODB-MONOMER	1.8e-30	41.0	183	129.0	58.5	79.6
WP_015512627.1	gnl|META|AT1G24360-MONOMER	9.4e-38	39.3	239	153.3	56.9	96.7
WP_015512627.1	gnl|META|3-OXOACYL-ACP-REDUCT-MONOMER	1.2e-35	36.2	240	146.4	55.8	97.6
WP_015512627.1	gnl|META|MONOMER-13089	2.6e-35	37.2	242	145.2	52.1	98.0
WP_015512627.1	gnl|META|MONOMER-19303	1.3e-34	36.9	244	142.9	55.7	97.6
WP_015512627.1	gnl|META|MONOMER-19696	4.8e-34	38.6	246	141.0	54.5	98.8
WP_015512629.1	gnl|META|MONOMER-14503	3.0e-107	35.0	782	386.0	53.2	86.9
WP_015512629.1	gnl|META|MONOMER-14495	1.1e-101	33.3	804	367.5	51.1	88.4
WP_015512629.1	gnl|META|MONOMER-14493	1.1e-101	32.5	818	367.5	52.1	87.9
WP_015512629.1	gnl|META|MONOMER-14496	5.7e-98	32.4	819	355.1	51.6	87.7
WP_015512655.1	gnl|META|MONOMER-13672	5.3e-01	31.7	41	30.4	58.5	27.1
WP_015512657.1	gnl|META|CRTCLOS-MONOMER	1.0e-82	60.7	252	302.8	74.6	97.7
WP_015512657.1	gnl|META|MONOMER-13469	5.0e-74	55.4	249	273.9	73.1	96.5
WP_015512665.1	gnl|META|EG11663-MONOMER	2.2e-01	52.5	40	32.0	57.5	22.2
WP_015512677.1	gnl|META|SYNPCC7942_2525-MONOMER	2.3e-71	69.6	191	264.6	83.2	98.5
WP_015512677.1	gnl|META|SYNPCC7942_1554-MONOMER	2.6e-67	65.6	192	251.1	79.7	99.0
WP_015512677.1	gnl|META|EG10158-MONOMER	3.4e-67	65.8	193	250.8	80.3	99.5
WP_015512678.1	gnl|META|EG10159-MONOMER	4.0e-148	62.2	410	520.8	80.5	94.2
