MONOMER-15468				
MONOMER-12034	G-58313	A6P6V9	cannabidiolate synthase	cannabidiolic acid synthase, CBDA synthase
MONOMER-12912			methylglyoxal reductase &alpha; subunit	
MRTBMAUTO-MONOMER	G-339	P21111	&beta; subunit	MrtB
BDHBCLOS-MONOMER	G-92	Q04945	BdhB	BdhB
MONOMER-17540				
MONOMER-18212	G-17722	P00386	D-nopaline dehydrogenase subunit	Nos
MONOMER-15130	G-11566	P27457	&beta;-etherase	LigE
MONOMER-15923	G-12240	Q1EMV9	5'-fluoro-5'-deoxy-adenosine phosphorylase	
AT5G16440-MONOMER	AT5G16440	Q38929		IPP isomerase
DPPB-MONOMER	EG12625	P0AEF8	dipeptide ABC transporter membrane subunit DppB	DppB
MONOMER-19985	G-44685	Q57197	glycerol-3-phosphate cytidylyltransferase monomer	TarD
MONOMER-20621	G-58773	A0A0U2IR85	mitochondrial tricarboxylate transporter 1	
MONOMER-17978	G-15972	O29786	2,3-bis-<i>O</i>-geranylgeranyl-<i>sn</i>-glycero-phospholipid reductase	2,3-di-<i>O</i>-geranylgeranyl-<i>sn</i>-glycerol 1-phosphate reductase
MONOMER-18614	G-18079		diterpene olefin hydroxylase	
G7549-MONOMER	G7549	Q46841	putative transport protein YghQ	YghQ
HS03991-MONOMER	HS03991	P22307	Non-specific lipid-transfer protein	NSL-TP, SCP-2, SCP-chi, SCP-X, SCPX, Sterol carrier protein 2, Sterol carrier protein X
BSU39670-MONOMER	BSU39670	P42420	2-deoxy-5-keto-D-gluconate 6-phosphate aldolase	FbaB, YxdI, IolJ
THIE-MONOMER	EG11586	P30137	thiamine phosphate synthase	ThiA, ThiE
MONOMER-20392	G-58180	Q8RL92		TabP
MONOMER-2263	G-1623	Q58540		2-phosphosulfolactate phosphatase, ComB
MONOMER-12621	G-9688	P27217		ScrB
MONOMER-13372				
HS00832-MONOMER	HS00832	P04181	Ornithine aminotransferase	Ornithine--oxo-acid aminotransferase
HS09275-MONOMER	HS09275	P00492	hypoxanthine-guanine phosphoribosyltransferase subunit	
SCO5081-MONOMER	SCO5081		ActVA-6	ActVA6
YLR239C-MONOMER	YLR239C	Q06005	octanoyl transferase	
MONOMER-20790	G-63049	K4BA43	3&beta;-hydroxysteroid/C4-decarboxylase 2	
MONOMER-16369	G-12638		Ech hydrogenase subunit F	EchF
MONOMER-15682	G-12049	Q47RM6		
MONOMER-13864	G-10578	Q60365		Rfk
MONOMER-13133				
EG11396-MONOMER	EG11396	P0AAB4	3-octaprenyl-4-hydroxybenzoate decarboxylase	YigY, YigC, UbiD
YDEY-MONOMER	G6801	P77672	Autoinducer-2 ABC transporter membrane subunit LsrC	YdeY, LsrC
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	EG11473	P0A887	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase	YigO, UbiE, bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and S-adenosylmethionine:2-DMK methyltransferase
MONOMER-18382	G-17881	Q54144	dTDP-glucose 4,6-dehydratase monomer	
MONOMER-19002	G-43741	Q5GBH5		RokA
MONOMER-16095	G-12401	Q939Q3	NDP-4-keto-6-deoxyhexose 4-ketoreductase	JadV
MONOMER-16878	G-14702	Q9F8X1		ChbP
EG10724-MONOMER	EG10724	P16691	aminoalkylphosphonate <i>N</i>-acetyltransferase	PhnO
ENSG00000145495-MONOMER	HS14096	O60337	RING-type E3 ubiquitin transferase MARCH6	Doa10 homolog, MARCH-VI, membrane-associated RING finger protein 6, membrane-associated RING-CH protein VI, TEB-4, RING finger protein 176, E3 ubiquitin-protein ligase MARCH6
MONOMER-18777	G-34484	P16496	cytochrome P450 52A3-A	CYP52A3-A, microsomal P450 52A3, alkane-inducible P450-ALK1-A, CYPLIIA3, cytochrome P450<i>alk</i>, cytochrome P-450ALK, P450Alk1A, cytochrome P450-CM1, P450Cm1
MONOMER-4562			1,3-propanediol dehydrogenase subunit	
HS06361-MONOMER	HS06361		&gamma;-glutamyl hydrolase	
MONOMER-19386	G-44095	B8M9J9	3-methylorcinaldehyde synthase	
EG12221-MONOMER	EG12221	P37623	holo-[acyl carrier protein] synthase 2	YhhU, AcpT, o195, ORF195
MONOMER-10107	G-7744			Ggt
MONOMER-322	G-523	O33457	NADH-ferredoxin reductase	CymAb
MONOMER-7461	G-5702			
MONOMER-13580	G-10351		germacrene B synthase	Sesquiterpene synthase 2, SSTLH2
MONOMER-14363	G-10954	Q5P5G5	acetophenone carboxylase subunit	ApcD
HS13925-MONOMER	HS13925	Q86X55	protein arginine <i>N</i>-methyltransferase 4	coactivator-associated arginine methyltransferase 1
MONOMER-11764			rosmarinic acid synthase	
MONOMER-5641	G-80523	Q5GQ66	fatty acid &alpha;-dioxygenase	
AT1G78380-MONOMER	AT1G78380	Q9ZRW8	glutathione S-transferase U19 monomer	
MONOMER-16550	G-12801	Q0P8X2	chorismate dehydratase	
MONOMER-17341	G-15126	A0A0U1RHN7		PglH
MONOMER-14074	G-10750	Q9M602	furaneol <i>O</i>-methyltransferase monomer	
MONOMER-14918	G-11370	B2C4D5		
ARTQ-MONOMER	EG11626	P0AE34	L-arginine ABC transporter membrane subunit ArtQ	
