WP_003497809.1	gnl|META|EG11232-MONOMER	6.9e-09	71.1	38	54.7	78.9	100.0
WP_003865061.1	gnl|META|EG10442-MONOMER	1.2e-01	38.1	42	31.6	61.9	61.8
WP_004054229.1	gnl|META|EG10920-MONOMER	6.3e-09	54.5	55	55.5	70.9	94.8
WP_004613283.1	gnl|META|EG10892-MONOMER	1.2e-07	62.8	43	50.8	76.7	97.7
WP_005342931.1	gnl|META|CPXR-MONOMER	2.5e-32	35.3	232	135.2	57.8	99.1
WP_005608273.1	gnl|META|AT4G30580-MONOMER	1.2e-13	30.3	132	73.2	54.5	55.0
WP_005608273.1	gnl|META|HS09762-MONOMER	1.3e-12	27.9	179	69.7	48.6	73.5
WP_005608275.1	gnl|META|FUMB-MONOMER	6.5e-31	43.7	158	130.2	61.4	83.8
WP_005608275.1	gnl|META|FUMA-MONOMER	2.1e-29	44.4	153	125.2	60.8	81.1
WP_005608277.1	gnl|META|TTDA-MONOMER	3.7e-30	31.2	272	128.3	50.7	95.7
WP_005608280.1	gnl|META|URACIL-PRIBOSYLTRANS-MONOMER	3.4e-60	50.2	207	227.6	72.0	99.0
WP_005608283.1	gnl|META|G7698-MONOMER	5.0e-17	35.3	153	85.5	50.3	29.5
WP_005608299.1	gnl|META|G7147-MONOMER	2.2e-11	38.9	90	66.2	58.9	23.6
WP_005608299.1	gnl|META|G6892-MONOMER	3.2e-10	35.3	116	62.4	49.1	28.7
WP_005608305.1	gnl|META|G7649-MONOMER	1.3e-08	34.7	75	55.1	58.7	85.2
WP_005608314.1	gnl|META|ILES-MONOMER	1.3e-99	31.6	788	360.9	48.2	73.0
WP_005608318.1	gnl|META|EG10201-MONOMER	4.0e-21	25.3	371	99.0	44.5	75.4
WP_005608318.1	gnl|META|EG10203-MONOMER	2.6e-20	27.0	381	96.3	43.3	74.4
WP_005608324.1	gnl|META|MONOMER-18904	3.6e-01	54.8	31	31.6	64.5	14.7
WP_005608335.1	gnl|META|MONOMER-13186	5.1e-05	26.7	150	43.9	45.3	93.6
WP_005608338.1	gnl|META|MONOMER-17350	4.6e-30	28.3	279	127.9	50.5	98.1
WP_005608342.1	gnl|META|MACB	1.9e-28	37.3	193	122.1	59.6	91.6
WP_005608342.1	gnl|META|POTG-MONOMER	2.1e-27	35.0	197	118.6	57.9	94.6
WP_005608342.1	gnl|META|GLTL-MONOMER	1.2e-25	36.6	194	112.8	55.2	93.1
WP_005608342.1	gnl|META|EG12347-MONOMER	1.2e-25	35.2	199	112.8	56.8	92.6
WP_005608342.1	gnl|META|POTA-MONOMER	4.4e-25	34.5	197	110.9	57.4	94.6
WP_005608362.1	gnl|META|MONOMER-19859	5.8e-01	26.7	75	32.3	50.7	12.7
WP_005608371.1	gnl|META|BAES-MONOMER	1.9e-28	26.3	297	122.9	50.5	84.4
WP_005608372.1	gnl|META|CPXR-MONOMER	3.3e-32	37.1	229	134.8	57.2	92.8
WP_005608373.1	gnl|META|MONOMER-18687	8.3e-22	26.1	356	101.3	43.8	66.2
WP_005608373.1	gnl|META|G6551-MONOMER	4.1e-21	24.7	409	99.0	43.3	76.9
WP_005608374.1	gnl|META|CARDIOLIPSYN-MONOMER	4.0e-38	24.7	421	155.6	45.6	79.6
WP_005608376.1	gnl|META|BSU33400-MONOMER	1.8e-61	48.6	259	232.3	63.3	92.1
WP_005608376.1	gnl|META|MONOMER0-148	4.6e-57	43.5	262	217.6	60.3	92.8
WP_005608378.1	gnl|META|MONOMER-13026	3.5e-03	36.6	41	37.7	63.4	27.5
WP_005608401.1	gnl|META|THIOREDOXIN-REDUCT-NADPH-MONOMER	9.5e-46	34.3	309	180.6	55.3	71.0
WP_005608410.1	gnl|META|MONOMER-3844	5.2e-13	55.8	52	68.9	67.3	96.3
WP_005608410.1	gnl|META|MONOMER-19840	2.6e-12	51.9	52	66.6	63.5	96.3
WP_005608410.1	gnl|META|G185E-7524-MONOMER	4.4e-12	53.8	52	65.9	65.4	96.3
WP_005608410.1	gnl|META|G7413-MONOMER	1.7e-11	51.1	47	63.9	74.5	87.0
WP_005608422.1	gnl|META|MONOMER-20622	8.4e-01	40.0	25	29.6	72.0	19.2
WP_005608424.1	gnl|META|MONOMER-12612	1.1e-38	34.6	315	157.1	52.1	76.3
WP_005608424.1	gnl|META|STM4066-MONOMER	1.1e-35	31.4	283	147.1	49.5	69.9
WP_005608424.1	gnl|META|MONOMER-12630	9.5e-35	31.6	285	144.1	50.5	70.1
WP_005608428.1	gnl|META|MONOMER-17954	5.1e-153	49.9	539	537.3	67.7	99.8
WP_005608430.1	gnl|META|MONOMER-14506	1.1e-08	25.2	135	57.4	45.9	34.3
WP_005608430.1	gnl|META|MONOMER-19002	5.4e-08	24.9	193	55.1	43.5	49.9
WP_005608430.1	gnl|META|MONOMER-6111	9.2e-08	29.5	95	54.3	47.4	24.5
WP_005608436.1	gnl|META|SERS-MONOMER	8.1e-61	32.6	430	230.7	54.7	98.1
WP_005608446.1	gnl|META|EG10376-MONOMER	2.1e-29	37.6	210	125.6	52.4	85.0
WP_005608447.1	gnl|META|EG10375-MONOMER	5.0e-168	50.3	616	587.4	69.0	97.6
WP_005608449.1	gnl|META|EG10997-MONOMER	4.6e-65	33.7	483	245.0	55.1	99.4
WP_005608461.1	gnl|META|EG10242-MONOMER	2.1e-25	24.7	368	112.8	49.2	98.4
WP_005608467.1	gnl|META|EG10424-MONOMER	1.1e-175	44.4	806	612.8	57.2	98.3
WP_005608468.1	gnl|META|EG10423-MONOMER	2.8e-190	43.4	873	661.8	60.0	99.0
WP_005608478.1	gnl|META|G7704-MONOMER	3.4e-08	23.9	318	55.8	43.1	72.4
WP_005608498.1	gnl|META|EG10397-MONOMER	2.1e-09	28.6	196	58.9	48.0	86.7
WP_005608499.1	gnl|META|ATOS-MONOMER	3.8e-26	33.5	218	114.8	55.5	87.0
WP_005608505.1	gnl|META|MONOMER-12258	8.1e-91	50.0	340	330.1	67.9	95.8
WP_005608519.1	gnl|META|MONOMER-13044	8.6e-56	39.4	330	213.8	56.7	91.6
WP_005608519.1	gnl|META|MONOMER-363	4.7e-54	37.8	341	208.0	54.5	94.7
WP_005608519.1	gnl|META|6PFK-1-MONOMER	2.2e-51	37.3	322	199.1	54.7	89.9
WP_005608519.1	gnl|META|MONOMER-18281	2.2e-51	37.3	322	199.1	54.7	89.9
WP_005608521.1	gnl|META|EG11500-MONOMER	1.4e-14	33.8	145	77.4	49.7	27.0
WP_005608525.1	gnl|META|EG10834-MONOMER	2.7e-43	47.2	193	171.4	65.8	96.5
WP_005608526.1	gnl|META|EG11905-MONOMER	7.8e-36	36.6	216	146.7	58.3	99.5
WP_005608526.1	gnl|META|G6428-MONOMER	1.0e-35	35.8	218	146.4	60.6	99.5
WP_005608528.1	gnl|META|MONOMER-20956	9.3e-58	43.2	266	219.9	60.9	95.3
WP_005608530.1	gnl|META|MONOMER-20957	3.6e-42	35.6	281	168.3	55.5	88.9
WP_005608560.1	gnl|META|G1G01-5484-MONOMER	3.0e-108	34.9	716	389.0	56.7	99.4
WP_005608560.1	gnl|META|YHHO-MONOMER	3.5e-101	35.8	704	365.5	53.3	99.0
WP_005608565.1	gnl|META|G185E-7593-MONOMER	2.3e-57	31.9	558	219.5	46.4	95.7
WP_005608565.1	gnl|META|AT5G66760-MONOMER	1.9e-56	29.1	573	216.5	45.9	98.2
WP_005608565.1	gnl|META|ENSG00000073578-MONOMER	5.2e-54	31.0	554	208.4	46.0	94.7
WP_005608565.1	gnl|META|YKL148C-MONOMER	3.7e-52	28.6	559	202.2	45.3	95.5
WP_005608565.1	gnl|META|SDH-FLAVO	6.3e-52	30.1	559	201.4	45.6	94.6
WP_005608582.1	gnl|META|MONOMER-19345	3.8e-02	26.2	84	35.8	52.4	20.0
WP_005608582.1	gnl|META|MONOMER-19346	4.9e-02	26.2	84	35.4	52.4	20.0
WP_005608582.1	gnl|META|MONOMER-19342	8.4e-02	26.2	84	34.7	51.2	20.0
WP_005608587.1	gnl|META|G185E-5101-MONOMER	1.4e-83	39.7	478	306.6	55.4	87.8
WP_005608587.1	gnl|META|YBR196C-MONOMER	6.0e-82	38.1	485	301.2	56.7	89.2
WP_005608587.1	gnl|META|PGLUCISOM	1.5e-77	37.1	534	286.6	53.4	96.8
WP_005608587.1	gnl|META|HS02693-MONOMER	7.6e-77	35.5	513	284.3	53.6	92.6
WP_005608591.1	gnl|META|MONOMER-12255	1.0e-69	34.5	469	260.4	55.7	99.4
WP_005608591.1	gnl|META|UDP-NACMURALGLDAPAALIG-MONOMER	2.7e-62	33.7	466	235.7	51.7	99.6
WP_005608593.1	gnl|META|DALADALALIGB-MONOMER	1.8e-42	32.8	348	169.5	48.0	97.2
WP_005608593.1	gnl|META|G185E-7236-MONOMER	1.6e-38	30.4	359	156.4	47.4	98.3
WP_005608599.1	gnl|META|MONOMER-13983	1.9e-05	35.6	73	45.8	53.4	33.3
WP_005608601.1	gnl|META|MONOMER-19345	2.4e-01	25.0	84	33.1	51.2	20.1
WP_005608601.1	gnl|META|MONOMER-19346	3.2e-01	25.0	84	32.7	51.2	20.1
WP_005608601.1	gnl|META|MONOMER-19342	5.4e-01	25.0	84	32.0	50.0	20.1
WP_005608602.1	gnl|META|MONOMER-19346	3.7e-01	27.9	61	31.2	57.4	36.3
WP_005608602.1	gnl|META|MONOMER-19345	3.7e-01	27.9	61	31.2	57.4	36.3
WP_005608602.1	gnl|META|MONOMER-19342	3.7e-01	27.9	61	31.2	57.4	36.3
WP_005608603.1	gnl|META|MONOMER-18214	4.4e-03	48.8	41	37.0	56.1	37.3
WP_005608648.1	gnl|META|MONOMER-18021	6.4e-36	31.7	287	147.5	53.0	89.5
WP_005608655.1	gnl|META|MONOMER-8681	9.8e-80	47.9	307	293.1	69.1	97.8
WP_005608655.1	gnl|META|MONOMER-13096	7.0e-78	49.8	309	287.0	70.2	97.8
WP_005608669.1	gnl|META|EG11195-MONOMER	2.7e-33	30.0	270	138.7	54.8	98.2
WP_005608671.1	gnl|META|6PFK-1-MONOMER	4.0e-81	50.3	310	297.7	68.1	96.9
WP_005608671.1	gnl|META|MONOMER-18281	4.0e-81	50.3	310	297.7	68.1	96.9
WP_005608671.1	gnl|META|MONOMER-363	7.1e-78	47.3	319	287.0	64.9	99.7
WP_005608671.1	gnl|META|MONOMER-13044	9.6e-75	50.3	298	276.6	66.4	92.8
WP_005608673.1	gnl|META|STM14_RS23790-MONOMER	1.1e-57	35.2	338	219.9	55.3	100.0
WP_005608675.1	gnl|META|GPH-MONOMER	4.9e-06	20.9	235	47.8	38.7	95.8
WP_005608677.1	gnl|META|G7726-MONOMER	5.3e-24	29.3	249	107.8	47.8	87.4
WP_005608681.1	gnl|META|STM14_RS23780-MONOMER	2.6e-76	51.7	269	281.6	72.5	97.8
WP_005608683.1	gnl|META|STM14_RS23775-MONOMER	2.3e-63	50.0	260	238.4	71.2	99.6
WP_005608686.1	gnl|META|STM14_RS23770-MONOMER	8.7e-45	61.3	150	176.0	76.7	95.5
WP_005608687.1	gnl|META|STM14_RS23765-MONOMER	7.1e-22	38.5	135	99.8	60.7	95.7
WP_005608694.1	gnl|META|UGD-MONOMER	2.4e-01	32.4	34	32.7	64.7	10.6
WP_005608696.1	gnl|META|G7230-MONOMER	9.4e-17	37.0	108	83.2	60.2	56.2
WP_005608731.1	gnl|META|ENSG00000114113-MONOMER	2.3e-01	31.5	54	32.7	55.6	16.9
WP_005608741.1	gnl|META|EG10460-MONOMER	4.4e-08	27.8	151	55.5	47.0	36.7
WP_005608743.1	gnl|META|EG10458-MONOMER	2.8e-18	24.2	356	89.7	41.3	59.8
