gnl|META|MONOMER-11763	WP_005676399.1	1.9e-32	30.6	258	134.0	50.8	79.9
gnl|META|MONOMER-11759	WP_005675684.1	1.0e-03	47.6	42	39.3	66.7	8.3
gnl|META|MONOMER-11759	WP_005677410.1	1.1e-02	48.7	39	35.8	71.8	7.7
gnl|META|MONOMER-11752	WP_005676713.1	5.0e-04	23.9	180	40.0	41.1	39.3
gnl|META|MONOMER-11752	WP_005677533.1	5.5e-03	31.2	80	36.6	55.0	19.2
gnl|META|MONOMER-11719	WP_005680304.1	1.6e-30	29.9	321	127.9	43.9	80.9
gnl|META|MONOMER-11712	WP_005677729.1	1.4e-07	25.5	231	52.4	42.4	34.9
gnl|META|MONOMER-11708	WP_005677195.1	9.6e-01	31.0	58	27.7	44.8	36.9
gnl|META|MONOMER-11708	WP_005679507.1	9.6e-01	33.3	48	27.7	52.1	29.3
gnl|META|MONOMER-117	WP_005678681.1	9.7e-03	22.9	231	35.4	39.4	67.8
gnl|META|MONOMER-11699	WP_005677664.1	2.4e-13	28.9	159	70.9	47.2	40.8
gnl|META|MONOMER-11697	WP_005677664.1	1.1e-29	33.6	253	124.8	53.0	84.1
gnl|META|MONOMER-11695	WP_005677664.1	3.9e-10	26.1	153	60.1	43.1	43.1
gnl|META|MONOMER-11693	WP_005678326.1	1.8e-32	29.9	361	134.4	46.5	87.0
gnl|META|MONOMER-11692	WP_005678326.1	9.9e-40	29.8	362	158.7	50.3	77.5
gnl|META|MONOMER-11690	WP_005679045.1	2.2e-01	29.1	86	31.6	41.9	16.3
gnl|META|MONOMER-11687	WP_005676808.1	1.4e-68	35.0	448	254.6	53.3	94.7
gnl|META|MONOMER-11687	WP_005677834.1	4.4e-65	35.0	448	243.0	52.0	94.9
gnl|META|MONOMER-11686	WP_005677836.1	2.0e-64	37.3	448	240.7	55.1	97.2
gnl|META|MONOMER-11684	WP_005677837.1	1.6e-58	38.1	328	220.7	56.4	98.2
gnl|META|MONOMER-11683	WP_005677837.1	1.7e-39	32.6	313	157.5	52.4	93.3
gnl|META|MONOMER-11667	WP_005677403.1	2.9e-01	41.7	36	31.2	47.2	6.9
gnl|META|MONOMER-11666	WP_005678876.1	4.1e-34	34.5	275	139.8	53.1	74.1
gnl|META|MONOMER-11664	WP_005679049.1	8.1e-01	61.9	21	28.9	71.4	7.1
gnl|META|MONOMER-11663	WP_085962108.1	6.1e-33	27.3	384	136.3	47.1	76.7
gnl|META|MONOMER-11637	WP_005677254.1	8.0e-01	36.1	36	29.3	52.8	9.4
gnl|META|MONOMER-11617	WP_005676436.1	1.3e-01	45.7	35	32.0	51.4	8.7
gnl|META|MONOMER-1161	WP_005679530.1	2.9e-52	34.8	365	200.3	51.2	83.6
gnl|META|MONOMER-1161	WP_005679540.1	1.8e-49	32.6	365	191.0	49.0	84.1
gnl|META|MONOMER-11608	WP_005675452.1	4.7e-04	34.3	67	40.4	50.7	13.1
gnl|META|MONOMER-11606	WP_004293696.1	3.0e-01	34.4	64	30.4	50.0	20.1
gnl|META|MONOMER-11604	WP_005679185.1	2.4e-49	34.3	315	190.3	57.8	93.7
gnl|META|MONOMER-11597	WP_005679136.1	1.9e-01	26.1	69	32.0	55.1	12.0
gnl|META|MONOMER-11591	WP_032855574.1	1.3e-01	46.4	28	31.6	57.1	8.3
gnl|META|MONOMER-11582	WP_005677112.1	3.3e-01	36.6	41	30.4	53.7	11.6
gnl|META|MONOMER-11560	WP_085962108.1	1.0e-24	29.2	325	109.0	47.4	64.6
gnl|META|MONOMER-11550	WP_005675269.1	4.8e-02	31.6	57	33.5	52.6	13.1
gnl|META|MONOMER-11550	WP_005676808.1	6.3e-02	41.2	34	33.1	67.6	7.8
gnl|META|MONOMER-11550	WP_005677834.1	1.1e-01	40.0	35	32.3	60.0	8.1
gnl|META|MONOMER-11550	WP_005675684.1	1.4e-01	42.4	33	32.0	57.6	7.6
gnl|META|MONOMER-11548	WP_005676808.1	1.6e-04	22.8	329	42.0	39.5	61.8
gnl|META|MONOMER-11548	WP_005675269.1	4.6e-04	29.2	137	40.4	47.4	25.6
gnl|META|MONOMER-11537	WP_005679050.1	2.2e-47	33.8	385	184.1	51.7	90.6
gnl|META|MONOMER-11534	WP_005676808.1	9.8e-02	42.4	33	32.3	63.6	8.4
gnl|META|MONOMER-11534	WP_005675684.1	1.3e-01	25.7	144	32.0	44.4	35.8
