gnl|META|MONOMER-11763	WP_005633719.1	3.8e-51	45.3	254	196.1	60.2	78.6
gnl|META|MONOMER-11760	WP_005640730.1	2.8e-41	27.9	481	164.1	46.4	85.4
gnl|META|MONOMER-11759	WP_005640730.1	2.6e-41	25.9	487	164.1	43.7	94.4
gnl|META|MONOMER-11752	WP_005639784.1	3.6e-04	23.5	200	40.4	44.5	42.2
gnl|META|MONOMER-11719	WP_005641585.1	8.3e-29	28.1	317	122.1	44.8	81.7
gnl|META|MONOMER-11700	WP_005641740.1	2.9e-43	33.8	296	169.9	53.4	94.8
gnl|META|MONOMER-117	WP_005638186.1	8.3e-04	18.5	184	38.9	41.8	55.4
gnl|META|MONOMER-11699	WP_005638730.1	5.1e-13	28.9	159	69.7	46.5	40.8
gnl|META|MONOMER-11697	WP_005638730.1	7.9e-27	32.3	254	115.2	50.8	84.5
gnl|META|MONOMER-11695	WP_005638730.1	8.0e-13	25.4	268	68.9	41.4	72.1
gnl|META|MONOMER-11693	WP_005641449.1	6.8e-34	30.7	361	139.0	47.6	87.0
gnl|META|MONOMER-11692	WP_005641449.1	7.6e-42	30.5	390	165.6	50.0	81.5
gnl|META|MONOMER-11691	WP_005639241.1	1.1e-15	25.0	324	78.2	42.3	98.4
gnl|META|MONOMER-11687	WP_005638141.1	1.1e-67	36.6	451	251.5	51.9	95.1
gnl|META|MONOMER-11687	WP_005639651.1	7.4e-67	35.5	451	248.8	51.4	95.1
gnl|META|MONOMER-11686	WP_005638147.1	6.3e-65	37.3	453	242.3	52.8	98.8
gnl|META|MONOMER-11684	WP_005638153.1	2.0e-55	35.9	329	210.3	55.6	98.2
gnl|META|MONOMER-11683	WP_005638153.1	7.1e-40	32.8	320	158.7	50.3	95.8
gnl|META|MONOMER-11666	WP_005637270.1	2.3e-31	33.6	280	130.6	52.9	74.1
gnl|META|MONOMER-11664	WP_005649815.1	2.6e-01	56.5	23	30.4	73.9	7.8
gnl|META|MONOMER-11664	WP_005637029.1	3.4e-01	39.5	38	30.0	55.3	12.9
gnl|META|MONOMER-11663	WP_005641934.1	4.6e-43	26.3	476	169.9	45.6	95.2
gnl|META|MONOMER-11617	WP_005637454.1	8.0e-78	44.3	379	285.0	59.4	93.8
gnl|META|MONOMER-11616	WP_005637460.1	7.4e-82	35.2	523	298.9	51.8	90.1
gnl|META|MONOMER-11614	WP_005640335.1	5.8e-16	20.8	433	79.7	41.1	92.3
gnl|META|MONOMER-1161	WP_005640696.1	2.3e-51	32.8	360	197.2	49.7	82.9
gnl|META|MONOMER-1161	WP_005640725.1	3.0e-51	34.0	362	196.8	49.4	83.6
gnl|META|MONOMER-11609	WP_005637447.1	4.8e-104	43.7	487	372.5	62.6	95.7
gnl|META|MONOMER-11608	WP_005637447.1	1.2e-86	39.9	489	314.7	58.1	95.7
gnl|META|MONOMER-11604	WP_005640834.1	2.2e-49	35.9	304	190.3	58.2	90.4
gnl|META|MONOMER-116	WP_005640329.1	2.5e-53	35.3	399	203.8	50.4	90.3
gnl|META|MONOMER-11569	WP_005633117.1	4.6e-13	24.7	279	69.7	43.4	72.2
gnl|META|MONOMER-11563	WP_005640730.1	7.9e-03	40.5	37	35.8	70.3	9.6
gnl|META|MONOMER-11561	WP_005638798.1	6.8e-01	37.2	43	30.0	62.8	7.3
gnl|META|MONOMER-11560	WP_005641934.1	4.2e-68	32.0	481	253.1	53.2	96.2
gnl|META|MONOMER-11558	WP_005633117.1	3.8e-14	24.8	290	73.2	41.4	82.8
gnl|META|MONOMER-11557	WP_005633117.1	5.5e-13	24.0	292	69.3	40.1	82.5
gnl|META|MONOMER-11554	WP_005637454.1	1.2e-02	59.3	27	35.8	77.8	4.7
gnl|META|MONOMER-11553	WP_005651542.1	1.8e-09	23.1	260	57.8	40.4	73.2
gnl|META|MONOMER-11552	WP_005633117.1	2.5e-37	32.6	298	150.2	52.0	90.1
gnl|META|MONOMER-11550	WP_005638798.1	9.8e-05	33.8	68	42.4	48.5	14.1
gnl|META|MONOMER-11548	WP_005635842.1	1.0e-05	47.3	55	45.8	65.5	10.9
gnl|META|MONOMER-11548	WP_005634089.1	2.3e-05	29.9	137	44.7	46.0	25.6
gnl|META|MONOMER-11537	WP_005637015.1	4.1e-48	34.9	347	186.4	53.6	80.2
gnl|META|MONOMER-11537	WP_005650729.1	2.5e-45	31.4	411	177.2	48.2	94.1
gnl|META|MONOMER-11534	WP_005638798.1	5.4e-02	28.9	76	33.1	50.0	17.5
gnl|META|MONOMER-11534	WP_005640730.1	2.0e-01	47.6	42	31.2	61.9	10.7
gnl|META|MONOMER-11526	WP_005650729.1	3.9e-64	36.7	379	239.6	55.1	92.1
gnl|META|MONOMER-11506	WP_005638798.1	7.0e-02	23.8	143	32.7	39.9	32.7
gnl|META|MONOMER-11506	WP_005639651.1	2.7e-01	42.4	33	30.8	57.6	8.4
gnl|META|MONOMER-115	WP_005639423.1	2.9e-18	31.7	199	86.3	45.7	93.3
gnl|META|MONOMER-114	WP_005639421.1	1.1e-16	25.9	367	82.0	40.9	84.5
gnl|META|MONOMER-11393	WP_005638955.1	5.8e-03	30.1	83	35.8	47.0	29.7
gnl|META|MONOMER-11384	WP_005634879.1	1.3e-10	25.1	251	61.6	43.0	66.2
gnl|META|MONOMER-11354	WP_005637205.1	4.4e-01	47.8	23	29.6	78.3	7.9
gnl|META|MONOMER-11352	WP_036723912.1	5.4e-25	32.8	268	109.0	50.4	92.4
gnl|META|MONOMER-11350	WP_005641064.1	4.3e-18	26.8	280	86.7	45.0	65.6
gnl|META|MONOMER-113	WP_005639418.1	5.1e-09	27.1	255	55.8	41.2	93.9
gnl|META|MONOMER-11204	WP_005638180.1	1.3e-01	34.0	47	31.6	57.4	14.8
gnl|META|MONOMER-11187	WP_005637994.1	2.0e-21	26.6	379	97.4	40.4	93.7
gnl|META|MONOMER-11101	WP_005635132.1	6.7e-17	25.5	306	82.4	43.1	81.9
gnl|META|MONOMER-11088	WP_005641585.1	7.7e-14	21.8	354	72.4	37.6	91.1
gnl|META|MONOMER-11086	WP_005637994.1	2.5e-22	25.8	388	100.5	43.0	91.5
gnl|META|MONOMER-11002	WP_005639856.1	2.8e-03	45.5	33	37.4	69.7	8.5
gnl|META|MONOMER-11002	WP_005638798.1	1.8e-02	51.7	29	34.7	62.1	7.5
gnl|META|MONOMER-11001	WP_005636990.1	2.1e-04	22.0	132	41.2	42.4	29.7
gnl|META|MONOMER-1097	WP_005635283.1	6.5e-03	59.1	22	33.9	72.7	27.2
gnl|META|MONOMER-10862	WP_005649828.1	8.6e-13	33.3	126	67.4	54.0	90.1
gnl|META|MONOMER-1083	WP_005635548.1	1.0e-30	24.1	551	129.0	42.3	95.2
gnl|META|MONOMER-10821	WP_005636645.1	8.0e-03	26.6	109	35.8	43.1	25.9
gnl|META|MONOMER-10801	WP_005635201.1	7.6e-57	34.4	454	215.7	51.3	86.9
gnl|META|MONOMER-10762	WP_005641288.1	9.9e-04	33.3	51	38.1	47.1	21.4
gnl|META|MONOMER-10621	WP_005648730.1	2.9e-01	25.8	89	31.2	38.2	15.7
gnl|META|MONOMER-1062	WP_005633219.1	8.6e-26	27.7	357	112.1	45.7	96.2
gnl|META|MONOMER-1061	WP_005640048.1	1.7e-35	29.1	468	144.4	46.8	97.6
gnl|META|MONOMER-1056	WP_005633023.1	1.0e-06	52.8	36	47.4	80.6	24.8
gnl|META|MONOMER-1056	WP_005640211.1	1.3e-06	61.1	36	47.0	75.0	24.8
gnl|META|MONOMER-1055	WP_005640209.1	2.6e-94	51.0	367	339.7	70.8	95.7
gnl|META|MONOMER-1054	WP_005640215.1	9.4e-35	25.3	533	142.5	42.0	88.6
gnl|META|MONOMER-1044	WP_005638616.1	5.7e-01	33.3	33	29.6	54.5	8.7
gnl|META|MONOMER-10405	WP_005634871.1	2.0e-01	36.6	41	30.8	48.8	14.2
gnl|META|MONOMER-10304	WP_005639132.1	4.1e-74	48.4	306	272.3	64.4	99.0
gnl|META|MONOMER-10303	WP_036724734.1	1.9e-76	35.4	378	280.4	57.7	96.6
gnl|META|MONOMER-10303	WP_005641843.1	2.4e-71	35.0	386	263.5	54.9	99.5
gnl|META|MONOMER-10301	WP_005637964.1	9.8e-17	30.5	200	81.3	50.5	88.0
gnl|META|MONOMER-1029	WP_005640074.1	8.9e-01	41.2	34	28.5	61.8	12.8
gnl|META|MONOMER-10261	WP_005633719.1	3.0e-32	28.6	283	134.0	51.2	52.2
gnl|META|MONOMER-10261	WP_005641308.1	4.0e-32	31.2	292	133.7	49.0	54.2
gnl|META|MONOMER-1021	WP_005641064.1	3.0e-21	29.0	317	97.1	45.1	79.7
gnl|META|MONOMER-10162	WP_005635406.1	3.1e-30	31.2	221	126.7	55.2	62.0
gnl|META|MONOMER-10161	WP_005635406.1	1.1e-32	32.9	222	134.8	55.9	65.2
gnl|META|MONOMER-10109	WP_005635428.1	8.7e-01	33.3	63	30.8	50.8	4.7
gnl|META|MONOMER-10061	WP_039849620.1	4.3e-105	46.5	445	377.1	62.9	39.4
gnl|META|MONOMER-1003	WP_005641172.1	8.6e-26	31.7	221	112.1	49.8	59.3
gnl|META|MONOMER-10025	WP_005641740.1	8.1e-05	24.5	106	42.0	51.9	38.7
gnl|META|MONOMER-1001	WP_005638798.1	4.9e-03	38.7	62	36.6	51.6	14.1
gnl|META|MODC-MONOMER	WP_005639109.1	1.0e-28	31.3	211	121.7	54.5	58.2
gnl|META|MODC-MONOMER	WP_005636274.1	1.4e-25	30.9	194	111.3	55.7	53.4
gnl|META|MODB-MONOMER	WP_036657318.1	2.1e-06	27.8	151	47.0	49.0	65.1
gnl|META|MODA-MONOMER	WP_005639773.1	8.6e-01	23.3	129	28.5	42.6	47.9
gnl|META|MHPT-MONOMER	WP_005633703.1	2.2e-06	24.9	349	47.8	40.4	80.6
gnl|META|MHPHYDROXY-MONOMER	WP_005639651.1	1.7e-01	41.2	34	32.0	64.7	6.1
gnl|META|MHPHYDROXY-MONOMER	WP_005638141.1	6.4e-01	28.3	53	30.0	56.6	9.6
gnl|META|MHPHYDROXY-MONOMER	WP_005638798.1	6.4e-01	41.2	34	30.0	61.8	6.1
gnl|META|MHPELY-MONOMER	WP_005634879.1	1.6e-10	24.1	303	61.2	39.9	82.2
gnl|META|MGLA-MONOMER	WP_005639058.1	1.6e-19	23.1	229	91.7	50.2	44.7
gnl|META|MGLA-MONOMER	WP_005636274.1	1.5e-17	27.7	206	85.1	52.9	39.3
gnl|META|MGLA-MONOMER	WP_005633566.1	2.0e-17	30.1	206	84.7	48.1	40.1
gnl|META|MGI:2444678-MONOMER	WP_005640975.1	3.6e-52	34.6	390	200.3	52.1	68.9
gnl|META|MGI:1929955-MONOMER	WP_005641740.1	8.5e-54	35.5	293	204.9	57.3	90.2
gnl|META|MGI:1306785-MONOMER	WP_005635484.1	9.2e-68	35.9	468	251.9	53.2	93.1
gnl|META|MGI:1306785-MONOMER	WP_005638287.1	6.6e-66	35.0	469	245.7	52.7	93.1
gnl|META|MGI:1277124-MONOMER	WP_005649750.1	7.8e-01	27.3	66	29.3	43.9	16.8
gnl|META|MGI:1261415-MONOMER	WP_005633862.1	6.1e-15	22.0	368	76.6	39.9	59.2
gnl|META|MGI:1099431-MONOMER	WP_005640975.1	1.4e-49	34.6	344	191.4	53.5	72.5
gnl|META|MGI:108074-MONOMER	WP_005640975.1	9.5e-61	38.2	364	228.8	56.6	65.0
gnl|META|MGI:108024-MONOMER	WP_005633535.1	6.7e-37	30.8	289	148.7	47.4	96.7
gnl|META|METQ-MONOMER	WP_005637051.1	7.5e-03	34.0	47	35.4	59.6	16.6
gnl|META|METI-MONOMER	WP_036724765.1	9.8e-06	26.5	147	44.7	46.9	65.0
gnl|META|METI-MONOMER	WP_005634640.1	1.3e-05	24.3	136	44.3	45.6	62.7
gnl|META|METI-MONOMER	WP_005636276.1	4.9e-05	24.3	140	42.4	50.7	62.7
gnl|META|METHYLMALONYL-COA-MUT-MONOMER	WP_036724666.1	6.9e-250	63.5	683	857.4	78.0	95.5
gnl|META|METHYLENETHFREDUCT-MONOMER	WP_005639238.1	2.2e-32	30.0	297	133.7	43.1	88.2
gnl|META|METHGLYSYN-MONOMER	WP_004295275.1	2.9e-28	46.9	143	119.0	58.7	88.8
gnl|META|METHCOCLTH-MONOMER	WP_005641530.1	1.3e-07	25.4	268	51.2	45.1	94.3
gnl|META|METG-MONOMER	WP_005639978.1	3.2e-111	34.8	698	396.7	53.2	100.0
gnl|META|MERMAUTO-MONOMER	WP_005650469.1	3.7e-01	32.4	71	30.0	46.5	20.6
gnl|META|MENF-MONOMER	WP_005639134.1	1.0e-17	31.9	248	85.5	48.4	56.1
gnl|META|MEND-MONOMER	WP_005648772.1	5.4e-40	28.1	534	159.8	42.5	91.5
gnl|META|MDTA	WP_005636520.1	3.0e-35	28.2	323	143.7	51.7	75.9
gnl|META|MANX-MONOMER	WP_005636186.1	8.3e-01	52.2	23	28.9	69.6	6.5
gnl|META|MANNPISOM-MONOMER	WP_005640267.1	1.8e-05	36.0	86	44.7	54.7	19.9
gnl|META|MANNPGUANYLTRANGDP-MONOMER	WP_005633179.1	9.9e-43	35.8	355	168.7	55.5	72.4
gnl|META|MANNONOXIDOREDUCT-MONOMER	WP_005633539.1	1.2e-27	24.9	474	118.6	40.3	93.6
gnl|META|MANNONDEHYDRAT-MONOMER	WP_005640816.1	2.7e-147	63.7	391	515.8	78.0	99.2
gnl|META|MALTACETYLTRAN-MONOMER	WP_005640158.1	4.0e-32	50.8	183	132.1	62.3	98.9
gnl|META|MALONYL-COA-ACP-TRANSACYL-MONOMER	WP_005639288.1	1.8e-53	42.0	293	203.8	57.3	94.8
gnl|META|MALK-MONOMER	WP_005639109.1	5.1e-63	48.1	243	235.7	68.7	65.2
gnl|META|MALIC-NADP-MONOMER	WP_005639332.1	2.0e-191	49.5	759	663.3	65.0	99.1
gnl|META|MALG-MONOMER	WP_036657318.1	6.0e-06	25.5	208	45.8	44.7	69.9
gnl|META|MALF-MONOMER	WP_005639113.1	3.4e-04	27.6	145	40.8	47.6	27.8
gnl|META|MALATE-DEHASE-MONOMER	WP_005640834.1	2.6e-23	30.7	290	103.6	51.7	88.5
gnl|META|MACB	WP_005635460.1	1.0e-58	35.2	403	222.2	57.8	60.3
gnl|META|MACA	WP_005651393.1	2.0e-14	26.9	387	74.3	41.1	95.7
gnl|META|LYXK-MONOMER	WP_039849777.1	3.0e-34	26.3	482	140.6	43.4	92.4
gnl|META|LYSU-MONOMER	WP_005640186.1	8.1e-128	47.0	500	451.4	67.2	95.8
gnl|META|LYSS-MONOMER	WP_005640186.1	9.0e-127	46.0	509	448.0	66.6	97.8
gnl|META|LUMAZINESYN-MONOMER	WP_005636387.1	1.2e-29	47.8	138	123.6	68.1	88.5
gnl|META|LTAA-MONOMER	WP_005641139.1	5.4e-11	25.4	307	62.8	43.3	88.3
gnl|META|LSERINEDEAM3-MONOMER	WP_005638314.1	4.3e-80	40.5	452	292.7	56.0	98.7
gnl|META|LSERINEDEAM2-MONOMER	WP_005638314.1	5.5e-75	39.0	451	275.8	56.8	98.5
